code,month_samples,spearman,rho_ci_low,rho_ci_high,cold_months,hot_months,cold_minus_hot,gap_ci_low,gap_ci_high,bootstrap_valid_gap,bootstrap_valid_rho,calendar_month_span,sample_count_divided_by_block_length,comparison,arm
600519,162,0.23957174125762837,-0.15556859029607667,0.4754323137701249,16,20,-0.1509003009240285,-0.6781326756010754,0.4030635150618794,997,1000,163,13.5,rank_48,rank_48
600519,162,0.24976941954002144,-0.15074994931739064,0.4863299551709288,18,18,-0.012207861421038357,-0.6289603521453234,0.48910040350240314,996,1000,163,13.5,rank_72,main_on_common
600519,162,0.2664626840226101,-0.14820324923383518,0.501515373454879,18,15,-0.01169327902403694,-0.6595724245834538,0.38154905078715884,986,1000,163,13.5,rank_72,rank_72
000651,143,-0.46122798239876733,-0.7184055753298534,-0.1729688942438915,15,2,0.3846393192762993,0.02768457960406745,1.0694024634859938,834,1000,163,11.916666666666666,main,main
000651,143,-0.46122798239876733,-0.7184055753298534,-0.1729688942438915,15,2,0.3846393192762993,0.02768457960406745,1.0694024634859938,834,1000,163,11.916666666666666,valuation_only,main_on_common
000651,143,-0.40074545881603163,-0.7146411077760876,-0.12394738247534043,75,25,0.3057458428614773,0.11397383163847821,0.5786162776788185,995,1000,163,11.916666666666666,valuation_only,valuation_only
000651,143,-0.46122798239876733,-0.7184055753298534,-0.1729688942438915,15,2,0.3846393192762993,0.02768457960406745,1.0694024634859938,834,1000,163,11.916666666666666,price_activity,main_on_common
000651,143,-0.24141780438723462,-0.5430963720307085,0.10903415453576884,13,8,0.3859651202270771,0.12352876362146092,0.6462382796564908,992,1000,163,11.916666666666666,price_activity,price_activity
000651,143,-0.46122798239876733,-0.7184055753298534,-0.1729688942438915,15,2,0.3846393192762993,0.02768457960406745,1.0694024634859938,834,1000,163,11.916666666666666,rank_48,main_on_common
000651,143,-0.4208009886469562,-0.6834327047176242,-0.13391849156502586,12,1,0.5633760736350958,0.424745384525708,0.9158209805036893,658,1000,163,11.916666666666666,rank_48,rank_48
000651,143,-0.46122798239876733,-0.7184055753298534,-0.1729688942438915,15,2,0.3846393192762993,0.02768457960406745,1.0694024634859938,834,1000,163,11.916666666666666,rank_72,main_on_common
000651,143,-0.4616353776200204,-0.7092976908748236,-0.2007264507056173,14,3,0.40810745625269895,0.02768457960406745,0.8442308874427651,848,1000,163,11.916666666666666,rank_72,rank_72
300750,26,0.094017094017094,-0.3468495048316851,0.2426559294333718,5,0,,,,0,1000,26,2.1666666666666665,main,main
300750,26,0.094017094017094,-0.3468495048316851,0.2426559294333718,5,0,,,,0,1000,26,2.1666666666666665,valuation_only,main_on_common
300750,26,-0.11901902982148319,-0.6876069467834373,-0.002677238240459524,24,0,,,,0,1000,26,2.1666666666666665,valuation_only,valuation_only
300750,26,0.094017094017094,-0.3468495048316851,0.2426559294333718,5,0,,,,0,1000,26,2.1666666666666665,price_activity,main_on_common
300750,26,0.14188034188034188,-0.2886708685806225,0.2783758953854161,3,0,,,,0,1000,26,2.1666666666666665,price_activity,price_activity
300750,26,0.094017094017094,-0.3468495048316851,0.2426559294333718,5,0,,,,0,1000,26,2.1666666666666665,rank_48,main_on_common
300750,26,0.10017094017094016,-0.3676739455189507,0.23435795370779886,4,0,,,,0,1000,26,2.1666666666666665,rank_48,rank_48
300750,26,0.094017094017094,-0.3468495048316851,0.2426559294333718,5,0,,,,0,1000,26,2.1666666666666665,rank_72,main_on_common
300750,26,0.10153846153846154,-0.3715265866209262,0.23701410388716893,5,0,,,,0,1000,26,2.1666666666666665,rank_72,rank_72
300308,91,-0.07806365817623753,-0.3866685228116478,0.21091117211052757,12,4,0.8355191292854317,-0.5888774223329863,2.2464697281141084,796,1000,91,7.583333333333333,main,main
300308,91,-0.07806365817623753,-0.3866685228116478,0.21091117211052757,12,4,0.8355191292854317,-0.5888774223329863,2.2464697281141084,796,1000,91,7.583333333333333,valuation_only,main_on_common
300308,91,-0.2779115345721304,-0.5998582814707725,0.16482016978963865,52,2,0.313805652827028,-0.5405554403304688,2.3531972736329854,745,1000,91,7.583333333333333,valuation_only,valuation_only
300308,91,-0.07806365817623753,-0.3866685228116478,0.21091117211052757,12,4,0.8355191292854317,-0.5888774223329863,2.2464697281141084,796,1000,91,7.583333333333333,price_activity,main_on_common
300308,91,0.03966490680157494,-0.28488478679996576,0.24417276899830004,6,7,-0.3180001420794636,-2.5759798221204946,1.5623309011444255,866,1000,91,7.583333333333333,price_activity,price_activity
300308,91,-0.07806365817623753,-0.3866685228116478,0.21091117211052757,12,4,0.8355191292854317,-0.5888774223329863,2.2464697281141084,796,1000,91,7.583333333333333,rank_48,main_on_common
300308,91,-0.07018996851889873,-0.39103443611598365,0.21288273848119071,11,5,0.3934979408079027,-0.9278004438007443,2.1556850185872274,818,1000,91,7.583333333333333,rank_48,rank_48
300308,91,-0.07806365817623753,-0.3866685228116478,0.21091117211052757,12,4,0.8355191292854317,-0.5888774223329863,2.2464697281141084,796,1000,91,7.583333333333333,rank_72,main_on_common
300308,91,-0.07822932883215708,-0.38212545033814277,0.2026813092618195,11,4,0.6672671914109295,-0.5888774223329863,2.337254437640989,796,1000,91,7.583333333333333,rank_72,rank_72
300308,32,-0.38646990186269736,-0.6309325813725617,0.2696343324646035,2,4,3.461425066949744,2.259362038456154,4.781259394854836,411,1000,32,2.6666666666666665,post_2017_reset,main_on_common
300308,32,-0.37301805674032346,-0.6313739205529444,0.30459855798271335,1,5,4.572703385916453,4.572703385916453,4.781259394854836,335,1000,32,2.6666666666666665,post_2017_reset,post_2017_reset
600036,161,-0.15982579778085462,-0.4920506810222656,0.13591948499085837,15,16,0.05571534932943745,-0.019821803046691934,0.421294576401009,998,1000,163,13.416666666666666,main,main
600036,161,-0.15982579778085462,-0.4920506810222656,0.13591948499085837,15,16,0.05571534932943745,-0.019821803046691934,0.421294576401009,998,1000,163,13.416666666666666,valuation_only,main_on_common
600036,161,-0.07699180153228889,-0.45612188558874034,0.2067319347823631,61,37,0.05279472328244661,-0.14652312667578835,0.4756974827241569,1000,1000,163,13.416666666666666,valuation_only,valuation_only
600036,161,-0.15982579778085462,-0.4920506810222656,0.13591948499085837,15,16,0.05571534932943745,-0.019821803046691934,0.421294576401009,998,1000,163,13.416666666666666,price_activity,main_on_common
600036,161,-0.136039280841985,-0.4504550905696284,0.16534162410096687,11,25,0.01478490679330502,-0.277702285735112,0.3399891057484028,996,1000,163,13.416666666666666,price_activity,price_activity
600036,161,-0.15982579778085462,-0.4920506810222656,0.13591948499085837,15,16,0.05571534932943745,-0.019821803046691934,0.421294576401009,998,1000,163,13.416666666666666,rank_48,main_on_common
600036,161,-0.2042373863125774,-0.5323458159570282,0.09820766549088539,12,18,0.034440751810490555,-0.08337184290694521,0.9481913883480422,996,1000,163,13.416666666666666,rank_48,rank_48
600036,161,-0.15982579778085462,-0.4920506810222656,0.13591948499085837,15,16,0.05571534932943745,-0.019821803046691934,0.421294576401009,998,1000,163,13.416666666666666,rank_72,main_on_common
600036,161,-0.18145023889760759,-0.5213931086431703,0.11736713486948291,17,14,0.013166154291543664,-0.03868372097517614,0.421294576401009,998,1000,163,13.416666666666666,rank_72,rank_72
601318,160,-0.20624970706959356,-0.4542600097995757,0.060054770617059106,20,14,0.27114856548169364,-0.14766419762545785,0.36481908799617185,998,1000,160,13.333333333333334,main,main
601318,160,-0.20624970706959356,-0.4542600097995757,0.060054770617059106,20,14,0.27114856548169364,-0.14766419762545785,0.36481908799617185,998,1000,160,13.333333333333334,valuation_only,main_on_common
601318,160,-0.27601434524254603,-0.5727548929296763,0.010079073619706499,81,8,0.22582111952195982,0.036500318025643186,0.6388349492509656,987,1000,160,13.333333333333334,valuation_only,valuation_only
601318,160,-0.20624970706959356,-0.4542600097995757,0.060054770617059106,20,14,0.27114856548169364,-0.14766419762545785,0.36481908799617185,998,1000,160,13.333333333333334,price_activity,main_on_common
601318,160,-0.1431391435707273,-0.41624468631839573,0.14379499586309546,11,23,0.09772145616198524,-0.2825857260581103,0.38324304365668893,996,1000,160,13.333333333333334,price_activity,price_activity
601318,160,-0.20624970706959356,-0.4542600097995757,0.060054770617059106,20,14,0.27114856548169364,-0.14766419762545785,0.36481908799617185,998,1000,160,13.333333333333334,rank_48,main_on_common
601318,160,-0.18345304247079153,-0.46506447252524014,0.09820029775462825,20,15,0.2788189051910801,-0.10148627962308186,0.3927346277452916,998,1000,160,13.333333333333334,rank_48,rank_48
601318,160,-0.20624970706959356,-0.4542600097995757,0.060054770617059106,20,14,0.27114856548169364,-0.14766419762545785,0.36481908799617185,998,1000,160,13.333333333333334,rank_72,main_on_common
601318,160,-0.18963840172833316,-0.42827899613137804,0.06996132556028872,21,12,0.2936134378020652,-0.015730384456263707,0.39398213469580656,995,1000,160,13.333333333333334,rank_72,rank_72
