security_code,security_name,report_date,notice_date,parent_netprofit,total_operate_income,basic_eps,deduct_basic_eps,bps,weightavg_roe,gross_margin,op_cashflow_ps,netprofit_yoy,revenue_yoy,netprofit_qoq,revenue_qoq,source,retrieved_at_utc
600036,招商银行,2002-12-31,2004-02-18,1734270000,9569321000,,0,2.81,13.07,,5.96,26.1002973875,10.6441309703,-5.268,-38.5996,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:33+00:00
600519,贵州茅台,2002-12-31,2004-03-26,376183499.47,1838129976.34,1.37,0,10.37,13.86,81.4400369908,1.58,14.5885256433,13.6017904445,-4.828,15.3785,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:33+00:00
000651,格力电器,2003-03-31,2004-04-28,70346179.28,1617768411.69,,0,3.55,,23.0405855743,0.198322205889,19.4716333352,60.3646279686,174.8117,0.1325,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:41+00:00
600036,招商银行,2003-03-31,2004-04-28,555865000,2817192000,,0,2.91,,,-1.850377030508,64.9774139743,35.4422486593,39.391,111.1446,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:41+00:00
600519,贵州茅台,2003-03-31,2004-04-29,217609019.5,735224645.92,,0,11.17,,81.4575697821,0.033135224255,5.4060794096,2.3968567204,222.1549,55.8111,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:41+00:00
000651,格力电器,2003-06-30,2004-08-06,186349970.32,4807832909.57,0.347,0,3.77,9.66,20.5360721038,3.378460887473,10.2866931269,38.4588926704,64.9042,97.1892,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:48+00:00
600036,招商银行,2003-06-30,2004-08-06,1108029000,6011989000,,0,3,6.68,,-0.99,31.5096149053,35.9965589098,-0.6658,13.4036,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:48+00:00
600519,贵州茅台,2003-06-30,2004-07-28,252520818.55,1009047565.48,,0,11.29,,80.4827011602,-0.1235124992,5.9782944216,5.5870996177,-83.9566,-62.5068,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:48+00:00
000651,格力电器,2003-09-30,2004-10-25,298912727.33,7543554868.83,,0,3.97,,18.2823258497,2.726361585745,10.213903176,39.3325905882,-2.9663,-14.2424,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:55+00:00
600036,招商银行,2003-09-30,2004-10-28,1687367000,9398401000,,0,3.1,,,-1.900997358418,26.3482514644,40.996353724,4.9214,5.9977,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:55+00:00
600519,贵州茅台,2003-09-30,2004-10-20,354499724.25,1552744360.1,,0,10.6,,80.5033387685,1.597740576509,14.6318741628,13.847059411,192.1044,97.5942,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:55+00:00
000651,格力电器,2003-12-31,2005-02-24,342820566.96,10042382751.13,0.63,0,4.05,16.86,17.5688653153,0.26,15.3436974003,42.85667677,-65.9191,-8.6593,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:03+00:00
600036,招商银行,2003-12-31,2005-03-31,2229910000,13586052000,,0,3.2,12.79,,4.81,28.5791716399,41.9750889326,-6.3512,-51.3451,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:03+00:00
600519,贵州茅台,2003-12-31,2004-03-26,586747838.27,2401017934.93,1.94,0,11.37,18.65,80.1172609786,3.11,55.9738369962,30.6228594188,127.7413,56.219,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:03+00:00
601318,中国平安,2003-12-31,2007-02-02,2106000000,70159000000,,0,3.02,15,,7.13,,,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:03+00:00
000651,格力电器,2004-03-31,2005-04-26,78049646.15,2146343535.26,,0,4.19,,17.0731875825,4.427683869073,10.9507964027,32.6731020182,103.4537,-14.106,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:12+00:00
600036,招商银行,2004-03-31,2005-04-27,810192000,4431201000,,0,3.25,,,-4.019770541028,45.7533753699,57.2914093182,49.3323,168.94,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:12+00:00
600519,贵州茅台,2004-03-31,2004-04-29,261503821.72,853431905.86,,0,12.24,,82.2781680399,-0.659575897709,20.1714075643,16.0777063984,12.5967,0.4797,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:12+00:00
000651,格力电器,2004-06-30,2005-08-24,219328101.8,6723781428.05,0.41,0,4.12,9.74,18.2780865851,1.774189818229,17.6968804574,39.8505637471,81.011,113.2668,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:20+00:00
600036,招商银行,2004-06-30,2005-08-19,1688933000,9487423000,,0,2.84,8.88,,-1.68,52.4267866635,57.8083892036,8.4608,14.105,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:20+00:00
600519,贵州茅台,2004-06-30,2005-08-17,349084192.5,1314109209.06,1.15,0,9.63,9.66,82.5021070445,-0.138125578655,38.2397675188,30.2326326346,-66.509,-46.0206,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:20+00:00
000651,格力电器,2004-09-30,2005-10-28,352762337.36,10057294109.56,,0,4.37,,18.5121772643,1.802265132398,18.0151613185,33.3230059891,-5.5523,-27.1751,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:27+00:00
600036,招商银行,2004-09-30,2005-10-28,2533683000,14385946000,,0,2.96,,,-0.036424121505,50.1560122961,53.0680165701,-3.8681,-3.1189,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:27+00:00
600519,贵州茅台,2004-09-30,2005-10-25,515569148.98,2070438172.65,,0,9.83,,82.2291512748,0.947680019072,45.4356981718,33.3405695009,90.0939,64.1776,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:27+00:00
000651,格力电器,2004-12-31,2006-04-11,420784332.48,13832615003.23,0.78,0,4.55,18.34,16.5071150219,0.25,22.7418577046,37.7423600158,-49.0221,13.2535,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:34+00:00
600036,招商银行,2004-12-31,2006-04-12,3144087000,16934865000,0.31,0,3.05,16.1,,0.96,40.9961388576,24.6489046266,-27.7415,-79.7316,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:34+00:00
600519,贵州茅台,2004-12-31,2006-04-05,820553997.19,3009793519.92,2.09,0,10.6,21.32,82.2228254062,2.48,39.8478091729,25.3548953606,83.1906,24.1993,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:34+00:00
601318,中国平安,2004-12-31,2007-02-02,2608000000,67699000000,,0,4.87,11.6,,5.55,23.83665717,-3.5063213558,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:34+00:00
000651,格力电器,2005-03-31,2006-04-26,94782989.32,2949839548.05,,0,4.34,,16.4231725651,5.848439322122,21.4393581463,37.4355735506,39.3417,-21.8652,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:45+00:00
600036,招商银行,2005-03-31,2005-04-27,1054821000,5308178000,,0,3.2,,,-2.131552983826,30.1939540257,19.7909550932,72.807,434.6405,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:45+00:00
600519,贵州茅台,2005-03-31,2006-04-22,369139390.74,1144017320.62,,0,11.54,,82.804890805,0.616099308582,41.1602279126,34.0490451276,21.0353,21.7875,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:45+00:00
000651,格力电器,2005-06-30,2006-08-08,268287216.98,9256107590.36,0.5,0,4.66,10.72,18.2346282906,2.595574165195,22.3223174678,37.6622320254,83.0542,113.7834,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:53+00:00
600036,招商银行,2005-06-30,2006-08-09,2134818000,8970752000,0.19,0,2.17,9.78,,0.41,26.4003959897,-5.4458518399,2.3868,13.6018,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:53+00:00
600519,贵州茅台,2005-06-30,2006-08-23,480786925.85,1686144341.91,1.22,0,11.82,10.9,82.5561272075,1.110246691138,37.7280713878,28.3108230492,-69.7546,-52.612,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:52:53+00:00
000651,格力电器,2005-09-30,2006-10-31,420139981.35,12980619501.71,,0,4.94,,18.9052665425,1.521086508753,19.1000106458,29.0667187447,-12.4789,-40.9395,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:00+00:00
600036,招商银行,2005-09-30,2005-10-28,3219845000,17720085000,,0,2.29,,,1.610670742495,27.0816041312,23.1763625416,0.4657,5.8296,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:00+00:00
600519,贵州茅台,2005-09-30,2006-10-25,702485675.25,2580318873.25,,0,9.99,,82.5410520169,1.872685086438,36.2544047951,24.6267049814,98.5702,64.9382,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:00+00:00
000651,格力电器,2005-12-31,2007-04-12,507060090.21,18264506959.03,0.95,0,5.07,18.72,18.5805145022,1.44,20.5035575402,32.0394369016,-41.0766,41.4282,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:11+00:00
600036,招商银行,2005-12-31,2006-04-12,3786839000,19178546000,,0,2.38,17.51,,2.63,20.4432002041,13.2488862474,-34.5143,-61.2414,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:11+00:00
600519,贵州茅台,2005-12-31,2006-04-05,1118541629.37,3930515237.61,2.37,0,10.79,23.99,82.5186578567,3.59,36.3154202162,30.5908598579,87.6673,50.9992,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:11+00:00
601318,中国平安,2005-12-31,2007-04-12,3338428000,67383647000,,0,5.27,10.6,,5.13,28.007208589,-0.4658163341,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:11+00:00
000651,格力电器,2006-03-31,2007-04-25,124651644.75,4408568441.7,0.23,0,5.28,,19.3345511279,6.24843540837,31.5126750531,49.451126744,39.3117,-16.3064,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:25+00:00
600036,招商银行,2006-03-31,2006-04-27,1432000000,5050000000,0.12,,2.64,,,,35.7576309156,-4.8637781175,84.8149,106.9446,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:25+00:00
600519,贵州茅台,2006-03-31,2006-04-22,432449600.74,1353005869.77,0.92,0,11.74,,83.3748207516,0.476626563975,17.1507597369,18.2679532366,3.9403,0.2081,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:25+00:00
000651,格力电器,2006-06-30,2007-08-13,314814618.58,13167841440.29,0.5863,0,5.65,10.76,17.2139485369,5.29,17.3423848232,42.2611104262,52.5555,98.6875,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:33+00:00
600036,招商银行,2006-06-30,2007-08-10,2777000000,10910000000,0.23,0.23,2.67,0,,2.31,30.0813465129,21.6174519148,13.1516,13.5938,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:33+00:00
600519,贵州茅台,2006-06-30,2006-08-23,574069211.31,2013492528.06,0.61,0,5.3,11.27,83.3697649634,0.63,19.4020012701,19.414007331,-67.2518,-51.1838,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:33+00:00
601318,中国平安,2006-06-30,2007-08-17,3945000000,54627000000,0.64,0,,,,4.04,,,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:33+00:00
000651,格力电器,2006-09-30,2007-10-31,481869846.9,19503263545.09,0.598,0,3.73,,17.918841135,2.503717496716,14.6926901248,50.2490966823,-12.1515,-27.6718,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:42+00:00
600036,招商银行,2006-09-30,2007-10-23,4371000000,16959000000,0.3,,3.51,,,2.130562194994,35.7518762549,-4.2950414741,12.3401,5.3015,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:42+00:00
600519,贵州茅台,2006-09-30,2006-10-25,1009007285.32,3252383811.75,1.07,0,5.66,,83.5494947126,1.580132522621,43.6338591475,26.0458095109,207.1171,87.5725,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:42+00:00
601318,中国平安,2006-09-30,2007-10-26,4753000000,75463000000,0.77,0,5.55,10.9,,5.379338175948,,,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:42+00:00
000651,格力电器,2006-12-31,2008-04-18,691741808.09,26357915978.08,0.86,0.77,4.11,22.35,18.2637313863,2.15,36.4220575521,44.3122228112,25.6303,8.1957,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:50+00:00
600036,招商银行,2006-12-31,2008-03-19,6794000000,24771000000,0.53,0,3.75,18.49,,4.84,79.4108489957,29.1599477875,58.1086,31.1123,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:50+00:00
600519,贵州茅台,2006-12-31,2007-04-30,1544812417.93,4903375765.41,1.64,1.63,6.25,27.67,83.9592107448,2.23,38.1095148689,24.7514757987,23.1911,33.2637,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:50+00:00
601318,中国平安,2006-12-31,2008-03-20,7342000000,107919000000,1.19,1.18,5.92,17.3,,6.03,119.9238683596,60.1560687269,220.4208,55.7689,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:53:50+00:00
000651,格力电器,2007-03-31,2008-04-23,167892099.05,7046471561.04,0.2085,0,4.2,,18.8096685323,3.77,34.6890363033,59.8358209524,-21.8206,3.0466,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:02+00:00
600036,招商银行,2007-03-31,2008-04-23,2462000000,7806000000,0.17,0,3.9,0,,2,71.9273743017,54.5742574257,-6.7148,-2.7621,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:02+00:00
600519,贵州茅台,2007-03-31,2007-04-28,536077463.36,1587538095.68,0.57,0,6.17,,85.0268176382,0.4,23.9629918591,17.3341617468,0.0508,-3.8434,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:02+00:00
601318,中国平安,2007-03-31,2008-04-30,3850000000,40337000000,0.59,0,11.97,,,2.54,,,48.7061,24.2821,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:02+00:00
000651,格力电器,2007-06-30,2008-08-28,490653147.93,20060947279.43,0.6092,0.59,4.63,13.96,18.2760919598,3.23,55.854626492,52.3480319109,95.9041,83.8763,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:12+00:00
600036,招商银行,2007-06-30,2008-08-19,6120000000,17488000000,0.42,0,4.03,0,,5.3,120.3817068779,60.2933088909,48.5784,24.0328,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:12+00:00
600519,贵州茅台,2007-06-30,2007-08-18,849723688.96,2629088876.42,0.9,0.899,6.5,14.88,85.1957548563,0.73,48.0176383299,30.5735601092,-41.4924,-34.3921,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:12+00:00
601318,中国平安,2007-06-30,2008-08-16,8063000000,84051000000,1.16,0,12.72,0,,2.87,104.3852978454,53.8634741062,9.4286,8.372,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:12+00:00
000651,格力电器,2007-09-30,2008-10-31,776907871.31,29358765175.99,0.9646,0.919,4.98,,18.5567074464,4.99,61.2277415381,50.5325768075,-13.8718,-28.3404,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:22+00:00
600036,招商银行,2007-09-30,2008-10-30,9970000000,28173000000,0.68,0.3,4.28,,,7.73,128.094257607,66.1241818503,5.2488,10.3594,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:22+00:00
600519,贵州茅台,2007-09-30,2007-10-23,1590494595.65,4458382249.26,1.69,1.68,7.28,,85.1372887782,1.64,57.6296443832,37.0804464453,136.1804,75.6317,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:22+00:00
601318,中国平安,2007-09-30,2008-10-28,11679000000,129102000000,1.65,1.6,14.06,,,2.79,145.718493583,71.0798669547,-14.1704,3.0585,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:22+00:00
000651,格力电器,2007-12-31,2009-04-21,1269757864.51,38041313122.26,1.05,0.92,6.74,31.92,18.1327125316,3.34,83.5595087155,44.3259518465,83.2812,-6.7115,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:32+00:00
600036,招商银行,2007-12-31,2009-04-25,15243000000,40958000000,1.04,0.79,4.62,24.76,,8.02,124.3597291728,65.3465746236,36.961,19.6537,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:32+00:00
600519,贵州茅台,2007-12-31,2008-03-13,2830831594.36,7237430747.12,3,3,8.72,39.3,87.9564503097,1.85,83.2475944331,47.6009813112,67.4387,51.9192,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:32+00:00
601318,中国平安,2007-12-31,2009-04-09,15086000000,165263000000,2.11,2.08,14.6,16.9,,4.45,105.4753473168,53.1361484076,-5.7799,-19.8642,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:32+00:00
000651,格力电器,2008-03-31,2009-04-30,443144121.35,10792400149.08,0.3538,0,7.25,,18.2472487788,4.41,163.9457865245,53.1603449413,-14.0535,24.2999,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:45+00:00
600036,招商银行,2008-03-31,2009-04-30,6319000000,13712000000,0.43,0.43,5.08,8.45,,1.8,156.6612510154,75.6597489111,19.8369,7.2507,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:45+00:00
600519,贵州茅台,2008-03-31,2009-04-21,873354083.28,1993496395.46,0.93,0,9.65,,89.9267080423,1.05,62.9156498775,25.5715627162,-29.5874,-28.2669,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:45+00:00
601318,中国平安,2008-03-31,2009-04-28,4860000000,38412000000,0.66,0.66,12.81,,,0.53,26.2337662338,-4.7722934279,42.6475,6.3985,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:45+00:00
000651,格力电器,2008-06-30,2009-08-27,953425739.65,25018477347.58,0.51,1.18,7.66,16.38,18.2582785248,1.15,94.3176648662,24.7123428375,30.2711,31.8157,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:54+00:00
600036,招商银行,2008-06-30,2009-08-29,13245000000,28750000000,0.9,0.9,5.27,18.21,,-2.76,116.4215686275,64.3984446478,9.606,9.6704,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:54+00:00
600519,贵州茅台,2008-06-30,2009-08-07,2239561076,4619717309.6,2.37,2.38,10.26,23.94,90.4311305094,1.58,163.5634506955,75.7155245315,56.4322,31.7394,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:54+00:00
601318,中国平安,2008-06-30,2009-08-15,7102000000,71485000000,0.97,0.97,11.02,7.5,,2.9,-11.9186407045,-14.9504467526,-53.8683,-13.8993,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:54:54+00:00
000651,格力电器,2008-09-30,2009-10-31,1403031421.07,35112433571,0.75,1.1442,5.43,,18.8938162328,0.2,80.5917371778,19.5977874428,-21.9029,-29.0461,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:55:06+00:00
600036,招商银行,2008-09-30,2009-10-31,18999000000,42524000000,0.99,1.29,5.68,,,4.5,90.5616850552,50.9388421538,-16.9217,-8.4054,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:55:06+00:00
600519,贵州茅台,2008-09-30,2009-10-24,3144758854.4,6486517281.01,3.33,3.34,11.22,,90.519718553,3.25,97.7220710464,45.4903801056,-33.7437,-28.9169,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:55:06+00:00
601318,中国平安,2008-09-30,2009-10-28,-705000000,104216000000,-0.1,-0.08,10.17,0,,5.29,-106.0364757257,-19.276231197,-448.2159,-1.0341,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:55:06+00:00
000651,格力电器,2008-12-31,2009-04-21,1966518865.23,42199715679.53,1.05,0.68,5.86,30.36,19.744767117,0.29,54.8735329935,10.9312802739,47.6005,-29.7869,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:55:16+00:00
300308,中际旭创,2008-12-31,2012-01-05,30477616.88,88594561.71,0.68,0.66,7.16,51.3,48.4759060275,2.2,,,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:55:16+00:00
600036,招商银行,2008-12-31,2010-04-14,21077000000,55308000000,1.1,1.09,5.41,27.41,,3.58,38.2733057797,35.0358904243,-63.886,-7.1875,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:55:16+00:00
600519,贵州茅台,2008-12-31,2010-04-02,3799480558.51,8241685564.11,4.03,4.03,11.91,39.01,90.2967261609,5.56,34.2178236982,13.8758469971,-27.6709,-5.9798,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:55:16+00:00
601318,中国平安,2008-12-31,2010-04-17,1418000000,108516000000,0.19,0.21,8.79,1.8,,8.02,-90.6005568076,-34.3373894943,117.5099,8.7257,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:55:16+00:00
000651,格力电器,2009-03-31,2010-04-29,554236277.18,9069073435.93,0.295,0,6.305574657093,7.02,24.1167976636,6.63,25.069080346,-15.9679653214,-15.3665,27.9626,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:55:31+00:00
