security_code,first_sig_year,trigger_year,last_sig_year,why,peak_revenue_yi
002050,2007,2010,2025,T1 滚动三年ROE中位22.7%(首签年13.8%),310.1
600100,2002,2010,2025,T2 营收3.4倍·毛利率15.6%≥首签15.5%,284.5
000422,2006,2010,2025,T2 营收3.8倍·毛利率22.8%≥首签19.8%,256.5
600079,2004,2010,2025,T2 营收3.7倍·毛利率46.5%≥首签42.5%,254.4
600266,2008,2010,2023,T1 滚动三年ROE中位21.6%(首签年9.3%),241.8
000596,2002,2010,2025,T2 营收3.6倍·毛利率71.2%≥首签51.5%,235.8
002001,2004,2010,2025,T2 营收3.0倍·毛利率51.8%≥首签20.4%,222.5
600823,2004,2010,2021,T2 营收4.0倍·毛利率53.2%≥首签41.2%,217.1
600742,2002,2010,2025,T1 滚动三年ROE中位23.9%(首签年13.8%),207.7
002204,2009,2010,2025,T2 营收9.6倍·毛利率20.7%≥首签18.7%,155.2
600720,2009,2010,2025,T1 滚动三年ROE中位21.1%(首签年18.0%),135.1
002065,2008,2010,2025,T1 滚动三年ROE中位20.3%(首签年18.5%),133.2
000417,2009,2010,2019,T1 滚动三年ROE中位20.2%(首签年14.3%),109.1
002096,2009,2010,2025,T1 滚动三年ROE中位21.7%(首签年14.7%),98.3
600327,2003,2010,2022,T1 滚动三年ROE中位22.4%(首签年11.8%),91.7
600785,2009,2010,2016,T1 滚动三年ROE中位22.3%(首签年16.1%),74.0
600572,2004,2010,2025,T2 营收3.1倍·毛利率63.2%≥首签46.6%,70.2
600983,2006,2010,2016,T1 滚动三年ROE中位28.8%(首签年8.4%),67.7
000578,2008,2010,2012,T1 滚动三年ROE中位20.1%(首签年--),59.0
000979,2009,2010,2016,T2 营收3.0倍·毛利率57.7%≥首签47.9%,44.5
600252,2009,2010,2023,T1 滚动三年ROE中位24.7%(首签年10.9%),40.0
600658,2009,2010,2021,T1 滚动三年ROE中位23.9%(首签年13.6%),37.7
000679,2009,2010,2014,T1 滚动三年ROE中位22.2%(首签年19.8%),36.3
600963,2004,2010,2005,T2 营收5.3倍·毛利率21.0%≥首签20.3%,18.6
000602,2008,2010,2008,T2 营收3.1倍·毛利率22.6%≥首签10.4%,18.2
600238,2002,2010,2013,T1 滚动三年ROE中位24.0%(首签年10.3%),9.1
600104,2002,2011,2025,T1 滚动三年ROE中位21.4%(首签年12.4%),9021.9
000876,2005,2011,2024,T1 滚动三年ROE中位20.6%(首签年10.1%),1417.0
000703,2010,2011,2025,T1 滚动三年ROE中位43.9%(首签年-7.5%),1361.5
600115,2002,2011,2019,T1 滚动三年ROE中位35.3%(首签年2.0%),1208.6
600612,2009,2011,2025,T1 滚动三年ROE中位22.4%(首签年10.0%),714.4
600406,2007,2011,2025,T1 滚动三年ROE中位29.1%(首签年15.0%)｜T2 营收4.3倍·毛利率31.4%≥首签28.8%,662.3
600111,2010,2011,2025,T1 滚动三年ROE中位36.7%(首签年10.6%),425.6
000415,2010,2011,2024,T2 营收3.6倍·毛利率57.6%≥首签51.3%,412.9
600600,2002,2011,2025,T2 营收3.3倍·毛利率42.1%≥首签41.5%,339.4
600160,2007,2011,2025,T1 滚动三年ROE中位25.9%(首签年11.4%),269.9
000620,2010,2011,2019,T1 滚动三年ROE中位28.1%(首签年17.9%),140.0
000581,2010,2011,2025,T1 滚动三年ROE中位26.3%(首签年16.7%),136.8
000918,2006,2011,2013,T1 滚动三年ROE中位32.1%(首签年-67.5%),112.5
000917,2002,2011,2018,T2 营收4.2倍·毛利率43.2%≥首签41.6%,105.1
002140,2008,2011,2025,T1 滚动三年ROE中位25.2%(首签年19.2%),100.2
002035,2006,2011,2025,T1 滚动三年ROE中位28.1%(首签年10.4%),63.7
600784,2010,2011,2025,T1 滚动三年ROE中位22.3%(首签年10.0%),58.2
300022,2009,2011,2012,T2 营收3.2倍·毛利率13.8%≥首签13.6%,57.9
000970,2006,2011,2016,T2 营收3.2倍·毛利率29.5%≥首签25.7%,57.0
600636,2003,2011,2020,T2 营收4.2倍·毛利率35.8%≥首签20.5%,46.1
600195,2008,2011,2018,T1 滚动三年ROE中位22.2%(首签年13.7%),44.3
000522,2010,2011,2014,T1 滚动三年ROE中位20.3%(首签年12.6%),43.1
600594,2004,2011,2023,T2 营收3.0倍·毛利率82.8%≥首签69.9%,38.1
000603,2010,2011,2025,T1 滚动三年ROE中位79.1%(首签年-4.5%),29.0
600199,2010,2011,2018,T1 滚动三年ROE中位21.5%(首签年11.6%),22.9
000861,2007,2011,2020,T1 滚动三年ROE中位32.3%(首签年9.5%),21.4
002378,2010,2011,2012,T1 滚动三年ROE中位20.1%(首签年18.4%),19.4
000809,2010,2011,2013,T1 滚动三年ROE中位36.4%(首签年2.5%),16.9
002041,2009,2011,2017,T1 滚动三年ROE中位22.6%(首签年1.1%),16.0
002475,2010,2012,2025,T2 营收3.1倍·毛利率21.2%≥首签18.8%,3323.4
000066,2006,2012,2022,T2 营收23.7倍·毛利率8.2%≥首签7.3%,840.1
600060,2005,2012,2025,T1 滚动三年ROE中位20.1%(首签年2.5%),585.3
002155,2011,2012,2025,T1 滚动三年ROE中位20.0%(首签年11.4%),501.8
600350,2002,2012,2025,T2 营收3.7倍·毛利率63.8%≥首签60.6%,284.9
000537,2009,2012,2025,T1 滚动三年ROE中位27.2%(首签年9.9%),270.6
600858,2007,2012,2025,T2 营收4.4倍·毛利率18.9%≥首签18.2%,145.9
000661,2006,2012,2025,T2 营收3.0倍·毛利率81.9%≥首签54.5%,145.7
000552,2011,2012,2024,T1 滚动三年ROE中位23.0%(首签年13.2%),122.6
000826,2008,2012,2019,T1 滚动三年ROE中位21.1%(首签年16.1%),109.9
600315,2002,2012,2025,T1 滚动三年ROE中位22.0%(首签年--),76.5
002262,2009,2012,2025,T1 滚动三年ROE中位20.9%(首签年17.8%),59.1
600684,2010,2012,2018,T1 滚动三年ROE中位22.4%(首签年8.2%),42.4
000799,2010,2012,2024,T1 滚动三年ROE中位20.9%(首签年9.0%),40.5
002305,2009,2012,2015,T2 营收3.8倍·毛利率46.0%≥首签43.7%,30.5
002344,2010,2012,2021,T1 滚动三年ROE中位24.6%(首签年19.8%),29.3
000915,2006,2012,2025,T1 滚动三年ROE中位20.2%(首签年2.3%),24.8
601390,2007,2013,2025,T2 营收3.0倍·毛利率10.2%≥首签10.2%,12634.7
600170,2003,2013,2025,T2 营收9.4倍·毛利率7.7%≥首签7.6%,3046.3
000725,2003,2013,2025,T2 营收3.0倍·毛利率23.9%≥首签15.5%,2210.4
600803,2012,2013,2025,T1 滚动三年ROE中位21.3%(首签年16.3%),1541.7
600438,2004,2013,2023,T2 营收5.8倍·毛利率9.8%≥首签9.6%,1424.2
600027,2005,2013,2025,T2 营收5.0倍·毛利率23.4%≥首签23.2%,1415.0
002311,2009,2013,2025,T2 营收3.4倍·毛利率8.5%≥首签8.3%,1284.7
600335,2010,2013,2025,T1 滚动三年ROE中位22.8%(首签年4.3%),903.4
000961,2009,2013,2020,T2 营收3.2倍·毛利率29.4%≥首签25.4%,786.0
600973,2004,2013,2023,T2 营收11.8倍·毛利率25.9%≥首签20.2%,438.0
600801,2007,2013,2025,T2 营收3.4倍·毛利率27.9%≥首签23.8%,353.5
600597,2002,2013,2024,T2 营收3.2倍·毛利率34.7%≥首签33.5%,292.1
002048,2006,2013,2025,T2 营收4.6倍·毛利率20.6%≥首签20.2%,263.2
000786,2009,2013,2025,T1 滚动三年ROE中位20.7%(首签年13.0%),258.2
000540,2008,2013,2020,T2 营收8.3倍·毛利率41.9%≥首签41.1%,234.4
002217,2011,2013,2021,T1 滚动三年ROE中位38.8%(首签年11.2%),186.3
600697,2008,2013,2021,T2 营收3.0倍·毛利率16.7%≥首签16.5%,167.3
002353,2010,2013,2025,T2 营收3.9倍·毛利率43.7%≥首签41.6%,162.2
002310,2010,2013,2019,T2 营收3.4倍·毛利率38.4%≥首签33.6%,152.3
600754,2002,2013,2025,T2 营收3.2倍·毛利率88.8%≥首签60.3%,151.0
000789,2011,2013,2024,T1 滚动三年ROE中位23.1%(首签年13.4%),142.0
600894,2004,2013,2019,T1 滚动三年ROE中位24.0%(首签年12.7%),101.0
300026,2011,2013,2025,T1 滚动三年ROE中位20.6%(首签年12.1%)｜T2 营收3.7倍·毛利率84.8%≥首签68.8%,76.7
002116,2007,2013,2025,T1 滚动三年ROE中位21.0%(首签年18.4%),69.6
002264,2008,2013,2025,T2 营收3.2倍·毛利率19.7%≥首签19.0%,66.6
002019,2007,2013,2025,T1 滚动三年ROE中位34.1%(首签年6.5%),54.0
600240,2007,2013,2017,T2 营收4.0倍·毛利率46.3%≥首签45.8%,52.0
600182,2010,2013,2025,T1 滚动三年ROE中位26.4%(首签年9.6%),48.4
002250,2008,2013,2017,T2 营收3.1倍·毛利率32.9%≥首签25.5%,41.1
600479,2006,2013,2025,T2 营收3.3倍·毛利率49.0%≥首签48.7%,40.3
300027,2009,2013,2017,T2 营收3.3倍·毛利率50.0%≥首签46.3%,39.5
300005,2011,2013,2025,T1 滚动三年ROE中位24.1%(首签年19.5%),38.1
600978,2006,2013,2007,T2 营收3.5倍·毛利率31.6%≥首签27.5%,20.0
000428,2006,2013,2019,T2 营收3.4倍·毛利率63.7%≥首签60.3%,17.8
601668,2009,2014,2025,T2 营收3.1倍·毛利率12.6%≥首签12.2%,22655.3
601766,2009,2014,2025,T2 营收4.8倍·毛利率20.2%≥首签16.4%,2730.6
600340,2010,2014,2022,T2 营收6.1倍·毛利率35.8%≥首签34.5%,1052.1
600010,2002,2014,2025,T2 营收5.1倍·毛利率14.2%≥首签12.3%,861.8
002092,2006,2014,2022,T2 营收6.7倍·毛利率27.3%≥首签22.7%,833.2
600361,2003,2014,2025,T2 营收3.0倍·毛利率22.0%≥首签11.7%,809.4
601888,2009,2014,2025,T2 营收3.3倍·毛利率23.9%≥首签22.6%,676.8
002010,2007,2014,2025,T2 营收3.8倍·毛利率21.7%≥首签20.4%,370.0
002271,2010,2014,2025,T1 滚动三年ROE中位25.6%(首签年18.7%),328.2
600507,2004,2014,2025,T2 营收9.5倍·毛利率15.7%≥首签13.7%,314.6
002081,2006,2014,2025,T2 营收11.7倍·毛利率18.4%≥首签18.2%,312.4
000062,2011,2014,2025,T1 滚动三年ROE中位22.6%(首签年11.2%),249.1
000600,2007,2014,2025,T1 滚动三年ROE中位22.9%(首签年11.6%),235.2
000065,2013,2014,2025,T1 滚动三年ROE中位21.5%(首签年20.0%),214.9
600299,2006,2014,2025,T2 营收3.7倍·毛利率21.5%≥首签13.5%,194.6
002309,2009,2014,2019,T2 营收5.5倍·毛利率23.0%≥首签20.5%,194.1
000767,2006,2014,2025,T2 营收3.5倍·毛利率19.0%≥首签15.8%,166.7
002085,2006,2014,2025,T2 营收5.4倍·毛利率20.6%≥首签12.6%,163.8
002027,2004,2014,2025,T2 营收4.1倍·毛利率70.2%≥首签7.3%,148.4
600477,2003,2014,2023,T2 营收3.1倍·毛利率16.7%≥首签15.9%,108.2
000690,2006,2014,2023,T1 滚动三年ROE中位21.7%(首签年17.1%),102.7
600280,2013,2014,2021,T1 滚动三年ROE中位27.5%(首签年8.1%),84.5
600525,2009,2014,2020,T2 营收3.5倍·毛利率43.3%≥首签41.8%,71.4
002410,2011,2014,2025,T1 滚动三年ROE中位21.3%(首签年15.6%),65.9
300017,2013,2014,2019,T1 滚动三年ROE中位24.0%(首签年12.7%),63.4
002437,2010,2014,2025,T2 营收3.3倍·毛利率63.0%≥首签53.2%,54.8
600559,2008,2014,2025,T2 营收3.5倍·毛利率58.2%≥首签40.5%,53.6
002450,2011,2014,2014,T2 营收3.4倍·毛利率39.1%≥首签19.4%,52.1
600557,2005,2014,2025,T2 营收3.2倍·毛利率74.8%≥首签56.2%,48.6
002294,2009,2014,2025,T2 营收3.4倍·毛利率73.5%≥首签55.7%,46.5
002471,2010,2014,2013,T2 营收3.9倍·毛利率15.9%≥首签15.9%,44.5
002127,2011,2014,2021,T1 滚动三年ROE中位24.4%(首签年11.0%),41.7
000989,2006,2014,2025,T1 滚动三年ROE中位33.1%(首签年3.8%),38.0
