security_code,security_name_current,year,signals,evidence,is_delisted,resolution,original_source,detected_at_utc,in_judgment_queue
000050,深天马A,2020,B,FY 加权ROE -1.12 与归母净利 14.75亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000055,方大集团,2001,B,FY 加权ROE -14.24 与归母净利 0.36亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000056,*ST皇庭,2004,A,年报营收0.87亿<三季报累计1.03亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000062,深圳华强,2009,B,H1 加权ROE -2.95 与归母净利 0.06亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000066,中国长城,2014,B,FY 加权ROE 2.18 与归母净利 -0.13亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000066,中国长城,2015,B,FY 加权ROE 3.43 与归母净利 -0.36亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000155,川能动力,2016,B,FY 加权ROE -185.46 与归母净利 9.00亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000156,华数传媒,2003,A,年报营收1.69亿<三季报累计2.16亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000159,国际实业,2024,B,FY 加权ROE 2.43 与归母净利 -4.39亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000338,潍柴动力,2006,A,年报营收70.90亿<三季报累计128.93亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000403,派林生物,2008,B,FY 加权ROE -202.53 与归母净利 2.02亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000404,长虹华意,2002,A,年报营收4.31亿<三季报累计4.99亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000405,ST鑫光,2003,A,年报营收0.05亿<三季报累计0.10亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000408,藏格矿业,2014,B,FY 加权ROE 57.84 与归母净利 -0.55亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000408,藏格矿业,2015,B,Q3 加权ROE -4.92 与归母净利 5.17亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000409,云鼎科技,2009,B,Q1 加权ROE 3.86 与归母净利 -0.02亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000409,云鼎科技,2010,B,Q3 加权ROE 8.79 与归母净利 -0.03亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000410,沈阳机床,2001,B,FY 加权ROE 1.898 与归母净利 -0.53亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000412,ST五环,2002,A,年报营收0.00亿<三季报累计0.05亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000415,渤海租赁,2010,B,Q3 加权ROE -4.44 与归母净利 1.91亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000415,渤海租赁,2011,B,Q1 加权ROE -3.17 与归母净利 0.56亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000418,小天鹅A,2001,B,FY 加权ROE 1.35 与归母净利 -0.58亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000420,吉林化纤,2010,B,FY 加权ROE 9.28 与归母净利 -0.79亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000422,湖北宜化,2019,B,H1 加权ROE -2.94 与归母净利 0.50亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000430,张家界,2001,A,年报营收0.49亿<三季报累计0.58亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000498,山东路桥,2012,B,Q3 加权ROE -148.56 与归母净利 1.82亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000503,国新健康,2006,B,FY 加权ROE 1.8954 与归母净利 -0.04亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000504,南华生物,2013,B,FY 加权ROE -86.0 与归母净利 0.14亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000504,南华生物,2016,B,FY 加权ROE -386.68 与归母净利 0.22亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000504,南华生物,2019,B,FY 加权ROE -1890.55 与归母净利 0.19亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000507,珠海港,2006,A,年报营收2.11亿<三季报累计4.16亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000509,华塑控股,2013,B,FY 加权ROE -22.55 与归母净利 0.21亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000511,烯碳退,2019,A,年报营收1.02亿<三季报累计1.34亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000511,烯碳退,2022,A,年报营收0.12亿<三季报累计0.19亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000515,攀渝钛业,2000,B,FY 加权ROE -2.77 与归母净利 0.04亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000517,荣安地产,2003,B,FY 加权ROE 2.27 与归母净利 -0.77亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000519,中兵红箭,2011,B,FY 加权ROE 21.87 与归母净利 -0.11亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000523,红棉股份,2018,A,年报营收70.15亿<三季报累计88.11亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000523,红棉股份,2019,A,年报营收57.46亿<三季报累计102.35亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000523,红棉股份,2020,A,年报营收33.15亿<三季报累计53.42亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000526,学大教育,2002,A,年报营收0.09亿<三季报累计0.21亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000529,广弘控股,2004,A,年报营收3.32亿<三季报累计3.60亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000537,绿发电力,2002,A,年报营收2.22亿<三季报累计2.52亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000540,*ST中天,2021,A,年报营收196.50亿<三季报累计223.23亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000540,*ST中天,2022,A,年报营收84.46亿<三季报累计106.70亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000542,TCL通讯,2000,B,FY 加权ROE 6.08 与归母净利 -0.84亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000545,金浦钛业,2012,B,FY 加权ROE -7.08 与归母净利 0.86亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000551,创元科技,1998,B,FY 加权ROE 2.78 与归母净利 -0.18亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000552,甘肃能化,2003,A,年报营收0.35亿<三季报累计0.41亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000553,安道麦A,2002,A,年报营收6.12亿<三季报累计6.82亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000555,神州信息,2002,A,年报营收0.12亿<三季报累计0.38亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000555,神州信息,2003,A,年报营收0.04亿<三季报累计0.04亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000555,神州信息,2005,A,年报营收0.06亿<三季报累计0.09亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000555,神州信息,2008,A,年报营收0.21亿<三季报累计0.26亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000558,天府文旅,2002,A,年报营收0.03亿<三季报累计0.03亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000558,天府文旅,2007,B,H1 加权ROE -1.69 与归母净利 0.54亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000562,宏源证券,2004,A,年报营收1.63亿<三季报累计2.05亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000563,陕国投A,2009,A,年报营收2.38亿<三季报累计3.17亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000564,供销大集,2015,B,Q3 加权ROE 2.24 与归母净利 -3.93亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000566,海南海药,2003,B,FY 加权ROE -22.55 与归母净利 0.22亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000571,新大洲A,2003,A,年报营收1.11亿<三季报累计1.25亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000576,甘化科工,2009,B,FY 加权ROE -21.43 与归母净利 0.13亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000584,工智退,2006,B,FY 加权ROE 1.89 与归母净利 -0.12亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000585,东电退,2020,B,Q3 加权ROE -53.94 与归母净利 1.64亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000586,汇源通信,1998,B,FY 加权ROE 3.013 与归母净利 -0.06亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000587,*ST金洲,2020,A,年报营收3.78亿<三季报累计10.82亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000588,PT粤金曼,2014,B,FY 加权ROE -194.77 与归母净利 42.60亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000588,PT粤金曼,2015,A,年报营收0.30亿<三季报累计2.73亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000591,太阳能,2014,A,年报营收35.52亿<三季报累计36.51亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000595,新能股份,2008,B,H1 加权ROE 9.04 与归母净利 -0.10亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000595,新能股份,2018,B,Q3 加权ROE 1.16 与归母净利 -0.07亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000598,兴蓉环境,2008,B,FY 加权ROE 1.98 与归母净利 -0.10亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000602,金马集团,2010,B,Q3 加权ROE -56.74 与归母净利 3.48亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000602,金马集团,2011,B,Q1 加权ROE -4.08 与归母净利 0.93亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000603,盛达资源,2005,A,年报营收0.01亿<三季报累计0.37亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000603,盛达资源,2006,A,年报营收0.15亿<三季报累计0.53亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000603,盛达资源,2011,B,Q1 加权ROE -3.43 与归母净利 0.37亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000605,渤海股份,2008,B,H1 加权ROE 17.37 与归母净利 -0.21亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000605,渤海股份,2013,B,Q3 加权ROE -3.85 与归母净利 0.42亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000606,顺利退,2011,B,Q3 加权ROE 4.28 与归母净利 -0.07亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000606,顺利退,2021,B,Q3 加权ROE 3.9 与归母净利 -0.79亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000606,顺利退,2022,B,FY 加权ROE -31.3 与归母净利 0.67亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000609,*ST中迪,2007,A,年报营收2.86亿<三季报累计4.66亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000609,*ST中迪,2011,B,Q1 加权ROE 4.39 与归母净利 -0.09亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000611,天首退,2002,A,年报营收1.18亿<三季报累计1.64亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000615,*ST美谷,2013,B,FY 加权ROE 1.75 与归母净利 -0.37亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000616,*ST海投,2017,A,年报营收0.97亿<三季报累计1.49亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000617,中油资本,2014,B,FY 加权ROE 10.75 与归母净利 -1.15亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000617,中油资本,2016,B,Q3 加权ROE -48.95 与归母净利 39.35亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000620,盈新发展,2010,B,Q3 加权ROE -52.51 与归母净利 3.55亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000621,*ST比特,2003,A,年报营收0.04亿<三季报累计0.11亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000622,恒立退,1998,B,FY 加权ROE 14.75 与归母净利 -0.04亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000626,远大控股,2005,B,FY 加权ROE 2.34 与归母净利 -0.18亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000632,ST三木,2004,B,FY 加权ROE 3.76 与归母净利 -0.22亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000632,ST三木,2006,B,H1 加权ROE 1.92 与归母净利 -0.07亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000633,合金投资,2006,B,FY 加权ROE -36.46 与归母净利 0.64亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000638,*ST万方,2014,B,H1 加权ROE -4.63 与归母净利 0.04亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000639,ST西王,2010,B,Q3 加权ROE -3.06 与归母净利 0.63亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000653,ST九州,2001,A,年报营收0.71亿<三季报累计0.79亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000656,金科股份,2008,A,年报营收0.00亿<三季报累计0.03亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000657,中钨高新,2013,B,Q3 加权ROE -1.46 与归母净利 0.92亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000657,中钨高新,2014,B,Q3 加权ROE 4.06 与归母净利 -1.39亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000658,ST海洋,1998,B,FY 加权ROE 7.51 与归母净利 -0.34亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000658,ST海洋,2001,A,年报营收0.01亿<三季报累计0.73亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000658,ST海洋,2010,A,年报营收0.00亿<三季报累计0.00亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000660,*ST南华,2020,A,年报营收0.20亿<三季报累计0.44亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000662,天夏退,1998,B,FY 加权ROE 1.27 与归母净利 -0.11亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000662,天夏退,2001,A,年报营收0.30亿<三季报累计0.37亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000662,天夏退,2019,A,年报营收0.16亿<三季报累计2.79亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000665,湖北广电,2019,B,Q3 加权ROE -1.13 与归母净利 1.50亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000667,ST美置,2000,B,FY 加权ROE -6.87 与归母净利 0.02亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000668,荣丰控股,2013,A,年报营收1.18亿<三季报累计1.63亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000669,ST金鸿,2010,B,FY 加权ROE 15.09 与归母净利 -0.37亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000669,ST金鸿,2012,B,H1 加权ROE 7.74 与归母净利 -0.04亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000670,盈方微,2002,A,年报营收5.19亿<三季报累计5.87亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000670,盈方微,2004,A,年报营收5.80亿<三季报累计6.61亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000670,盈方微,2020,B,Q3 加权ROE 76.1 与归母净利 -0.09亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000672,上峰材料,2002,A,年报营收0.35亿<三季报累计0.94亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000672,上峰材料,2004,A,年报营收0.28亿<三季报累计0.39亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000672,上峰材料,2009,B,Q1 加权ROE 25.32 与归母净利 -0.02亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000672,上峰材料,2010,B,H1 加权ROE 23.27 与归母净利 -0.05亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000673,当代退,2021,B,FY 加权ROE 65.84 与归母净利 -1.45亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000675,ST银山,2008,A,年报营收0.00亿<三季报累计0.02亿,Y,unjudgeable,,2026-08-11T16:35:39+00:00,N
000675,ST银山,2012,A,年报营收0.05亿<三季报累计0.05亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000675,ST银山,2013,A,年报营收0.01亿<三季报累计0.01亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000675,ST银山,2016,A,年报营收0.01亿<三季报累计0.01亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000676,智度股份,2002,A,年报营收3.00亿<三季报累计3.19亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000676,智度股份,2010,B,H1 加权ROE -2.66 与归母净利 0.13亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000677,ST海龙,2013,B,Q3 加权ROE 2.51 与归母净利 -1.31亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000683,博源化工,2013,B,Q3 加权ROE -8.21 与归母净利 0.16亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000686,东北证券,2007,B,H1 加权ROE -1.51 与归母净利 6.61亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000687,华讯退,2019,A,年报营收2.69亿<三季报累计4.42亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000688,国城矿业,2005,A,年报营收6.55亿<三季报累计7.45亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000688,国城矿业,2020,B,Q3 加权ROE -5.03 与归母净利 0.87亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000689,ST宏业,1998,B,FY 加权ROE 1.05 与归母净利 -0.32亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000691,亚太实业,2007,B,FY 加权ROE 5.67 与归母净利 -0.14亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000691,亚太实业,2009,A,年报营收0.00亿<三季报累计0.00亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000691,亚太实业,2011,A+B,年报营收0.00亿<三季报累计0.05亿；FY 加权ROE 2.9 与归母净利 -0.42亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000691,亚太实业,2014,A,年报营收0.13亿<三季报累计0.16亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
