security_code,security_name,quality_tier,n_fwd3,spearman_fwd3,fair_pv_fwd3,median_pv,share_below_buy
600298,安琪酵母,L2,29,-0.840,1.153,1.650,0.000
600309,万华化学,L2,162,-0.701,1.069,0.869,0.603
600315,,NA,69,-0.641,1.162,2.277,0.000
600406,国电南瑞,L1,161,-0.370,3.755,2.195,0.000
600415,小商品城,L1,173,-0.804,2.219,1.823,0.010
600426,华鲁恒升,L2,29,-0.421,,1.232,0.246
600436,片仔癀,L1,151,-0.423,6.358,4.274,0.000
600486,扬农化工,L2,16,-0.374,,1.433,0.038
600519,贵州茅台,L1,223,-0.699,4.253,2.626,0.069
600563,法拉电子,L2,16,-0.868,,2.396,0.000
600566,,NA,60,-0.721,0.858,1.474,0.300
600570,恒生电子,L2,172,-0.317,7.464,5.132,0.000
600585,,NA,208,-0.183,1.274,0.773,0.668
600588,,NA,107,-0.453,5.676,3.576,0.000
600600,青岛啤酒,L2,161,-0.390,2.036,2.043,0.000
600660,福耀玻璃,L1,223,-0.579,1.753,1.145,0.286
600690,海尔智家,L2,98,-0.558,1.308,1.150,0.224
600717,,NA,16,-0.165,,1.499,0.062
600750,华润江中,L2,155,-0.630,1.563,1.691,0.036
600763,,NA,49,-0.385,,10.560,0.000
600809,山西汾酒,L1,126,-0.595,3.093,2.984,0.019
600862,中航高科,L1,41,-0.195,,3.119,0.000
600885,宏发股份,L2,113,-0.733,2.039,1.674,0.007
600887,伊利股份,L2,196,-0.375,3.719,2.047,0.000
600897,,NA,169,-0.725,0.928,1.169,0.385
600900,长江电力,L1,76,-0.106,3.413,1.593,0.000
600908,,NA,77,-0.804,1.172,1.506,0.061
600926,,NA,76,-0.437,2.045,1.610,0.097
600928,,NA,40,-0.957,0.745,1.114,0.230
600938,中国海油,L2,13,0.198,,0.699,0.898
600970,中材国际,L2,0,,,0.593,1.000
600988,赤峰黄金,L2,0,,,2.912,0.000
600989,宝丰能源,L2,16,0.368,,1.270,0.077
600993,马应龙,L2,173,-0.520,1.900,2.103,0.000
601009,,NA,152,-0.226,2.166,1.127,0.291
601077,,NA,37,-0.932,0.935,0.848,0.622
601088,中国神华,L1,155,-0.482,0.639,0.761,0.667
601100,恒立液压,L2,15,-0.582,,2.845,0.000
601128,,NA,77,-0.814,1.511,1.769,0.026
601138,工业富联,L2,0,,,1.816,0.000
601166,,NA,163,-0.154,1.432,1.320,0.265
601169,,NA,162,-0.291,0.906,1.252,0.344
601187,,NA,28,-0.928,1.168,0.911,0.538
601225,陕西煤业,L2,87,-0.637,1.255,0.656,0.895
601229,,NA,76,-0.595,0.872,0.841,0.575
601318,中国平安,L2,146,0.238,,3.586,0.007
601328,,NA,163,-0.591,1.011,1.007,0.423
601515,,NA,120,-0.482,1.059,1.414,0.000
601528,,NA,17,-0.642,,1.239,0.111
601577,,NA,53,-0.953,1.111,1.046,0.378
601658,,NA,41,-0.762,0.927,0.881,0.615
601665,,NA,16,-0.750,,0.976,0.396
601818,,NA,148,-0.166,,1.015,0.411
601825,,NA,15,-0.668,,0.770,1.000
601857,,NA,109,-0.656,0.531,1.153,0.220
601860,,NA,41,-0.899,1.098,1.482,0.000
601888,,NA,63,-0.716,3.712,3.435,0.000
601899,紫金矿业,L2,75,-0.549,6.322,1.561,0.107
601916,,NA,31,-0.178,,0.859,0.641
601958,金钼股份,L2,0,,,1.927,0.000
601963,,NA,16,-0.226,,0.892,0.717
601965,中国汽研,L2,0,,,1.301,0.059
601988,,NA,163,-0.869,1.003,0.942,0.495
601997,,NA,76,-0.583,,1.040,0.435
601998,,NA,142,-0.717,1.223,1.129,0.335
603067,振华股份,L2,3,,,1.428,0.025
603129,春风动力,L2,3,,,1.976,0.000
603156,养元饮品,L3,52,-0.404,0.609,1.304,0.090
603160,,NA,48,-0.850,1.424,2.951,0.000
603195,公牛集团,L2,40,-0.430,,2.533,0.000
603259,药明康德,L2,52,-0.866,2.701,1.930,0.045
603279,景津装备,L2,15,-0.100,,1.330,0.077
603288,海天味业,L2,112,-0.644,5.423,3.834,0.000
