security_code,security_name,quality_tier,industry,industry_n,fy_years,roe_median,roe_min,roe_years_ge15,roe_latest_fy,roe_2026h1,roe_pctl_median,roe_pctl_min,roe_pctl_years_ge80,gm_first5_avg,gm_last5_avg,gm_latest_fy,rev_cagr,ni_cagr,ni_negative_years,ocf_to_ni_median,roe_series,pctl_series
300699,光威复材,L2,制造业,3511,11,15.68,10.74,7,10.74,3.44,73.0,55.0,3,51.4,45.5,39.8012083141,18.1,13.1,0,1.16,2015:15.7 2016:15.2 2017:12.8 2018:13.9 2019:17.4 2020:18.5 2021:19.6 2022:21.3 2023:17.0 2024:13.5 2025:10.7,66 62 55 61 71 73 80 89 89 86 80
300750,宁德时代,L1,制造业,3511,11,24.04,11.27,8,24.91,12.08,92.0,52.0,7,36.1,23.3,26.2728475704,53.8,54.5,0,2.1,2015:130.4 2016:69.5 2017:19.0 2018:11.8 2019:12.8 2020:11.3 2021:21.5 2022:24.7 2023:24.0 2024:24.1 2025:24.9,100 99 75 54 56 52 83 92 96 97 98
300759,康龙化成,L3,科研服务,70,11,14.13,11.6,5,11.6,4.61,66.0,32.0,4,31.7,35.5,34.8322320761,28.7,36.5,0,1.78,2015:26.8 2016:18.3 2017:11.9 2018:15.5 2019:16.7 2020:14.1 2021:17.3 2022:13.3 2023:13.9 2024:13.7 2025:11.6,74 50 32 38 47 43 66 80 91 91 89
300760,迈瑞医疗,L2,制造业,3511,11,32.29,10.0,10,21.58,12.01,96.0,46.0,10,65.1,63.4,60.315561224,15.3,24.5,0,1.25,2015:10.0 2016:27.6 2017:46.7 2018:42.2 2019:27.9 2020:32.3 2021:31.9 2022:33.4 2023:33.6 2024:32.6 2025:21.6,46 88 97 96 89 92 94 96 99 99 96
300776,帝尔激光,L2,制造业,3511,11,22.92,14.09,10,14.09,7.3,89.0,79.0,10,60.7,46.4,46.5704872125,48.5,50.3,0,0.55,2015:24.3 2016:53.4 2017:52.0 2018:71.2 2019:31.5 2020:22.9 2021:19.0 2022:16.6 2023:16.1 2024:16.2 2025:14.1,84 98 98 99 92 82 79 80 88 91 89
300811,铂科新材,L2,制造业,3511,11,18.0,12.88,8,15.14,7.17,81.0,57.0,7,42.9,38.8,42.0604205431,29.0,33.4,0,0.3,2015:22.4 2016:29.4 2017:27.1 2018:21.3 2019:21.1 2020:12.9 2021:13.2 2022:17.3 2023:14.6 2024:18.0 2025:15.1,80 89 87 79 78 57 61 81 85 93 91
300832,新产业,L2,制造业,3511,11,23.72,18.43,11,18.43,9.26,92.0,78.0,10,78.8,71.1,69.2524311672,20.1,20.6,0,0.97,2015:30.9 2016:37.3 2017:34.1 2018:33.8 2019:28.1 2020:22.4 2021:18.9 2022:21.9 2023:23.7 2024:22.9 2025:18.4,91 94 93 92 89 82 78 89 96 96 95
300866,安克创新,L2,制造业,3511,11,26.34,17.31,11,26.1,15.11,95.0,74.0,10,51.9,41.3,45.0653668715,37.1,33.9,0,0.53,2015:223.3 2016:121.1 2017:39.7 2018:36.7 2019:44.2 2020:26.3 2021:17.3 2022:17.8 2023:21.9 2024:24.9 2025:26.1,100 100 95 94 97 87 74 83 94 98 98
300896,爱美客,L2,制造业,3511,11,28.01,16.88,11,17.01,7.62,92.0,69.0,10,89.3,94.2,92.6980620475,36.2,53.6,0,1.0,2015:16.9 2016:29.9 2017:28.4 2018:35.2 2019:44.0 2020:25.3 2021:20.5 2022:23.7 2023:30.1 2024:28.0 2025:17.0,69 89 89 93 97 86 81 92 98 98 93
300910,瑞丰新材,L2,制造业,3511,10,17.41,9.54,7,20.99,10.49,70.0,46.0,4,27.4,33.2,34.6014884293,30.6,40.7,0,0.72,2016:15.7 2017:13.7 2018:13.8 2019:17.2 2020:17.6 2021:9.5 2022:24.1 2023:20.8 2024:22.9 2025:21.0,64 58 61 70 71 46 92 94 96 96
301498,乖宝宠物,L3,制造业,3511,8,12.62,0.51,4,15.29,4.06,64.0,10.0,3,30.5,36.6,42.4896653058,27.7,47.4,0,1.2,2018:7.3 2019:0.5 2020:9.4 2021:10.0 2022:16.5 2023:17.4 2024:15.8 2025:15.3,36 10 43 48 80 90 90 91
301589,诺瓦星云,L2,制造业,3511,8,21.73,13.64,7,15.64,8.37,92.0,60.0,7,50.6,51.4,57.6192955652,20.8,19.4,0,0.57,2018:34.8 2019:36.2 2020:13.6 2021:20.6 2022:22.9 2023:33.0 2024:17.4 2025:15.6,93 94 60 81 91 98 92 91
600007,中国国贸,L2,房地产业,44,11,12.4,10.16,0,12.64,6.53,74.0,51.0,4,52.6,57.2,57.7215066776,5.2,6.7,0,1.63,2015:11.6 2016:11.7 2017:10.2 2018:11.7 2019:13.5 2020:10.6 2021:12.4 2022:12.7 2023:13.5 2024:13.3 2025:12.6,74 66 51 55 74 70 76 87 94 98 98
600031,三一重工,L2,制造业,3511,11,8.69,0.02,4,11.18,6.16,69.0,7.0,4,28.8,26.0,27.5360846194,14.3,110.3,0,1.71,2015:0.0 2016:0.9 2017:8.7 2018:21.4 2019:27.2 2020:29.6 2021:19.9 2022:6.7 2023:6.8 2024:8.5 2025:11.2,8 7 39 79 88 91 80 43 55 69 81
600036,招商银行,L2,金融业,120,11,16.54,13.44,9,13.44,6.71,93.0,52.0,10,,,,5.3,10.0,0,2.52,2015:17.1 2016:16.3 2017:16.5 2018:16.6 2019:16.8 2020:15.7 2021:17.0 2022:17.1 2023:16.2 2024:14.5 2025:13.4,52 86 86 93 93 93 96 95 97 92 90
600066,宇通客车,L2,制造业,3511,11,14.3,3.11,5,38.03,11.85,81.0,20.0,6,25.8,22.3,24.1410919525,2.9,4.6,0,1.7,2015:30.2 2016:31.2 2017:22.1 2018:14.3 2019:11.3 2020:3.1 2021:4.1 2022:5.2 2023:13.0 2024:30.9 2025:38.0,90 91 81 62 51 20 24 36 81 99 99
