signal,H,N,mean,median,win,p_ge_2,p_ge_5,mean_excess,excess_win,mkt_mean,mfe_ge_2,mfe_ge_3,mfe_ge_5,mfe_ge_10,mfe_mean
"oversold_ma(ma=20,dev=-0.1)",60,798963,0.07046635448932648,0.03824126720428467,0.5731667173573745,0.5350986215882337,0.4771147099427633,0.011991120874881744,0.4547832628044102,0.05847523361444473,0.8881600274355633,0.8687523702599494,0.8269043747958291,0.7162909921986375,0.293129026889801
n_down(n=5),3,300894,0.005439118016511202,0.0030030012130737305,0.5255106449447313,0.3344799165154506,0.15551988407877856,0.0004687817709054798,0.4558648560622678,0.0049703363329172134,0.6103910347165447,0.4752171861186996,0.2886996749685936,0.09227502043909151,0.04140646010637283
n_down(n=5),5,300894,0.009152021259069443,0.004252195358276367,0.529824456453103,0.3757635579306998,0.20952893710077303,0.0006993510760366917,0.4467719529136506,0.008452670648694038,0.6975812080001595,0.5806463405717628,0.39661143126815424,0.15727797829135842,0.05587020143866539
n_down(n=5),10,300894,0.008905104361474514,0.0014947056770324707,0.5048754710961335,0.403776745299009,0.27538933976749286,-1.0387268957856577e-05,0.4386661083305084,0.0089154914021492,0.7831694882583236,0.693147753029306,0.5327956024380679,0.27394032449965766,0.08321201801300049
n_down(n=5),20,300894,0.02151269093155861,0.005884885787963867,0.5195949404109088,0.4494373433833842,0.3527122508258722,0.001618126523680985,0.43921779762973007,0.019894564524292946,0.8388668434731168,0.773518248951458,0.6509102873437157,0.41522595997261497,0.12139541655778885
n_down(n=5),60,300894,0.04562699422240257,0.01086956262588501,0.5240882171130032,0.47879651970461357,0.4148902935917632,0.004012462217360735,0.4328035786689,0.041614532470703125,0.8850658371386602,0.8513695853024653,0.785652090104821,0.6338012722088178,0.2417256385087967
"low_vol_pullback(ma=20,k=0.6)",3,406765,0.00026494578924030066,-0.0012770891189575195,0.4757316878295822,0.2685776799872162,0.09923174314407582,0.0002773611922748387,0.44211276781434,-1.241540303453803e-05,0.5247452460265756,0.38527651100758425,0.20770961120057035,0.05196612294568117,0.03231484815478325
"low_vol_pullback(ma=20,k=0.6)",5,406765,0.00010414611460873857,-0.002962946891784668,0.46648064607328554,0.3076837977702113,0.14781999434562954,0.0003167036920785904,0.434499035069389,-0.00021255758474580944,0.616210834265485,0.49109682494806584,0.30897201086622494,0.10357331628827456,0.04408825561404228
"low_vol_pullback(ma=20,k=0.6)",10,406765,0.0015219245105981827,-0.004879415035247803,0.4647179575430531,0.35003011566875225,0.21365653387090827,0.00030208396492525935,0.42557742185291264,0.0012198404874652624,0.7197325236930414,0.6185512519513724,0.4541787026907428,0.21107273241306404,0.06709463149309158
"low_vol_pullback(ma=20,k=0.6)",20,406765,0.0038670182693749666,-0.010294139385223389,0.4520742935109953,0.37225424999692697,0.2695585903408602,0.000717718037776649,0.4195788723218566,0.0031493003480136395,0.7967893009477217,0.7195309330940469,0.5858493233193613,0.3496933118631151,0.10257081687450409
"low_vol_pullback(ma=20,k=0.6)",60,406765,0.03239786624908447,-0.00984412431716919,0.47331505906358706,0.42645753690705934,0.36044644942411463,0.0012875063112005591,0.406116553784126,0.031110359355807304,0.8872100598625742,0.8422111046918983,0.7586001745479577,0.5818691382001893,0.20925447344779968
