signal,year,N,mean20,win20,excess20,excess_win20,days_with_signal
"breakout(n=240,k=2.5)",2006,961,0.08191810548305511,0.6285119667013528,0.013949375599622726,0.46930280957336107,205
"breakout(n=240,k=2.5)",2007,1137,0.13726449012756348,0.7871591908531222,-0.022638287395238876,0.3623570800351803,186
"breakout(n=240,k=2.5)",2008,143,-0.1022060215473175,0.24475524475524477,0.005587305873632431,0.44755244755244755,47
"breakout(n=240,k=2.5)",2009,1227,0.0045446185395121574,0.4718826405867971,-0.014538980089128017,0.3691931540342298,184
"breakout(n=240,k=2.5)",2010,1028,-0.021617485210299492,0.3764591439688716,0.0010103639215230942,0.4270428015564202,176
"breakout(n=240,k=2.5)",2011,412,-0.03491118922829628,0.3470873786407767,-0.02059200592339039,0.36893203883495146,139
"breakout(n=240,k=2.5)",2012,246,-0.005496033933013678,0.4349593495934959,0.004190306644886732,0.46747967479674796,111
"breakout(n=240,k=2.5)",2013,2207,-0.004197997972369194,0.40598096964204805,-0.00919341016560793,0.3815133665609425,234
"breakout(n=240,k=2.5)",2014,3387,0.02717176266014576,0.5279007971656333,-0.004174775909632444,0.4009447888987304,243
"breakout(n=240,k=2.5)",2015,2125,0.10621269047260284,0.7374117647058823,-0.026628829538822174,0.3548235294117647,137
"breakout(n=240,k=2.5)",2016,457,-0.03802601620554924,0.3063457330415755,-0.026788176968693733,0.31291028446389496,128
"breakout(n=240,k=2.5)",2017,1103,-0.03245626017451286,0.3417951042611061,-0.012199007906019688,0.3825929283771532,212
"breakout(n=240,k=2.5)",2018,307,-0.07366671413183212,0.2736156351791531,-0.017532436177134514,0.4560260586319218,118
"breakout(n=240,k=2.5)",2019,1630,-0.03746483102440834,0.34171779141104297,-0.040560051798820496,0.2889570552147239,226
"breakout(n=240,k=2.5)",2020,2721,-0.009129803627729416,0.38552002940095553,-0.023120174184441566,0.36126424108783534,241
"breakout(n=240,k=2.5)",2021,2440,0.01189862284809351,0.4483606557377049,-0.0027114031836390495,0.4098360655737705,242
"breakout(n=240,k=2.5)",2022,1650,-0.07165683060884476,0.26121212121212123,-0.0506851002573967,0.31272727272727274,238
"breakout(n=240,k=2.5)",2023,2939,-0.034520670771598816,0.30826811840762164,-0.02732434868812561,0.32357944879210615,242
"breakout(n=240,k=2.5)",2024,2805,-0.02278183400630951,0.3875222816399287,-0.04155253991484642,0.27629233511586454,218
"breakout(n=240,k=2.5)",2025,4886,0.00376187008805573,0.406058125255833,-0.027656273916363716,0.31702824396234136,243
"breakout(n=240,k=2.5)",2026,2208,-0.01041116937994957,0.3795289855072464,0.005322656594216824,0.4048913043478261,136
any,2005,295910,-0.002054339274764061,0.47806089689432596,-3.1745097661683985e-09,0.4629718495488493,242
any,2006,274166,0.06169089674949646,0.642267823143643,-7.791741141183195e-10,0.4228387181488587,241
any,2007,282835,0.09746035933494568,0.6813902098396591,-1.3757106565037702e-09,0.43442996800254563,242
any,2008,316733,-0.04593711718916893,0.38203786785715416,4.287624477683494e-09,0.45096974423252395,246
any,2009,353108,0.06836961209774017,0.6816696308211652,-2.798029585804329e-09,0.42159905751214927,244
any,2010,361412,0.00939900428056717,0.5119724856949963,2.691520617492671e-10,0.4335218531758768,242
any,2011,420910,-0.02273152582347393,0.3932147014801264,7.567584892065327e-10,0.4507852034876815,244
any,2012,502887,0.009113892912864685,0.4883085066824157,2.3742914301294604e-09,0.43991194840988135,243
any,2013,541935,0.015209751203656197,0.5206620720197072,5.099777933281757e-09,0.41567531161486154,238
any,2014,547436,0.03706960007548332,0.6137612433234204,1.8117575217857507e-09,0.43135087937220057,245
any,2015,492122,0.04259895533323288,0.603141091030273,-5.195461394436052e-09,0.4258761038929371,244
any,2016,590491,0.012398156337440014,0.5186666689246745,-4.271815345902041e-09,0.430482429029401,244
any,2017,642470,-0.008590652607381344,0.44245801360374803,-1.4428244154984782e-09,0.44185720734042055,244
any,2018,741519,-0.023433182388544083,0.37591619365114043,4.141271325863727e-09,0.4603374964093975,243
any,2019,838815,0.022003434598445892,0.5289283095795855,-9.802614719944813e-09,0.40767272879001926,244
any,2020,858271,0.011426492594182491,0.4705611630825229,3.2445801600999857e-09,0.4085294737909122,243
any,2021,925917,0.02190656028687954,0.5203889765497339,-3.913917107079001e-11,0.4228823965863031,243
any,2022,1028401,0.0019886884838342667,0.46931692987463064,-1.917732861400623e-09,0.429104989201683,242
any,2023,1124717,-0.0037729886826127768,0.4353103936367993,-6.020258735972561e-10,0.44139281259196755,242
any,2024,1175755,0.013189074583351612,0.46758380785112547,-2.757796213614938e-09,0.4323417718827477,242
any,2025,1210571,0.036709994077682495,0.5904891162930551,-3.686851712814132e-09,0.3947641237069119,243
any,2026,717503,-0.008075428195297718,0.42641772926384974,1.1643417341389295e-09,0.411201068148844,143
