observed_on,risk_free_rate,equity_risk_premium,source,note
2014-05-30,0.040714,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2014-06-30,0.040612,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2014-07-31,0.042655,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2014-08-29,0.042361,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2014-09-30,0.039824,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2014-10-31,0.037559,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2014-11-28,0.035249,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2014-12-31,0.036219,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2015-01-30,0.035019,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2015-02-28,0.033602,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2015-03-31,0.036483,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2015-04-30,0.033503,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2015-05-29,0.035954,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2015-06-30,0.035976,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2015-07-31,0.034752,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2015-08-31,0.033252,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2015-09-30,0.032362,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2015-10-30,0.030600,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
2015-11-30,0.030404,0.051429,eastmoney RPTA_WEB_TREASURYYIELD + damodaran ctryprem.xlsx (fetched 2026-08-25),"R_f=中国10Y国债(东财,利差恒等式已验)；ERP=Damodaran中国总ERP，**取常数不随时间变**（其逐月隐含ERP文件只到 2022-07-31，且为美国口径，拼接会有接缝）；偏误方向：危机期真实ERP飙升，本口径低估当时r、高估当时内在价值"
