observed_on,index_code,pe_ttm,bond_yield,bond_observed_on,pe_source,bond_source
2006-05-31,000300,17.7,0.0302,2006-05-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2006-06-30,000300,17.79,0.03165,2006-06-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2006-07-31,000300,18.52,0.0326,2006-07-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2006-08-31,000300,18.61,0.03238,2006-08-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2006-09-29,000300,19.39,0.03,2006-09-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2006-10-31,000300,18.3,0.029512,2006-10-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2006-11-30,000300,23.21,0.029781,2006-11-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2006-12-29,000300,30.66,0.030202,2006-12-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2007-01-31,000300,34.95,0.030671,2007-01-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2007-02-28,000300,35.15,0.031466,2007-02-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2007-03-30,000300,36.37,0.034338,2007-03-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2007-04-30,000300,34.88,0.035916000000000003,2007-04-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2007-05-31,000300,39.27,0.0406,2007-05-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2007-06-29,000300,37.29,0.044500000000000005,2007-06-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2007-07-31,000300,43.81,0.043400999999999995,2007-07-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2007-08-31,000300,42.64,0.042743,2007-08-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2007-09-28,000300,45.73,0.043899999999999995,2007-09-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2007-10-31,000300,47.84,0.044937,2007-10-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2007-11-30,000300,40.32,0.045086,2007-11-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2007-12-28,000300,43.17,0.044357,2007-12-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2008-01-31,000300,35.92,0.041936999999999995,2008-01-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2008-02-29,000300,35.24,0.041283,2008-02-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2008-03-31,000300,26.89,0.04046,2008-03-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2008-04-30,000300,27.41,0.040725,2008-04-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2008-05-30,000300,25.3,0.041589,2008-05-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2008-06-30,000300,20.19,0.045285,2008-06-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2008-07-31,000300,20.38,0.044401,2008-07-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2008-08-29,000300,16.98,0.042234,2008-08-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2008-09-26,000300,16.15,0.037282,2008-09-26,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2008-10-31,000300,12.07,0.030751,2008-10-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2008-11-28,000300,12.96,0.029905,2008-11-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2008-12-31,000300,12.42,0.027521,2008-12-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2009-01-23,000300,13.65,0.030367,2009-01-23,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2009-02-27,000300,14.26,0.031508,2009-02-27,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2009-03-31,000300,17.09,0.031612,2009-03-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2009-04-30,000300,19.13,0.031072000000000002,2009-04-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2009-05-27,000300,20.33,0.03039,2009-05-27,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2009-06-30,000300,23.42,0.032403,2009-06-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2009-07-31,000300,26.96,0.03503,2009-07-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2009-08-31,000300,19.88,0.034805,2009-08-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2009-09-30,000300,20.96,0.035132,2009-09-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2009-10-30,000300,22.01,0.036886,2009-10-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2009-11-30,000300,23.21,0.035569,2009-11-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2009-12-31,000300,23.99,0.036421999999999996,2009-12-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2010-01-29,000300,21.6,0.0358,2010-01-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2010-02-26,000300,21.76,0.033753000000000005,2010-02-26,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2010-03-31,000300,21.38,0.034817999999999995,2010-03-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2010-04-30,000300,17.14,0.033565,2010-04-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2010-05-31,000300,15.56,0.03243,2010-05-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2010-06-30,000300,14.51,0.03279,2010-06-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2010-07-30,000300,15.89,0.032996,2010-07-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2010-08-31,000300,14.7,0.032301,2010-08-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2010-09-30,000300,14.7,0.033183,2010-09-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2010-10-29,000300,16.02,0.036821,2010-10-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2010-11-30,000300,14.82,0.03971,2010-11-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2010-12-31,000300,14.99,0.038799,2010-12-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2011-01-31,000300,15.03,0.040187,2011-01-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2011-02-28,000300,15.45,0.039314,2011-02-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2011-03-31,000300,15.02,0.03912,2011-03-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2011-04-29,000300,14.16,0.038713000000000004,2011-04-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2011-05-31,000300,13.35,0.038311000000000005,2011-05-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2011-06-30,000300,13.43,0.038857,2011-06-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2011-07-29,000300,13.18,0.040477,2011-07-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2011-08-31,000300,11.99,0.04105,2011-08-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2011-09-30,000300,11.13,0.038605,2011-09-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2011-10-31,000300,11.22,0.037607,2011-10-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2011-11-30,000300,10.64,0.036091000000000005,2011-11-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2011-12-30,000300,10.26,0.034303,2011-12-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2012-01-31,000300,10.82,0.034064000000000004,2012-01-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2012-02-29,000300,11.35,0.035339999999999996,2012-02-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2012-03-30,000300,10.73,0.035054,2012-03-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2012-04-27,000300,11.23,0.035389,2012-04-27,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2012-05-31,000300,10.84,0.033443,2012-05-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2012-06-29,000300,10.2,0.033253,2012-06-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2012-07-31,000300,9.91,0.032915,2012-07-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2012-08-31,000300,9.47,0.033928,2012-08-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2012-09-28,000300,9.68,0.034575,2012-09-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2012-10-31,000300,9.46,0.035739,2012-10-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2012-11-30,000300,9.17,0.035332,2012-11-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2012-12-31,000300,10.49,0.035738,2012-12-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2013-01-31,000300,11.1,0.036054,2013-01-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2013-02-28,000300,10.91,0.035956999999999996,2013-02-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2013-03-29,000300,10.1,0.035392,2013-03-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2013-04-26,000300,9.75,0.034312999999999996,2013-04-26,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2013-05-31,000300,10.05,0.034399,2013-05-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2013-06-28,000300,8.68,0.035125,2013-06-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2013-07-31,000300,8.76,0.037214,2013-07-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2013-08-30,000300,8.76,0.040354,2013-08-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2013-09-30,000300,9.02,0.039954,2013-09-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2013-10-31,000300,8.64,0.041806,2013-10-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2013-11-29,000300,8.89,0.043612000000000005,2013-11-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2013-12-31,000300,8.62,0.045518,2013-12-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2014-01-30,000300,8.2,0.045019,2014-01-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2014-02-28,000300,8.19,0.044276,2014-02-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2014-03-31,000300,8.11,0.045004,2014-03-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2014-04-30,000300,7.96,0.043002000000000005,2014-04-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2014-05-30,000300,8.02,0.040714,2014-05-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2014-06-30,000300,8.15,0.040612,2014-06-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2014-07-31,000300,8.72,0.042655000000000005,2014-07-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2014-08-29,000300,8.45,0.042361,2014-08-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2014-09-30,000300,8.74,0.039824,2014-09-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2014-10-31,000300,8.79,0.037559,2014-10-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2014-11-28,000300,9.83,0.035249,2014-11-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2014-12-31,000300,12.74,0.036219,2014-12-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2015-01-30,000300,12.46,0.035019,2015-01-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2015-02-27,000300,12.81,0.033745,2015-02-27,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2015-03-31,000300,14.46,0.036483,2015-03-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2015-04-30,000300,16.58,0.033503,2015-04-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2015-05-29,000300,16.34,0.035954,2015-05-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2015-06-30,000300,16.11,0.035976,2015-06-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2015-07-31,000300,13.82,0.034752,2015-07-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2015-08-31,000300,11.69,0.033252000000000004,2015-08-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2015-09-30,000300,11.22,0.032362,2015-09-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2015-10-30,000300,12.44,0.030600000000000002,2015-10-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2015-11-30,000300,12.41,0.030404,2015-11-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2015-12-31,000300,13.01,0.028212,2015-12-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2016-01-29,000300,10.47,0.028419,2016-01-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2016-02-29,000300,10.26,0.028502,2016-02-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2016-03-31,000300,11.44,0.028419,2016-03-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2016-04-29,000300,11.32,0.028913,2016-04-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2016-05-31,000300,11.36,0.029851000000000003,2016-05-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2016-06-30,000300,11.37,0.028411,2016-06-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2016-07-29,000300,11.7,0.027768,2016-07-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2016-08-31,000300,12.36,0.027425,2016-08-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2016-09-30,000300,12.05,0.027258,2016-09-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2016-10-31,000300,12.08,0.027425,2016-10-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2016-11-30,000300,12.75,0.029502,2016-11-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2016-12-30,000300,12.31,0.030115,2016-12-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2017-01-26,000300,12.78,0.033464999999999995,2017-01-26,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2017-02-28,000300,12.97,0.032921,2017-02-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2017-03-31,000300,12.85,0.032827999999999996,2017-03-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2017-04-28,000300,12.69,0.034668000000000004,2017-04-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2017-05-31,000300,12.85,0.036101999999999995,2017-05-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2017-06-30,000300,13.39,0.035683,2017-06-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2017-07-31,000300,13.78,0.03626,2017-07-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2017-08-31,000300,13.88,0.036265,2017-08-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2017-09-29,000300,13.83,0.036136,2017-09-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2017-10-31,000300,13.84,0.038917,2017-10-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2017-11-30,000300,13.81,0.038901,2017-11-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2017-12-29,000300,14.05,0.038807,2017-12-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2018-01-31,000300,15.19,0.03914,2018-01-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2018-02-28,000300,14.12,0.038202,2018-02-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2018-03-30,000300,13.37,0.037406999999999996,2018-03-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2018-04-27,000300,12.74,0.036364,2018-04-27,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2018-05-31,000300,12.55,0.036128999999999994,2018-05-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2018-06-29,000300,11.81,0.034756,2018-06-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2018-07-31,000300,11.93,0.034811999999999996,2018-07-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2018-08-31,000300,11.09,0.035751,2018-08-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2018-09-28,000300,11.58,0.036153,2018-09-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2018-10-31,000300,10.6,0.035086,2018-10-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2018-11-30,000300,10.44,0.033549999999999996,2018-11-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2018-12-28,000300,10.09,0.032315,2018-12-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2019-01-31,000300,10.74,0.031037,2019-01-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2019-02-28,000300,12.06,0.031730999999999995,2019-02-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2019-03-29,000300,12.5,0.030683,2019-03-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
