date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2012-04-20,002128,买入,8700,15.890,138243,0.7885,19.874,定投加仓,电投能源
2012-04-24,600897,买入,9900,13.710,135729,1.0419,12.967,定投加仓,
2012-04-25,002128,买入,8600,16.170,139062,0.7885,19.874,定投加仓,电投能源
2012-04-25,600897,买入,10000,13.890,138900,1.0573,12.967,定投加仓,
2012-04-26,002128,买入,8600,16.170,139062,0.8136,19.874,定投加仓,电投能源
2012-04-26,600897,买入,10000,13.770,137700,1.0712,12.967,定投加仓,
2012-04-27,002128,买入,8500,16.400,139400,0.8136,19.874,定投加仓,电投能源
2012-04-27,600897,买入,10300,13.520,139256,1.0619,12.967,定投加仓,
2012-05-02,002128,买入,8300,17.390,144337,0.8948,18.329,定投加仓,电投能源
2012-05-02,600897,买入,10500,13.740,144270,1.0427,12.967,定投加仓,
2012-05-03,600585,买入,8300,17.260,143258,0.5449,32.483,首次建仓,
2012-05-03,002128,买入,8300,17.300,143590,0.9488,18.329,定投加仓,电投能源
2012-05-03,600897,买入,10300,13.970,143891,1.0596,12.967,定投加仓,
2012-05-04,600585,买入,8400,17.150,144060,0.5314,32.483,定投加仓,
2012-05-04,002128,买入,8300,17.480,145084,0.9439,18.329,定投加仓,电投能源
2012-05-07,600585,卖出,16700,16.940,282898,,,跌破建仓日MA60止损,
2012-05-07,002128,买入,8300,17.740,147242,0.9537,18.329,定投加仓,电投能源
2012-05-07,600897,买入,10500,13.970,146685,1.0727,12.967,定投加仓,
2012-05-08,002128,买入,4100,17.350,71135,0.9679,18.329,定投加仓,电投能源
2012-05-09,600897,买入,7400,13.660,101084,1.0704,12.967,定投加仓,
2012-05-10,002128,买入,600,16.980,10188,0.9177,18.329,定投加仓,电投能源
2012-05-10,600309,买入,100,14.790,1479,1.0171,14.581,首次建仓,万华化学
2012-05-21,600309,卖出,100,14.310,1431,,,换仓：让位给空间更大的600660,万华化学
2012-05-22,600897,卖出,10300,13.590,139977,,,换仓·减一档：让位给600660,
2012-05-22,600660,买入,15300,8.780,134334,0.7271,12.076,首次建仓,福耀玻璃
2012-05-25,600897,卖出,5000,13.380,66900,,,换仓·减一档：让位给600660（同日对冲 5100 股）,
2012-05-25,600660,买入,700,8.460,5922,0.7221,12.076,定投加仓,福耀玻璃
2012-05-28,600660,买入,5400,8.620,46548,0.7006,12.076,定投加仓,福耀玻璃
2012-05-29,600660,买入,5900,8.870,52333,0.7138,12.076,定投加仓,福耀玻璃
2012-05-31,600660,买入,1900,8.760,16644,0.7287,12.076,定投加仓,福耀玻璃
2012-06-04,600660,卖出,29200,8.420,245864,,,跌破建仓日MA60止损,福耀玻璃
2012-06-04,002001,买入,5800,21.650,125570,0.8188,26.782,首次建仓,新和成
2012-06-04,601988,买入,100,3.000,300,1.0447,2.900,首次建仓,
2012-06-05,601988,卖出,100,3.010,301,,,跌破建仓日MA60止损,
2012-06-14,002128,卖出,98600,15.160,1494776,,,跌破建仓日MA60止损,电投能源
2012-06-14,002001,买入,5900,21.580,127322,0.8365,26.182,定投加仓,新和成
2012-06-14,600309,买入,8500,14.960,127160,1.0274,14.581,首次建仓,万华化学
2012-06-14,600897,买入,9700,13.200,128040,1.0305,12.867,定投加仓,
2012-06-15,002001,买入,5900,22.000,129800,0.8242,26.182,定投加仓,新和成
2012-06-15,600897,买入,9800,13.230,129654,1.0259,12.867,定投加仓,
2012-06-15,600309,买入,8700,14.830,129021,1.0260,14.581,定投加仓,万华化学
2012-06-18,002001,买入,5900,21.960,129564,0.8403,26.182,定投加仓,新和成
2012-06-18,600309,买入,8800,14.720,129536,1.0171,14.581,定投加仓,万华化学
2012-06-18,600897,买入,9800,13.280,130144,1.0282,12.867,定投加仓,
2012-06-19,002001,买入,5900,21.590,127381,0.8388,26.182,定投加仓,新和成
2012-06-19,600309,买入,7600,14.820,112632,1.0095,14.581,定投加仓,万华化学
2012-06-25,600309,卖出,33600,13.830,464688,,,跌破建仓日MA60止损,万华化学
2012-06-25,002001,买入,5900,20.990,123841,0.8090,26.182,定投加仓,新和成
2012-06-25,600897,买入,9400,13.150,123610,1.0251,12.867,定投加仓,
2012-06-26,002001,买入,6000,20.750,124500,0.8017,26.182,定投加仓,新和成
2012-06-26,600897,买入,1100,13.410,14751,1.0220,12.867,定投加仓,
2012-06-29,002001,买入,800,21.130,16904,0.7941,26.182,定投加仓,新和成
2012-07-03,002001,买入,1900,20.980,39862,0.8124,26.182,定投加仓,新和成
2012-07-04,002001,卖出,44000,19.990,879560,,,跌破建仓日MA60止损,新和成
2012-07-10,600897,卖出,113800,12.690,1444122,,,跌破建仓日MA60止损,
2012-09-03,600066,买入,5100,22.960,117096,0.6879,33.739,首次建仓,宇通客车
2012-09-04,600066,买入,5000,23.280,116400,0.6805,33.739,定投加仓,宇通客车
2012-09-05,600066,买入,4900,24.050,117845,0.6900,33.739,定投加仓,宇通客车
2012-09-06,600066,买入,5000,23.900,119500,0.7128,33.739,定投加仓,宇通客车
2012-09-07,600066,买入,5000,24.350,121750,0.7084,33.739,定投加仓,宇通客车
2012-09-10,600066,买入,5000,24.180,120900,0.7217,33.739,定投加仓,宇通客车
2012-09-11,600066,买入,5000,23.940,119700,0.7167,33.739,定投加仓,宇通客车
2012-09-12,600066,买入,5000,24.020,120100,0.7096,33.739,定投加仓,宇通客车
2012-09-13,600066,买入,5000,23.920,119600,0.7119,33.739,定投加仓,宇通客车
2012-09-14,600066,买入,4900,23.990,117551,0.7090,33.739,定投加仓,宇通客车
2012-09-17,600066,买入,4900,23.460,114954,0.7111,33.739,定投加仓,宇通客车
2012-09-18,600066,买入,4600,23.170,106582,0.6953,33.739,定投加仓,宇通客车
2012-09-19,600066,买入,1000,23.130,23130,0.6867,33.739,定投加仓,宇通客车
2012-09-26,600066,卖出,60400,22.690,1370476,,,跌破建仓日MA60止损,宇通客车
2012-09-27,600585,买入,7400,15.710,116254,0.6021,25.278,首次建仓,
2012-09-28,600585,买入,7300,15.980,116654,0.6215,25.278,定投加仓,
2012-10-08,600585,买入,7400,15.610,115514,0.6322,25.278,定投加仓,
2012-10-09,600585,买入,7400,16.070,118918,0.6175,25.278,定投加仓,
2012-10-09,600309,买入,8300,14.330,118939,1.0202,13.968,首次建仓,万华化学
2012-10-10,600585,买入,7400,16.000,118400,0.6357,25.278,定投加仓,
2012-10-10,002024,买入,16600,7.150,118690,0.8713,8.046,首次建仓,
2012-10-10,600309,买入,8200,14.340,117588,1.0259,13.968,定投加仓,万华化学
2012-10-11,600585,买入,7300,16.180,118114,0.6330,25.278,定投加仓,
2012-10-11,002024,买入,16900,7.000,118300,0.8887,8.046,定投加仓,
2012-10-11,600897,买入,9400,12.510,117594,0.9534,13.310,首次建仓,
2012-10-11,600309,买入,8300,14.220,118026,1.0266,13.968,定投加仓,万华化学
2012-10-12,600585,买入,7300,15.990,116727,0.6401,25.278,定投加仓,
