group,arm,reference,年化,最大回撤,平均仓位,年均换手,滚动5年窗口年化
full,V30F080,F140,-0.055847675068869895,-0.0799257428259667,-0.2641642537429786,1.7008357762017625,-0.05816368799999998
full,P24V30,F100,0.017726594878402224,-0.0003751107999934167,0.10570859258743398,1.7473609923777076,0.0418873518
full,P24V30,F120,-0.012236870507109199,-0.0022711988578137388,-0.07752710138172592,0.7738897749197977,-0.019973628800000018
full,P24V30,F140,-0.04317413303528572,-0.08327758795605239,-0.261079310974892,-0.9626861043730419,-0.04619547064999999
A,P20,F100,0.04846846866877641,-0.0026883918403214357,0.11272849846865673,1.8376600421618121,0.04921911229999999
A,P20,F120,-0.026959660400512897,-0.040251691701813974,-0.0551624179035477,0.9559004816507519,-0.04547062205000002
A,P20,F140,-0.013475214857450513,-0.08013702048553967,-0.2212108622484461,-0.023260798874423116,0.0018610515999999966
A,P24,F100,0.12993373361325677,0.06305251538197382,0.3676398169293839,2.524661934409723,0.12028376140000002
A,P24,F120,0.05386135270216852,0.019782512227204563,0.19378801818285507,1.731499598904716,0.04846754061350002
A,P24,F140,0.0737575405866221,-0.023864484916879147,0.022574617833184596,0.6562977014651077,0.06888331164999997
A,P28,F100,0.19181826497786114,0.10170311347642708,0.5340468274856038,2.5366633522080466,0.17698296539999997
A,P28,F120,0.11219817621945272,0.055989688204875154,0.36031349178753125,1.7162783650071187,0.08620150155
A,P28,F140,0.1337897928253643,0.0069298657426126176,0.1866547874420278,0.7698201606292905,0.12237677435
A,V25,F100,0.032768666973241656,0.0020356815825238184,0.1415841056006371,3.204325345479023,0.04646706100000003
A,V25,F120,-0.03490522317423317,-0.024124793100816444,-0.029451644825394974,2.598460359128372,-0.048829756
A,V25,F140,-0.026650380710954713,-0.06670842548692024,-0.19068723073363458,1.5451905501256622,-0.009011698199999987
A,V30,F100,0.057265161074432025,-0.003390834100990503,0.26203303235057285,3.320548205131411,0.06486752440000002
A,V30,F120,-0.018592195673429512,-0.031647738791119706,0.08625759268596866,2.4853134619062094,-0.021492885365000013
A,V30,F140,-0.0006005492974896498,-0.08105248045103536,-0.07860004395632858,1.568267813832223,0.022124141400000005
A,V35,F100,0.08619006424878195,0.0,0.3269738729939472,4.461275553082745,0.10377505369999998
A,V35,F120,0.0077812984893465,-0.04483496803993092,0.15858856117594944,3.42146815074768,0.01147845129999997
A,V35,F140,0.0205973370639988,-0.09119290341408781,-0.003892468617215372,2.495579321125898,0.055944964000000014
A,V30L60,F100,0.07499102175563743,-0.004429735045365146,0.3152688006076468,2.5785563732478174,0.080072520835
A,V30L60,F120,0.006931458075694397,-0.03016591948228886,0.13973808933721088,1.5330397781874532,-0.007608608699999991
A,V30L60,F140,0.011827381421984362,-0.07961079535715304,-0.03437328368340464,0.6429320527078013,0.023934003994999987
A,V30F080,F100,0.023663994284320533,-0.016012619371807646,0.21012738283570914,4.996576590172718,0.03900304991000002
A,V30F080,F120,-0.05070269217333456,-0.07238219146228281,0.036811454496639584,3.8674487402062883,-0.055304754795
A,V30F080,F140,-0.034671738659739826,-0.1175639797353008,-0.12609546095153812,3.1561333745167834,-0.009901595950000036
A,P24V30,F100,0.036801683293728016,0.004231355633753653,0.18443304772763675,2.6398923781420693,0.051822481405
A,P24V30,F120,-0.03326611315029171,-0.03440009759118212,0.01415882944194119,1.566730719714469,-0.041228261900000035
A,P24V30,F140,-0.023572149094672312,-0.07920159358052392,-0.15553176857111373,0.7387280690228364,0.005365316565000014
