group,bp,arm,start,cagr,cagr_delta,mdd,mdd_delta
U1,0,V25,2009-11-01,0.29618133704150584,-0.1417509403678332,0.39526731476297783,-0.06944664151219115
U1,0,V25,2011-11-01,0.32314099812211317,-0.15108360968779144,0.4022609808513472,-0.06748869364139498
U1,0,V30,2009-11-01,0.2939814252008026,-0.14395085220853643,0.40901112062775513,-0.05570283564741385
U1,0,V30,2011-11-01,0.341546467524972,-0.13267814028493263,0.34818802017601946,-0.12156165431672272
U1,0,V35,2009-11-01,0.2969855801464081,-0.14094669726293096,0.42658209265858804,-0.03813186361658094
U1,0,V35,2011-11-01,0.3318849939069426,-0.14233961390296201,0.40144196026416845,-0.06830771422857373
U1,0,V30F080,2009-11-01,0.2591366146428551,-0.17879566276648395,0.40461689204306217,-0.06009706423210681
U1,0,V30F080,2011-11-01,0.3011010443045192,-0.17312356350538538,0.33249561572022157,-0.13725405877252062
U1,0,F120,2009-11-01,0.3028011957605512,-0.13513108164878784,0.4162140274249557,-0.04849992885021326
U1,0,F120,2011-11-01,0.339745187663687,-0.1344794201462176,0.3859089430936359,-0.0838407313991063
U1,0,F140,2009-11-01,0.338488853887875,-0.09944342352146407,0.430575883861115,-0.03413807241405398
U1,0,F140,2011-11-01,0.3795148543802067,-0.0947097534296979,0.42124031298597786,-0.048509361506764326
U1,0,P24V30,2009-11-01,0.27832546901635813,-0.15960680839298091,0.4078095229288017,-0.0569044333463673
U1,0,P24V30,2011-11-01,0.3184844526672197,-0.1557401551426849,0.34904127942081065,-0.12070839507193154
U2,0,BASE,2009-11-01,0.4217697428514118,0.0,0.49071422682846266,0.0
U2,0,BASE,2011-11-01,0.4909802361782549,0.0,0.4910206159542475,0.0
U2,0,P24,2009-11-01,0.3631787389529517,-0.05859100389846006,0.4586962950370007,-0.03201793179146195
U2,0,P24,2011-11-01,0.3992201542772724,-0.0917600819009825,0.4379432935386701,-0.05307732241557739
U2,0,P28,2009-11-01,0.40126630242812045,-0.02050344042329133,0.4947658269182541,0.004051600089791441
U2,0,P28,2011-11-01,0.46042044287671513,-0.030559793301539795,0.4803357111904689,-0.010684904763778591
U2,0,V30L60,2009-11-01,0.3174546813568324,-0.10431506149457936,0.39637887583310294,-0.09433535099535972
U2,0,V30L60,2011-11-01,0.3389536107657696,-0.15202662541248535,0.34255840586602493,-0.14846221008822258
U2,0,F100,2009-11-01,0.24982082533901617,-0.1719489175123956,0.407532708941061,-0.08318151788740169
U2,0,F100,2011-11-01,0.2712848963620853,-0.21969533981616962,0.3709672826226619,-0.12005333333158563
