group,bp,arm,metric,key,level,delta,better_count,unit
full,0,F100,top1_p90,单票权重P90,0.6629701081902477,-0.06701054790588717,,descriptive
full,0,F100,top1_max,单票权重最大,0.7562696674030651,-0.18464286454687845,,descriptive
full,0,F100,top1_over60,单票超60%天数占比,0.413034617278467,-0.29115188941068704,,descriptive
full,0,F100,top3,前三权重中位,0.9528749341214712,-0.46955094168951156,,descriptive
full,0,F100,positions,持仓数中位,4.0,-2.5,,descriptive
full,0,F100,rolling10_cagr,滚动10年年化中位,0.27097088107042433,-0.18880600781197665,,descriptive
full,0,F120,滚5中位,滚动5年年化中位,0.3387549340298347,-0.12891563798785122,0,fraction
full,0,F120,滚5P25,滚动5年年化P25,0.28460999015617605,-0.10623710496180117,0,fraction
full,0,F120,滚5最差,滚动5年年化最差,0.1991197081857502,-0.05253304373685297,2,fraction
full,0,F120,滚5回撤,滚动5年回撤中位,0.3386856106960981,-0.1117295469989475,14,fraction
full,0,F120,滚5Calmar,滚动5年Calmar中位,1.0015059261148356,-0.05905116707774721,5,ratio
full,0,F120,滚5Sharpe,滚动5年Sharpe中位,0.9369676462189045,-0.09206716838451134,2,ratio
full,0,F120,负窗%,滚动5年为负的窗口占比,0.0,0.0,0,fraction
full,0,F120,年化,年化,0.2967851947540293,-0.15062537423441347,0,fraction
full,0,F120,最大回撤,最大回撤,0.3630727130413471,-0.10759858354076118,14,fraction
full,0,F120,Calmar,Calmar,0.7794253112187609,-0.12977025069458958,0,ratio
full,0,F120,Sharpe,Sharpe,0.8797427693163842,-0.13179434110139404,0,ratio
full,0,F120,5年块中位,互不重叠5年块中位,0.3734939552460592,-0.21141986803596907,0,fraction
full,0,F120,滚3中位,滚动3年年化中位,0.32476966375781924,-0.12217461504576055,0,fraction
full,0,F120,滚3回撤,滚动3年回撤中位,0.3298034500737491,-0.09867967557108226,14,fraction
full,0,F120,逐年中位,逐年收益中位,0.2479427515086119,-0.1441675043163198,0,fraction
full,0,F120,逐年最差,逐年最差,-0.059280766640566196,0.0908031862729547,12,fraction
full,0,F120,换手,年均换手,4.066958742607778,-2.4686255663335848,14,ratio
full,0,F120,仓位,平均仓位,1.1199738790861489,-0.451223232065189,14,fraction
full,0,F120,top1,单票权重中位,0.589179868761603,-0.045552331882421804,,descriptive
full,0,F120,top1_p90,单票权重P90,0.6312585622506557,-0.10140678439592765,,descriptive
full,0,F120,top1_max,单票权重最大,0.6887953487834312,-0.24592347225787242,,descriptive
full,0,F120,top1_over60,单票超60%天数占比,0.4004034084568068,-0.3328760202608719,,descriptive
full,0,F120,top3,前三权重中位,1.121570058388449,-0.30409465066679675,,descriptive
full,0,F120,positions,持仓数中位,5.0,-1.0,,descriptive
full,0,F120,rolling10_cagr,滚动10年年化中位,0.3270744024359563,-0.117908665989925,,descriptive
full,0,F140,滚5中位,滚动5年年化中位,0.35963031451506566,-0.10873507258224557,0,fraction
full,0,F140,滚5P25,滚动5年年化P25,0.302739548414968,-0.1035315237452139,0,fraction
full,0,F140,滚5最差,滚动5年年化最差,0.22175891771477718,-0.03957180401951221,0,fraction
full,0,F140,滚5回撤,滚动5年回撤中位,0.3737020851117057,-0.07057855754180137,14,fraction
full,0,F140,滚5Calmar,滚动5年Calmar中位,0.9332977111174128,-0.1437584381683784,0,ratio
full,0,F140,滚5Sharpe,滚动5年Sharpe中位,0.9199368934918362,-0.09883790035347745,0,ratio
full,0,F140,负窗%,滚动5年为负的窗口占比,0.0,0.0,0,fraction
full,0,F140,年化,年化,0.32989422776851607,-0.11827715189002175,0,fraction
full,0,F140,最大回撤,最大回撤,0.44887612121865283,-0.017780876998818307,13,fraction
full,0,F140,Calmar,Calmar,0.7346720921780932,-0.24230637424542434,0,ratio
full,0,F140,Sharpe,Sharpe,0.8826867909026221,-0.11133590807171928,0,ratio
full,0,F140,5年块中位,互不重叠5年块中位,0.4303860959155255,-0.15143196299213574,0,fraction
full,0,F140,滚3中位,滚动3年年化中位,0.34455308175516797,-0.11853638748247508,0,fraction
full,0,F140,滚3回撤,滚动3年回撤中位,0.36315676516142775,-0.06527228346667802,14,fraction
full,0,F140,逐年中位,逐年收益中位,0.3293448291361085,-0.10127020007090143,0,fraction
full,0,F140,逐年最差,逐年最差,-0.09743145394427566,0.0622707894935533,13,fraction
full,0,F140,换手,年均换手,6.086072730889657,-0.43044720544820025,11,ratio
full,0,F140,仓位,平均仓位,1.3064332904982936,-0.26841592100690703,14,fraction
full,0,F140,top1,单票权重中位,0.5939143421973694,-0.03859201547943775,,descriptive
full,0,F140,top1_p90,单票权重P90,0.6377682628954255,-0.09541120024303051,,descriptive
full,0,F140,top1_max,单票权重最大,0.7122388961487752,-0.23602977167112882,,descriptive
full,0,F140,top1_over60,单票超60%天数占比,0.44470147200740584,-0.27165346206955754,,descriptive
full,0,F140,top3,前三权重中位,1.2411083809110073,-0.18732756456282118,,descriptive
full,0,F140,positions,持仓数中位,6.0,-1.0,,descriptive
full,0,F140,rolling10_cagr,滚动10年年化中位,0.3389232195497033,-0.1081305429923839,,descriptive
full,0,P24V30,滚5中位,滚动5年年化中位,0.31942294965852824,-0.14839998187033743,0,fraction
full,0,P24V30,滚5P25,滚动5年年化P25,0.26243555532939133,-0.11457896929091438,0,fraction
full,0,P24V30,滚5最差,滚动5年年化最差,0.174389425620031,-0.035932416472095996,3,fraction
full,0,P24V30,滚5回撤,滚动5年回撤中位,0.32987531849494783,-0.12289936202526996,14,fraction
full,0,P24V30,滚5Calmar,滚动5年Calmar中位,0.9592476943615864,-0.1435361627894164,2,ratio
full,0,P24V30,滚5Sharpe,滚动5年Sharpe中位,0.9486485889113472,-0.0791303883252012,3,ratio
full,0,P24V30,负窗%,滚动5年为负的窗口占比,0.0,0.0,0,fraction
full,0,P24V30,年化,年化,0.29051115878280465,-0.14857223866464142,0,fraction
