nav_tag,arm,bp,nav_rows,negative_cash_days,min_cash,risk_rows,causal_rows,cap_overshoot_days,max_cap_overshoot,unresolved_days,active_sells,stress_overshoot_days,max_stress_overshoot,risk_dominant_days,missing_days
RBV25fullS00020100501,V25,0,3966,0,0.0,3965,3965,0,0.0,0,2232,0,0.0,3377,264
RBV25fullS00020101101,V25,0,3848,0,0.0,3847,3847,0,0.0,0,2274,0,0.0,3326,252
RBV25fullS00020110501,V25,0,3726,0,0.0,3725,3725,0,0.0,0,1816,0,0.0,3210,252
RBV25fullS00020111101,V25,0,3603,0,0.0,3602,3602,0,0.0,0,1566,0,0.0,3179,475
RBV25fullS00020120501,V25,0,3484,0,0.0,3483,3483,0,0.0,0,1860,0,0.0,3084,246
RBV25fullS00020121101,V25,0,3359,0,0.0,3358,3358,0,0.0,0,1948,0,0.0,2988,246
RBV25fullS00020130501,V25,0,3242,0,0.0,3241,3241,0,0.0,0,2268,0,0.0,2955,246
RBV25fullS00020131101,V25,0,3121,0,0.0,3120,3120,0,0.0,0,1820,0,0.0,2831,208
RBV25fullS00020140501,V25,0,2999,0,0.0,2998,2998,0,0.0,0,1882,0,0.0,2567,240
RBV25fullS00020141101,V25,0,2876,0,0.0,2875,2875,0,0.0,0,1411,0,0.0,2431,198
RBV25fullS00020150501,V25,0,2755,0,0.0,2754,2754,0,0.0,0,1289,0,0.0,2308,202
RBV25fullS00020151101,V25,0,2633,0,0.0,2632,2632,0,0.0,0,1311,0,0.0,2326,198
RBV25fullS00020160501,V25,0,2510,0,0.0,2509,2509,0,0.0,0,1546,0,0.0,2213,208
RBV30fullS00020091101,V30,0,4089,0,0.0,4088,4088,0,0.0,0,3444,0,0.0,3136,283
RBV30fullS00020100501,V30,0,3966,0,0.0,3965,3965,0,0.0,0,3285,0,0.0,3178,282
RBV30fullS00020101101,V30,0,3848,0,-1.1641532182693481e-10,3847,3847,0,0.0,0,3018,0,0.0,3068,270
RBV30fullS00020110501,V30,0,3726,0,0.0,3725,3725,0,0.0,0,2894,0,0.0,3007,270
RBV30fullS00020111101,V30,0,3603,0,0.0,3602,3602,0,0.0,0,3054,0,0.0,2986,270
RBV30fullS00020120501,V30,0,3484,0,0.0,3483,3483,0,0.0,0,2744,0,0.0,2913,264
RBV30fullS00020121101,V30,0,3359,0,0.0,3358,3358,0,0.0,0,2762,0,0.0,2776,265
RBV30fullS00020130501,V30,0,3242,0,0.0,3241,3241,0,0.0,0,2713,0,0.0,2663,265
RBV30fullS00020131101,V30,0,3121,0,0.0,3120,3120,0,0.0,0,2109,0,0.0,2558,265
RBV30fullS00020140501,V30,0,2999,0,0.0,2998,2998,0,0.0,0,2087,0,0.0,2429,256
RBV30fullS00020141101,V30,0,2876,0,0.0,2875,2875,0,0.0,0,1574,0,0.0,2320,451
RBV30fullS00020150501,V30,0,2755,0,-2.9103830456733704e-11,2754,2754,0,0.0,0,1936,0,0.0,2141,226
RBV30fullS00020151101,V30,0,2633,0,0.0,2632,2632,0,0.0,0,1563,0,0.0,2169,226
RBV30fullS00020160501,V30,0,2510,0,-1.1641532182693481e-10,2509,2509,0,0.0,0,1793,0,0.0,2029,226
RBV35fullS00020091101,V35,0,4089,0,0.0,4088,4088,0,0.0,0,4164,0,0.0,2778,284
RBV35fullS00020100501,V35,0,3966,0,0.0,3965,3965,0,0.0,0,3861,0,0.0,2787,284
RBV35fullS00020101101,V35,0,3848,0,0.0,3847,3847,0,0.0,0,3964,0,0.0,2631,272
RBV35fullS00020110501,V35,0,3726,0,0.0,3725,3725,0,0.0,0,3355,0,0.0,2627,272
RBV35fullS00020111101,V35,0,3603,0,0.0,3602,3602,0,0.0,0,3693,0,0.0,2539,272
RBV35fullS00020120501,V35,0,3484,0,-5.820766091346741e-11,3483,3483,0,0.0,0,3158,0,0.0,2536,266
RBV35fullS00020121101,V35,0,3359,0,-1.1368683772161603e-13,3358,3358,0,0.0,0,3670,0,0.0,2408,267
RBV35fullS00020130501,V35,0,3242,0,0.0,3241,3241,0,0.0,0,3239,0,0.0,2347,266
RBV35fullS00020131101,V35,0,3121,0,-1.1641532182693481e-10,3120,3120,0,0.0,0,3113,0,0.0,2189,266
RBV35fullS00020140501,V35,0,2999,0,0.0,2998,2998,0,0.0,0,3096,0,0.0,2103,229
RBV35fullS00020141101,V35,0,2876,0,0.0,2875,2875,0,0.0,0,2334,0,0.0,2038,231
RBV35fullS00020150501,V35,0,2755,0,-1.1368683772161603e-13,2754,2754,0,0.0,0,2292,0,0.0,1877,224
RBV35fullS00020151101,V35,0,2633,0,-2.9103830456733704e-11,2632,2632,0,0.0,0,1903,0,0.0,1857,216
RBV35fullS00020160501,V35,0,2510,0,-5.820766091346741e-11,2509,2509,0,0.0,0,2280,0,0.0,1773,232
RBV30L60fullS00020091101,V30L60,0,4089,0,0.0,4088,4088,0,0.0,0,3744,0,0.0,2856,122
RBV30L60fullS00020100501,V30L60,0,3966,0,0.0,3965,3965,0,0.0,0,3719,0,0.0,2950,179
RBV30L60fullS00020101101,V30L60,0,3848,0,-2.3283064365386963e-10,3847,3847,0,0.0,0,3324,0,0.0,2927,178
RBV30L60fullS00020110501,V30L60,0,3726,0,0.0,3725,3725,0,0.0,0,3298,0,0.0,2832,178
RBV30L60fullS00020111101,V30L60,0,3603,0,-7.275957614183426e-12,3602,3602,0,0.0,0,3461,0,0.0,2794,178
RBV30L60fullS00020120501,V30L60,0,3484,0,-1.8189894035458565e-12,3483,3483,0,0.0,0,3255,0,0.0,2700,179
RBV30L60fullS00020121101,V30L60,0,3359,0,0.0,3358,3358,0,0.0,0,3377,0,0.0,2597,179
RBV30L60fullS00020130501,V30L60,0,3242,0,0.0,3241,3241,0,0.0,0,2938,0,0.0,2450,179
RBV30L60fullS00020131101,V30L60,0,3121,0,0.0,3120,3120,0,0.0,0,2946,0,0.0,2387,179
RBV30L60fullS00020140501,V30L60,0,2999,0,0.0,2998,2998,0,0.0,0,2636,0,0.0,2229,178
RBV30L60fullS00020141101,V30L60,0,2876,0,0.0,2875,2875,0,0.0,0,2461,0,0.0,2109,179
RBV30L60fullS00020150501,V30L60,0,2755,0,0.0,2754,2754,0,0.0,0,2291,0,0.0,1964,178
RBV30L60fullS00020151101,V30L60,0,2633,0,0.0,2632,2632,0,0.0,0,2274,0,0.0,2010,178
RBV30L60fullS00020160501,V30L60,0,2510,0,0.0,2509,2509,0,0.0,0,2278,0,0.0,1853,179
RBV30F080fullS00020091101,V30F080,0,4089,0,0.0,4088,4088,0,0.0,0,7370,0,0.0,3158,490
RBV30F080fullS00020100501,V30F080,0,3966,0,0.0,3965,3965,0,0.0,0,7062,0,0.0,3140,501
RBV30F080fullS00020101101,V30F080,0,3848,0,0.0,3847,3847,0,0.0,0,6641,0,0.0,3006,489
RBV30F080fullS00020110501,V30F080,0,3726,0,0.0,3725,3725,0,0.0,0,6866,0,0.0,2915,264
RBV30F080fullS00020111101,V30F080,0,3603,0,0.0,3602,3602,0,0.0,0,6689,0,0.0,2951,489
RBV30F080fullS00020120501,V30F080,0,3484,0,0.0,3483,3483,0,0.0,0,6806,0,0.0,2862,258
RBV30F080fullS00020121101,V30F080,0,3359,0,0.0,3358,3358,0,0.0,0,6634,0,0.0,2688,258
RBV30F080fullS00020130501,V30F080,0,3242,0,0.0,3241,3241,0,0.0,0,6812,0,0.0,2609,258
RBV30F080fullS00020131101,V30F080,0,3121,0,-2.9103830456733704e-11,3120,3120,0,0.0,0,6711,0,0.0,2514,259
RBV30F080fullS00020140501,V30F080,0,2999,0,0.0,2998,2998,0,0.0,0,5768,0,0.0,2385,471
RBV30F080fullS00020141101,V30F080,0,2876,0,0.0,2875,2875,0,0.0,0,5722,0,0.0,2223,451
RBV30F080fullS00020150501,V30F080,0,2755,0,0.0,2754,2754,0,0.0,0,5116,0,0.0,2010,226
RBV30F080fullS00020151101,V30F080,0,2633,0,0.0,2632,2632,0,0.0,0,5097,0,0.0,2105,451
RBV30F080fullS00020160501,V30F080,0,2510,0,0.0,2509,2509,0,0.0,0,5032,0,0.0,1948,226
RBF100fullS00020091101,F100,0,4089,0,0.0,4088,4088,0,0.0,0,470,0,0.0,3661,0
RBF100fullS00020100501,F100,0,3966,0,0.0,3965,3965,0,0.0,0,381,0,0.0,3661,0
RBF100fullS00020101101,F100,0,3848,0,0.0,3847,3847,0,0.0,0,180,0,0.0,3604,0
RBF100fullS00020110501,F100,0,3726,0,0.0,3725,3725,0,0.0,0,134,0,0.0,3604,0
RBF100fullS00020111101,F100,0,3603,0,0.0,3602,3602,0,0.0,0,136,0,0.0,3501,0
RBF100fullS00020120501,F100,0,3484,0,0.0,3483,3483,0,0.0,0,148,0,0.0,3382,0
RBF100fullS00020121101,F100,0,3359,0,0.0,3358,3358,0,0.0,0,128,0,0.0,3257,0
RBF100fullS00020130501,F100,0,3242,0,0.0,3241,3241,0,0.0,0,131,0,0.0,3140,0
RBF100fullS00020131101,F100,0,3121,0,0.0,3120,3120,0,0.0,0,131,0,0.0,3019,0
RBF100fullS00020140501,F100,0,2999,0,0.0,2998,2998,0,0.0,0,134,0,0.0,2897,0
RBF100fullS00020141101,F100,0,2876,0,0.0,2875,2875,0,0.0,0,129,0,0.0,2774,0
RBF100fullS00020150501,F100,0,2755,0,0.0,2754,2754,0,0.0,0,69,0,0.0,2654,0
RBF100fullS00020151101,F100,0,2633,0,0.0,2632,2632,0,0.0,0,38,0,0.0,2595,0
RBF100fullS00020160501,F100,0,2510,0,0.0,2509,2509,0,0.0,0,24,0,0.0,2472,0
RBF120fullS00020091101,F120,0,4089,0,0.0,4088,4088,0,0.0,0,7895,0,0.0,3661,0
RBF120fullS00020100501,F120,0,3966,0,0.0,3965,3965,0,0.0,0,8713,0,0.0,3661,0
RBF120fullS00020101101,F120,0,3848,0,0.0,3847,3847,0,0.0,0,7877,0,0.0,3604,0
RBF120fullS00020110501,F120,0,3726,0,-9.094947017729282e-13,3725,3725,0,0.0,0,7851,0,0.0,3604,0
RBF120fullS00020111101,F120,0,3603,0,0.0,3602,3602,0,0.0,0,7642,0,0.0,3501,0
RBF120fullS00020120501,F120,0,3484,0,-3.637978807091713e-12,3483,3483,0,0.0,0,7830,0,0.0,3382,0
RBF120fullS00020121101,F120,0,3359,0,0.0,3358,3358,0,0.0,0,7898,0,0.0,3257,0
RBF120fullS00020130501,F120,0,3242,0,0.0,3241,3241,0,0.0,0,7016,0,0.0,3140,0
RBF120fullS00020131101,F120,0,3121,0,0.0,3120,3120,0,0.0,0,6684,0,0.0,3019,0
RBF120fullS00020140501,F120,0,2999,0,0.0,2998,2998,0,0.0,0,6483,0,0.0,2897,0
RBF120fullS00020141101,F120,0,2876,0,0.0,2875,2875,0,0.0,0,6565,0,0.0,2774,0
RBF120fullS00020150501,F120,0,2755,0,0.0,2754,2754,0,0.0,0,5710,0,0.0,2654,0
RBF120fullS00020151101,F120,0,2633,0,0.0,2632,2632,0,0.0,0,5831,0,0.0,2595,0
RBF120fullS00020160501,F120,0,2510,0,0.0,2509,2509,0,0.0,0,5992,0,0.0,2472,0
RBF140fullS00020091101,F140,0,4089,0,0.0,4088,4088,0,0.0,0,9156,0,0.0,3661,0
RBF140fullS00020100501,F140,0,3966,0,0.0,3965,3965,0,0.0,0,8984,0,0.0,3661,0
RBF140fullS00020101101,F140,0,3848,0,0.0,3847,3847,0,0.0,0,8482,0,0.0,3604,0
RBF140fullS00020110501,F140,0,3726,0,0.0,3725,3725,0,0.0,0,8527,0,0.0,3604,0
RBF140fullS00020111101,F140,0,3603,0,0.0,3602,3602,0,0.0,0,8619,0,0.0,3501,0
RBF140fullS00020120501,F140,0,3484,0,0.0,3483,3483,0,0.0,0,8255,0,0.0,3382,0
RBF140fullS00020121101,F140,0,3359,0,0.0,3358,3358,0,0.0,0,8392,0,0.0,3257,0
RBF140fullS00020130501,F140,0,3242,0,0.0,3241,3241,0,0.0,0,8063,0,0.0,3140,0
RBF140fullS00020131101,F140,0,3121,0,0.0,3120,3120,0,0.0,0,7421,0,0.0,3019,0
RBF140fullS00020140501,F140,0,2999,0,0.0,2998,2998,0,0.0,0,7374,0,0.0,2897,0
RBF140fullS00020141101,F140,0,2876,0,0.0,2875,2875,0,0.0,0,7169,0,0.0,2774,0
RBF140fullS00020150501,F140,0,2755,0,0.0,2754,2754,0,0.0,0,6220,0,0.0,2654,0
RBF140fullS00020151101,F140,0,2633,0,0.0,2632,2632,0,0.0,0,6275,0,0.0,2595,0
RBF140fullS00020160501,F140,0,2510,0,0.0,2509,2509,0,0.0,0,6476,0,0.0,2472,0
RBP24V30fullS00020091101,P24V30,0,4089,0,0.0,4088,4088,0,0.0,0,4434,16,0.01792494266450434,3630,252
RBP24V30fullS00020100501,P24V30,0,3966,0,0.0,3965,3965,0,0.0,0,4283,21,0.01736147671693611,3636,234
RBP24V30fullS00020101101,P24V30,0,3848,0,-1.1641532182693481e-10,3847,3847,0,0.0,0,4156,21,0.01525383185716761,3587,240
RBP24V30fullS00020110501,P24V30,0,3726,0,-1.1641532182693481e-10,3725,3725,0,0.0,0,3917,25,0.02146250589159826,3564,240
RBP24V30fullS00020111101,P24V30,0,3603,0,0.0,3602,3602,0,0.0,0,4013,20,0.019997062263005405,3436,240
RBP24V30fullS00020120501,P24V30,0,3484,0,0.0,3483,3483,0,0.0,0,3927,21,0.019989733938983956,3320,234
RBP24V30fullS00020121101,P24V30,0,3359,0,-2.3283064365386963e-10,3358,3358,0,0.0,0,3885,20,0.0164682449663322,3188,234
RBP24V30fullS00020130501,P24V30,0,3242,0,0.0,3241,3241,0,0.0,0,3620,17,0.017981561311938177,3137,234
RBP24V30fullS00020131101,P24V30,0,3121,0,0.0,3120,3120,0,0.0,0,3490,18,0.027435127082928,2983,234
RBP24V30fullS00020140501,P24V30,0,2999,0,0.0,2998,2998,0,0.0,0,3416,14,0.017833710204707642,2809,234
RBP24V30fullS00020141101,P24V30,0,2876,0,0.0,2875,2875,0,0.0,0,2351,6,0.016688124435008334,2735,431
RBP24V30fullS00020150501,P24V30,0,2755,0,0.0,2754,2754,0,0.0,0,2655,12,0.03169164781010653,2568,304
RBP24V30fullS00020151101,P24V30,0,2633,0,-1.1641532182693481e-10,2632,2632,0,0.0,0,2644,16,0.01999175560178823,2574,204
RBP24V30fullS00020160501,P24V30,0,2510,0,0.0,2509,2509,0,0.0,0,2333,10,0.021482286057377953,2455,196
RBBASEAS00020091101ex5,BASE,0,4089,0,-2.3283064365386963e-10,0,0,0,0.0,0,338,0,0.0,0,0
RBBASEAS00020100501ex5,BASE,0,3966,0,0.0,0,0,0,0.0,0,261,0,0.0,0,0
RBBASEAS00020101101ex5,BASE,0,3848,0,0.0,0,0,0,0.0,0,168,0,0.0,0,0
RBBASEAS00020110501ex5,BASE,0,3726,0,-1.1641532182693481e-10,0,0,0,0.0,0,163,0,0.0,0,0
RBBASEAS00020111101ex5,BASE,0,3603,0,0.0,0,0,0,0.0,0,152,0,0.0,0,0
RBBASEAS00020120501ex5,BASE,0,3484,0,0.0,0,0,0,0.0,0,172,0,0.0,0,0
RBBASEAS00020121101ex5,BASE,0,3359,0,-9.313225746154785e-10,0,0,0,0.0,0,150,0,0.0,0,0
RBBASEAS00020130501ex5,BASE,0,3242,0,-9.313225746154785e-10,0,0,0,0.0,0,125,0,0.0,0,0
RBBASEAS00020131101ex5,BASE,0,3121,0,0.0,0,0,0,0.0,0,127,0,0.0,0,0
RBBASEAS00020140501ex5,BASE,0,2999,0,-2.3283064365386963e-10,0,0,0,0.0,0,168,0,0.0,0,0
RBBASEAS00020141101ex5,BASE,0,2876,0,-9.313225746154785e-10,0,0,0,0.0,0,227,0,0.0,0,0
RBBASEAS00020150501ex5,BASE,0,2755,0,-7.275957614183426e-12,0,0,0,0.0,0,41,0,0.0,0,0
RBBASEAS00020151101ex5,BASE,0,2633,0,0.0,0,0,0,0.0,0,21,0,0.0,0,0
RBBASEAS00020160501ex5,BASE,0,2510,0,-4.656612873077393e-10,0,0,0,0.0,0,19,0,0.0,0,0
RBP20AS00020091101ex5,P20,0,4089,0,0.0,4088,4088,0,0.0,0,3716,54,0.016299902361092244,3502,0
RBP20AS00020100501ex5,P20,0,3966,0,0.0,3965,3965,0,0.0,0,3329,51,0.011473233028412855,3488,0
RBP20AS00020101101ex5,P20,0,3848,0,0.0,3847,3847,0,0.0,0,3391,62,0.008930844674722882,3415,0
RBP20AS00020110501ex5,P20,0,3726,0,0.0,3725,3725,0,0.0,0,4089,72,0.019204497410618998,3487,0
RBP20AS00020111101ex5,P20,0,3603,0,0.0,3602,3602,0,0.0,0,3908,54,0.019060579268743272,3344,0
RBP20AS00020120501ex5,P20,0,3484,0,0.0,3483,3483,0,0.0,0,3350,60,0.012076288866369606,3201,0
RBP20AS00020121101ex5,P20,0,3359,0,0.0,3358,3358,0,0.0,0,4510,50,0.014623413431477467,3203,0
RBP20AS00020130501ex5,P20,0,3242,0,0.0,3241,3241,0,0.0,0,3856,59,0.012259648501323689,2976,0
RBP20AS00020131101ex5,P20,0,3121,0,0.0,3120,3120,0,0.0,0,3690,49,0.01733808778276058,2956,0
RBP20AS00020140501ex5,P20,0,2999,0,0.0,2998,2998,0,0.0,0,4512,57,0.01623302880543162,2805,0
RBP20AS00020141101ex5,P20,0,2876,0,0.0,2875,2875,0,0.0,0,4051,48,0.013818471239366553,2521,0
RBP20AS00020150501ex5,P20,0,2755,0,0.0,2754,2754,0,0.0,0,3571,49,0.015960759469510782,2571,0
RBP20AS00020151101ex5,P20,0,2633,0,0.0,2632,2632,0,0.0,0,3064,43,0.030177671321576255,2474,0
RBP20AS00020160501ex5,P20,0,2510,0,0.0,2509,2509,0,0.0,0,2524,29,0.00896344017363121,2222,0
RBP24AS00020091101ex5,P24,0,4089,0,0.0,4088,4088,0,0.0,0,5459,107,0.026241459106636444,2854,0
RBP24AS00020100501ex5,P24,0,3966,0,-5.684341886080802e-14,3965,3965,0,0.0,0,5169,108,0.019999329322335335,2832,0
RBP24AS00020101101ex5,P24,0,3848,0,0.0,3847,3847,0,0.0,0,5256,147,0.014045662167855244,2804,0
RBP24AS00020110501ex5,P24,0,3726,0,0.0,3725,3725,0,0.0,0,5477,63,0.019997494831722085,2871,0
RBP24AS00020111101ex5,P24,0,3603,0,-2.3283064365386963e-10,3602,3602,0,0.0,0,5376,88,0.019996107986939515,2793,0
RBP24AS00020120501ex5,P24,0,3484,0,0.0,3483,3483,0,0.0,0,5069,64,0.023863846221301777,2490,0
RBP24AS00020121101ex5,P24,0,3359,0,0.0,3358,3358,0,0.0,0,5145,109,0.024740440735421865,2454,0
RBP24AS00020130501ex5,P24,0,3242,0,0.0,3241,3241,0,0.0,0,5060,135,0.0182974716192722,2297,0
RBP24AS00020131101ex5,P24,0,3121,0,-5.684341886080802e-14,3120,3120,0,0.0,0,4074,59,0.01888517236645737,2027,0
RBP24AS00020140501ex5,P24,0,2999,0,0.0,2998,2998,0,0.0,0,5075,60,0.019202658239719117,2247,0
RBP24AS00020141101ex5,P24,0,2876,0,0.0,2875,2875,0,0.0,0,4477,44,0.02317677651293837,2048,0
RBP24AS00020150501ex5,P24,0,2755,0,0.0,2754,2754,0,0.0,0,3405,74,0.015949596529086396,1684,0
RBP24AS00020151101ex5,P24,0,2633,0,0.0,2632,2632,0,0.0,0,3639,80,0.019999378288955483,1795,0
RBP24AS00020160501ex5,P24,0,2510,0,0.0,2509,2509,0,0.0,0,3645,75,0.019046847285025592,1799,0
RBP28AS00020091101ex5,P28,0,4089,0,0.0,4088,4088,0,0.0,0,2852,45,0.024792716412028848,1716,0
RBP28AS00020100501ex5,P28,0,3966,0,-2.9103830456733704e-11,3965,3965,0,0.0,0,2719,80,0.02002577654900245,1743,0
RBP28AS00020101101ex5,P28,0,3848,0,0.0,3847,3847,0,0.0,0,2190,69,0.020014951612582932,1497,0
RBP28AS00020110501ex5,P28,0,3726,0,0.0,3725,3725,0,0.0,0,2454,63,0.01949504749230091,1609,0
RBP28AS00020111101ex5,P28,0,3603,0,-2.3283064365386963e-10,3602,3602,0,0.0,0,2682,48,0.03324475717844644,1552,0
RBP28AS00020120501ex5,P28,0,3484,0,-2.9103830456733704e-11,3483,3483,0,0.0,0,2657,60,0.013158950198208286,1411,0
RBP28AS00020121101ex5,P28,0,3359,0,0.0,3358,3358,0,0.0,0,2519,61,0.01697590312083358,1259,0
RBP28AS00020130501ex5,P28,0,3242,0,0.0,3241,3241,0,0.0,0,2501,37,0.008696557564968455,1321,0
RBP28AS00020131101ex5,P28,0,3121,0,0.0,3120,3120,0,0.0,0,2371,61,0.013721474198482742,1290,0
RBP28AS00020140501ex5,P28,0,2999,0,0.0,2998,2998,0,0.0,0,2277,106,0.01697319918665946,1137,0
RBP28AS00020141101ex5,P28,0,2876,0,0.0,2875,2875,0,0.0,0,2264,36,0.020974557795758686,1097,0
