group,arm,start,rank,peak,trough,drawdown,recovery,peak_to_recovery_calendar_days
full,P24,2013-11-01,2,2015-06-09,2016-06-13,0.37834897159108594,2017-02-13,615
full,P24,2013-11-01,3,2020-02-17,2020-03-23,0.36055717843973634,2020-07-08,142
full,P24,2014-05-01,1,2024-05-29,2024-09-11,0.40458124405495055,2025-08-15,443
full,P24,2014-05-01,2,2020-01-03,2020-03-23,0.36251127807935013,2020-07-09,188
full,P24,2014-05-01,3,2015-06-09,2016-02-01,0.3596241587746656,2016-11-25,535
full,P24,2014-11-01,1,2024-05-29,2024-09-11,0.41416733907520864,2024-11-07,162
full,P24,2014-11-01,2,2015-06-09,2016-05-18,0.4128474036644687,2017-03-21,651
full,P24,2014-11-01,3,2021-09-22,2021-11-16,0.32853937839716874,2022-04-13,203
full,P24,2015-05-01,1,2024-05-29,2024-09-11,0.3954017060056395,2025-09-05,464
full,P24,2015-05-01,2,2015-12-25,2016-05-18,0.38520661674630075,2017-03-20,451
full,P24,2015-05-01,3,2020-01-03,2020-03-23,0.3592405057025313,2020-07-08,187
full,P24,2015-11-01,1,2024-05-29,2025-04-07,0.46715314366725313,2025-10-23,512
full,P24,2015-11-01,2,2015-12-25,2016-05-18,0.38420384536682817,2017-03-20,451
full,P24,2015-11-01,3,2020-02-17,2020-03-23,0.3551320212478327,2020-07-08,142
full,P24,2016-05-01,1,2024-05-29,2024-09-11,0.4134628407717841,2025-08-15,443
full,P24,2016-05-01,2,2020-02-17,2020-03-23,0.3355709787165647,2020-07-08,142
full,P24,2016-05-01,3,2021-09-22,2021-11-16,0.334497280519241,2022-04-14,204
full,P28,2009-11-01,1,2024-05-29,2024-09-11,0.466604140587379,2025-07-22,419
full,P28,2009-11-01,2,2011-07-13,2013-06-25,0.4604383892848657,2014-12-04,1240
full,P28,2009-11-01,3,2015-04-27,2016-06-13,0.40614376111764916,2017-03-20,693
full,P28,2010-05-01,1,2024-05-29,2024-09-11,0.48216856754389725,2025-07-24,421
full,P28,2010-05-01,2,2011-07-13,2013-06-25,0.4541635553305655,2014-12-04,1240
full,P28,2010-05-01,3,2015-04-27,2016-06-13,0.42524295966213,2017-03-20,693
full,P28,2010-11-01,1,2011-07-13,2014-03-20,0.47970375479411054,2014-12-22,1258
full,P28,2010-11-01,2,2024-05-29,2024-09-11,0.46663184300767135,2025-08-13,441
full,P28,2010-11-01,3,2015-04-27,2016-06-13,0.43837229516471954,2017-03-21,694
full,P28,2011-05-01,1,2024-05-29,2024-09-11,0.47989444468263054,2025-08-15,443
full,P28,2011-05-01,2,2021-09-22,2021-11-16,0.4431728235482457,2022-03-31,190
full,P28,2011-05-01,3,2015-06-09,2016-06-13,0.42686190562981496,2017-03-21,651
full,P28,2011-11-01,1,2024-05-29,2024-09-11,0.4637938136973644,2025-07-22,419
full,P28,2011-11-01,2,2015-04-27,2016-06-13,0.4388371048605747,2017-03-20,693
full,P28,2011-11-01,3,2021-09-22,2021-11-16,0.4211290589927347,2022-04-13,203
full,P28,2012-05-01,1,2024-05-29,2024-09-11,0.47988736292326295,2025-07-22,419
full,P28,2012-05-01,2,2013-02-08,2014-03-20,0.4709606127182866,2014-12-19,679
full,P28,2012-05-01,3,2020-01-03,2020-03-23,0.4285872942452741,2020-07-09,188
full,P28,2012-11-01,1,2024-05-29,2024-09-11,0.46896279096035787,2025-08-15,443
full,P28,2012-11-01,2,2013-02-08,2014-03-10,0.44026713706645293,2014-12-04,664
full,P28,2012-11-01,3,2020-01-03,2020-03-23,0.41017894042856407,2020-07-08,187
full,P28,2013-05-01,1,2024-05-29,2024-09-11,0.4534268097045111,2024-11-07,162
full,P28,2013-05-01,2,2015-04-27,2016-06-13,0.4386429835814365,2017-03-20,693
full,P28,2013-05-01,3,2021-09-22,2021-11-16,0.41905691521623545,2022-04-08,198
full,P28,2013-11-01,1,2024-05-29,2024-09-11,0.4895274519290952,2025-09-05,464
full,P28,2013-11-01,2,2015-04-22,2016-06-13,0.4097062555992419,2016-12-01,589
full,P28,2013-11-01,3,2021-09-22,2021-11-16,0.39442011421564505,2022-04-14,204
full,P28,2014-05-01,1,2024-05-29,2024-09-11,0.47663949938393413,2025-09-05,464
full,P28,2014-05-01,2,2015-04-27,2016-06-13,0.40320215910516854,2016-12-01,584
full,P28,2014-05-01,3,2021-09-22,2021-11-16,0.4026235414920476,2022-04-14,204
full,P28,2014-11-01,1,2024-05-29,2024-09-11,0.4730794525138179,2025-07-22,419
full,P28,2014-11-01,2,2020-01-03,2020-03-23,0.45827084170230037,2020-07-13,192
full,P28,2014-11-01,3,2015-04-27,2016-05-18,0.44627350745141003,2017-03-20,693
full,P28,2015-05-01,1,2024-05-29,2024-09-11,0.4663759353863568,2025-07-24,421
full,P28,2015-05-01,2,2020-01-03,2020-03-23,0.45791822722502007,2020-07-13,192
full,P28,2015-05-01,3,2015-12-25,2016-05-18,0.4394709593778082,2017-03-20,451
full,P28,2015-11-01,1,2024-05-29,2024-09-11,0.4908804173963852,2025-08-15,443
full,P28,2015-11-01,2,2020-01-03,2020-03-23,0.4575738347828825,2020-07-13,192
full,P28,2015-11-01,3,2015-12-25,2016-05-18,0.43083201356796574,2017-03-20,451
full,P28,2016-05-01,1,2024-05-29,2024-09-11,0.43735938301993693,2024-11-07,162
full,P28,2016-05-01,2,2021-09-22,2021-11-16,0.42380467842540936,2022-04-13,203
full,P28,2016-05-01,3,2020-01-03,2020-03-23,0.41078520814839914,2020-07-09,188
