group,arm,bp,year,days,active_days,missing_days
U1,F120,0,2024,3388,3388,0
U1,F120,0,2025,3402,3402,0
U1,F120,0,2026,2226,2226,0
U1,F140,0,2009,43,0,0
U1,F140,0,2010,448,114,0
U1,F140,0,2011,941,627,0
U1,F140,0,2012,1424,1424,0
U1,F140,0,2013,1871,1871,0
U1,F140,0,2014,2412,2412,0
U1,F140,0,2015,2892,2125,0
U1,F140,0,2016,3336,3336,0
U1,F140,0,2017,3416,3416,0
U1,F140,0,2018,3402,2884,0
U1,F140,0,2019,3416,3416,0
U1,F140,0,2020,3402,3402,0
U1,F140,0,2021,3402,3402,0
U1,F140,0,2022,3388,3388,0
U1,F140,0,2023,3388,3388,0
U1,F140,0,2024,3388,3388,0
U1,F140,0,2025,3402,3402,0
U1,F140,0,2026,2226,2226,0
U1,P20,0,2009,43,0,0
U1,P20,0,2010,448,114,0
U1,P20,0,2011,941,627,0
U1,P20,0,2012,1424,1424,0
U1,P20,0,2013,1871,1805,0
U1,P20,0,2014,2412,2377,0
U1,P20,0,2015,2892,2073,0
U1,P20,0,2016,3336,3278,0
U1,P20,0,2017,3416,3416,0
U1,P20,0,2018,3402,2884,0
U1,P20,0,2019,3416,3416,0
U1,P20,0,2020,3402,3402,0
U1,P20,0,2021,3402,3402,0
U1,P20,0,2022,3388,3372,0
U1,P20,0,2023,3388,3388,0
U1,P20,0,2024,3388,2761,0
U1,P20,0,2025,3402,2195,0
U1,P20,0,2026,2226,2199,0
U1,P24V30,0,2009,43,0,0
U1,P24V30,0,2010,448,114,0
U1,P24V30,0,2011,941,627,0
U1,P24V30,0,2012,1424,1418,0
U1,P24V30,0,2013,1871,1823,0
U1,P24V30,0,2014,2412,2391,808
U1,P24V30,0,2015,2892,2125,862
U1,P24V30,0,2016,3336,3056,306
U1,P24V30,0,2017,3416,2431,112
U1,P24V30,0,2018,3402,2884,1225
U1,P24V30,0,2019,3416,3416,98
U1,P24V30,0,2020,3402,3402,196
U1,P24V30,0,2021,3402,3402,0
U1,P24V30,0,2022,3388,3257,0
U1,P24V30,0,2023,3388,2793,44
U1,P24V30,0,2024,3388,2253,0
U1,P24V30,0,2025,3402,2108,0
U1,P24V30,0,2026,2226,2164,0
U1,V25,0,2009,43,0,0
U1,V25,0,2010,448,74,0
U1,V25,0,2011,941,334,0
U1,V25,0,2012,1424,1176,0
U1,V25,0,2013,1871,1869,0
U1,V25,0,2014,2412,2410,485
U1,V25,0,2015,2892,2068,494
U1,V25,0,2016,3336,3065,124
U1,V25,0,2017,3416,2157,48
U1,V25,0,2018,3402,2884,557
U1,V25,0,2019,3416,3416,98
U1,V25,0,2020,3402,3402,196
U1,V25,0,2021,3402,3389,0
U1,V25,0,2022,3388,1517,0
U1,V25,0,2023,3388,1178,2
U1,V25,0,2024,3388,2642,0
U1,V25,0,2025,3402,2820,0
U1,V25,0,2026,2226,2033,0
U1,V30,0,2009,43,0,0
U1,V30,0,2010,448,74,0
U1,V30,0,2011,941,328,0
U1,V30,0,2012,1424,1049,0
U1,V30,0,2013,1871,1814,0
U1,V30,0,2014,2412,2366,871
U1,V30,0,2015,2892,2068,746
U1,V30,0,2016,3336,2939,490
U1,V30,0,2017,3416,1387,64
U1,V30,0,2018,3402,2855,724
U1,V30,0,2019,3416,2941,98
U1,V30,0,2020,3402,3402,196
U1,V30,0,2021,3402,2674,0
U1,V30,0,2022,3388,1100,0
U1,V30,0,2023,3388,897,36
U1,V30,0,2024,3388,1855,0
U1,V30,0,2025,3402,2042,0
U1,V30,0,2026,2226,1684,0
U1,V30F080,0,2009,43,0,0
U1,V30F080,0,2010,448,74,0
U1,V30F080,0,2011,941,332,0
U1,V30F080,0,2012,1424,1100,0
U1,V30F080,0,2013,1871,1822,0
U1,V30F080,0,2014,2412,2378,793
U1,V30F080,0,2015,2892,2068,298
U1,V30F080,0,2016,3336,2877,751
U1,V30F080,0,2017,3416,1579,144
U1,V30F080,0,2018,3402,2883,1559
U1,V30F080,0,2019,3416,2876,98
U1,V30F080,0,2020,3402,3402,196
U1,V30F080,0,2021,3402,2544,0
U1,V30F080,0,2022,3388,998,0
U1,V30F080,0,2023,3388,900,16
U1,V30F080,0,2024,3388,1773,0
U1,V30F080,0,2025,3402,1851,0
U1,V30F080,0,2026,2226,1667,0
U1,V35,0,2009,43,0,0
U1,V35,0,2010,448,74,0
U1,V35,0,2011,941,297,0
U1,V35,0,2012,1424,969,0
U1,V35,0,2013,1871,1687,0
U1,V35,0,2014,2412,1783,876
U1,V35,0,2015,2892,2068,900
U1,V35,0,2016,3336,2369,100
U1,V35,0,2017,3416,1149,208
U1,V35,0,2018,3402,2866,2227
U1,V35,0,2019,3416,2212,98
U1,V35,0,2020,3402,3393,196
U1,V35,0,2021,3402,2148,0
U1,V35,0,2022,3388,499,0
U1,V35,0,2023,3388,841,24
U1,V35,0,2024,3388,1264,0
U1,V35,0,2025,3402,1336,0
U1,V35,0,2026,2226,1210,0
U2,F100,0,2009,43,0,0
U2,F100,0,2010,448,114,0
U2,F100,0,2011,941,627,0
U2,F100,0,2012,1424,1424,0
U2,F100,0,2013,1871,1871,0
U2,F100,0,2014,2412,2412,0
U2,F100,0,2015,2892,2125,0
U2,F100,0,2016,3336,3336,0
U2,F100,0,2017,3416,3416,0
U2,F100,0,2018,3402,2884,0
U2,F100,0,2019,3416,3416,0
U2,F100,0,2020,3402,3402,0
U2,F100,0,2021,3402,3402,0
U2,F100,0,2022,3388,3388,0
U2,F100,0,2023,3388,3388,0
U2,F100,0,2024,3388,3388,0
U2,F100,0,2025,3402,3402,0
U2,F100,0,2026,2226,2226,0
U2,P24,0,2009,43,0,0
U2,P24,0,2010,448,114,0
U2,P24,0,2011,941,627,0
U2,P24,0,2012,1424,1424,0
U2,P24,0,2013,1871,1780,0
U2,P24,0,2014,2412,1676,0
U2,P24,0,2015,2892,1345,0
U2,P24,0,2016,3336,2275,0
U2,P24,0,2017,3416,2121,0
U2,P24,0,2018,3402,2846,0
U2,P24,0,2019,3416,3416,0
U2,P24,0,2020,3402,3381,0
U2,P24,0,2021,3402,3296,0
U2,P24,0,2022,3388,3326,0
U2,P24,0,2023,3388,3130,0
U2,P24,0,2024,3388,859,0
U2,P24,0,2025,3402,278,0
U2,P24,0,2026,2226,1101,0
U2,P28,0,2009,43,0,0
U2,P28,0,2010,448,114,0
U2,P28,0,2011,941,627,0
U2,P28,0,2012,1424,1329,0
U2,P28,0,2013,1871,585,0
U2,P28,0,2014,2412,403,0
U2,P28,0,2015,2892,727,0
U2,P28,0,2016,3336,1115,0
U2,P28,0,2017,3416,131,0
U2,P28,0,2018,3402,2624,0
U2,P28,0,2019,3416,3362,0
U2,P28,0,2020,3402,2474,0
U2,P28,0,2021,3402,1700,0
U2,P28,0,2022,3388,2578,0
U2,P28,0,2023,3388,392,0
U2,P28,0,2024,3388,0,0
U2,P28,0,2025,3402,0,0
U2,P28,0,2026,2226,738,0
U2,V30L60,0,2009,43,0,0
U2,V30L60,0,2010,448,74,0
U2,V30L60,0,2011,941,328,0
U2,V30L60,0,2012,1424,1234,0
U2,V30L60,0,2013,1871,1811,0
U2,V30L60,0,2014,2412,2238,620
U2,V30L60,0,2015,2892,2068,615
U2,V30L60,0,2016,3336,2792,294
U2,V30L60,0,2017,3416,1389,132
U2,V30L60,0,2018,3402,2884,1749
U2,V30L60,0,2019,3416,2494,0
U2,V30L60,0,2020,3402,3313,0
U2,V30L60,0,2021,3402,2550,0
U2,V30L60,0,2022,3388,842,0
U2,V30L60,0,2023,3388,866,0
U2,V30L60,0,2024,3388,1412,0
U2,V30L60,0,2025,3402,1738,0
U2,V30L60,0,2026,2226,1414,0
full,F100,0,2009,43,0,0
full,F100,0,2010,448,114,0
full,F100,0,2011,941,627,0
full,F100,0,2012,1424,1424,0
full,F100,0,2013,1871,1871,0
full,F100,0,2014,2412,2412,0
full,F100,0,2015,2892,2125,0
full,F100,0,2016,3336,3336,0
full,F100,0,2017,3416,3416,0
full,F100,0,2018,3402,2884,0
full,F100,0,2019,3416,3416,0
full,F100,0,2020,3402,3402,0
full,F100,0,2021,3402,3402,0
full,F100,0,2022,3388,3388,0
full,F100,0,2023,3388,3388,0
full,F100,0,2024,3388,3388,0
full,F100,0,2025,3402,3402,0
full,F100,0,2026,2226,2226,0
full,F120,0,2009,43,0,0
full,F120,0,2010,448,114,0
full,F120,0,2011,941,627,0
full,F120,0,2012,1424,1424,0
full,F120,0,2013,1871,1871,0
full,F120,0,2014,2412,2412,0
full,F120,0,2015,2892,2125,0
full,F120,0,2016,3336,3336,0
full,F120,0,2017,3416,3416,0
full,F120,0,2018,3402,2884,0
full,F120,0,2019,3416,3416,0
full,F120,0,2020,3402,3402,0
full,F120,0,2021,3402,3402,0
full,F120,0,2022,3388,3388,0
full,F120,0,2023,3388,3388,0
full,F120,0,2024,3388,3388,0
full,F120,0,2025,3402,3402,0
full,F120,0,2026,2226,2226,0
full,F140,0,2009,43,0,0
full,F140,0,2010,448,114,0
full,F140,0,2011,941,627,0
full,F140,0,2012,1424,1424,0
full,F140,0,2013,1871,1871,0
full,F140,0,2014,2412,2412,0
full,F140,0,2015,2892,2125,0
full,F140,0,2016,3336,3336,0
full,F140,0,2017,3416,3416,0
full,F140,0,2018,3402,2884,0
full,F140,0,2019,3416,3416,0
full,F140,0,2020,3402,3402,0
full,F140,0,2021,3402,3402,0
full,F140,0,2022,3388,3388,0
full,F140,0,2023,3388,3388,0
full,F140,0,2024,3388,3388,0
full,F140,0,2025,3402,3402,0
full,F140,0,2026,2226,2226,0
full,P20,0,2009,43,0,0
full,P20,0,2010,448,114,0
full,P20,0,2011,941,627,0
full,P20,0,2012,1424,1424,0
full,P20,0,2013,1871,1871,0
full,P20,0,2014,2412,2389,0
full,P20,0,2015,2892,2079,0
full,P20,0,2016,3336,3336,0
full,P20,0,2017,3416,3416,0
full,P20,0,2018,3402,2884,0
full,P20,0,2019,3416,3416,0
full,P20,0,2020,3402,3402,0
full,P20,0,2021,3402,3402,0
full,P20,0,2022,3388,3388,0
full,P20,0,2023,3388,3381,0
full,P20,0,2024,3388,3209,0
full,P20,0,2025,3402,2812,0
full,P20,0,2026,2226,2226,0
full,P24,0,2009,43,0,0
full,P24,0,2010,448,110,0
full,P24,0,2011,941,627,0
full,P24,0,2012,1424,1401,0
full,P24,0,2013,1871,1871,0
full,P24,0,2014,2412,1981,0
full,P24,0,2015,2892,1553,0
full,P24,0,2016,3336,2821,0
full,P24,0,2017,3416,2572,0
full,P24,0,2018,3402,2842,0
full,P24,0,2019,3416,3253,0
full,P24,0,2020,3402,2911,0
full,P24,0,2021,3402,3401,0
full,P24,0,2022,3388,3335,0
full,P24,0,2023,3388,2740,0
full,P24,0,2024,3388,2740,0
full,P24,0,2025,3402,1473,0
full,P24,0,2026,2226,1708,0
full,P24,30,2009,43,0,0
full,P24,30,2010,448,110,0
full,P24,30,2011,941,627,0
full,P24,30,2012,1424,1401,0
full,P24,30,2013,1871,1871,0
full,P24,30,2014,2412,1992,0
full,P24,30,2015,2892,1557,0
full,P24,30,2016,3336,2821,0
full,P24,30,2017,3416,2571,0
full,P24,30,2018,3402,2869,0
full,P24,30,2019,3416,3302,0
full,P24,30,2020,3402,2912,0
full,P24,30,2021,3402,3402,0
full,P24,30,2022,3388,3308,0
full,P24,30,2023,3388,2668,0
full,P24,30,2024,3388,2760,0
full,P24,30,2025,3402,1748,0
full,P24,30,2026,2226,1960,0
full,P24V30,0,2009,43,0,0
full,P24V30,0,2010,448,114,0
full,P24V30,0,2011,941,627,0
full,P24V30,0,2012,1424,1424,54
full,P24V30,0,2013,1871,1871,0
full,P24V30,0,2014,2412,2392,150
full,P24V30,0,2015,2892,2125,212
full,P24V30,0,2016,3336,3084,246
full,P24V30,0,2017,3416,3416,1658
full,P24V30,0,2018,3402,2884,57
full,P24V30,0,2019,3416,3416,98
full,P24V30,0,2020,3402,3402,196
full,P24V30,0,2021,3402,3402,0
full,P24V30,0,2022,3388,3388,0
full,P24V30,0,2023,3388,3388,0
full,P24V30,0,2024,3388,3306,0
full,P24V30,0,2025,3402,3254,840
full,P24V30,0,2026,2226,2129,0
full,P28,0,2009,43,0,0
full,P28,0,2010,448,96,0
full,P28,0,2011,941,627,0
full,P28,0,2012,1424,1209,0
full,P28,0,2013,1871,1063,0
full,P28,0,2014,2412,918,0
full,P28,0,2015,2892,1157,0
full,P28,0,2016,3336,1233,0
full,P28,0,2017,3416,573,0
full,P28,0,2018,3402,2659,0
full,P28,0,2019,3416,935,0
full,P28,0,2020,3402,881,0
full,P28,0,2021,3402,2071,0
full,P28,0,2022,3388,1330,0
full,P28,0,2023,3388,1030,0
full,P28,0,2024,3388,853,0
full,P28,0,2025,3402,821,0
full,P28,0,2026,2226,1071,0
full,V25,0,2009,43,0,0
full,V25,0,2010,448,74,0
full,V25,0,2011,941,481,0
full,V25,0,2012,1424,1368,54
full,V25,0,2013,1871,1869,0
full,V25,0,2014,2412,2337,135
full,V25,0,2015,2892,2068,201
full,V25,0,2016,3336,3212,211
full,V25,0,2017,3416,3412,1764
full,V25,0,2018,3402,2884,0
full,V25,0,2019,3416,3416,98
full,V25,0,2020,3402,3402,196
full,V25,0,2021,3402,3402,0
full,V25,0,2022,3388,2653,0
full,V25,0,2023,3388,977,0
full,V25,0,2024,3388,3155,0
full,V25,0,2025,3402,3402,840
full,V25,0,2026,2226,1966,0
full,V30,0,2009,43,0,0
full,V30,0,2010,448,74,0
full,V30,0,2011,941,479,0
full,V30,0,2012,1424,1318,54
full,V30,0,2013,1871,1869,0
full,V30,0,2014,2412,2153,150
full,V30,0,2015,2892,2035,222
full,V30,0,2016,3336,2717,211
full,V30,0,2017,3416,2826,1768
full,V30,0,2018,3402,2884,0
full,V30,0,2019,3416,3078,378
full,V30,0,2020,3402,3399,196
full,V30,0,2021,3402,3402,0
full,V30,0,2022,3388,2416,0
full,V30,0,2023,3388,763,0
full,V30,0,2024,3388,3123,0
full,V30,0,2025,3402,3362,840
full,V30,0,2026,2226,1475,0
full,V30,30,2009,43,0,0
full,V30,30,2010,448,74,0
full,V30,30,2011,941,479,0
full,V30,30,2012,1424,1318,54
full,V30,30,2013,1871,1869,0
full,V30,30,2014,2412,2150,135
full,V30,30,2015,2892,2035,177
full,V30,30,2016,3336,2720,211
full,V30,30,2017,3416,2823,1766
full,V30,30,2018,3402,2884,0
full,V30,30,2019,3416,3076,378
full,V30,30,2020,3402,3401,196
full,V30,30,2021,3402,3402,0
full,V30,30,2022,3388,2260,0
full,V30,30,2023,3388,769,0
full,V30,30,2024,3388,3055,0
full,V30,30,2025,3402,3322,840
full,V30,30,2026,2226,1460,0
full,V30F080,0,2009,43,0,0
full,V30F080,0,2010,448,74,0
full,V30F080,0,2011,941,485,0
full,V30F080,0,2012,1424,1318,54
full,V30F080,0,2013,1871,1869,0
full,V30F080,0,2014,2412,2200,150
full,V30F080,0,2015,2892,2037,147
full,V30F080,0,2016,3336,3011,1477
full,V30F080,0,2017,3416,2859,1849
full,V30F080,0,2018,3402,2884,0
full,V30F080,0,2019,3416,3055,378
full,V30F080,0,2020,3402,3353,196
full,V30F080,0,2021,3402,3402,0
full,V30F080,0,2022,3388,1952,0
full,V30F080,0,2023,3388,762,0
full,V30F080,0,2024,3388,2811,0
full,V30F080,0,2025,3402,3038,840
full,V30F080,0,2026,2226,1404,0
full,V30L60,0,2009,43,0,0
full,V30L60,0,2010,448,74,0
full,V30L60,0,2011,941,479,0
full,V30L60,0,2012,1424,1318,0
full,V30L60,0,2013,1871,1869,0
full,V30L60,0,2014,2412,1850,0
full,V30L60,0,2015,2892,2035,0
full,V30L60,0,2016,3336,2363,0
full,V30L60,0,2017,3416,2363,1715
full,V30L60,0,2018,3402,2884,0
full,V30L60,0,2019,3416,2782,0
full,V30L60,0,2020,3402,3347,0
full,V30L60,0,2021,3402,3402,0
full,V30L60,0,2022,3388,2006,0
full,V30L60,0,2023,3388,708,0
full,V30L60,0,2024,3388,2770,0
full,V30L60,0,2025,3402,3126,728
full,V30L60,0,2026,2226,1282,0
full,V35,0,2009,43,0,0
full,V35,0,2010,448,74,0
full,V35,0,2011,941,461,0
full,V35,0,2012,1424,1109,54
full,V35,0,2013,1871,1860,0
full,V35,0,2014,2412,1517,135
full,V35,0,2015,2892,2035,207
full,V35,0,2016,3336,2133,0
full,V35,0,2017,3416,2601,1771
full,V35,0,2018,3402,2884,0
full,V35,0,2019,3416,2268,378
full,V35,0,2020,3402,3203,196
full,V35,0,2021,3402,3398,0
full,V35,0,2022,3388,2141,0
full,V35,0,2023,3388,299,0
full,V35,0,2024,3388,2609,0
full,V35,0,2025,3402,2640,840
full,V35,0,2026,2226,1258,0
