trade_date,security_code,security_name,exchange,quality_tier,quality_tier_label,quality_score,pool_layer,valuation_tier,valuation_tier_effective,valuation_tier_changed,fair_price_low,fair_price_high,band_position,margin_of_safety,model_intrinsic_value,model_band_source,model_pv,strategy_tag,total_market_cap_bn,signal_state,review_frozen,note,gap_trading_days,gap_return,gap_max_vol_ratio,gap_max_vol_day,close,high,low,pct_chg,amount,ma20,ma60,amount_ma20,data_source,screened_at_utc
2026-08-21,000858,五粮液,SZSE,L1,L1,82.8,core,中性,中性,False,59.47,72.69,带内89%,,66.0829,模型带·2026-06-30,1.0773,A-现金流复利型,276.3320,ok,False,,,,,,71.19,72.0,71.11,-1.2484,1403140662.0,74.804,74.372,2595479467.1,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000858,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:34+00:00
2026-08-21,600809,山西汾酒,SSE,L1,L1,78.3,core,较低估,较低估,False,137.13,167.61,低于带底-15%,0.3073,152.3721,模型带·2026-03-31,0.7649,A-现金流复利型,142.1870,ok,False,,,,,,116.55,118.5,116.01,-1.6456,526736070.0,121.5465,113.3475,1261650179.75,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600809,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:31+00:00
2026-08-21,000568,泸州老窖,SZSE,L1,L1,82.7,core,较低估,较低估,False,106.77,130.50,低于带底-20%,0.3924,118.6325,模型带·2026-03-31,0.7182,A-现金流复利型,125.4060,ok,False,,,,,,85.2,86.3,84.8,-1.0568,483850800.0,88.2645,84.0932,1046861362.15,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000568,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:32+00:00
2026-08-21,600132,重庆啤酒,SSE,L2,L2,73.1,core,较高估,较高估,False,30.38,37.13,越带顶+8%,,33.7558,模型带·2026-06-30,1.1933,A-现金流复利型,19.4940,ok,False,,,,,,40.28,41.25,40.26,-2.1142,186295000.0,44.0625,44.7305,196083134.75,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600132,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:32+00:00
2026-08-21,600600,青岛啤酒,SSE,L2,L2,74.4,core,较高估,较高估,False,39.54,48.33,越带顶+5%,,43.9344,模型带·2026-03-31,1.1567,A-现金流复利型,69.3280,ok,False,,,,,,50.82,51.52,50.64,-1.2053,235281354.0,53.6115,53.631,375653492.55,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600600,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:33+00:00
2026-08-21,000423,东阿阿胶,SZSE,L2,L2,75.2,core,中性,中性,False,43.64,53.34,带内49%,,48.4881,模型带·2026-06-30,0.9972,A-现金流复利型,30.9360,ok,False,,,,,,48.35,50.6,48.18,-6.2984,975557950.0,52.9445,49.81,373029527.35,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000423,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:32+00:00
2026-08-21,000538,云南白药,SZSE,L1,L1,74.9,core,较高估,较高估,False,39.52,48.31,越带顶+2%,,43.9156,模型带·2026-03-31,1.1233,A-现金流复利型,88.0180,ok,False,,,,,,49.33,50.08,49.31,-1.7526,424385990.0,50.902,49.9498,480886621.8,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000538,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:36+00:00
2026-08-21,000999,华润三九,SZSE,L2,L2,75.3,core,中性,中性,False,23.34,28.52,带内15%,,25.9301,模型带·2026-06-30,0.931,A-现金流复利型,40.1740,ok,False,,,,,,24.14,24.98,24.08,-3.6712,389069208.0,25.1155,24.4878,317398685.25,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000999,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:35+00:00
2026-08-21,600436,片仔癀,SSE,L1,L1,79.0,core,高估,高估,False,40.52,49.53,越带顶+151%,,45.0264,模型带·2026-03-31,2.7562,A-现金流复利型,74.8720,ok,False,,,,,,124.1,128.35,123.46,-4.2808,745319780.0,134.1375,124.4803,834978735.7,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600436,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:36+00:00
2026-08-21,600285,羚锐制药,SSE,L2,L2,70.9,core,较高估,较高估,False,14.77,18.05,越带顶+8%,,16.4131,模型带·2026-06-30,1.1905,A-现金流复利型,11.0810,ok,False,,,,,,19.54,19.73,19.35,-1.2633,170347766.0,21.526,21.2112,299139150.25,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600285,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:35+00:00
2026-08-21,600750,华润江中,SSE,L2,L2,70.9,core,高估,高估,False,10.88,13.30,越带顶+85%,,12.0902,模型带·2026-06-30,2.0364,A-现金流复利型,15.6480,ok,False,,,,,,24.62,24.64,23.8,1.7355,163331542.0,24.9255,24.4088,123482954.1,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600750,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:43+00:00
2026-08-21,600993,马应龙,SSE,L2,L2,71.1,core,较高估,较高估,False,15.72,19.21,越带顶+20%,,17.4662,模型带·2026-03-31,1.3174,A-现金流复利型,9.9190,ok,False,,,,,,23.01,23.4,22.8,-2.0434,129148227.0,23.5305,22.915,139468840.05,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600993,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:35+00:00
