security_code,security_name,quality_tier,report_date,notice_date,available_at,status,reason,eps_ttm,roe_ttm,roe_source,bps,eps0,roe0,roe_anchor,roe_trend,roe0_normalized,roe0_mode,growth_confirmed,roe_window,roe_efficiency,incremental_roe,incremental_roe_basis,cash_roe0,owner_earnings0,v_zero_growth,incremental_roe_used,ame_path,nopat_ps,roic0,incremental_roic,reinvestment_rate,wacc,cost_of_debt,tax_rate,net_debt_ps,fin_net_debt_ps,minority_book_ps,ev_ps,owner_earnings_true_ps,roic_path,minority_share,minority_share_basis,roic_nopat_mode,roic_g_source,payout,g_trailing,g_sustainable,g0,g0_capped,r_mode,rf,erp,beta,r,g_terminal,roe_terminal,intrinsic_value,band_low,band_high,mos,max_buy_price,implied_pe,pe_on_ttm_eps,terminal_share,min_payout,v_bear,v_bull,valuation_quality_score,valuation_quality_notes,bps_operating,external_equity_ps,external_equity_cum_ps,shares_est,bps_basis_date,equity_anchor_mode,peak_weight,growth_trust,trough_weight,ttm_factor,growth_damp,maintenance_ratio,maintenance_raw_ratio,maintenance_status,maintenance_intervals,maintenance_positive_intervals,maintenance_net_reinvestment,maintenance_growth_allowance,maintenance_nopat_total,cash_blocked,wc_aggregation,wc_first_period,wc_last_period,wc_start,wc_end,wc_change,wc_financing_start,wc_financing_end,wc_conflict_years,minority_claim_status,minority_claim_event,minority_fixed_claim_ps,minority_dividend_floor_ps,model_evaluated_at,model_evaluated_report_date,forecast_overlay,forecast_notice_date,forecast_report_date,forecast_profit_yi,forecast_source,pre_overlay_iv,pre_overlay_report_date,pre_overlay_notice_date,bps_scale,overlay_note,exright_factor,exright_cash,exright_note
000786,北新建材,L2,2026-06-30,2026-08-21,2026-08-21,ok,,1.3830,0.0881,weightavg_ttm,16.0686,2.5738,0.1600,0.1600,,0.160000,normalized,,9,0.2203,-0.0763,n/a,,,26.7256,,,2.4281,0.1716,-0.1668,0.0586,0.0984,0.0388,0.0846,-2.0379,-2.7188,0.6680,22.5222,1.8268,growth,0.0117,earnings,"blend(λ=0.0,w=0.00,v=0.67)",none,,-0.1156,,0.0000,,tier,,,,0.1000,0.0300,0.1184,24.5601,22.1041,27.0161,0.20,19.6481,10.11,17.76,0.5588,0.3829,19.4661,30.8620,77,hist12/cv20/term20/path20/legs5,16.0815,-0.0129,0.0000,1702236042,2026-08-21,shares_ref,0.000,0.00,0.673,0.8094,0.6465,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,2997331006.1300,2696400715.4200,-300930290.7100,344060284.5900,786469217.9800,0,,,0.0000,0.0000,2026-08-21,2026-06-30,,,,,,,,,,,,,
000792,盐湖股份,L2,2026-06-30,2026-08-26,2026-08-26,ok,,2.2921,0.2852,weightavg_ttm,9.0240,4.3033,0.4342,0.1362,,0.136200,lift2(孰高),,9,0.1981,0.1069,n/a,,,28.7371,,,2.6649,0.4598,1.1612,-0.0220,0.0985,0.0375,0.0000,-2.7584,-7.4712,0.8994,19.4123,1.9607,growth,0.1423,earnings,"blend(λ=1.0,w=0.00,v=0.77)",none,,0.0176,,0.0000,,tier,,,,0.1000,0.0300,0.1185,22.1708,19.9537,24.3878,0.20,17.7366,8.32,9.67,0.5825,0.0000,16.1979,29.5953,62,hist12/cv5/term20/path20/legs5,9.7779,-0.8867,0.1329,5291572541,2026-08-26,"shares_ref|book_break,shares_backfill",0.000,1.00,0.771,1.4311,1.0000,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,2125804048.7100,82957663.9300,-2042846384.7800,95232026.4400,33908343.8800,0,,,0.0000,0.0000,2026-08-26,2026-06-30,,,,,,,,,,,,,
000858,五粮液,L2,2026-06-30,2026-08-29,2026-08-29,ok,,3.3707,0.1062,weightavg_ttm,30.5234,5.5362,0.1811,0.2506,down,0.181084,normalized,,5,0.4998,-0.6914,n/a,,,98.7480,,,7.0896,1.2199,,-0.0745,0.0998,0.0656,0.2362,-28.7625,-32.0678,0.5732,46.2624,7.2476,growth,0.0416,earnings,trough_median,none,,-0.2297,,0.0000,,tier,,,,0.1000,0.0300,0.1198,75.0248,67.5224,82.5273,0.20,60.0199,10.58,22.26,0.4231,0.0000,60.1924,92.4362,69,hist12/cv12/term20/path20/legs5,30.5729,-0.0494,0.0000,3881608005,2026-08-29,shares_ref,0.000,0.50,1.000,1.4611,0.2345,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,11902135819.3300,-68278480.8100,-11970414300.1400,1641509588.6900,9401640775.7400,0,,,0.0000,0.0000,2026-08-29,2026-06-30,,,,,,,,,,,,,
000893,亚钾国际,L2,2026-06-30,2026-08-28,2026-08-28,ok,,2.3730,0.1590,weightavg_ttm,15.8123,2.9313,0.1852,0.1328,,0.132800,lift2(孰高),,5,0.4310,0.0768,n/a,,,21.9510,,,2.0640,0.1185,0.0796,1.1812,0.0884,0.0266,0.1447,1.4105,1.4041,0.0077,27.6017,1.8348,growth,0.0000,earnings,cyclical_median,capital,,0.0955,,0.0796,,tier,,,,0.1000,0.0300,0.1084,26.1911,23.5720,28.8103,0.20,20.9529,12.69,11.04,0.6811,0.3272,18.0724,40.6312,51,hist12/cv5/term12/path10/legs12,15.8110,0.0013,0.0000,924051187,2026-08-28,shares_ref,1.000,1.00,0.000,1.2961,1.0000,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,-321049382.7800,-1324222645.2900,-1003173262.5100,0.0000,0.0000,0,,,0.0000,0.0000,2026-08-28,2026-06-30,,,,,,,,,,,,,
000895,双汇发展,L2,2026-06-30,2026-08-29,2026-08-29,ok,,1.4683,0.2393,weightavg_ttm,6.0322,1.4493,0.2403,0.2383,,0.238300,lift2(孰高),,5,0.4465,,n/a,,,19.5957,,,1.4239,0.2504,0.1914,0.0805,0.0742,0.0272,0.2267,-0.4485,-0.6226,0.0574,15.6762,1.6154,growth,0.0107,earnings,ttm_growth,capital,,-0.0387,,0.0154,,tier,,,,0.1000,0.0300,0.0942,16.1246,14.5122,17.7371,0.20,12.8997,11.32,10.98,0.7773,0.0000,10.0065,27.2174,69,hist12/cv20/term5/path20/legs12,5.9684,0.0009,0.0629,3464661213,2026-08-29,shares_ref,0.000,1.00,0.000,0.9966,0.9966,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,681987383.9800,251208714.7000,-430778669.2800,0.0000,0.0000,0,,,0.0000,0.0000,2026-08-29,2026-06-30,,,,,,,,,,,,,
000933,神火股份,L2,2026-06-30,2026-07-28,2026-07-28,ok,,3.1100,0.2734,weightavg_ttm,12.3073,4.1656,0.3391,0.2077,,0.207700,lift2(孰高),,9,0.0714,0.0532,n/a,,,36.4552,,,3.4768,0.1466,0.3754,0.0011,0.0808,0.0289,0.3032,6.2894,1.8147,1.8084,40.5064,3.2401,growth,0.1171,earnings,"blend(λ=0.5,w=0.26,v=0.00)",capital,,0.0598,,0.0004,,tier,,,,0.1000,0.0300,0.1008,34.2169,30.7953,37.6386,0.20,27.3736,9.84,11.00,0.6633,0.2712,22.6740,51.0904,68,hist12/cv12/term12/path20/legs12,13.9331,0.0578,-1.6835,2249004399,2026-07-28,shares_ref,0.264,0.50,0.000,1.7183,1.0000,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,-4836844842.7400,-441594765.0800,4395250077.6600,274270399.2600,367074048.7400,0,,,0.0000,0.0000,2026-07-28,2026-06-30,,,,,,,,,,,,,
000975,山金国际,L2,2026-06-30,2026-08-20,2026-08-20,ok,,1.3670,0.2529,weightavg_ttm,5.7422,1.9225,0.3336,0.1290,up,0.172176,lift2(孰高),,5,0.7351,0.3817,n/a,,,8.6818,,,0.7827,0.1563,0.5421,0.0225,0.0952,0.0524,0.2349,-0.5011,-1.4183,0.7216,7.8271,1.5305,growth,0.0970,earnings,cyclical_median,capital,,0.4318,,0.0090,,tier,,,,0.1000,0.0300,0.1152,8.3282,7.4953,9.1610,0.20,6.6625,10.64,6.09,0.5762,0.4410,6.4867,10.7470,66,hist12/cv12/term20/path10/legs12,5.5131,-0.0202,0.2493,2776722265,2026-08-20,shares_ref,1.000,1.00,0.000,1.2762,1.0000,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,-1018237529.2300,-517199772.6000,501037756.6300,0.0000,0.0000,0,,,0.0000,0.0000,2026-08-20,2026-06-30,,,,,,,,,,,,,
000999,华润三九,L2,2026-06-30,2026-08-22,2026-08-22,ok,,1.9700,0.1458,weightavg_ttm,13.7191,2.1790,0.1586,0.1586,,0.158600,normalized,,5,0.1212,0.2010,raw,,,18.8376,,,2.4250,0.1847,0.0798,0.4692,0.0897,0.0329,0.1435,8.2000,-1.9164,10.0989,25.5859,2.5294,growth,0.1010,earnings,median3,capital,,0.0424,,0.0375,,tier,,,,0.1000,0.0300,0.1097,17.3859,15.6473,19.1245,0.20,13.9087,7.17,8.83,0.6988,0.1432,9.4834,29.1689,76,hist12/cv20/term12/path20/legs12,13.7366,-0.0175,0.0000,1664217858,2026-08-22,shares_ref,0.000,0.00,0.000,0.9578,0.9578,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,3803557472.3700,9912425440.7300,6108867968.3600,2296378032.8300,2646133447.9400,0,,,0.0000,0.0000,2026-08-22,2026-06-30,,,,,,,,,,,,,
001232,嘉立创,L2,2026-06-30,2026-08-27,2026-08-27,ok,,3.4900,0.2387,weightavg_ttm,16.4707,4.5590,0.2777,0.1997,,0.199700,lift2(孰高),,5,0.8191,0.2131,n/a,,,39.1951,,,3.5972,0.4531,0.2731,0.4902,0.1000,0.1196,0.1528,-3.3100,-9.3730,0.0000,35.3878,3.4174,growth,0.1366,earnings,"blend(λ=0.5,w=0.06,v=0.00)",capital,,,,0.1339,,tier,,,,0.1000,0.0300,0.1200,38.6978,34.8280,42.5675,0.20,30.9582,10.76,11.09,0.7298,0.0000,23.0838,68.1451,68,hist12/cv12/term12/path20/legs12,14.4845,0.0518,1.9345,500000000,2026-08-27,shares_ref,0.058,0.50,0.000,1.3371,1.0000,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,-676272199.7500,-1481094172.0300,-804821972.2800,2808621.0000,26766219.4800,0,,,0.0000,0.0000,2026-08-27,2026-06-30,,,,,,,,,,,,,
002001,新和成,L2,2026-06-30,2026-08-20,2026-08-20,ok,,2.3400,0.2139,weightavg_ttm,11.3489,2.5623,0.2291,0.1987,,0.198700,lift2(孰高),,9,0.0548,0.2211,pre_adjusted,,,29.4311,,,2.4625,0.1962,0.2922,0.3787,0.0859,0.0321,0.1334,-0.7399,-0.7276,0.0530,31.1560,2.2163,growth,0.0049,earnings,ttm_growth,capital,,0.3539,,0.1106,,tier,,,,0.1000,0.0300,0.1059,31.8960,28.7064,35.0856,0.20,25.5168,12.95,13.63,0.8662,0.0000,19.1430,56.8588,61,hist12/cv12/term5/path20/legs12,10.6737,0.1700,0.5052,3073421680,2026-08-20,shares_ref,0.000,1.00,0.000,1.0602,1.0000,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,3577253167.9700,5645531696.5800,2068278528.6100,182891179.6500,813062385.7300,0,,,0.0000,0.0000,2026-08-20,2026-06-30,,,,,,,,,,,,,
002003,伟星股份,L2,2026-06-30,2026-08-27,2026-08-27,ok,,0.5800,0.1496,weightavg_ttm,3.8143,0.6406,0.1690,0.1690,,0.169000,normalized,,5,0.1278,0.1641,raw,,,6.9282,,,0.6030,0.1678,0.1212,0.7981,0.0878,0.0401,0.1689,-0.0625,-0.0745,0.0406,7.5021,0.6583,growth,0.0000,earnings,"blend(λ=0.5,w=0.00,v=0.00)",capital,,0.1287,,0.0967,,tier,,,,0.1000,0.0300,0.1078,7.5645,6.8081,8.3210,0.20,6.0516,12.54,13.04,0.7962,0.2270,4.8385,12.6099,69,hist12/cv20/term5/path20/legs12,3.5653,0.0286,0.2204,1188889653,2026-08-27,shares_ref,0.000,0.50,0.000,1.0679,0.9926,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,426354344.4800,492015972.0800,65661627.6000,53220521.0700,69336970.6500,0,,,0.0000,0.0000,2026-08-27,2026-06-30,,,,,,,,,,,,,
002027,分众传媒,L2,2026-06-30,2026-08-19,2026-08-19,ok,,0.2361,0.2420,weightavg_ttm,0.9687,0.2737,0.2842,0.2842,,0.284200,normalized,,5,0.4174,,n/a,,,3.2494,,,0.2422,0.6805,-12.5786,-0.6155,0.0890,0.0419,0.2493,-0.4779,-0.5471,0.0247,1.7997,0.3032,growth,0.0000,earnings,"blend(λ=0.5,w=0.00,v=0.00)",none,,-0.0196,,0.0000,,tier,,,,0.1000,0.0300,0.1090,2.2776,2.0448,2.5103,0.20,1.8620,9.61,9.86,0.5602,0.0000,1.7069,3.1608,69,hist12/cv12/term20/path20/legs5,1.0124,0.0055,-0.0492,14442199726,2026-08-19,shares_ref,0.000,0.50,0.000,1.1572,0.5905,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,1014509001.7300,2559956723.2200,1545447721.4900,116362747.9300,129952619.9200,0,,,0.0000,0.0000,2026-08-19,2026-06-30,,,,,,,,,,,1.000000,0.0500,除权归一化至 2026-09-23 现价口径：2026-09-04 现金0.05/送转0
002032,苏泊尔,L2,2026-06-30,2026-08-28,2026-08-28,ok,,2.5440,0.3420,weightavg_ttm,6.3133,2.2314,0.3542,0.3462,up,0.354216,normalized,,5,0.4299,,n/a,,,26.4696,,,2.1539,0.8767,,-0.1805,0.0978,0.0485,0.1906,-4.4421,-4.4561,0.0353,14.5847,2.5383,growth,0.0000,earnings,median3,none,,0.0015,,0.0000,,tier,,,,0.1000,0.0300,0.1178,19.0268,17.1241,20.9295,0.20,15.2214,8.83,7.48,0.4849,0.0000,14.2982,24.7709,77,hist12/cv20/term20/path20/legs5,7.8551,0.0213,-1.5631,801660653,2026-08-28,shares_ref,0.000,0.00,0.000,0.9655,0.9118,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,517542051.2300,-849672979.1700,-1367215030.4000,3312225.6200,273842313.4600,0,,,0.0000,0.0000,2026-08-28,2026-06-30,,,,,,,,,,,,,
002050,三花智控,L2,2026-06-30,2026-08-27,2026-08-27,ok,,0.9500,0.1166,weightavg_ttm,7.7238,1.3052,0.1677,0.1677,,0.167700,normalized,,5,0.1969,0.1230,n/a,,,13.2528,,,0.9694,0.1958,0.2690,0.7604,0.0923,0.0372,0.1522,-2.7251,-2.9189,0.0721,12.7337,0.9490,growth,0.0107,earnings,"blend(λ=0.5,w=0.00,v=0.00)",capital,,0.1047,,0.2046,,tier,,,,0.1000,0.0300,0.1123,15.4588,13.9129,17.0047,0.20,12.3671,15.95,16.27,0.9265,0.0000,10.1319,26.2304,69,hist12/cv20/term5/path20/legs12,5.1515,-0.0268,2.5991,4208013935,2026-08-27,shares_ref,0.000,0.50,0.000,0.9838,0.9838,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,3721004786.9500,5275312704.2100,1554307917.2600,0.0000,0.0000,0,,,0.0000,0.0000,2026-08-27,2026-06-30,,,,,,,,,,,,,
002128,电投能源,L2,2026-06-30,2026-08-26,2026-08-26,ok,,2.9700,0.1774,weightavg_ttm,16.9023,3.2577,0.1912,0.1636,,0.163600,lift2(孰高),,5,0.0323,0.1047,n/a,,,26.1656,,,3.0708,0.0945,,,0.0827,0.0450,0.1866,11.3074,6.1087,2.0208,39.2300,2.0696,growth,0.1701,earnings,entity_reset,entity_reset_none,,0.2323,,0.0000,,tier,,,,0.1000,0.0300,0.0945,27.9226,25.1303,30.7149,0.20,22.3381,9.09,9.40,0.5546,0.6824,18.4584,37.4639,55,hist5/cv5/term20/path20/legs5,16.4665,0.4358,0.0000,2953400347,2026-08-26,shares_ref,0.000,1.00,0.000,1.3218,1.0000,0.000000,,off,0,0,,,,,operating,2025-12-31,2025-12-31,1219075867.9400,1219075867.9400,0.0000,901157762.7100,901157762.7100,0,,,0.0000,0.0000,2026-08-26,2026-06-30,,,,,,,,,,,,,
