security_code,security_name,quality_tier,report_date,notice_date,available_at,status,reason,eps_ttm,roe_ttm,roe_source,bps,eps0,roe0,roe_anchor,roe_trend,roe0_normalized,roe0_mode,growth_confirmed,roe_window,roe_efficiency,incremental_roe,payout,g_trailing,g_sustainable,g0,g0_capped,r_mode,rf,erp,beta,r,g_terminal,roe_terminal,intrinsic_value,band_low,band_high,mos,max_buy_price,implied_pe,pe_on_ttm_eps,terminal_share,min_payout
000426,兴业银锡,L2,2025-03-31,2025-04-28,2025-04-28,ok,,0.9210,0.2243,weightavg_ttm,4.6614,1.9424,0.4167,0.0319,,0.031900,lift2(孰高),,9,0.3002,0.5682,0.1288,1.0365,0.3630,0.2500,Y,tier,,,,0.1000,0.0300,0.1200,24.2059,21.7853,26.6265,0.20,19.3647,12.46,26.28,0.9051,0.0000
000426,兴业银锡,L2,2025-06-30,2025-08-26,2025-08-26,ok,,0.8023,0.1807,weightavg_ttm,4.8318,1.5921,0.3295,0.0319,,0.031900,lift2(孰高),,9,0.3002,0.5682,0.1288,1.0994,0.2870,0.2500,Y,tier,,,,0.1000,0.0300,0.1200,19.7273,17.7545,21.7000,0.20,15.7818,12.39,24.59,0.9841,0.0000
000426,兴业银锡,L2,2025-09-30,2025-10-31,2025-10-31,ok,,0.8957,0.1881,weightavg_ttm,5.1578,1.7758,0.3443,0.0319,,0.031900,lift2(孰高),,9,0.3002,0.5682,0.1288,0.9639,0.2999,0.2500,Y,tier,,,,0.1000,0.0300,0.1200,22.0246,19.8221,24.2271,0.20,17.6197,12.40,24.59,0.9701,0.0000
000426,兴业银锡,L2,2025-12-31,2026-04-22,2026-04-22,ok,,0.9598,0.1960,weightavg_ttm,5.3443,1.8443,0.3451,0.0469,,0.046900,lift2(孰高),,9,0.1579,0.3406,0.0690,1.1400,0.3213,0.2500,Y,tier,,,,0.1000,0.0300,0.1200,22.8753,20.5877,25.1628,0.20,18.3002,12.40,23.83,0.9693,0.0000
000426,兴业银锡,L2,2026-03-31,2026-04-30,2026-04-30,ok,,1.5023,0.2814,weightavg_ttm,6.0967,3.1453,0.5159,0.0469,,0.046900,lift2(孰高),,9,0.1579,0.3406,0.0690,1.7578,0.4803,0.2500,Y,tier,,,,0.1000,0.0300,0.1200,39.5546,35.5991,43.5100,0.20,31.6437,12.58,26.33,0.8336,0.0000
000538,云南白药,L2,2025-03-31,2025-04-29,2025-04-29,ok,,2.7900,0.1267,weightavg_ttm,22.8487,3.4342,0.1503,0.1031,,0.103100,lift2(孰高),,9,0.2685,-0.8764,0.7175,0.1900,0.0425,0.0425,,tier,,,,0.1000,0.0300,0.1200,35.0923,31.5830,38.6015,0.20,28.0738,10.22,12.58,0.5908,0.5448
000538,云南白药,L2,2025-06-30,2025-08-30,2025-08-30,ok,,2.9100,0.1315,weightavg_ttm,22.6461,3.6211,0.1599,0.1031,,0.103100,lift2(孰高),,9,0.2685,-0.8764,0.7175,0.2753,0.0452,0.0452,,tier,,,,0.1000,0.0300,0.1200,36.3577,32.7219,39.9934,0.20,29.0861,10.04,12.49,0.6083,0.4818
000538,云南白药,L2,2025-09-30,2025-10-31,2025-10-31,ok,,2.9200,0.1309,weightavg_ttm,22.2688,3.5341,0.1587,0.1031,,0.103100,lift2(孰高),,9,0.2685,-0.8764,0.7175,0.2505,0.0448,0.0448,,tier,,,,0.1000,0.0300,0.1200,35.5558,32.0002,39.1113,0.20,28.4446,10.06,12.18,0.6062,0.4896
000538,云南白药,L2,2025-12-31,2026-04-01,2026-04-01,ok,,2.8900,0.1302,weightavg_ttm,22.4429,3.5303,0.1573,0.1031,,0.103100,lift2(孰高),,9,0.2704,1.1346,0.6334,0.1975,0.0577,0.0577,,tier,,,,0.1000,0.0300,0.1200,36.1895,32.5706,39.8085,0.20,28.9516,10.25,12.52,0.6288,0.4881
000538,云南白药,L2,2026-03-31,2026-04-30,2026-04-30,ok,,2.9500,0.1312,weightavg_ttm,23.5932,3.7584,0.1593,0.1031,,0.103100,lift2(孰高),,9,0.2704,1.1346,0.6334,0.1340,0.0584,0.0584,,tier,,,,0.1000,0.0300,0.1200,38.4095,34.5685,42.2504,0.20,30.7276,10.22,13.02,0.6327,0.4836
000568,泸州老窖,L2,2025-03-31,2025-04-28,2025-04-28,ok,,9.1900,0.2949,weightavg_ttm,34.0808,10.6162,0.3115,0.3115,,0.311500,normalized,,5,0.5709,0.3090,0.5658,0.1591,0.1353,0.1353,,tier,,,,0.1000,0.0300,0.1200,108.2448,97.4203,119.0692,0.20,86.5958,10.20,11.78,0.8168,0.0000
