security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
601998,,2022-11-30,2023-02-08,70,1,1,503.00,492.00,0.00,-0.021869,0.054795,0.054795,4.6038,60,0.7903,0.2930,6.5040,6.1781,6.8299,换仓：让位给空间更大的002128
000338,潍柴动力,2022-12-19,2023-08-11,235,15,3,1004103.00,1175164.00,0.00,0.170362,0.135593,0.151532,10.1125,60,0.5053,1.0200,21.4120,20.3393,22.4847,换仓：让位给空间更大的000792
601288,农业银行,2022-12-19,2024-01-12,389,20,1,10312.00,11892.18,422.18,0.153237,0.123393,0.161931,2.6110,60,0.6850,0.4699,4.2334,4.0213,4.4455,换仓：让位给空间更大的002466
002128,电投能源,2023-03-01,2023-03-16,15,4,1,139660.00,131784.00,0.00,-0.056394,0.060364,0.070169,13.0085,60,0.5297,0.8655,25.1841,23.9224,26.4458,跌破建仓日MA60止损
601077,,2023-03-17,2023-04-03,17,2,1,733.00,732.00,0.00,-0.001364,0.019126,0.017788,3.5815,60,0.7086,0.4036,5.1513,4.8932,5.4094,移出股票库·逐步清仓
002128,电投能源,2023-04-04,2023-04-06,2,1,1,25023.00,24814.00,0.00,-0.008352,0.000000,0.000000,13.2022,60,0.5293,0.9122,25.1841,23.9224,26.4458,跌破建仓日MA60止损
600938,中国海油,2023-04-18,2024-07-18,457,1,1,1932.00,3479.80,181.80,0.801139,0.118976,0.118976,15.0702,60,0.6275,0.6373,31.6335,30.0487,33.2183,换仓：让位给空间更大的000063
002128,电投能源,2023-05-04,2026-03-20,1051,42,13,8392125.00,17921492.00,973883.00,1.135513,0.350877,0.339919,11.0180,60,0.3620,1.6923,37.2078,35.3437,39.0719,涨幅≥125%清空
601916,,2023-05-05,2023-06-27,53,1,1,765.20,702.40,42.00,-0.082070,0.146417,0.137427,2.5614,60,0.7236,0.3647,4.3944,4.1742,4.6146,跌破建仓日MA60止损
600176,中国巨石,2023-05-08,2023-05-11,3,1,1,1529.00,1481.00,0.00,-0.031393,0.019205,0.019205,15.0373,60,0.5878,0.6802,25.6909,24.4038,26.9780,跌破建仓日MA60止损
600919,江苏银行,2023-08-09,2023-09-05,27,4,1,2836.00,2752.00,0.00,-0.029619,0.035063,0.036878,6.9958,60,0.6790,0.4770,10.5307,10.0031,11.0583,跌破建仓日MA60止损
000792,盐湖股份,2023-08-10,2023-08-11,1,1,1,115935.00,113044.00,0.00,-0.024936,0.000000,0.000000,19.4493,60,0.3887,1.5671,50.4444,47.9171,52.9717,跌破建仓日MA60止损
000933,神火股份,2023-08-10,2026-04-30,994,53,13,11935101.00,18772768.00,178030.00,0.572904,0.459902,0.445325,12.3603,60,0.5491,0.8259,27.6260,26.2419,29.0101,换仓：让位给空间更大的600919
600919,江苏银行,2023-09-19,2023-10-23,34,2,1,1430.00,1398.00,0.00,-0.022378,0.035862,0.035862,7.0287,60,0.6557,0.5059,10.7669,10.2275,11.3063,跌破建仓日MA60止损
601916,,2024-01-03,2024-04-01,89,20,1,176426.00,189230.00,0.00,0.072574,0.025641,0.068426,2.5183,60,0.5488,0.8078,4.6100,4.3790,4.8410,移出股票库·逐步清仓
000792,盐湖股份,2024-03-07,2024-07-29,144,31,1,8562272.00,7681696.00,0.00,-0.102844,0.160351,0.170260,15.3415,60,0.4523,1.2067,36.6315,34.7963,38.4667,跌破建仓日MA60止损
600176,中国巨石,2024-03-07,2024-09-06,183,10,1,138467.00,130617.00,3795.00,-0.056692,0.281751,0.275822,9.3515,60,0.4850,1.0702,20.4123,19.3896,21.4350,跌破建仓日MA60止损
601997,,2024-04-02,2024-08-29,149,1,1,547.00,533.00,29.00,-0.025594,0.112676,0.107203,5.0640,60,0.7808,0.2784,6.9928,6.6425,7.3431,跌破建仓日MA60止损
600928,,2024-04-08,2024-04-12,4,2,1,694.00,684.00,0.00,-0.014409,0.017241,0.017241,3.4295,60,0.8996,0.1084,3.8461,3.6534,4.0388,跌破建仓日MA60止损
600919,江苏银行,2024-04-15,2024-11-18,217,12,3,2017270.00,2355939.00,188.00,0.167885,0.101896,0.101335,7.0810,60,0.6907,0.4262,11.4380,10.8650,12.0110,换仓：让位给空间更大的000338
601665,,2024-05-06,2024-05-31,25,1,1,472.00,500.00,0.00,0.059322,0.042146,0.042146,4.3787,60,0.9329,0.0832,5.1129,4.8567,5.3691,换仓：让位给空间更大的601229
