group,arm,start,year,return_
full,PV055,2009-11-01,2019,1.8884856560595908
full,PV055,2009-11-01,2020,0.15444898965673493
full,PV055,2009-11-01,2021,0.5607694037363642
full,PV055,2009-11-01,2022,0.1897893829245807
full,PV055,2009-11-01,2023,0.36500746573545073
full,PV055,2009-11-01,2024,0.4811752872312747
full,PV055,2009-11-01,2025,1.0724590361393465
full,PV055,2011-11-01,2012,-0.01185047958795038
full,PV055,2011-11-01,2013,-0.030515808055480043
full,PV055,2011-11-01,2014,0.6537379900015976
full,PV055,2011-11-01,2015,0.2866940845379211
full,PV055,2011-11-01,2016,-0.1678509176055285
full,PV055,2011-11-01,2017,1.2264240146774954
full,PV055,2011-11-01,2018,-0.06621766829975606
full,PV055,2011-11-01,2019,2.014167264418586
full,PV055,2011-11-01,2020,0.07263782996294532
full,PV055,2011-11-01,2021,0.5597412480106558
full,PV055,2011-11-01,2022,0.08986119100585777
full,PV055,2011-11-01,2023,0.37448996663637213
full,PV055,2011-11-01,2024,0.5042247860291047
full,PV055,2011-11-01,2025,1.215210270025656
full,PV060,2009-11-01,2010,0.5292656372704345
full,PV060,2009-11-01,2011,-0.26943626483380334
full,PV060,2009-11-01,2012,0.1732523127290886
full,PV060,2009-11-01,2013,0.17244754982236743
full,PV060,2009-11-01,2014,0.46792451669969504
full,PV060,2009-11-01,2015,0.4258000112258571
full,PV060,2009-11-01,2016,-0.16375827970817025
full,PV060,2009-11-01,2017,1.041732533271226
full,PV060,2009-11-01,2018,-0.050289989875227925
full,PV060,2009-11-01,2019,1.9744469723933435
full,PV060,2009-11-01,2020,0.10062537109014325
full,PV060,2009-11-01,2021,0.5413775965450234
full,PV060,2009-11-01,2022,0.10087231661037177
full,PV060,2009-11-01,2023,0.41896376455914175
full,PV060,2009-11-01,2024,0.4686312221202291
full,PV060,2009-11-01,2025,0.9964989479259629
full,PV060,2011-11-01,2012,-0.00559132043824917
full,PV060,2011-11-01,2013,0.14606990598696923
full,PV060,2011-11-01,2014,0.4901047227279318
full,PV060,2011-11-01,2015,0.3634685316436268
full,PV060,2011-11-01,2016,-0.14280559634954781
full,PV060,2011-11-01,2017,1.0719276479097504
full,PV060,2011-11-01,2018,-0.012977299876362425
full,PV060,2011-11-01,2019,2.008140115927285
full,PV060,2011-11-01,2020,-0.06866945987276574
full,PV060,2011-11-01,2021,0.48925224743307805
full,PV060,2011-11-01,2022,-0.011975570117839784
full,PV060,2011-11-01,2023,0.3975176016057498
full,PV060,2011-11-01,2024,0.4406748648315941
full,PV060,2011-11-01,2025,1.1428494939847926
full,PV065,2009-11-01,2010,0.5292656372704345
full,PV065,2009-11-01,2011,-0.26943626483380334
full,PV065,2009-11-01,2012,0.3587282449014788
full,PV065,2009-11-01,2013,0.41464139530268884
full,PV065,2009-11-01,2014,0.36638392070036185
full,PV065,2009-11-01,2015,0.49948109789611017
full,PV065,2009-11-01,2016,-0.15734766418821233
full,PV065,2009-11-01,2017,1.0331245436724177
full,PV065,2009-11-01,2018,-0.01906957216491756
full,PV065,2009-11-01,2019,1.9974637548666219
full,PV065,2009-11-01,2020,0.06622893164263366
full,PV065,2009-11-01,2021,0.5703682578807674
full,PV065,2009-11-01,2022,-0.030663753230759205
full,PV065,2009-11-01,2023,0.42004991303275485
full,PV065,2009-11-01,2024,0.18961342340141862
full,PV065,2009-11-01,2025,0.8028809125281577
full,PV065,2011-11-01,2012,0.13531457002672131
full,PV065,2011-11-01,2013,0.39359547318126564
full,PV065,2011-11-01,2014,0.3774530169968455
full,PV065,2011-11-01,2015,0.4621298954617068
full,PV065,2011-11-01,2016,-0.16436469758151606
full,PV065,2011-11-01,2017,1.0256957305163095
full,PV065,2011-11-01,2018,-0.016824431225223813
full,PV065,2011-11-01,2019,2.0051093992847955
full,PV065,2011-11-01,2020,-0.194288604724552
full,PV065,2011-11-01,2021,0.45865067520825975
full,PV065,2011-11-01,2022,0.1458332253988186
full,PV065,2011-11-01,2023,0.4081938027425931
full,PV065,2011-11-01,2024,0.6324431265041799
full,PV065,2011-11-01,2025,1.1208140035812781
A,BASE,2009-11-01,2010,0.23790540197029997
A,BASE,2009-11-01,2011,-0.09640450151795721
A,BASE,2009-11-01,2012,-0.17157547363439696
A,BASE,2009-11-01,2013,-0.05875077355264047
A,BASE,2009-11-01,2014,0.7941668848093544
A,BASE,2009-11-01,2015,0.5188677715803811
A,BASE,2009-11-01,2016,-0.30046166364753546
A,BASE,2009-11-01,2017,1.683546526590288
A,BASE,2009-11-01,2018,-0.2393233651214648
A,BASE,2009-11-01,2019,1.7457087168793763
A,BASE,2009-11-01,2020,0.41612605614645015
A,BASE,2009-11-01,2021,0.5185775567242721
A,BASE,2009-11-01,2022,0.3794583717451476
A,BASE,2009-11-01,2023,0.4345271671624684
A,BASE,2009-11-01,2024,0.8140045545796
A,BASE,2009-11-01,2025,0.7839937055113744
A,BASE,2011-11-01,2012,-0.1714337552052856
A,BASE,2011-11-01,2013,-0.055213065641797066
A,BASE,2011-11-01,2014,0.7981989307789201
A,BASE,2011-11-01,2015,0.6163270913434362
A,BASE,2011-11-01,2016,-0.2570781657220589
A,BASE,2011-11-01,2017,1.5068723982434138
A,BASE,2011-11-01,2018,-0.228508569706814
A,BASE,2011-11-01,2019,1.6914896956105
A,BASE,2011-11-01,2020,0.4501602241472271
A,BASE,2011-11-01,2021,0.8644075496113781
A,BASE,2011-11-01,2022,0.396250971493022
A,BASE,2011-11-01,2023,0.39647208950833135
A,BASE,2011-11-01,2024,0.8005096040959176
A,BASE,2011-11-01,2025,0.9348376998829062
A,PV055,2009-11-01,2010,0.23790540197029997
A,PV055,2009-11-01,2011,-0.09640450151795721
A,PV055,2009-11-01,2012,-0.17157547363439696
A,PV055,2009-11-01,2013,-0.05875077355264047
A,PV055,2009-11-01,2014,0.7941668848093544
A,PV055,2009-11-01,2015,0.5188677715803811
A,PV055,2009-11-01,2016,-0.30046166364753546
A,PV055,2009-11-01,2017,1.683546526590288
A,PV055,2009-11-01,2018,-0.2393233651214648
A,PV055,2009-11-01,2019,1.7457087168793763
A,PV055,2009-11-01,2020,0.3624969876257673
A,PV055,2009-11-01,2021,0.5229835188095293
A,PV055,2009-11-01,2022,0.3850432621969655
A,PV055,2009-11-01,2023,0.43508242110040474
A,PV055,2009-11-01,2024,0.8252436847673799
A,PV055,2009-11-01,2025,0.8658235786532562
A,PV055,2011-11-01,2012,-0.1714337552052856
A,PV055,2011-11-01,2013,-0.055213065641797066
A,PV055,2011-11-01,2014,0.7981989307789201
A,PV055,2011-11-01,2015,0.6163270913434362
A,PV055,2011-11-01,2016,-0.25397186586050613
A,PV055,2011-11-01,2017,1.5072225318419052
A,PV055,2011-11-01,2018,-0.22866340431425525
A,PV055,2011-11-01,2019,1.6916812682478888
A,PV055,2011-11-01,2020,0.34298601060310596
A,PV055,2011-11-01,2021,0.748036445060076
A,PV055,2011-11-01,2022,0.3524762094194589
A,PV055,2011-11-01,2023,0.4045793778064648
A,PV055,2011-11-01,2024,0.9019178508958883
A,PV055,2011-11-01,2025,0.8628533898257966
A,PV060,2009-11-01,2010,0.23790540197029997
A,PV060,2009-11-01,2011,-0.09640450151795721
A,PV060,2009-11-01,2012,-0.17157547363439696
A,PV060,2009-11-01,2013,-0.04504042124992402
A,PV060,2009-11-01,2014,0.8712742618537674
A,PV060,2009-11-01,2015,0.5716270136371777
A,PV060,2009-11-01,2016,-0.2671228417405349
A,PV060,2009-11-01,2017,1.5075388419498257
A,PV060,2009-11-01,2018,-0.22946571956953887
A,PV060,2009-11-01,2019,1.7576484766974279
A,PV060,2009-11-01,2020,0.38454053083000606
A,PV060,2009-11-01,2021,0.7681897512753484
A,PV060,2009-11-01,2022,0.3498397916913287
A,PV060,2009-11-01,2023,0.4308179833909018
A,PV060,2009-11-01,2024,0.8689532932807291
A,PV060,2009-11-01,2025,0.9112820632864231
A,PV060,2011-11-01,2012,-0.1714337552052856
A,PV060,2011-11-01,2013,-0.03487785378481478
A,PV060,2011-11-01,2014,0.8860522693007808
A,PV060,2011-11-01,2015,0.598196222262366
A,PV060,2011-11-01,2016,-0.1907671396396493
A,PV060,2011-11-01,2017,1.4132641629542193
A,PV060,2011-11-01,2018,-0.2257822212463092
A,PV060,2011-11-01,2019,1.8023842231255505
A,PV060,2011-11-01,2020,0.41210372463612543
A,PV060,2011-11-01,2021,0.5321834055210861
A,PV060,2011-11-01,2022,0.39189894925935764
A,PV060,2011-11-01,2023,0.428814050279825
A,PV060,2011-11-01,2024,0.8366554359526115
A,PV060,2011-11-01,2025,0.7019697801058722
A,PV065,2009-11-01,2010,0.23790540197029997
A,PV065,2009-11-01,2011,-0.09640450151795721
A,PV065,2009-11-01,2012,-0.16732364461054716
A,PV065,2009-11-01,2013,-0.10681204095807018
A,PV065,2009-11-01,2014,0.9484164121088934
A,PV065,2009-11-01,2015,0.5232174676309558
A,PV065,2009-11-01,2016,-0.2789469877869988
A,PV065,2009-11-01,2017,1.5076052635581578
A,PV065,2009-11-01,2018,-0.22931125446207223
A,PV065,2009-11-01,2019,1.8406461967768903
A,PV065,2009-11-01,2020,0.5094482397516393
A,PV065,2009-11-01,2021,0.8864232723609644
A,PV065,2009-11-01,2022,0.34244193327684713
A,PV065,2009-11-01,2023,0.471902375931027
A,PV065,2009-11-01,2024,0.8691120463462105
A,PV065,2009-11-01,2025,0.8905249113671636
A,PV065,2011-11-01,2012,-0.16710452004019205
A,PV065,2011-11-01,2013,-0.10903714214004123
A,PV065,2011-11-01,2014,0.942413574554863
A,PV065,2011-11-01,2015,0.4622620205181698
A,PV065,2011-11-01,2016,-0.2786488516909199
A,PV065,2011-11-01,2017,1.6829731680802
A,PV065,2011-11-01,2018,-0.23924672656889978
A,PV065,2011-11-01,2019,1.919627685913595
A,PV065,2011-11-01,2020,0.42696828969926304
A,PV065,2011-11-01,2021,0.9517534962075438
A,PV065,2011-11-01,2022,0.46637275907722153
A,PV065,2011-11-01,2023,0.4116680005540039
A,PV065,2011-11-01,2024,0.8785845868472726
A,PV065,2011-11-01,2025,0.8233928851992232
