signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2015-01-14,2015-01-15,601939,6.3300,6.3300,5.7890,0,0,1.2569,000651,0.8978,均线未下行,,100
2015-01-19,2015-01-20,601939,5.9800,6.4215,6.0405,0,0,1.1874,000651,0.8435,均线未下行,,100
2015-01-20,2015-01-21,601939,5.9400,6.4140,6.0965,0,0,1.1794,000651,0.9128,均线未下行,,100
2015-01-21,2015-01-22,601939,6.2700,6.3980,6.1225,0,0,1.2450,000792,0.8177,均线未下行,,100
2015-01-22,2015-01-23,601939,6.2000,6.3950,6.1640,0,0,1.2311,000792,0.8311,均线未下行,,100
2015-01-23,2015-01-26,601939,6.2100,6.4095,6.2020,0,0,1.2331,000792,0.8213,均线未下行,,100
2015-01-26,2015-01-27,601939,6.1500,6.4010,6.2415,0,0,1.2211,000792,0.8615,均线未下行,,100
2015-01-27,2015-01-28,601939,6.0200,6.3780,6.2785,0,0,1.1953,000792,0.8604,均线未下行,,100
2015-01-28,2015-01-29,601988,4.5500,4.5575,4.0175,0,0,1.3828,000792,0.8470,均线未下行,,100
2015-01-29,2015-01-30,601988,4.4000,4.5805,4.0910,0,0,1.3372,000792,0.9317,均线未下行,601939,100
2015-01-30,2015-02-02,601988,4.4000,4.5930,4.1630,0,0,1.3070,000792,0.9730,均线未下行,,100
2015-02-02,2015-02-03,601988,4.1300,4.5785,4.2140,0,0,1.2268,000792,0.9951,均线未下行,,100
2015-02-03,2015-02-04,601988,4.2800,4.5645,4.2595,0,0,1.2714,000792,0.9773,均线未下行,,100
2015-02-04,2015-02-05,601988,4.1300,4.5440,4.3095,0,0,1.2268,000792,0.9661,均线未下行,,100
2015-02-05,2015-02-06,601988,4.1300,4.5340,4.3655,0,0,1.2268,000792,0.9770,均线未下行,,100
2015-02-06,2015-02-09,601988,4.0100,4.5110,4.4290,0,0,1.1912,000792,0.9314,均线未下行,,100
2015-02-09,2015-02-10,601988,4.0300,4.4925,4.4820,0,0,1.1971,000792,0.8999,均线未下行,,100
2015-04-29,2015-04-30,600031,10.4500,10.7625,9.8900,0,0,1.1904,000792,0.7915,均线未下行,,1200
2015-11-13,2015-11-16,601398,4.6000,4.6165,4.5125,0,0,0.9599,000792,0.6908,均线未下行,,900
2015-11-18,2015-11-19,002304,64.7300,64.7695,61.1565,0,0,1.2068,000338,0.6289,均线未下行,,1620
2015-11-19,2015-11-20,002304,64.9800,65.0185,61.7105,0,0,1.2115,000338,0.6358,均线未下行,,1620
2015-11-20,2015-11-23,002304,64.6800,65.1825,62.2515,0,0,1.2059,000338,0.6539,均线未下行,,1620
2015-11-23,2015-11-24,002304,64.7500,65.3700,62.7110,0,0,1.2072,000792,0.6122,均线未下行,,1620
2015-11-24,2015-11-25,002304,63.9900,65.5160,63.0880,0,0,1.1930,000792,0.6256,均线未下行,,1620
2015-11-25,2015-11-26,002304,64.5000,65.7005,63.4615,0,0,1.2025,000792,0.6306,均线未下行,,1620
2015-11-26,2015-11-27,002304,63.5000,65.7330,63.7715,0,0,1.1839,000338,0.6351,均线未下行,,1620
2015-11-30,2015-12-01,002304,63.0000,65.7120,64.2485,0,0,1.1746,601939,1.0175,均线未下行,,1620
2015-12-01,2015-12-02,002304,65.0000,65.7135,64.5135,0,0,1.2119,000651,0.7876,均线未下行,,1620
2015-12-07,2015-12-08,601398,4.6600,4.6665,4.6340,0,0,0.9685,000338,0.6351,均线未下行,,900
2015-12-15,2015-12-16,601398,4.6000,4.6530,4.6525,0,0,0.9560,000792,0.6304,均线未下行,002128,900
2016-03-28,2016-03-29,601288,3.1500,3.1665,3.0540,0,0,0.8822,600031,0.6591,均线未下行,,200
2016-03-29,2016-03-30,601288,3.1500,3.1745,3.0665,0,0,0.8822,600031,0.6463,均线未下行,,200
2016-03-30,2016-03-31,002128,7.9500,8.1280,8.0050,0,0,0.8364,000338,0.6007,均线未下行,,73900
2016-03-31,2016-04-01,002128,8.0000,8.1010,8.0320,0,0,0.8417,000338,0.5963,均线未下行,,73900
2016-04-06,2016-04-07,601288,3.1800,3.1895,3.1265,0,0,0.9231,000338,0.6103,均线未下行,,200
2016-04-07,2016-04-08,601288,3.1600,3.1870,3.1365,0,0,0.9173,000338,0.6022,均线未下行,600188,200
2016-04-08,2016-04-11,601288,3.1600,3.1875,3.1485,0,0,0.9173,000792,0.4918,均线未下行,002128,300
2016-04-11,2016-04-12,601288,3.1700,3.1865,3.1585,0,0,0.9202,600031,0.6743,均线未下行,,300
2016-04-12,2016-04-13,601288,3.1600,3.1850,3.1665,0,0,0.9173,600031,0.6673,均线未下行,,300
2016-06-27,2016-06-28,601009,9.3300,9.4414,9.4163,0,0,0.9513,601225,0.7419,均线未下行,,29880
2016-06-28,2016-06-29,601009,9.2600,9.4406,9.4209,0,0,0.9442,601225,0.7296,均线未下行,,29880
2016-07-22,2016-07-25,601398,4.2800,4.2835,4.2124,0,0,0.9333,000338,0.6070,均线未下行,,200
2016-07-27,2016-07-28,002128,7.9100,8.0130,7.5975,0,0,0.8121,000338,0.6202,均线未下行,,117700
2016-07-28,2016-07-29,601398,4.2900,4.3052,4.2460,0,0,0.9355,000338,0.6451,均线未下行,,200
2016-07-29,2016-08-01,601398,4.3000,4.3083,4.2552,0,0,0.9246,600585,0.6365,均线未下行,,200
2016-08-01,2016-08-02,601225,5.7700,6.0090,5.6515,0,0,0.7913,000338,0.6373,均线未下行,,35100
2016-08-03,2016-08-04,601009,10.1000,10.1245,9.6915,0,0,0.9858,600585,0.6521,均线未下行,,29880
2016-08-04,2016-08-05,601009,10.0600,10.1475,9.7430,0,0,0.9819,600585,0.6509,均线未下行,,29880
2016-09-21,2016-09-22,600309,19.5100,20.0770,19.9205,0,0,1.0402,000651,0.7683,均线未下行,601009,1800
2016-09-22,2016-09-23,600309,19.8500,20.0885,19.9130,0,0,1.0584,000651,0.7596,均线未下行,601988,1800
2016-09-23,2016-09-26,600309,19.6700,20.0920,19.9480,0,0,1.0488,000651,0.7488,均线未下行,601939,1800
2016-09-26,2016-09-27,600309,19.1200,20.0895,19.9790,0,0,1.0194,000651,0.7512,均线未下行,601398,1800
2016-09-27,2016-09-28,600309,19.6800,20.1055,19.9855,0,0,1.0493,000651,0.7694,均线未下行,,1800
2018-10-19,2018-10-22,601225,8.3800,8.4720,8.0810,0,0,1.4388,002152,0.9865,均线未下行,,83300
2018-10-23,2018-10-24,601225,8.4800,8.5205,8.1940,0,0,1.4560,002152,1.0111,均线未下行,,83300
2018-11-02,2018-11-05,601225,8.4800,8.4985,8.4720,0,0,1.5443,002152,0.9757,均线未下行,,83300
2018-11-05,2018-11-06,601225,8.4100,8.4970,8.4965,0,0,1.5316,002152,0.9676,均线未下行,,83300
2019-05-16,2019-05-17,000651,56.1900,56.6490,54.8605,0,0,1.2246,601225,0.7408,均线未下行,600660,22500
2019-07-17,2019-07-18,000651,54.5300,55.8075,53.7870,0,0,1.1884,601225,0.7487,均线未下行,,22500
2019-07-22,2019-07-23,000651,54.0000,55.8545,54.4605,0,0,1.1769,601225,0.7562,均线未下行,,22500
2019-07-23,2019-07-24,000651,54.4000,55.8695,54.5625,0,0,1.1856,601225,0.7570,均线未下行,,22500
2019-07-24,2019-07-25,000651,54.7600,55.8840,54.7380,0,0,1.1935,601225,0.7570,均线未下行,,22500
2019-07-25,2019-07-26,000651,55.1200,55.8905,54.9745,0,0,1.2013,601225,0.7595,均线未下行,,22500
2019-07-26,2019-07-29,000651,55.4600,55.9135,55.2405,0,0,1.2087,601225,0.7562,均线未下行,,22500
2019-07-29,2019-07-30,000651,54.6200,55.7150,55.4975,0,0,1.1904,601225,0.7629,均线未下行,,22500
2019-09-25,2019-09-26,600066,14.5000,14.7510,14.1200,0,0,0.9325,002466,0.4066,均线未下行,,23300
2019-09-26,2019-09-27,600066,14.0100,14.7235,14.2110,0,0,0.9010,002466,0.3952,均线未下行,,23300
2019-09-27,2019-09-30,600066,13.9400,14.6830,14.3235,0,0,0.8965,002466,0.3828,均线未下行,,23300
2019-09-30,2019-10-08,600066,13.9000,14.6515,14.4040,0,0,0.8939,002466,0.3828,均线未下行,,23300
2019-10-08,2019-10-09,600066,13.7000,14.6135,14.4605,0,0,0.8810,002466,0.3856,均线未下行,,23300
2019-10-09,2019-10-10,600066,13.8300,14.5850,14.5245,0,0,0.8894,002466,0.3731,均线未下行,002128,23300
2020-01-16,2020-01-17,600016,6.3000,6.3045,6.2565,0,0,0.9888,600566,0.7685,均线未下行,,600
2020-01-17,2020-01-20,600016,6.2900,6.3040,6.2645,0,0,0.9872,600566,0.7662,均线未下行,,600
2020-07-02,2020-07-03,000423,35.0000,35.0020,34.5665,0,0,0.9153,601088,0.5640,均线未下行,,10100
2020-07-16,2020-07-17,600750,12.6600,13.0625,12.1374,0,0,1.0972,600897,0.8091,均线未下行,,360
2020-07-17,2020-07-20,600750,12.6700,13.0480,12.2370,0,0,1.0980,600897,0.8060,均线未下行,,360
2020-07-20,2020-07-21,600750,12.9100,13.0700,12.3434,0,0,1.1188,600897,0.8176,均线未下行,,360
2020-07-21,2020-07-22,600750,12.9400,13.0970,12.4615,0,0,1.1214,600897,0.8091,均线未下行,,360
2020-07-22,2020-07-23,600750,13.0200,13.1255,12.5423,0,0,1.1284,600897,0.8127,均线未下行,,360
2020-07-27,2020-07-28,600750,12.3300,13.1620,12.8325,0,0,1.0686,600066,0.9100,均线未下行,,360
2020-07-28,2020-07-29,600750,12.4300,13.1515,12.9615,0,0,1.0772,600066,0.9176,均线未下行,,360
2020-07-29,2020-07-30,600750,12.9000,13.1180,13.0365,0,0,1.1180,600066,0.9312,均线未下行,,360
2020-07-30,2020-07-31,600750,13.1000,13.1080,13.0625,0,0,1.1353,600066,0.9388,均线未下行,,360
2020-08-12,2020-08-13,600309,64.4400,65.6540,59.5535,0,0,1.1535,600897,0.8180,均线未下行,600750,49500
2020-08-13,2020-08-14,600309,65.9500,66.1020,60.1940,0,0,1.1805,600897,0.8091,均线未下行,,49500
2020-09-16,2020-09-17,000423,42.0700,44.0485,42.5250,0,0,1.1060,600897,0.8209,均线未下行,,10100
2020-11-13,2020-11-16,601818,4.0000,4.0370,3.9125,0,0,1.0213,002466,0.4850,均线未下行,601916,1200
2020-11-27,2020-11-30,000423,41.8300,42.0020,40.2545,0,0,1.0997,600897,0.8038,均线未下行,,10100
2020-11-30,2020-12-01,000423,41.7100,42.1200,40.4155,0,0,1.0966,600897,0.7994,均线未下行,,10100
2020-12-01,2020-12-02,000423,41.9500,42.2250,40.4565,0,0,1.1029,600897,0.8069,均线未下行,,10100
2020-12-07,2020-12-08,601818,4.1900,4.2615,4.0725,0,0,1.0849,600000,0.9226,均线未下行,,1500
2020-12-09,2020-12-10,000423,42.2500,42.8415,41.6620,0,0,1.1108,600000,0.9152,均线未下行,,10100
2021-03-03,2021-03-04,000423,36.3300,38.1910,37.5235,0,0,0.9551,600897,0.7910,均线未下行,,10100
2021-03-05,2021-03-08,601818,4.1400,4.1455,4.1345,0,0,1.0784,600897,0.7804,均线未下行,,1500
2021-03-08,2021-03-09,601818,4.1200,4.1460,4.1380,0,0,1.0731,600897,0.7694,均线未下行,,1500
2021-03-09,2021-03-10,601818,4.0700,4.1500,4.1385,0,0,1.0601,600897,0.7654,均线未下行,,1500
2021-03-10,2021-03-11,601818,4.0300,4.1520,4.1395,0,0,1.0497,600897,0.7641,均线未下行,000423,1500
2021-03-11,2021-03-12,601818,4.1100,4.1585,4.1390,0,0,1.0705,600016,0.7879,均线未下行,,1500
2021-03-19,2021-03-22,601818,4.0800,4.1480,4.1455,0,0,1.0627,600566,0.8490,均线未下行,,1500
2021-10-18,2021-10-19,601225,15.0400,15.0675,14.7675,0,0,0.9566,600897,0.7879,均线未下行,,252700
2021-10-19,2021-10-20,601225,14.8500,15.0650,14.9430,0,0,0.9445,600897,0.7827,均线未下行,,252700
2022-04-20,2022-04-21,601088,29.5600,29.6435,27.0760,0,0,0.9972,601288,0.7084,均线未下行,,546700
2022-04-21,2022-04-22,601088,29.2200,29.7605,27.2720,0,0,0.9857,601288,0.7108,均线未下行,,546700
2022-04-22,2022-04-25,601088,29.6900,29.9175,27.4545,0,0,1.0016,601288,0.7154,均线未下行,,546700
2022-04-26,2022-04-27,601088,28.4700,30.0570,27.8935,0,0,0.9604,601288,0.7108,均线未下行,,546700
2023-01-03,2023-01-04,603156,21.5000,21.7575,20.9105,0,0,1.0141,601398,0.7466,均线未下行,,16900
2023-01-04,2023-01-05,603156,21.5300,21.8080,20.9850,0,0,1.0156,601077,0.7204,均线未下行,,16900
2023-01-05,2023-01-06,603156,21.6700,21.8145,21.0775,0,0,1.0222,000338,0.5673,均线未下行,,16900
2023-01-06,2023-01-09,603156,21.5000,21.7620,21.1820,0,0,1.0141,000338,0.5647,均线未下行,,16900
2023-01-09,2023-01-10,603156,21.6200,21.7605,21.2835,0,0,1.0198,000338,0.5763,均线未下行,,16900
2023-01-10,2023-01-11,603156,21.4800,21.7265,21.3720,0,0,1.0132,000338,0.5689,均线未下行,,16900
2023-01-11,2023-01-12,603156,21.1500,21.6790,21.4625,0,0,0.9976,000338,0.5663,均线未下行,,16900
2023-01-12,2023-01-13,603156,21.0200,21.6180,21.5470,0,0,0.9915,000338,0.5700,均线未下行,,16900
2023-03-30,2023-03-31,601077,3.6200,3.6430,3.6280,0,0,0.7390,600176,0.5723,均线未下行,,200
2023-08-03,2023-08-04,601088,27.8900,28.2225,28.1605,0,0,0.7118,000933,0.5545,均线未下行,,19400
2023-08-07,2023-08-08,601169,4.6000,4.6050,4.4605,0,0,0.7252,000792,0.4484,均线未下行,,2884000
2023-08-08,2023-08-09,601328,5.6100,5.6160,5.4705,0,0,0.7351,000792,0.4472,均线未下行,,4017500
2023-08-09,2023-08-10,601328,5.6200,5.6255,5.4827,0,0,0.7364,000792,0.4474,均线未下行,,4017500
2023-08-10,2023-08-11,601328,5.6200,5.6310,5.4988,0,0,0.7364,000792,0.4484,均线未下行,,4017500
2023-08-23,2023-08-24,601825,5.7800,5.8405,5.7285,0,0,0.8260,601225,0.6570,均线未下行,,539000
2024-01-18,2024-01-19,601988,4.0100,4.0390,3.9950,0,0,0.8249,601166,0.6062,均线未下行,,5344600
2024-01-19,2024-01-22,601988,3.9700,4.0385,4.0015,0,0,0.8167,601166,0.6086,均线未下行,,5344600
2024-01-22,2024-01-23,601988,4.0000,4.0390,4.0095,0,0,0.8229,601166,0.6106,均线未下行,,5344600
2024-01-23,2024-01-24,601988,3.9800,4.0370,4.0185,0,0,0.8188,601166,0.6066,均线未下行,,5344600
2024-02-02,2024-02-05,601825,6.2000,6.2845,6.0150,0,0,0.8409,601166,0.6134,均线未下行,,539000
2024-02-05,2024-02-06,601825,6.1300,6.2915,6.0400,0,0,0.8314,601166,0.6185,均线未下行,,539000
2024-02-06,2024-02-07,601825,6.2400,6.3015,6.0680,0,0,0.8463,601166,0.6216,均线未下行,,539000
