security_code,security_name,notes_2018,financing_2019,delta_legacy,delta_reported,delta_operating
300699,光威复材,188057505.47,784120027.47,-1945252572.2599998,-972626286.1299999,-188506258.65999985
300750,宁德时代,9742890628.44,0,-14386789647.780006,-7193394823.8899975,-7193394823.8899975
300759,康龙化成,0,0,383801917.29999995,191900958.64999998,191900958.64999998
300760,迈瑞医疗,54586122.0,0,-471254324.0,-235627162.0,-235627162.0
300776,帝尔激光,141118445.33,152437141.06,-13000057.320000052,-6500028.660000026,145937112.39999995
300782,卓胜微,0,0,470553508.36,235276754.18,235276754.18
300811,铂科新材,69812206.5,55683084.18,-87801719.6,-43900859.8,11782224.379999995
300832,新产业,890000.0,0,64300023.400000036,32150011.700000018,32150011.700000018
300866,安克创新,0,0,-126173018.88000011,-63086509.44000006,-63086509.44000006
300896,爱美客,0,0,37641407.22,18820703.61,18820703.61
300910,瑞丰新材,16258846.23,40976241.67,-1381821.3600000292,-690910.6800000146,40285330.98999999
301498,乖宝宠物,2229685.32,0,75544472.33999999,37772236.169999994,37772236.169999994
301589,诺瓦星云,86725917.52,61213727.23,-311297824.55999994,-155648912.27999997,-94435185.04999998
600007,中国国贸,0,0,173950010.0,86975005.0,86975005.0
600009,上海机场,0,0,453994522.05999994,226997261.02999997,226997261.02999997
600031,三一重工,668643000.0,1037461000.0,-4260868000.0,-2130434000.0,-1092973000.0
600066,宇通客车,1219042301.17,166129973.64,-4209729952.899994,-2104864976.4499989,-1938735002.809999
600085,同仁堂,1083938855.24,326904603.72,-573286875.4399996,-286643437.71999955,40261166.00000048
600132,重庆啤酒,0,950000.0,-1886286145.3600001,-943143072.6800001,-942193072.6800001
600160,巨化股份,1443371617.72,444386868.69,-2504988629.06,-1252494314.5300002,-808107445.8400002
600176,中国巨石,2117015017.29,3695720222.75,-1929287714.12,-964643857.06,2731076365.69
600183,生益科技,759714021.86,682643071.88,-1481338138.3599997,-740669069.1799998,-58025997.299999714
600188,兖矿能源,4428709000.0,3961301000.0,-20797857000.0,-8184574000.0,-8651982000.0
600271,航天信息,930270473.49,0,801384409.3600006,400692204.6799998,400692204.6799998
600276,恒瑞医药,658870046.98,0,2232134147.6000004,1116067073.8000002,1116067073.8000002
600285,羚锐制药,374093018.57,24772068.27,105674577.53999972,52837288.76999986,77609357.03999984
600298,安琪酵母,105842149.59,124976361.64,-276792797.13999987,-138396398.56999993,-13420036.929999948
600309,万华化学,9539066246.73,3946731006.53,-33121865165.940002,-16560932582.970001,-12614201576.44
600315,上海家化,1146685.48,71000.0,402427811.24,201213905.62,201284905.62
600406,国电南瑞,1743120172.9,1610329274.36,-4049989040.659996,-2024994520.329998,-414665245.96999836
600415,小商品城,0,0,347021012.03999984,173510506.01999992,173510506.01999992
600426,华鲁恒升,1079140045.64,933197888.02,-648291536.5400004,-324145768.2700002,609052119.7499998
600436,片仔癀,68952557.39,6460909.45,-85732191.66000015,-42866095.83000001,-36405186.380000025
600486,扬农化工,320458165.23,26057416.83,-388040752.1800003,-194020376.09000015,-167962959.2600001
600507,方大特钢,220097810.66,1839505129.14,-3757494478.9199996,-1878747239.46,-39242110.319999814
600519,贵州茅台,563739710.0,0,1127761480.4599996,563880740.2299998,563880740.2299998
600563,法拉电子,341633622.4,242256821.11,-724222838.66,-362111419.33,-119854598.21999997
600566,济川药业,140789473.43,207496729.87,-596580954.4799995,-298290477.24000025,-90793747.37000036
600570,恒生电子,0,0,85908129.08000004,42954064.54000002,42954064.54000002
600585,海螺水泥,9067583799.0,3350585849.0,-3118232900.0,-1559116450.0,-2275183839.0
600588,用友网络,115302348.0,0,-558284630.0,-279142315.0,-279142315.0
600600,青岛啤酒,53801550.0,0,492166266.0,246083133.0,246083133.0
600660,福耀玻璃,710399926.0,784417775.0,-917273646.0,-458636823.0,325780952.0
600690,海尔智家,14300186109.12,0,-9975974210.259995,-4987987105.129997,-4987987105.129997
600717,天津港,563378194.42,521537839.24,-983169034.999999,-491584517.49999976,29953321.740000248
600750,华润江中,974868086.69,38905841.22,376858148.9799998,188429074.49,227334915.70999992
600763,通策医疗,0,0,-43671360.60000001,-21835680.300000004,-21835680.300000004
600803,新奥股份,185647932.95,636870000.0,-8430918851.679999,-4215459425.84,-3578589425.84
600809,山西汾酒,3831010206.52,2784575398.97,-10259166531.220001,-5129583265.610001,-2345007866.640001
600862,中航高科,241196130.9,173642979.68,-30984250.77999997,-15492125.389999986,158150854.28999996
600885,宏发股份,586186915.26,0,-349804137.48,-174902068.74,-174902068.74
600887,伊利股份,181100000.0,0,-2260815813.540001,-1130407906.7700005,-1130407906.7700005
600897,厦门空港,0,0,331905294.73999995,165952647.36999997,165952647.36999997
600900,长江电力,3669800.0,0,715572590.5599985,357786295.27999926,357786295.27999926
600938,中国海油,118300900.0,0,-8047738600.0,-4023869300.0,-4023869300.0
600970,中材国际,901585712.35,1089587138.2,-640592526.3399992,-320296263.1699996,769290875.0300004
600988,赤峰黄金,1556250.0,2499450.04,-267477364.2000001,-133738682.10000005,-131239232.06000003
600989,宝丰能源,151960718.68,124866625.46,746269375.3999999,373134687.6999999,498001313.15999997
600993,马应龙,388530806.57,80846209.99,-441775841.72,-220887920.86000007,-140041710.87000006
601001,晋控煤业,41813392.81,13114745.55,-802108142.2999997,-401054071.14999986,-387939325.5999999
601088,中国神华,4567000000.0,0,-1556000000.0,-778000000.0,-778000000.0
601100,恒立液压,784322227.43,586939021.83,-753657999.9000001,-376828999.95000005,210110021.88
601138,工业富联,923000.0,0,1870562000.0,935281000.0,935281000.0
601225,陕西煤业,9499032969.77,387466205.8,-10283551936.240002,-5141775968.120001,-4754309762.320001
601515,衢州东峰,332494141.98,0,106900857.95999956,53450428.9799999,53450428.9799999
601717,中创智领,3956857300.23,1211616110.72,-1831774438.540001,-915887219.2700005,295728891.4499998
601857,中国石油,16308000000.0,7016000000.0,-43898000000.0,-13795000000.0,-23087000000.0
601888,中国中免,80029.0,0,-3218046409.4400005,-1609023204.7200003,-1609023204.7200003
601899,紫金矿业,0,1318505074.0,-335475674.0,-167737837.0,-92323283.0
601958,金钼股份,1201768497.58,546230004.9,-2367172672.88,-1183586336.44,-637356331.5400002
601965,中国汽研,374163576.82,71028735.23,-442058490.79999983,-221029245.39999992,-150000510.1699999
603067,振华股份,280856720.77,179296693.55,-583047594.22,-291523797.11,-112227103.56
603129,春风动力,0,0,-521696936.1200001,-260848468.06000006,-260848468.06000006
603156,养元饮品,0,0,-84235861.01999986,-42117930.50999993,-42117930.50999993
603160,汇顶科技,209839668.05,0,-1119917355.1999998,-559958677.5999999,-559958677.5999999
603195,公牛集团,0,0,188795488.5400002,94397744.2700001,94397744.2700001
603259,药明康德,2708500.0,0,1540834773.3600001,770417386.6800001,770417386.6800001
603279,景津装备,70554757.99,215383438.94,-63645650.0200001,-31822825.01000005,183560613.93
603288,海天味业,0,0,-1107226278.5200002,-553613139.2600001,-553613139.2600001
603338,浙江鼎力,4460984.0,7904324.26,20264051.72000003,10132025.860000014,18036350.120000012
603369,今世缘,8298281.53,62493735.37,-105655124.86000001,-52827562.42999998,9666172.940000027
603392,万泰生物,7906302.03,0,115929100.13999996,57964550.06999998,57964550.06999998
603501,豪威集团,95776206.89,178105378.84,971828441.2999992,485914220.64999986,664019599.4899999
603505,金石资源,156235252.78,125768040.75,-327084086.26000005,-163542043.13,-37774002.379999995
603508,思维列控,25340495.12,62597934.35,160353896.70000005,80176948.35000002,142774882.70000005
603529,爱玛科技,135966649.17,46673966.71,-2417073981.4399996,-1208536990.7200003,-1161863024.0100002
603556,海兴电力,63785017.42,15238145.62,-311255236.0200002,-155627618.0100001,-140389472.3900001
603596,伯特利,788110982.05,0,-348988743.1800003,-174494371.59000003,-174494371.59000003
603605,珀莱雅,7115000.0,2150000.0,255630698.68000007,127815349.33999997,129965349.33999997
603606,东方电缆,93909567.12,53010511.12,-594490578.04,-297245289.02,-244234777.89999998
603806,福斯特,1528231261.43,1278320101.43,-1928621199.7200007,-964310599.8600003,314009501.5699997
603855,华荣股份,160305720.62,165339420.18,-473397582.46000016,-236698791.23000008,-71359371.05000007
603868,飞科电器,0,0,211988027.08000016,105994013.54000008,105994013.54000008
603899,晨光股份,1894232.0,29549924.83,-652474080.8399997,-326237040.41999984,-296687115.5899998
603993,洛阳钼业,1623841101.38,375935645.39,-2384138358.3200006,-380148628.47000015,-1628054084.4600005
605117,德业股份,47137698.84,5743631.61,-98543016.43999988,-49271508.22,-43527876.609999985
605305,中际联合,84432370.39,0,-13396168.380000055,-6698084.189999998,-6698084.189999998
605499,东鹏饮料,0,0,-246510202.08000004,-123255101.04000002,-123255101.04000002
688008,澜起科技,0,0,-252401789.72000003,-126200894.86000001,-126200894.86000001
688012,中微公司,54278819.34,0,134497740.63999993,67248870.31999996,67248870.31999996
688018,乐鑫科技,10445553.62,0,135423054.56,67711527.28,67711527.28
688019,安集科技,4300614.26,0,4748233.040000021,2374116.5200000033,2374116.5200000033
688041,海光信息,0,0,128664888.65999997,64332444.32999998,64332444.32999998
688072,拓荆科技,0,0,81104594.36,40552297.18,40552297.18
688082,盛美上海,0,0,162655334.38,81327667.19,81327667.19
688100,威胜信息,76669361.4,16242703.52,-622174221.5999995,-311087110.79999995,-294844407.28
688111,金山办公,0,0,259948103.68000007,129974051.84000003,129974051.84000003
688120,华海清科,0,0,-18011861.97999999,-9005930.989999995,-9005930.989999995
688122,西部超导,506528745.24,0,381349951.08000016,190674975.54000008,190674975.54000008
688188,柏楚电子,0,0,5833773.9200000055,2916886.9600000028,2916886.9600000028
688190,云路股份,115520616.8,39384621.37,-33829337.25999993,-16914668.629999965,22469952.740000032
688200,华峰测控,41621760.41,0,109963778.07999998,54981889.03999999,54981889.03999999
688208,道通科技,4500000.0,0,111024518.75999999,55512259.379999995,55512259.379999995
688235,百济神州,0,0,145620000.0,72810000.0,72810000.0
688256,寒武纪,0,0,-141100187.56,-70550093.78,-70550093.78
688271,联影医疗,30421500.0,0,-138641214.13999987,-69320607.06999993,-69320607.06999993
688278,特宝生物,40948199.84,0,-42557347.94000006,-21278673.97,-21278673.97
688281,华秦科技,21334952.51,0,150603512.27999997,75301756.13999999,75301756.13999999
688300,联瑞新材,48376115.9,70155561.16,-95707757.24,-47853878.62,22301682.53999999
688301,奕瑞科技,7688468.0,5945810.93,56910432.95999998,28455216.47999999,34401027.40999998
688516,奥特维,127694365.47,239181915.91,-547177484.2800001,-273588742.14,-34406826.22999999
688617,惠泰医疗,0,0,34888015.019999996,17444007.509999998,17444007.509999998
688630,芯碁微装,2141877.51,922606.73,28008526.22,14004263.110000007,14926869.840000004
688775,影石创新,0,0,-93863777.60000001,-46931888.800000004,-46931888.800000004
688777,中控技术,478246987.52,391370688.88,-490952721.34000015,-245476360.67000008,145894328.20999992
688981,中芯国际,66248627.1,0,724111368.1599989,362055684.0799999,362055684.0799999
689009,九号公司,300000.0,0,368875039.6,184437519.8,184437519.8
920394,民士达,5529473.76,0,15066952.580000002,7533476.290000001,7153476.290000001
920599,同力股份,74598564.19,37119785.2,1043983261.3600001,521991630.6799999,559111415.8799999
920982,锦波生物,0,0,19353626.44,9676813.22,9676813.22
