security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
300506,2022-09-30,-0.0773,-0.08,,1.436,1.4353,-5.38,-5.24,,1999962766.29,-0.0625,-66.8512,,sina vFD_FinancialGuideLine,2026-08-11T17:38:55+00:00
300511,2022-09-30,-0.0139,0.01,,4.0425,4.089,0.3,0.32,,4590867399.61,0.3506,15.3953,,sina vFD_FinancialGuideLine,2026-08-11T17:38:58+00:00
300536,2022-09-30,0.007,0.0173,,2.1049,2.0894,0.83,0.83,,1006536171.58,-0.4923,34.3091,-14.5859,sina vFD_FinancialGuideLine,2026-08-11T17:39:08+00:00
300710,2022-09-30,0.073,0.0401,,7.002,6.7882,0.59,0.59,,916002941.02,0.8067,-17.5976,-71.4767,sina vFD_FinancialGuideLine,2026-08-11T17:39:28+00:00
300742,2022-09-30,-0.8563,-0.821,,0.1268,0.0878,-935.33,-164.77,,1254061461.51,-0.252,-20.5902,-3697.0115,sina vFD_FinancialGuideLine,2026-08-11T17:39:32+00:00
300965,2022-09-30,-0.027,-0.027,,22.399,22.399,-0.12,-0.12,,1522650776.6,-0.5664,-32.5923,-102.8175,sina vFD_FinancialGuideLine,2026-08-11T17:39:54+00:00
600027,2022-09-30,0.2123,0.164,,7.4412,6.2787,3.75,4.17,,218314968000,0.955,2.1136,17.8267,sina vFD_FinancialGuideLine,2026-08-11T18:00:47+00:00
600136,2022-09-30,-1.1485,-0.97,,0.5114,0.7597,-128.12,-78.09,,7445368194.86,0.02,-38.0679,-17607.6457,sina vFD_FinancialGuideLine,2026-08-11T18:03:31+00:00
600185,2022-09-30,-0.0334,-0.03,,4.6711,4.6697,-0.69,-0.69,,32881552040.04,0.1915,-55.3512,-109.8436,sina vFD_FinancialGuideLine,2026-08-11T18:05:10+00:00
600189,2022-09-30,0.1459,0.12,,2.581,2.3477,5.15,5.28,,5024554583.77,0.4034,-20.1037,1.788,sina vFD_FinancialGuideLine,2026-08-11T18:05:30+00:00
600193,2022-09-30,0.0179,0.019,,0.7552,0.7552,2.45,2.48,,706250473.55,-0.025,-59.7999,-70.114,sina vFD_FinancialGuideLine,2026-08-11T18:06:06+00:00
600221,2022-09-30,-0.6618,-0.6269,,-0.3382,-0.3702,,,,126896831000,-0.0508,-31.2916,,sina vFD_FinancialGuideLine,2026-08-11T18:06:36+00:00
600225,2022-09-30,0.005,0,,0.6488,0.5058,0.97,0.91,,6390091953.13,-0.2017,14.195,,sina vFD_FinancialGuideLine,2026-08-11T18:07:05+00:00
600234,2022-09-30,-0.0006,-0.0033,,2.4114,2.3394,-0.14,-0.14,,869706485.73,-0.2466,-80.6831,-101.5118,sina vFD_FinancialGuideLine,2026-08-11T18:07:14+00:00
600306,2022-09-30,-0.2717,-0.27,,-0.0683,-0.0717,,0,,1362440612.59,-0.1012,-19.5119,,sina vFD_FinancialGuideLine,2026-08-11T18:08:27+00:00
600322,2022-09-30,0.0567,0.0429,,0.9781,0.4863,8.83,9.23,,16926800410.19,0.1138,196.5879,,sina vFD_FinancialGuideLine,2026-08-11T18:08:43+00:00
600345,2022-09-30,0.6497,0.65,,10.7408,10.7408,6.05,5.92,,2388195266.49,-0.2427,85.7927,67.2377,sina vFD_FinancialGuideLine,2026-08-11T18:09:02+00:00
600361,2022-09-30,-0.2536,,,2.7195,2.7195,-9.32,-8.92,,11114036439.16,0.8249,-10.2866,,sina vFD_FinancialGuideLine,2026-08-11T18:09:34+00:00
600462,2022-09-30,-0.0923,-0.0874,,0.0257,0.0435,-190.21,-123.39,,400192975.38,-0.0597,19.4124,,sina vFD_FinancialGuideLine,2026-08-11T18:10:59+00:00
600476,2022-09-30,-0.1893,-0.189,,0.8287,0.8287,-22.85,-20.51,,773651297.58,-0.7043,75.363,,sina vFD_FinancialGuideLine,2026-08-11T18:11:08+00:00
600518,2022-09-30,-0.0638,-0.064,,0.6545,0.6515,-9.81,-9.34,,15562044201.81,-0.0243,-11.8024,,sina vFD_FinancialGuideLine,2026-08-11T18:11:46+00:00
600532,2022-09-30,-0.0786,-0.07,,3.3412,3.3624,-2.06,-2.04,,2837529251.07,-1.7138,44.0516,,sina vFD_FinancialGuideLine,2026-08-11T18:12:06+00:00
600540,2022-09-30,-0.2304,-0.2033,,1.5843,1.6346,-12.17,-12.223,,2479632791.46,1.2982,-30.1441,-2260.0772,sina vFD_FinancialGuideLine,2026-08-11T18:12:20+00:00
600589,2022-09-30,-0.0665,-0.067,,0.0541,0.05,-133.15,-79.94,,1705446424.24,0.37,-61.9503,,sina vFD_FinancialGuideLine,2026-08-11T18:13:01+00:00
600654,2022-09-30,-0.6346,-0.63,,-1.7331,-1.7337,,,,3841355368.42,0.0219,-6.5737,,sina vFD_FinancialGuideLine,2026-08-11T18:15:20+00:00
600683,2022-09-30,0.3073,0.0023,,14.7877,12.0781,2.73,0.06,,53283729962.83,-10.7116,-36.3483,73.8983,sina vFD_FinancialGuideLine,2026-08-11T18:16:43+00:00
600686,2022-09-30,-0.4204,,,6.6259,5.2768,-6.57,-7.87,,24914938622.44,-1.6475,6.091,,sina vFD_FinancialGuideLine,2026-08-11T18:16:52+00:00
600734,2022-09-30,-0.0403,-0.048,,0.1674,0.1674,-24.1,-21.3757,,906274375.64,0.0037,-72.9026,,sina vFD_FinancialGuideLine,2026-08-11T18:19:41+00:00
600811,2022-09-30,-0.06,-0.0247,,5.2702,5.2693,-0.47,-0.47,,43665414819.64,0.1169,-1.968,-185.3177,sina vFD_FinancialGuideLine,2026-08-11T18:22:47+00:00
600822,2022-09-30,0.0254,0.0475,,2.0245,1.9153,2.48,2.51,,2706422370.65,0.4163,-26.0363,-91.4825,sina vFD_FinancialGuideLine,2026-08-11T18:23:42+00:00
600861,2022-09-30,-0.4312,-0.4335,,6.8702,6.5051,-6.66,-6.45,,2898428023.95,-0.1049,-28.6208,,sina vFD_FinancialGuideLine,2026-08-11T18:24:27+00:00
601162,2022-09-30,0.0085,0.01,,2.9685,2.8789,0.21,0.21,,95436775524.35,-0.5472,,-89.8665,sina vFD_FinancialGuideLine,2026-08-11T18:26:15+00:00
601628,2022-09-30,1.1416,1.1,,16.3495,16.0427,6.86,6.63,,5128085000000,10.2161,,-34.9317,sina vFD_FinancialGuideLine,2026-08-11T18:26:27+00:00
601991,2022-09-30,0.031,-0.0148,,3.9326,3.2074,1.29,-0.93,,294853991000,1.0215,16.1029,,sina vFD_FinancialGuideLine,2026-08-11T18:26:32+00:00
603003,2022-09-30,0.0797,0.0704,,9.1594,8.9701,0.76,0.76,,4443932754.6,-0.7155,44.0121,99.786,sina vFD_FinancialGuideLine,2026-08-11T18:26:40+00:00
603188,2022-09-30,-0.3593,-0.3255,,3.3872,3.5433,-9.19,-8.79,,3198086368.46,0.0291,71.7892,,sina vFD_FinancialGuideLine,2026-08-11T18:26:46+00:00
603388,2022-09-30,0.1092,0.1162,,5.068,4.0643,2.86,2.9,,3421680645.22,-0.0972,-23.0484,-30.7968,sina vFD_FinancialGuideLine,2026-08-11T18:26:52+00:00
603603,2022-09-30,-0.6117,-0.6,,-1.0608,-2.7213,,,,9885291487.09,0.5867,-53.7885,,sina vFD_FinancialGuideLine,2026-08-11T18:27:07+00:00
603789,2022-09-30,-0.1725,-0.1944,,2.4222,2.2189,-8.76,-10,,1268739929.49,0.372,-35.8784,,sina vFD_FinancialGuideLine,2026-08-11T18:27:18+00:00
688443,2022-09-30,-1.6355,,,0.2204,,-742.04,,,968903700,-0.5788,,,sina vFD_FinancialGuideLine,2026-08-11T18:28:03+00:00
688661,2022-09-30,0.4965,0.558,,14.0644,14.0644,3.53,7.76,,1389685497.14,0.7308,-18.0209,-46.4643,sina vFD_FinancialGuideLine,2026-08-11T18:28:15+00:00
900927,2022-09-30,0.0254,0.0475,,2.0245,1.9153,2.48,2.51,,2706422370.65,0.4163,-26.0363,-91.4825,sina vFD_FinancialGuideLine,2026-08-11T18:42:26+00:00
900945,2022-09-30,-0.6618,-0.6269,,-0.3382,-0.3702,,,,126896831000,-0.0508,-31.2916,,sina vFD_FinancialGuideLine,2026-08-11T18:42:46+00:00
920469,2022-09-30,0.3866,0.39,0.36,3.1723,3.1751,12.32,12.81,,690925654.19,0.0337,,,sina vFD_FinancialGuideLine,2026-08-11T18:43:17+00:00
