snapshot,sample,arm,reference,metric,level,paired_delta,positive,n
原快照,全样本,SB1,BASE,滚动5年年化P25,0.4010095,-0.0018780000000000185,7,14
原快照,全样本,SB1,BASE,滚动5年年化最差,0.115007,-0.000559500000000001,7,14
原快照,全样本,SB1,BASE,滚动5年回撤中位,0.46463699999999997,-0.002921499999999966,6,14
原快照,全样本,SB1,BASE,滚动5年Calmar中位,1.0654785,-0.002799500000000066,7,14
原快照,全样本,SB1,BASE,滚动5年Sharpe中位,0.9609445,-0.007638999999999951,6,14
原快照,全样本,SB1,BASE,滚动5年为负的窗口占比,0.0,0.0,1,14
原快照,全样本,SB1,BASE,滚动5年窗口数,102.0,0.0,0,14
原快照,全样本,SB1,BASE,互不重叠5年块中位,0.6152785,8.749999999996261e-05,7,14
原快照,全样本,SB1,BASE,滚动10年年化中位,0.44985050000000004,0.004518500000000009,7,14
原快照,全样本,SB1,BASE,滚动10年窗口数,42.0,0.0,0,14
原快照,全样本,SB1,BASE,逐年收益中位,0.3822125,-0.017755500000000007,5,14
原快照,全样本,SB1,BASE,逐年为正比例,0.7774725,0.0,1,14
原快照,全样本,SB1,BASE,逐年最差,-0.271802,0.0,6,14
原快照,全样本,SB1,BASE,完整自然年数,12.5,0.0,0,14
原快照,全样本,SB1,SB1,年化,0.46584800000000004,0.0,0,14
原快照,全样本,SB1,SB1,最大回撤,0.6938015,0.0,0,14
原快照,全样本,SB1,SB1,Sharpe,0.8810685,0.0,0,14
原快照,全样本,SB1,SB1,Calmar,0.6263625,0.0,0,14
原快照,全样本,SB1,SB1,平均仓位,1.648812,0.0,0,14
原快照,全样本,SB1,SB1,年均换手,7.065041,0.0,0,14
原快照,全样本,SB1,SB1,持仓数中位,6.0,0.0,0,14
原快照,全样本,SB1,SB1,单票权重中位,0.64908,0.0,0,14
原快照,全样本,SB1,SB1,单票权重P90,0.9057345,0.0,0,14
原快照,全样本,SB1,SB1,单票权重最大,1.1132304999999998,0.0,0,14
原快照,全样本,SB1,SB1,前三权重中位,1.4558360000000001,0.0,0,14
原快照,全样本,SB1,SB1,单票超60%天数占比,0.766875,0.0,0,14
原快照,全样本,SB1,SB1,滚动3年年化中位,0.4822015,0.0,0,14
原快照,全样本,SB1,SB1,滚动3年回撤中位,0.439189,0.0,0,14
原快照,全样本,SB1,SB1,滚动3年Calmar中位,1.0765255,0.0,0,14
原快照,全样本,SB1,SB1,滚动3年Sharpe中位,0.957849,0.0,0,14
原快照,全样本,SB1,SB1,滚动3年为负的窗口占比,0.022415499999999998,0.0,0,14
