arm,security_code,security_name,report_date,label,available_at,status,reason,pv,forward_3y_ex_dividend,common_sample
MC100,002812,恩捷股份,2021-12-31,高估,2022-04-12,ok,,4.671564991655851,-0.8564128007938476,True
MC150,002812,恩捷股份,2021-12-31,高估,2022-04-12,ok,,4.671564991655851,-0.8564128007938476,True
BASE,000568,泸州老窖,2020-12-31,高估,2021-04-30,ok,,6.732752557249998,-0.27185225761014165,True
WCREP,000568,泸州老窖,2020-12-31,高估,2021-04-30,ok,,5.5467780160252795,-0.27185225761014165,True
MC050,000568,泸州老窖,2020-12-31,高估,2021-04-30,ok,,5.5467780160252795,-0.27185225761014165,True
MC100,000568,泸州老窖,2020-12-31,高估,2021-04-30,ok,,5.5467780160252795,-0.27185225761014165,True
MC150,000568,泸州老窖,2020-12-31,高估,2021-04-30,ok,,5.5467780160252795,-0.27185225761014165,True
BASE,603288,海天味业,2020-12-31,高估,2021-03-31,ok,,7.8723089807379685,-0.5767987484355445,True
WCREP,603288,海天味业,2020-12-31,高估,2021-03-31,ok,,7.8723089807379685,-0.5767987484355445,True
MC050,603288,海天味业,2020-12-31,高估,2021-03-31,ok,,7.8723089807379685,-0.5767987484355445,True
MC100,603288,海天味业,2020-12-31,高估,2021-03-31,ok,,7.8723089807379685,-0.5767987484355445,True
MC150,603288,海天味业,2020-12-31,高估,2021-03-31,ok,,7.8723089807379685,-0.5767987484355445,True
BASE,600276,恒瑞医药,2020-12-31,高估,2021-04-20,ok,,5.958289746043758,-0.3772132984684349,True
WCREP,600276,恒瑞医药,2020-12-31,高估,2021-04-20,ok,,6.164320474048602,-0.3772132984684349,True
MC050,600276,恒瑞医药,2020-12-31,高估,2021-04-20,ok,,6.164320474048602,-0.3772132984684349,True
MC100,600276,恒瑞医药,2020-12-31,高估,2021-04-20,ok,,6.164320474048602,-0.3772132984684349,True
MC150,600276,恒瑞医药,2020-12-31,高估,2021-04-20,ok,,6.164320474048602,-0.3772132984684349,True
BASE,000661,长春高新,2020-12-31,高估,2021-03-12,ok,,4.967542726000381,-0.7003214695752009,True
WCREP,000661,长春高新,2020-12-31,高估,2021-03-12,ok,,4.967542726000381,-0.7003214695752009,True
MC050,000661,长春高新,2020-12-31,高估,2021-03-12,ok,,4.967542726000381,-0.7003214695752009,True
MC100,000661,长春高新,2020-12-31,高估,2021-03-12,ok,,4.967542726000381,-0.7003214695752009,True
MC150,000661,长春高新,2020-12-31,高估,2021-03-12,ok,,4.967542726000381,-0.7003214695752009,True
BASE,002714,牧原股份,2020-12-31,高估,2021-04-30,ok,,2.403644887021678,-0.4601007868446646,True
