group,arm,metric,paired_delta_vs_wc,positive_starts,starts
full,MC050M16SEP09,滚动5年窗口数,0.0,0,14
full,MC050M16SEP09,互不重叠5年块中位,-0.04357958371113707,2,14
full,MC050M16SEP09,滚动10年年化中位,-0.08513253018110523,1,14
full,MC050M16SEP09,滚动10年窗口数,0.0,0,14
full,MC050M16SEP09,逐年收益中位,0.008933648873288402,8,14
full,MC050M16SEP09,逐年为正比例,-0.03125,4,14
full,MC050M16SEP09,逐年最差,-0.07501836231257031,2,14
full,MC050M16SEP09,完整自然年数,0.0,0,14
full,MC050M16SEP09,强平次数,0.0,0,14
full,MC050M16SEP09,最低担保比例,-0.092499111826431,3,14
full,MC050M16SEP09,最低股票同跌缓冲,-0.04107276841998592,3,14
full,MC050M16SEP09,最低总资产冲击缓冲,-0.04107276841998592,3,14
full,MC050M16SEP09,rf覆盖率,0.0,0,14
full,MC050M16SEP09,年化_交易日口径,-0.0450755537403037,2,14
full,MC050M16SEP09,最低担保比例日,0.0,3,14
full,MC050M16SEP09,最低股票同跌缓冲日,0.0,3,14
full,MC050M16SEP09,滚动5年年化最差窗口末日,0.0,2,14
full,MC050M16SEP09,最大回撤起日,0.0,2,14
full,MC050M16SEP09,最大回撤止日,2.5,9,14
full,MC050M16SEP09,末次净值日,0.0,0,14
full,MC100M14SEP09,年化,-0.04567797483436531,3,14
full,MC100M14SEP09,最大回撤,0.03856795614328423,11,14
full,MC100M14SEP09,Sharpe,-0.06915166989150445,3,14
full,MC100M14SEP09,Calmar,-0.1021500220653225,3,14
full,MC100M14SEP09,平均仓位,0.00850721583983527,10,14
full,MC100M14SEP09,年均换手,0.2722872365470508,9,14
full,MC100M14SEP09,持仓数中位,0.0,2,14
full,MC100M14SEP09,单票权重中位,-1.0558140134120375e-05,7,14
full,MC100M14SEP09,单票权重P90,0.05358496534192114,10,14
full,MC100M14SEP09,单票权重最大,0.16312146824214752,10,14
full,MC100M14SEP09,前三权重中位,0.02131290459670543,11,14
full,MC100M14SEP09,单票超60%天数占比,-0.017217299491173343,6,14
full,MC100M14SEP09,滚动3年年化中位,-0.07061882845407452,2,14
full,MC100M14SEP09,滚动3年回撤中位,0.003166991395417873,8,14
full,MC100M14SEP09,滚动3年Calmar中位,-0.12926471902943926,2,14
full,MC100M14SEP09,滚动3年Sharpe中位,-0.06595152370506202,1,14
full,MC100M14SEP09,滚动3年为负的窗口占比,0.018524871355060042,10,14
full,MC100M14SEP09,滚动5年年化中位,-0.06046906955223652,2,14
full,MC100M14SEP09,滚动5年年化P25,-0.07100960998312678,3,14
full,MC100M14SEP09,滚动5年年化最差,-0.04354794436070675,1,14
full,MC100M14SEP09,滚动5年回撤中位,0.035192447821812356,11,14
full,MC100M14SEP09,滚动5年Calmar中位,-0.16476096519548533,2,14
full,MC100M14SEP09,滚动5年Sharpe中位,-0.07747399448164455,2,14
full,MC100M14SEP09,滚动5年为负的窗口占比,0.0,4,14
full,MC100M14SEP09,滚动5年窗口数,0.0,0,14
full,MC100M14SEP09,互不重叠5年块中位,-0.05134954935723468,2,14
full,MC100M14SEP09,滚动10年年化中位,-0.06044890601502617,2,14
full,MC100M14SEP09,滚动10年窗口数,0.0,0,14
full,MC100M14SEP09,逐年收益中位,0.006508465104200167,8,14
full,MC100M14SEP09,逐年为正比例,0.0,4,14
full,MC100M14SEP09,逐年最差,-0.0613525980440332,2,14
full,MC100M14SEP09,完整自然年数,0.0,0,14
full,MC100M14SEP09,强平次数,0.0,0,14
full,MC100M14SEP09,最低担保比例,-0.05651681904596695,2,14
full,MC100M14SEP09,最低股票同跌缓冲,-0.025996372468527026,2,14
full,MC100M14SEP09,最低总资产冲击缓冲,-0.025996372468527207,2,14
full,MC100M14SEP09,rf覆盖率,0.0,0,14
full,MC100M14SEP09,年化_交易日口径,-0.045875887637934154,3,14
full,MC100M14SEP09,最低担保比例日,0.0,6,14
full,MC100M14SEP09,最低股票同跌缓冲日,0.0,6,14
full,MC100M14SEP09,滚动5年年化最差窗口末日,0.0,3,14
full,MC100M14SEP09,最大回撤起日,-1.5,3,14
full,MC100M14SEP09,最大回撤止日,2.5,8,14
full,MC100M14SEP09,末次净值日,0.0,0,14
full,MC100M15SEP09,年化,-0.046617164782971954,2,14
