date,net_equity,cash,positions,cash_ratio,debt,margin_ratio,top1_weight,top3_weight
2016-07-29,3736963.25,801.62,5,0.0002,2489113.76,2.5013,0.8478,1.5546
2016-08-01,3799434.39,0.00,5,0.0000,2530233.61,2.5016,0.8503,1.5561
2016-08-02,3820719.63,0.00,5,0.0000,2544369.37,2.5016,0.8518,1.5524
2016-08-03,3792970.65,0.00,5,0.0000,2544613.35,2.4906,0.8523,1.5567
2016-08-04,3786103.10,225.17,5,0.0001,2521911.86,2.5013,0.8527,1.5817
2016-08-05,3778587.85,294.68,5,0.0001,2516833.23,2.5013,0.8510,1.6297
2016-08-08,3872275.65,0.00,5,0.0000,2578897.35,2.5015,0.8544,1.6306
2016-08-09,3870969.16,0.00,5,0.0000,2579144.64,2.5009,0.8525,1.6304
2016-08-10,3857147.64,0.00,5,0.0000,2579391.96,2.4954,0.8516,1.6328
2016-08-11,3823793.10,0.00,5,0.0000,2579639.30,2.4823,0.8477,1.6377
2016-08-12,3878717.91,0.00,5,0.0000,2583041.69,2.5016,0.8446,1.6282
2016-08-15,3953465.95,0.00,5,0.0000,2632796.25,2.5016,0.8434,1.6284
2016-08-16,3892953.29,0.00,5,0.0000,2633048.71,2.4785,0.8493,1.6393
2016-08-17,3904421.41,0.00,5,0.0000,2633301.19,2.4827,0.8501,1.6378
2016-08-18,3857138.30,0.00,5,0.0000,2633553.70,2.4646,0.8488,1.6456
2016-08-19,3841511.57,0.00,5,0.0000,2633806.23,2.4585,0.8477,1.6483
2016-08-22,3827973.92,0.00,4,0.0000,2609140.88,2.4671,0.8457,1.6506
2016-08-23,3838158.93,0.00,4,0.0000,2609391.07,2.4709,0.8434,1.6488
2016-08-24,3817698.11,0.00,4,0.0000,2609641.29,2.4629,0.8428,1.6526
2016-08-25,3828890.67,0.00,4,0.0000,2609891.53,2.4671,0.8438,1.6511
2016-08-26,3816105.21,0.00,4,0.0000,2610141.79,2.4620,0.8443,1.6533
2016-08-29,3817132.35,0.00,4,0.0000,2610892.65,2.4620,0.8452,1.6535
2016-08-30,3828126.59,0.00,4,0.0000,2611143.01,2.4661,0.8445,1.6515
2016-08-31,3841825.80,0.00,4,0.0000,2611393.40,2.4712,0.8437,1.6489
2016-09-01,3821852.20,0.00,4,0.0000,2611643.80,2.4634,0.8436,1.6525
2016-09-02,3879171.77,0.00,4,0.0000,2611894.23,2.4852,0.8378,1.6432
2016-09-05,4125652.13,-44912.59,4,-0.0109,2702438.29,2.5266,0.7941,1.6550
2016-09-06,4277048.03,-12.71,3,-0.0000,2848543.26,2.5015,0.7639,1.6660
2016-09-07,4235483.46,5.50,4,0.0000,2822717.04,2.5005,0.7648,1.6234
2016-09-08,4222623.04,64.38,4,0.0000,2812367.34,2.5014,0.7738,1.5753
2016-09-09,4200071.12,245.87,4,0.0001,2797346.76,2.5014,0.7790,1.5284
2016-09-12,4150041.18,222.32,4,0.0001,2764024.14,2.5014,0.7873,1.5687
2016-09-13,4128757.43,255.59,4,0.0001,2749850.16,2.5014,0.7882,1.6185
2016-09-14,4028675.75,0.00,4,0.0000,2749858.25,2.4650,0.7992,1.6346
2016-09-19,4118780.32,0.00,4,0.0000,2751176.68,2.4971,0.7844,1.6207
2016-09-20,4113964.51,0.00,4,0.0000,2751440.49,2.4952,0.7874,1.6215
2016-09-21,4126510.67,0.00,4,0.0000,2751704.33,2.4996,0.7850,1.6196
2016-09-22,4154119.67,0.00,4,0.0000,2766405.33,2.5016,0.7923,1.6187
2016-09-23,4124985.39,0.00,4,0.0000,2766670.61,2.4910,0.7984,1.6231
2016-09-26,4062998.50,0.00,4,0.0000,2767466.50,2.4681,0.7973,1.6332
2016-09-27,4137078.13,0.00,4,0.0000,2767731.87,2.4948,0.7835,1.6216
2016-09-28,4094767.73,0.00,4,0.0000,2767997.27,2.4793,0.7879,1.6282
2016-09-29,4144265.31,0.00,4,0.0000,2768262.69,2.4971,0.7916,1.6206
2016-09-30,4218725.45,0.00,4,0.0000,2809455.55,2.5016,0.7786,1.6195
2016-10-10,4260647.20,0.00,4,0.0000,2837291.80,2.5017,0.7816,1.6197
2016-10-11,4290195.93,0.00,4,0.0000,2857128.07,2.5016,0.7828,1.6201
2016-10-12,4278811.96,0.00,4,0.0000,2857402.04,2.4974,0.7838,1.6220
2016-10-13,4260779.96,0.00,4,0.0000,2857676.04,2.4910,0.7871,1.6248
2016-10-14,4262822.94,0.00,4,0.0000,2857950.06,2.4916,0.7873,1.6246
2016-10-17,4215181.79,0.00,4,0.0000,2858772.21,2.4745,0.7946,1.6323
2016-10-18,4311517.54,0.00,4,0.0000,2871369.46,2.5016,0.7924,1.6207
2016-10-19,4321127.14,0.00,4,0.0000,2877860.86,2.5015,0.7962,1.6208
2016-10-20,4324581.05,0.00,4,0.0000,2879928.95,2.5016,0.7965,1.6210
2016-10-21,4440283.50,0.00,4,0.0000,2956509.50,2.5019,0.7845,1.6218
2016-10-24,4729448.91,0.00,4,0.0000,3149126.09,2.5018,0.7905,1.6244
2016-10-25,4871450.86,0.00,4,0.0000,3243581.14,2.5019,0.7705,1.6254
2016-10-26,4731341.83,0.00,4,0.0000,3243892.17,2.4585,0.7755,1.6442
2016-10-27,4660844.77,0.00,4,0.0000,3244203.23,2.4367,0.7775,1.6540
2016-10-28,4633097.68,0.00,4,0.0000,3244514.32,2.4280,0.7859,1.6578
2016-10-31,4642755.33,0.00,4,0.0000,3245447.67,2.4305,0.7862,1.6568
2016-11-01,4706193.12,0.00,4,0.0000,3245758.88,2.4500,0.7852,1.6479
2016-11-02,4669861.88,0.00,4,0.0000,3246070.12,2.4386,0.7802,1.6532
2016-11-03,4736162.62,0.00,4,0.0000,3246381.38,2.4589,0.7770,1.6441
2016-11-04,4811730.32,0.00,4,0.0000,3246692.68,2.4820,0.7792,1.6341
2016-11-07,4986337.34,0.00,4,0.0000,3320354.66,2.5017,0.7883,1.6267
2016-11-08,4879522.95,0.00,4,0.0000,3320673.05,2.4694,0.7817,1.6402
2016-11-09,4869232.53,0.00,4,0.0000,3320991.47,2.4662,0.7855,1.6420
2016-11-10,4926364.08,0.00,4,0.0000,3321309.92,2.4833,0.7760,1.6344
2016-11-11,4933057.60,0.00,4,0.0000,3321628.40,2.4851,0.7776,1.6337
2016-11-14,4928320.18,201.92,3,0.0000,3282351.74,2.5015,0.7761,1.6660
2016-11-15,4795410.43,0.00,3,0.0000,3282464.57,2.4609,0.7774,1.6845
2016-11-16,4763827.68,0.00,3,0.0000,3282779.32,2.4512,0.7807,1.6891
2016-11-17,4849092.89,0.00,3,0.0000,3283094.11,2.4770,0.7705,1.6771
2016-11-18,4705584.07,0.00,3,0.0000,3283408.93,2.4331,0.7784,1.6978
2016-11-21,4762826.25,239.26,4,0.0001,3172169.01,2.5014,0.7713,1.6658
2016-11-22,4989857.50,0.00,4,0.0000,3322977.50,2.5016,0.7657,1.6656
2016-11-23,5200807.45,0.00,4,0.0000,3463653.55,2.5015,0.7213,1.6656
2016-11-24,5310555.32,0.00,4,0.0000,3536701.68,2.5016,0.7093,1.6656
2016-11-25,5438680.90,0.00,4,0.0000,3622035.10,2.5016,0.6930,1.6655
2016-11-28,5704499.61,0.00,4,0.0000,3799207.39,2.5015,0.6732,1.6655
2016-11-29,5634606.30,0.00,4,0.0000,3799571.70,2.4830,0.6771,1.6738
2016-11-30,5518625.96,0.00,4,0.0000,3799936.04,2.4523,0.6913,1.6880
2016-12-01,6000510.03,0.00,4,0.0000,3996260.97,2.5015,0.6831,1.6655
2016-12-02,5773109.83,0.00,4,0.0000,3996644.17,2.4445,0.6676,1.6918
2016-12-05,5349118.11,0.00,4,0.0000,3997793.89,2.3380,0.6896,1.7468
2016-12-06,5437695.76,0.00,4,0.0000,3998177.24,2.3600,0.6804,1.7347
2016-12-07,5459958.37,0.00,4,0.0000,3998560.63,2.3655,0.6859,1.7318
2016-12-08,5406072.95,0.00,4,0.0000,3998944.05,2.3519,0.6911,1.7392
2016-12-09,5498996.49,0.00,4,0.0000,3999327.51,2.3750,0.6810,1.7267
2016-12-12,5118477.99,0.00,4,0.0000,4000478.01,2.2795,0.7279,1.7810
2016-12-13,5128120.39,0.00,4,0.0000,4000861.61,2.2818,0.7198,1.7796
2016-12-14,5014545.27,0.00,3,0.0000,3998362.73,2.2541,0.7175,1.7974
2016-12-15,4845530.86,0.00,3,0.0000,3998746.14,2.2118,0.7283,1.8252
2016-12-16,4825443.42,0.00,3,0.0000,3999129.58,2.2066,0.7206,1.8288
2016-12-19,4723877.99,0.00,3,0.0000,4000280.01,2.1809,0.7383,1.8468
2016-12-20,4657716.40,0.00,3,0.0000,4000663.60,2.1642,0.7470,1.8589
2016-12-21,4761266.77,0.00,3,0.0000,4001047.23,2.1900,0.7353,1.8403
2016-12-22,4820743.11,0.00,3,0.0000,4001430.89,2.2048,0.7217,1.8300
2016-12-23,4660209.41,0.00,3,0.0000,4001814.59,2.1645,0.7350,1.8587
2016-12-26,4672062.21,0.00,3,0.0000,4002965.79,2.1672,0.7266,1.8568
2016-12-27,4729586.36,0.00,3,0.0000,4003349.64,2.1814,0.7155,1.8464
2016-12-28,4735809.48,0.00,3,0.0000,4003733.52,2.1828,0.7164,1.8454
2016-12-29,4796142.56,0.00,3,0.0000,4004117.44,2.1978,0.7227,1.8349
2016-12-30,4766144.60,0.00,3,0.0000,4004501.40,2.1902,0.7336,1.8402
2017-01-03,4827712.63,0.00,3,0.0000,4006037.37,2.2051,0.7247,1.8298
2017-01-04,4927258.49,0.00,3,0.0000,4006421.51,2.2298,0.7149,1.8131
2017-01-05,4951064.31,0.00,3,0.0000,4006805.69,2.2357,0.7119,1.8093
2017-01-06,4925196.10,0.00,3,0.0000,4007189.90,2.2291,0.7191,1.8136
2017-01-09,4936770.34,0.00,3,0.0000,4008342.66,2.2316,0.7223,1.8119
2017-01-10,5023827.98,0.00,3,0.0000,4008727.02,2.2532,0.7158,1.7979
2017-01-11,4954274.58,0.00,3,0.0000,4009111.42,2.2358,0.7210,1.8092
2017-01-12,4847718.15,0.00,3,0.0000,4009495.85,2.2091,0.7342,1.8271
2017-01-13,4893003.67,0.00,3,0.0000,4009880.33,2.2202,0.7331,1.8195
2017-01-16,4877177.15,0.00,3,0.0000,4011033.85,2.2159,0.7484,1.8224
2017-01-17,4897433.53,0.00,3,0.0000,4011418.47,2.2209,0.7440,1.8191
2017-01-18,5091559.87,0.00,3,0.0000,4011803.13,2.2691,0.7236,1.7879
2017-01-19,5122835.18,0.00,3,0.0000,4012187.82,2.2768,0.7163,1.7832
2017-01-20,5218364.45,0.00,3,0.0000,4012572.55,2.3005,0.7090,1.7689
2017-01-23,5246971.15,0.00,3,0.0000,4013726.85,2.3073,0.7055,1.7650
2017-01-24,5316445.27,0.00,3,0.0000,4014111.73,2.3244,0.7032,1.7550
