date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2012-10-10,002024,买入,16100,7.150,115115,0.8713,8.046,首次建仓,
2012-10-10,600309,买入,8000,14.340,114720,1.0259,13.968,定投加仓,万华化学
2012-10-11,600585,买入,7100,16.180,114878,0.6607,24.215,定投加仓,
2012-10-11,002024,买入,16400,7.000,114800,0.8887,8.046,定投加仓,
2012-10-11,600897,买入,9100,12.510,113841,0.9416,13.477,首次建仓,
2012-10-11,600309,买入,8000,14.220,113760,1.0266,13.968,定投加仓,万华化学
2012-10-12,600585,买入,7100,15.990,113529,0.6682,24.215,定投加仓,
2012-10-12,002024,买入,16700,6.840,114228,0.8700,8.046,定投加仓,
2012-10-12,600897,买入,9100,12.540,114114,0.9282,13.477,定投加仓,
2012-10-12,600309,买入,8000,14.320,114560,1.0180,13.968,定投加仓,万华化学
2012-10-15,600897,卖出,18200,12.360,224952,,,跌破建仓日MA60止损,
2012-10-15,600585,买入,7100,15.990,113529,0.6603,24.215,定投加仓,
2012-10-15,002024,买入,16800,6.820,114576,0.8501,8.046,定投加仓,
2012-10-15,600309,买入,8100,14.110,114291,1.0252,13.968,定投加仓,万华化学
2012-10-16,600585,买入,7100,15.910,112961,0.6603,24.215,定投加仓,
2012-10-16,002024,买入,10400,6.810,70824,0.8476,8.046,定投加仓,
2012-10-18,600585,买入,3300,16.550,54615,0.6665,24.215,定投加仓,
2012-10-18,002024,买入,100,7.080,708,0.8501,8.046,定投加仓,
2012-10-19,600585,买入,700,16.880,11816,0.6835,24.215,定投加仓,
2012-10-22,600585,买入,600,16.910,10146,0.6971,24.215,定投加仓,
2012-10-24,600309,卖出,8300,13.760,114208,,,换仓·减一档：让位给600188,万华化学
2012-10-24,600585,买入,2900,16.230,47067,0.6707,24.215,定投加仓,
2012-10-24,002024,买入,100,7.040,704,0.8812,8.046,定投加仓,
2012-10-24,601939,买入,100,4.160,416,1.0178,4.097,首次建仓,建设银行
2012-10-25,600309,卖出,8300,13.600,112880,,,换仓·减一档：让位给601088,万华化学
2012-10-25,600585,买入,5900,16.100,94990,0.6569,24.706,定投加仓,
2012-10-31,600585,买入,5700,16.480,93936,0.6549,24.706,定投加仓,
2012-10-31,002024,买入,100,6.740,674,0.7586,8.806,定投加仓,
2012-10-31,601939,买入,100,4.130,413,1.0080,4.097,定投加仓,建设银行
2012-11-01,600585,买入,3600,17.030,61308,0.6670,24.706,定投加仓,
2012-11-12,600309,卖出,23500,13.140,308790,,,跌破建仓日MA60止损,万华化学
2012-11-12,002024,买入,17200,6.650,114380,0.7643,8.806,定投加仓,
2012-11-13,002024,卖出,93900,6.370,598143,,,跌破建仓日MA60止损,
2012-11-13,000338,买入,5400,20.520,110808,0.7619,27.274,首次建仓,潍柴动力
2012-11-13,600897,买入,8800,12.610,110968,0.9074,14.072,首次建仓,
2012-11-14,600897,卖出,8800,12.520,110176,,,跌破建仓日MA60止损,
2012-11-14,600585,买入,800,15.680,12544,0.6286,24.706,定投加仓,
2012-11-14,000338,买入,5400,20.880,112752,0.7524,27.274,定投加仓,潍柴动力
2012-11-15,000338,买入,5500,20.470,112585,0.7656,27.274,定投加仓,潍柴动力
2012-11-16,000338,买入,5500,20.360,111980,0.7505,27.274,定投加仓,潍柴动力
2012-11-16,601939,买入,26800,4.200,112560,1.0433,4.006,定投加仓,建设银行
2012-11-19,600585,买入,1000,15.970,15970,0.6306,24.706,定投加仓,
2012-11-19,000338,买入,3000,20.760,62280,0.7465,27.274,定投加仓,潍柴动力
2012-11-20,000338,买入,800,21.000,16800,0.7612,27.274,定投加仓,潍柴动力
2012-11-21,600585,买入,200,16.290,3258,0.6488,24.706,定投加仓,
2012-11-21,000338,买入,1300,21.800,28340,0.7700,27.274,定投加仓,潍柴动力
2012-11-23,601939,卖出,26900,4.150,111635,,,换仓：让位给空间更大的600660（同日对冲 100 股）,建设银行
2012-11-23,600660,买入,14000,7.130,99820,0.5409,13.182,首次建仓,福耀玻璃
2012-11-27,600660,卖出,10500,7.040,73920,,,跌破建仓日MA60止损（同日对冲 3500 股）,福耀玻璃
2012-11-27,601939,卖出,100,4.180,418,,,换仓：让位给空间更大的600660,建设银行
2012-11-28,600660,卖出,3500,7.050,24675,,,跌破建仓日MA60止损,福耀玻璃
2012-11-28,000338,买入,1300,20.940,27222,0.7700,27.274,定投加仓,潍柴动力
2012-11-29,000338,买入,800,21.430,17144,0.7678,27.274,定投加仓,潍柴动力
2012-11-30,600585,买入,3700,16.480,60976,0.6359,24.706,定投加仓,
2012-11-30,000338,买入,1800,22.070,39726,0.7857,27.274,定投加仓,潍柴动力
2012-12-04,000338,买入,200,23.200,4640,0.8158,27.274,定投加仓,潍柴动力
2012-12-05,600660,买入,13900,7.390,102721,0.5454,13.182,首次建仓,福耀玻璃
2012-12-13,600660,买入,100,7.340,734,0.5576,13.182,定投加仓,福耀玻璃
2012-12-14,600660,买入,15900,7.580,120522,0.5568,13.182,定投加仓,福耀玻璃
2012-12-17,600660,买入,2600,7.670,19942,0.5750,13.182,定投加仓,福耀玻璃
2012-12-21,600660,买入,4100,8.200,33620,0.5955,13.182,定投加仓,福耀玻璃
