date,signal_day,observed_on,spread,percentile,cap,exposure,debt,cash,equity,constraint_equity,active_sells,unresolved
2023-12-13,2023-12-12,2023-11-30,0.06873984732824426,0.9833333333333333,,1.7075430843949355,54396566.88617313,0.0,76880925.11382687,76880925.11382687,0,False
2023-12-14,2023-12-13,2023-11-30,0.06873984732824426,0.9833333333333333,,1.706339297684479,54401782.9953266,0.0,77019335.00467339,77019335.00467339,0,False
2023-12-15,2023-12-14,2023-11-30,0.06873984732824426,0.9833333333333333,,1.7222185723197283,54406999.60465492,0.0,75333149.39534508,75333149.39534508,0,False
2023-12-18,2023-12-15,2023-11-30,0.06873984732824426,0.9833333333333333,,1.7089667983913637,54422650.93330832,0.0,76763328.06669168,76763328.06669168,0,False
2023-12-19,2023-12-18,2023-11-30,0.06873984732824426,0.9833333333333333,,1.7089245188840505,54427869.54367179,0.0,76775267.45632821,76775267.45632821,0,False
2023-12-20,2023-12-19,2023-11-30,0.06873984732824426,0.9833333333333333,,1.7064274791568852,54433088.65444995,0.0,77054036.34555006,77054036.34555006,0,False
2023-12-21,2023-12-20,2023-11-30,0.06873984732824426,0.9833333333333333,,1.7131642987344182,54438308.26569078,0.0,76333473.73430923,76333473.73430923,0,False
2023-12-22,2023-12-21,2023-11-30,0.06873984732824426,0.9833333333333333,,1.7076170682931753,54443528.377442285,0.0,76939252.62255771,76939252.62255771,0,False
2023-12-25,2023-12-22,2023-11-30,0.06873984732824426,0.9833333333333333,,1.7049248647845663,54459190.214372784,0.0,77255311.78562722,77255311.78562722,0,False
2023-12-26,2023-12-25,2023-11-30,0.06873984732824426,0.9833333333333333,,1.7026086944317886,54464412.32850293,0.0,77517418.67149708,77517418.67149708,0,False
2023-12-27,2023-12-26,2023-11-30,0.06873984732824426,0.9833333333333333,,1.6882381287087753,54469634.943383746,0.0,79143588.05661625,79143588.05661625,0,False
2023-12-28,2023-12-27,2023-11-30,0.06873984732824426,0.9833333333333333,,1.694352942503029,54474858.05906325,0.0,78454132.94093674,78454132.94093674,0,False
2023-12-29,2023-12-28,2023-11-30,0.06873984732824426,0.9833333333333333,,1.6891847685284531,54480081.67558946,0.0,79050037.32441054,79050037.32441054,0,False
2024-01-02,2023-12-29,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6855485604495253,54500978.145273246,0.0,79499806.85472676,79499806.85472676,0,False
2024-01-03,2024-01-02,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6746587979243124,54506204.26646526,0.0,80790770.73353474,80790770.73353474,0,False
2024-01-04,2024-01-03,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6660089190699374,54891395.69361149,0.0,82418409.30638851,82418409.30638851,0,False
2024-01-05,2024-01-04,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6663939758215653,54896659.25210266,0.0,82378684.74789734,82378684.74789734,0,False
2024-01-08,2024-01-05,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6689649445768973,54912451.44175053,0.0,82085693.55824947,82085693.55824947,0,False
2024-01-09,2024-01-08,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6691323125642934,54917717.01928604,0.0,82073030.98071396,82073030.98071396,0,False
2024-01-10,2024-01-09,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6799685806571691,54922983.10173994,0.0,80772824.89826006,80772824.89826006,0,False
2024-01-11,2024-01-10,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6915938324205309,54928249.68916066,0.0,79422700.31083934,79422700.31083934,0,False
2024-01-12,2024-01-11,2023-12-29,0.07078611368015414,0.9833333333333333,,1.68079837396281,54933516.78159661,0.0,80689847.2184034,80689847.2184034,0,False
2024-01-15,2024-01-12,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6719742646431368,54949319.57409542,0.0,81772952.42590457,81772952.42590457,0,False
2024-01-16,2024-01-15,2023-12-29,0.07078611368015414,0.9833333333333333,,1.66600032031237,55022361.43035098,0.0,82616118.56964901,82616118.56964901,0,False
2024-01-17,2024-01-16,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6752667070302802,55027637.54720046,0.0,81490227.45279953,81490227.45279953,0,False
2024-01-18,2024-01-17,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6789564093883098,55032914.16997896,0.0,81055150.83002104,81055150.83002104,0,False
2024-01-19,2024-01-18,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6661836031265618,53525641.2470425,105.53233663447736,80346522.28529415,80346522.28529415,0,False
2024-01-22,2024-01-19,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6662129132369554,53168429.34772534,103.71525973748192,79806807.3675344,79806807.3675344,0,False
2024-01-23,2024-01-22,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6662223031450918,53188592.24893963,0.0,79836102.75106037,79836102.75106037,0,False
2024-01-24,2024-01-23,2023-12-29,0.07078611368015414,0.9833333333333333,,1.666043315780907,54945836.867914766,0.0,82495891.13208523,82495891.13208523,0,False
2024-01-25,2024-01-24,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6660481654499157,56963844.3682647,0.0,85525112.6317353,85525112.6317353,0,False
2024-01-26,2024-01-25,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6660321750524028,58348162.58070825,0.0,87605621.41929175,87605621.41929175,0,False
2024-01-29,2024-01-26,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6667284733429426,58431318.39971511,0.0,87638852.60028489,87638852.60028489,0,False
2024-01-30,2024-01-29,2023-12-29,0.07078611368015414,0.9833333333333333,,1.672825877006302,58436921.40284933,0.0,86852963.59715067,86852963.59715067,0,False
2024-01-31,2024-01-30,2023-12-29,0.07078611368015414,0.9833333333333333,,1.6685445608976848,58442524.94325782,0.0,87417546.05674218,87417546.05674218,0,False
2024-02-01,2024-01-31,2024-01-31,0.0740951968503937,0.9833333333333333,,1.685227573241759,58448129.02099211,0.0,85297397.9790079,85297397.9790079,0,False
2024-02-02,2024-02-01,2024-01-31,0.0740951968503937,0.9833333333333333,,1.6775603772876797,58453733.63610371,0.0,86270885.36389628,86270885.36389628,0,False
2024-02-05,2024-02-02,2024-01-31,0.0740951968503937,0.9833333333333333,,1.6660179247412183,59319831.32803477,0.0,89066418.67196523,89066418.67196523,0,False
2024-02-06,2024-02-05,2024-01-31,0.0740951968503937,0.9833333333333333,,1.6660009540800693,59421108.77175587,0.0,89220756.22824413,89220756.22824413,0,False
2024-02-07,2024-02-06,2024-01-31,0.0740951968503937,0.9833333333333333,,1.6786964508033932,59426806.68629562,0.0,87560214.31370437,87560214.31370437,0,False
2024-02-08,2024-02-07,2024-01-31,0.0740951968503937,0.9833333333333333,,1.6869677827695282,59432505.14721075,0.0,86514253.85278925,86514253.85278925,0,False
2024-02-19,2024-02-08,2024-01-31,0.0740951968503937,0.9833333333333333,,1.666057857356028,62169023.89116738,0.0,93338774.10883263,93338774.10883263,0,False
2024-02-20,2024-02-19,2024-01-31,0.0740951968503937,0.9833333333333333,,1.666009695242757,62723180.01349391,0.0,94177577.98650609,94177577.98650609,0,False
2024-02-21,2024-02-20,2024-01-31,0.0740951968503937,0.9833333333333333,,1.666019369425851,63746453.69408586,0.0,95712612.30591413,95712612.30591413,0,False
2024-02-22,2024-02-21,2024-01-31,0.0740951968503937,0.9833333333333333,,1.6660197064033868,64800223.69608388,0.0,97294754.30391613,97294754.30391613,0,False
2024-02-23,2024-02-22,2024-01-31,0.0740951968503937,0.9833333333333333,,1.666006413836141,65158786.86922829,0.0,97835074.13077171,97835074.13077171,0,False
2024-02-26,2024-02-23,2024-01-31,0.0740951968503937,0.9833333333333333,,1.6885300451822582,65177531.17777971,0.0,94661854.8222203,94661854.8222203,0,False
2024-02-27,2024-02-26,2024-01-31,0.0740951968503937,0.9833333333333333,,1.6782327795126637,65183781.07802963,0.0,96108272.92197037,96108272.92197037,0,False
2024-02-28,2024-02-27,2024-01-31,0.0740951968503937,0.9833333333333333,,1.6884954938710177,65190031.57758506,0.0,94684761.42241494,94684761.42241494,0,False
2024-02-29,2024-02-28,2024-01-31,0.0740951968503937,0.9833333333333333,,1.6837684436242537,65196282.67650346,0.0,95348481.32349655,95348481.32349655,0,False
2024-03-01,2024-02-29,2024-02-29,0.06828402841429881,0.9333333333333333,,1.683215507489468,65202534.3748423,0.0,95434798.6251577,95434798.6251577,0,False
2024-03-04,2024-03-01,2024-02-29,0.06828402841429881,0.9333333333333333,,1.666007937934133,65700055.61212785,0.0,98647556.38787216,98647556.38787216,0,False
2024-03-05,2024-03-04,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6660275080907616,67176199.09692955,0.0,100860997.90307045,100860997.90307045,0,False
2024-03-06,2024-03-05,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6716640428045824,67182640.65026762,0.0,100024173.34973238,100024173.34973238,0,False
2024-03-07,2024-03-06,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6660238353534331,68497618.1783466,0.0,102845595.8216534,102845595.8216534,0,False
2024-03-08,2024-03-07,2024-02-29,0.06828402841429881,0.9333333333333333,,1.666066899484624,72009785.203554,0.0,108111940.796446,108111940.796446,0,False
2024-03-11,2024-03-08,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6888228730679005,72030500.3472427,0.0,104570424.6527573,104570424.6527573,0,False
2024-03-12,2024-03-11,2024-02-29,0.06828402841429881,0.9333333333333333,,1.7245151224584894,72037407.38152257,0.0,99428438.61847743,99428438.61847743,0,False
2024-03-13,2024-03-12,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6712980508002029,67052316.28404172,0.0,99884568.71595828,99884568.71595828,0,False
2024-03-14,2024-03-13,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6662306990590954,67525753.12519419,0.0,101354910.87480581,101354910.87480581,0,False
2024-03-15,2024-03-14,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6662182722972105,67366825.60852383,216.8332479101527,101117924.22472407,101117924.22472407,0,False
2024-03-18,2024-03-15,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6664036584202335,67495536.20015259,0.0,101283261.79984741,101283261.79984741,0,False
2024-03-19,2024-03-18,2024-02-29,0.06828402841429881,0.9333333333333333,,1.666216282935922,67180879.62234543,91.85211270302534,100839306.22976728,100839306.22976728,0,False
2024-03-20,2024-03-19,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6661907374639366,68092596.23378648,0.0,102211862.76621352,102211862.76621352,0,False
2024-03-21,2024-03-20,2024-02-29,0.06828402841429881,0.9333333333333333,,1.66883812450989,68099125.6608226,0.0,101817051.3391774,101817051.3391774,0,False
2024-03-22,2024-03-21,2024-02-29,0.06828402841429881,0.9333333333333333,,1.684176241483348,68105655.71396816,0.0,99544023.28603184,99544023.28603184,0,False
2024-03-25,2024-03-22,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6660144095703724,68862030.23773687,0.0,103394204.76226313,103394204.76226313,0,False
2024-03-26,2024-03-25,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6660243202595941,70193222.53525323,0.0,105391380.46474677,105391380.46474677,0,False
2024-03-27,2024-03-26,2024-02-29,0.06828402841429881,0.9333333333333333,,1.671511182922074,70199953.39220867,0.0,104540259.60779133,104540259.60779133,0,False
2024-03-28,2024-03-27,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6793463079701476,70206684.89458874,0.0,103344471.10541126,103344471.10541126,0,False
2024-03-29,2024-03-28,2024-02-29,0.06828402841429881,0.9333333333333333,,1.6660163095148202,71157438.15535636,0.0,106840383.84464364,106840383.84464364,0,False
2024-04-01,2024-03-29,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6662205341234655,72471202.3285978,0.0,108779598.6714022,108779598.6714022,0,False
2024-04-02,2024-04-01,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6660128801198777,73308902.51951952,0.0,110071298.48048048,110071298.48048048,0,False
2024-04-03,2024-04-02,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6660027113225109,73467824.01459876,0.0,110311598.98540124,110311598.98540124,0,False
2024-04-08,2024-04-03,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6745530349222333,73503048.31378384,0.0,108965558.68621616,108965558.68621616,0,False
2024-04-09,2024-04-08,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6816750612655587,73510096.55129337,0.0,107837444.44870663,107837444.44870663,0,False
2024-04-10,2024-04-09,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6806170412674606,73517145.4646613,0.0,108015434.5353387,108015434.5353387,0,False
2024-04-11,2024-04-10,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6815257286377456,73524195.05395243,0.0,107881759.94604757,107881759.94604757,0,False
2024-04-12,2024-04-11,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6928627827905303,73531245.31923157,0.0,106126706.68076843,106126706.68076843,0,False
2024-04-15,2024-04-12,2024-03-29,0.06630506601248884,0.8833333333333333,,1.666018916795451,74636267.81287123,0.0,112063285.18712877,112063285.18712877,0,False
2024-04-16,2024-04-15,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6706163762945847,74643424.71526425,0.0,111305699.28473575,111305699.28473575,0,False
2024-04-17,2024-04-16,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6660100539398,75300417.23791617,0.0,113061982.76208383,113061982.76208383,0,False
2024-04-18,2024-04-17,2024-03-29,0.06630506601248884,0.8833333333333333,,1.666016214362547,76334662.3061377,0.0,114613819.6938623,114613819.6938623,0,False
2024-04-19,2024-04-18,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6660380809708062,78525461.29049276,0.0,117899356.70950724,117899356.70950724,0,False
2024-04-22,2024-04-19,2024-03-29,0.06630506601248884,0.8833333333333333,,1.675988162384344,78548050.80675441,0.0,116197376.19324559,116197376.19324559,0,False
2024-04-23,2024-04-22,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6908798431927898,78555582.81162629,0.0,113703683.18837371,113703683.18837371,0,False
2024-04-24,2024-04-23,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6912515381839928,78563115.53874521,0.0,113653440.46125479,113653440.46125479,0,False
2024-04-25,2024-04-24,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6877893036809366,78570648.98818043,0.0,114236509.01181957,114236509.01181957,0,False
2024-04-26,2024-04-25,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6836289498287633,78578183.16000122,0.0,114942737.83999878,114942737.83999878,0,False
2024-04-29,2024-04-26,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6887215022391844,78600787.84282807,0.0,114125648.15717193,114125648.15717193,0,False
2024-04-30,2024-04-29,2024-03-29,0.06630506601248884,0.8833333333333333,,1.6784416840277783,78608324.904676,0.0,115866001.095324,115866001.095324,0,False
2024-05-06,2024-04-30,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6783406481635996,78653551.61215541,0.0,115949931.38784459,115949931.38784459,0,False
2024-05-07,2024-05-06,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6686654455067145,78661093.73354287,0.0,117638939.26645713,117638939.26645713,0,False
2024-05-08,2024-05-07,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6741611077226393,78668636.57814746,0.0,116691152.42185254,116691152.42185254,0,False
2024-05-09,2024-05-08,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6738371130762624,78676180.14603852,0.0,116758454.85396148,116758454.85396148,0,False
2024-05-10,2024-05-09,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6660129174403329,79490391.58730082,0.0,119352627.41269918,119352627.41269918,0,False
2024-05-13,2024-05-10,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6659992340351848,79588516.9131781,0.0,119502415.0868219,119502415.0868219,0,False
2024-05-14,2024-05-13,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6778569384374162,79596148.68877251,0.0,117423226.31122749,117423226.31122749,0,False
2024-05-15,2024-05-14,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6883768449955998,79603781.19618103,0.0,115639829.80381897,115639829.80381897,0,False
2024-05-16,2024-05-15,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6789858668814797,79611414.43547381,0.0,117250473.56452619,117250473.56452619,0,False
2024-05-17,2024-05-16,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6762031015803136,79619048.40672106,0.0,117744281.59327894,117744281.59327894,0,False
2024-05-20,2024-05-17,2024-04-30,0.06295652278589853,0.7333333333333333,,1.667886210021132,79641952.51653668,0.0,119244792.48346332,119244792.48346332,0,False
2024-05-21,2024-05-20,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6709856323021708,79649589.41609307,0.0,118705357.58390693,118705357.58390693,0,False
2024-05-22,2024-05-21,2024-04-30,0.06295652278589853,0.7333333333333333,,1.66625353282992,79657227.04795489,0.0,119559931.95204511,119559931.95204511,0,False
2024-05-23,2024-05-22,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6690488116040374,79664865.41219236,0.0,119071828.58780764,119071828.58780764,0,False
2024-05-24,2024-05-23,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6765321792060037,79672504.50887573,0.0,117766023.49112427,117766023.49112427,0,False
2024-05-27,2024-05-24,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6662116047994477,79086388.44834821,186.37607740312762,118710333.9277292,118710333.9277292,0,False
2024-05-28,2024-05-27,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6660011259729282,79258566.5367781,0.0,119006655.4632219,119006655.4632219,0,False
2024-05-29,2024-05-28,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6660368791325746,80530564.20793499,0.0,120910067.79206501,120910067.79206501,0,False
2024-05-30,2024-05-29,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6832378982777019,80538286.31683165,0.0,117877369.68316835,117877369.68316835,0,False
2024-05-31,2024-05-30,2024-04-30,0.06295652278589853,0.7333333333333333,,1.6857383799507757,80546009.1662045,0.0,117458802.8337955,117458802.8337955,0,False
2024-06-03,2024-05-31,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6826353729394539,80569179.93596464,0.0,118026670.06403536,118026670.06403536,0,False
2024-06-04,2024-06-03,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6766643868777384,80576905.74773933,0.0,119079572.25226067,119079572.25226067,0,False
2024-06-05,2024-06-04,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6899077664625046,80584632.30034527,0.0,116804935.69965473,116804935.69965473,0,False
2024-06-06,2024-06-05,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6833807135147376,80592359.59385352,0.0,117931861.40614648,117931861.40614648,0,False
2024-06-07,2024-06-06,2024-05-31,0.06350442350907519,0.7333333333333333,,1.66919321689518,80600064.53833511,0.0,120443636.46166489,120443636.46166489,0,False
2024-06-11,2024-06-07,2024-05-31,0.06350442350907519,0.7333333333333333,,1.683835000002765,80630979.63158269,0.0,117909992.36841731,117909992.36841731,0,False
2024-06-12,2024-06-11,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6679601169093872,80638711.36935559,0.0,120723841.63064441,120723841.63064441,0,False
2024-06-13,2024-06-12,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6837568980353452,80646443.848528,0.0,117946077.151472,117946077.151472,0,False
2024-06-14,2024-06-13,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6958157544430488,80357254.26917101,0.0,115486396.73082899,115486396.73082899,0,False
2024-06-17,2024-06-14,2024-05-31,0.06350442350907519,0.7333333333333333,,1.7036255769461275,80380370.73957722,0.0,114237420.26042278,114237420.26042278,0,False
2024-06-18,2024-06-17,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6964654564954582,80388078.44636047,0.0,115422922.55363953,115422922.55363953,0,False
2024-06-19,2024-06-18,2024-05-31,0.06350442350907519,0.7333333333333333,,1.677835383664011,80395786.89223889,0.0,118606654.10776111,118606654.10776111,0,False
2024-06-20,2024-06-19,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6792821402480778,80403496.07728335,0.0,118365390.92271665,118365390.92271665,0,False
2024-06-21,2024-06-20,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6727244985656349,80411206.00156474,0.0,119530663.99843526,119530663.99843526,0,False
2024-06-24,2024-06-21,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6689686551502103,80434337.99233231,0.0,120236333.00766769,120236333.00766769,0,False
2024-06-25,2024-06-24,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6667516700057026,80442050.8740576,0.0,120647693.1259424,120647693.1259424,0,False
2024-06-26,2024-06-25,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6660068716770917,81051931.6264733,0.0,121698341.3735267,121698341.3735267,0,False
2024-06-27,2024-06-26,2024-05-31,0.06350442350907519,0.7333333333333333,,1.666014520993425,81948051.44325078,0.0,123042439.55674922,123042439.55674922,0,False
2024-06-28,2024-06-27,2024-05-31,0.06350442350907519,0.7333333333333333,,1.6660227989522813,83455298.49288899,0.0,125303966.50711101,125303966.50711101,0,False
2024-07-01,2024-06-28,2024-06-28,0.06505001393728221,0.7833333333333333,,1.6660361510604806,85769323.71725638,0.0,128775778.28274362,128775778.28274362,0,False
2024-07-02,2024-07-01,2024-06-28,0.06505001393728221,0.7833333333333333,,1.666015392628044,86932409.0336777,0.0,130526125.9663223,130526125.9663223,0,False
2024-07-03,2024-07-02,2024-06-28,0.06505001393728221,0.7833333333333333,,1.6742632624489986,86940745.01810558,0.0,128941838.98189442,128941838.98189442,0,False
2024-07-04,2024-07-03,2024-06-28,0.06505001393728221,0.7833333333333333,,1.6714145066898731,86949081.80187444,0.0,129501345.19812556,129501345.19812556,0,False
2024-07-05,2024-07-04,2024-06-28,0.06505001393728221,0.7833333333333333,,1.6891810498217283,86957419.38506092,0.0,126175000.61493908,126175000.61493908,0,False
