comparison,start,identical,guard_skips,d_cagr_pp,d_win5_pp,d_mdd_pp,d_p25_pp,d_roll5dd_pp,neg_flip,d_turnover,d_exposure_pp,buys_new,buys_ref
registration_full_vs_guard_full,2009-11-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2294.0,2294.0
registration_full_vs_guard_full,2010-05-01,True,1,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2128.0,2128.0
registration_full_vs_guard_full,2010-11-01,True,4,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2124.0,2124.0
registration_full_vs_guard_full,2011-05-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2175.0,2175.0
registration_full_vs_guard_full,2011-11-01,True,2,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2002.0,2002.0
registration_full_vs_guard_full,2012-05-01,True,1,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1990.0,1990.0
registration_full_vs_guard_full,2012-11-01,True,2,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1852.0,1852.0
registration_full_vs_guard_full,2013-05-01,True,1,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1935.0,1935.0
registration_full_vs_guard_full,2013-11-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1959.0,1959.0
registration_full_vs_guard_full,2014-05-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1763.0,1763.0
registration_full_vs_guard_full,2014-11-01,True,2,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1699.0,1699.0
registration_full_vs_guard_full,2015-05-01,True,1,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1609.0,1609.0
registration_full_vs_guard_full,2015-11-01,True,1,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1544.0,1544.0
registration_full_vs_guard_full,2016-05-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1461.0,1461.0
