metric,date,base,candidate,delta
swap_direction,2014-05-26,-0.2038593276081606,-0.2038593276081606,0.0
swap_direction,2014-05-29,0.4509880638216437,0.4509880638216437,0.0
swap_direction,2014-06-04,0.045824796382804234,0.045824796382804234,0.0
swap_direction,2014-06-05,0.09850425177208377,0.09850425177208377,0.0
swap_direction,2014-06-16,0.5739941945882816,0.5739941945882816,0.0
swap_direction,2014-06-17,0.3823630230274295,0.3823630230274295,0.0
swap_direction,2014-06-26,0.010038748552423149,0.010038748552423149,0.0
swap_direction,2014-07-10,0.06494519122184905,0.06494519122184905,0.0
swap_direction,2014-07-11,-0.4179545083912164,-0.4179545083912164,0.0
swap_direction,2014-07-18,-0.28959016583417463,-0.28959016583417463,0.0
swap_direction,2014-07-23,0.2576762013727756,0.2576762013727756,0.0
swap_direction,2014-07-24,-0.5586183287245807,-0.5586183287245807,0.0
swap_direction,2014-08-11,0.035477632942866766,0.035477632942866766,0.0
swap_direction,2014-08-13,-0.17152494996222178,-0.17152494996222178,0.0
swap_direction,2014-08-14,-0.22051632867824789,-0.22051632867824789,0.0
swap_direction,2014-08-15,-0.19567601876378715,-0.19567601876378715,0.0
swap_direction,2014-08-18,-0.2017493395158736,-0.2017493395158736,0.0
swap_direction,2014-08-19,-0.21312922857549021,-0.21312922857549021,0.0
swap_direction,2014-08-20,-0.1031972568880628,-0.1031972568880628,0.0
swap_direction,2014-08-21,-0.17228300006875985,-0.17228300006875985,0.0
swap_direction,2014-08-22,-0.29462352603093644,-0.29462352603093644,0.0
swap_direction,2014-09-15,-0.12072772117115349,-0.12072772117115349,0.0
swap_direction,2014-09-17,-0.10694163385190647,-0.10694163385190647,0.0
swap_direction,2014-09-18,-0.13652870807436446,-0.13652870807436446,0.0
swap_direction,2014-09-19,-0.09311883594260317,-0.09311883594260317,0.0
swap_direction,2014-09-23,-0.3377221306485889,-0.3377221306485889,0.0
swap_direction,2014-09-24,-0.17957049927231106,-0.17957049927231106,0.0
swap_direction,2014-09-25,-0.10831780874615382,-0.10831780874615382,0.0
swap_direction,2014-09-30,-0.06369985393907951,-0.06369985393907951,0.0
swap_direction,2014-11-21,-0.47015735645153844,-0.47015735645153844,0.0
swap_direction,2015-01-12,0.6128059144118468,0.6128059144118468,0.0
swap_direction,2015-01-20,0.12911122528655394,0.12911122528655394,0.0
swap_direction,2015-04-30,0.15711475938045638,0.15711475938045638,0.0
swap_direction,2015-11-16,1.183333753777098,1.183333753777098,0.0
swap_direction,2015-11-19,0.36232569522938884,0.36232569522938884,0.0
swap_direction,2015-11-20,-0.28769218886466463,-0.28769218886466463,0.0
swap_direction,2015-11-23,-0.2746185488440222,-0.2746185488440222,0.0
swap_direction,2015-11-24,0.03792287129171479,0.03792287129171479,0.0
swap_direction,2015-11-25,0.11139111774471733,0.11139111774471733,0.0
swap_direction,2015-12-29,0.07478116846337657,0.07478116846337657,0.0
swap_direction,2016-03-29,0.1955267286651472,0.1955267286651472,0.0
swap_direction,2016-03-30,-0.46668752605457886,-0.46668752605457886,0.0
swap_direction,2016-03-31,-0.28210326548287523,-0.28210326548287523,0.0
swap_direction,2016-05-03,-0.04402902250364771,-0.04402902250364771,0.0
swap_direction,2016-05-04,-0.04440460355183684,-0.04440460355183684,0.0
swap_direction,2016-06-28,0.3920411179135741,0.3920411179135741,0.0
swap_direction,2016-07-25,0.3973901111806257,0.3973901111806257,0.0
swap_direction,2016-07-28,0.20298089268458797,0.20298089268458797,0.0
swap_direction,2016-07-29,0.2983925532770395,0.2983925532770395,0.0
swap_direction,2016-08-01,0.1265532155800424,0.1265532155800424,0.0
swap_direction,2017-06-19,-0.19121000363280427,-0.19121000363280427,0.0
swap_direction,2018-10-22,0.5440422465692631,0.5440422465692631,0.0
swap_direction,2018-11-05,0.4331696035025403,0.4331696035025403,0.0
swap_direction,2018-11-09,0.505433818331618,0.505433818331618,0.0
swap_direction,2018-11-13,0.365639494430374,0.365639494430374,0.0
swap_direction,2019-05-17,-0.22508391997789223,-0.22508391997789223,0.0
swap_direction,2019-09-26,-0.5186080993644918,-0.5186080993644918,0.0
swap_direction,2019-09-27,-0.6716450808833533,-0.6716450808833533,0.0
swap_direction,2020-01-17,-0.05324508222696178,-0.05324508222696178,0.0
swap_direction,2020-05-29,0.47144715486990985,0.47144715486990985,0.0
swap_direction,2020-06-01,0.4796593271744246,0.4796593271744246,0.0
swap_direction,2020-06-04,-0.4584449426789109,-0.4584449426789109,0.0
swap_direction,2020-06-05,-0.30074470222013727,-0.30074470222013727,0.0
swap_direction,2020-06-15,1.3607023325382623,1.3607023325382623,0.0
swap_direction,2020-11-16,4.176902860270466,4.176902860270466,0.0
swap_direction,2020-12-08,0.04566425317155809,0.04566425317155809,0.0
swap_direction,2021-03-24,-0.08476251937398149,-0.08476251937398149,0.0
swap_direction,2021-09-02,0.21576182078844952,0.21576182078844952,0.0
swap_direction,2021-10-19,-0.6503109340571653,-0.6503109340571653,0.0
swap_direction,2021-10-20,-0.6525815739287316,-0.6525815739287316,0.0
swap_direction,2021-12-24,-0.4119182197027389,-0.4119182197027389,0.0
swap_direction,2022-02-08,-0.05390958880158203,-0.05390958880158203,0.0
swap_direction,2022-04-21,0.15288513997688158,0.15288513997688158,0.0
swap_direction,2022-04-22,0.10753709989300131,0.10753709989300131,0.0
swap_direction,2022-04-25,-0.024639285550542067,-0.024639285550542067,0.0
swap_direction,2022-04-27,0.1033781124170352,0.1033781124170352,0.0
swap_direction,2022-07-27,0.17309466685677033,0.17309466685677033,0.0
swap_direction,2022-07-28,0.3750139636582398,0.3750139636582398,0.0
swap_direction,2022-08-02,0.355355864380943,0.355355864380943,0.0
swap_direction,2022-09-19,0.42115489238948534,0.42115489238948534,0.0
swap_direction,2022-09-20,0.42259457828662483,0.42259457828662483,0.0
swap_direction,2022-09-21,0.38307253537824715,0.38307253537824715,0.0
swap_direction,2022-09-22,0.4223880003789826,0.4223880003789826,0.0
swap_direction,2022-11-29,0.21804626631471202,0.21804626631471202,0.0
swap_direction,2023-01-04,0.23995920319050157,0.23995920319050157,0.0
swap_direction,2023-08-04,-0.40680248298439237,-0.40680248298439237,0.0
swap_direction,2023-08-08,-0.588419442530102,-0.588419442530102,0.0
swap_direction,2023-08-09,-0.40131787669200425,-0.40131787669200425,0.0
swap_direction,2023-08-10,-0.4073495561575802,-0.4073495561575802,0.0
swap_direction,2023-08-24,0.34581675824640357,0.34581675824640357,0.0
swap_direction,2024-01-19,0.0019095406125886338,0.0019095406125886338,0.0
swap_direction,2024-01-22,-0.021639777235518798,-0.021639777235518798,0.0
swap_direction,2024-01-23,0.006813685822561588,0.006813685822561588,0.0
swap_direction,2024-03-13,-0.3808908328252514,-0.3808908328252514,0.0
swap_direction,2024-03-14,-0.3768600911109652,-0.3768600911109652,0.0
swap_direction,2024-03-18,-0.21601206026434472,-0.21601206026434472,0.0
swap_direction,2024-03-19,-0.19855753683147004,-0.19855753683147004,0.0
swap_direction,2024-03-22,-0.16860805744756502,-0.16860805744756502,0.0
swap_direction,2024-04-23,0.23017562789020862,0.23017562789020862,0.0
swap_direction,2024-04-24,0.2491404744673552,0.2491404744673552,0.0
swap_direction,2024-08-30,-0.27469633939400695,-0.27469633939400695,0.0
swap_direction,2024-10-28,0.0594386146944168,0.0594386146944168,0.0
swap_direction,2024-10-29,0.3570280631652001,0.3570280631652001,0.0
swap_direction,2024-10-30,0.44559439967041875,0.44559439967041875,0.0
swap_direction,2024-11-01,0.2592881588375213,0.2592881588375213,0.0
swap_direction,2024-11-05,-0.09998353176495911,-0.09998353176495911,0.0
swap_direction,2024-11-07,0.0665974830093723,0.0665974830093723,0.0
swap_direction,2024-11-08,0.041415498146782914,0.041415498146782914,0.0
swap_direction,2024-11-11,-0.15059478141609328,-0.15059478141609328,0.0
swap_direction,2024-11-12,-0.030680145596065245,-0.030680145596065245,0.0
swap_direction,2024-11-13,-0.015642078335608156,-0.015642078335608156,0.0
swap_direction,2024-11-20,-0.05224029163264121,-0.05224029163264121,0.0
swap_direction,2024-12-16,-0.22294024987465488,-0.22294024987465488,0.0
swap_direction,2025-03-11,0.16408901363349104,0.16408901363349104,0.0
swap_direction,2025-03-18,-0.016840285367701657,-0.016840285367701657,0.0
