date,net_equity,cash,positions,cash_ratio,debt,margin_ratio,top1_weight,top3_weight
2024-06-20,349933373.90,0.00,9,0.0000,252359247.10,2.3866,0.6117,1.3455
2024-06-21,356618638.07,0.00,9,0.0000,252383445.93,2.4130,0.6028,1.3417
2024-06-24,348896184.61,0.00,9,0.0000,252456049.39,2.3820,0.6065,1.3546
2024-06-25,347113674.50,0.00,9,0.0000,252480257.50,2.3748,0.6074,1.3570
2024-06-26,348681479.06,0.00,9,0.0000,252504467.94,2.3809,0.6032,1.3612
2024-06-27,344196540.31,0.00,9,0.0000,252528680.69,2.3630,0.6019,1.3771
2024-06-28,348061719.73,0.00,9,0.0000,251709849.27,2.3828,0.5969,1.3683
2024-07-01,365837070.04,0.00,9,0.0000,251782258.96,2.4530,0.6035,1.3380
2024-07-02,363586078.54,0.00,9,0.0000,251806402.46,2.4439,0.6026,1.3427
2024-07-03,354446853.72,0.00,9,0.0000,251830548.28,2.4075,0.6006,1.3556
2024-07-04,355188075.59,0.00,9,0.0000,251854696.41,2.4103,0.6021,1.3584
2024-07-05,354632825.13,0.00,9,0.0000,251878846.87,2.4080,0.5975,1.3497
2024-07-08,356242472.84,0.00,9,0.0000,251951305.16,2.4139,0.5993,1.3451
2024-07-09,362464446.12,0.00,9,0.0000,251975464.88,2.4385,0.6058,1.3364
2024-07-10,342605789.09,0.00,9,0.0000,244346251.91,2.4021,0.6062,1.3543
2024-07-11,351324187.63,0.00,9,0.0000,244369682.37,2.4377,0.6032,1.3380
2024-07-12,342517852.72,0.00,9,0.0000,244104942.28,2.4032,0.5980,1.3528
2024-07-15,349421645.75,0.00,9,0.0000,244175164.25,2.4310,0.5943,1.3395
2024-07-16,342964249.69,0.00,9,0.0000,244198578.31,2.4044,0.5992,1.3574
2024-07-17,326313219.39,0.00,9,0.0000,244221994.61,2.3361,0.5972,1.3923
2024-07-18,325453915.84,0.00,9,0.0000,244245413.16,2.3325,0.5994,1.3926
2024-07-19,323936981.16,0.00,8,0.0000,229091510.84,2.4140,0.5946,1.3981
2024-07-22,318288630.12,0.00,8,0.0000,229157413.88,2.3890,0.6005,1.4139
2024-07-23,307344607.12,0.00,8,0.0000,229179387.88,2.3411,0.6020,1.4413
2024-07-24,305213873.01,0.00,8,0.0000,229201363.99,2.3316,0.6020,1.4506
2024-07-25,298247841.80,0.00,8,0.0000,229223342.20,2.3011,0.6058,1.4694
2024-07-26,300178976.48,0.00,8,0.0000,229245322.52,2.3094,0.6069,1.4607
2024-07-29,295732022.96,24914573.48,7,0.0842,197002077.52,2.5012,0.6133,1.4286
2024-07-30,288394573.36,-563.64,8,-0.0000,192017021.00,2.5019,0.6166,1.4424
2024-07-31,297710303.57,0.00,9,0.0000,198275433.43,2.5015,0.6258,1.4262
2024-08-01,290076014.86,0.00,9,0.0000,198294446.14,2.4629,0.6151,1.4387
2024-08-02,287233697.32,0.00,9,0.0000,198313460.68,2.4484,0.6126,1.4419
2024-08-05,279326036.24,0.00,9,0.0000,198370509.76,2.4081,0.6123,1.4575
