date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2014-06-06,601939,买入,100,4.050,405,0.8237,4.941,定投加仓,建设银行
2014-06-10,601088,买入,1100,14.380,15818,0.4227,33.925,定投加仓,中国神华
2014-06-10,600188,买入,100,6.690,669,0.5505,11.970,定投加仓,
2014-06-11,601088,买入,600,14.420,8652,0.4239,33.925,定投加仓,中国神华
2014-06-11,601939,买入,100,4.130,413,0.8358,4.941,定投加仓,建设银行
2014-06-13,601088,买入,900,14.400,12960,0.4233,33.925,定投加仓,中国神华
2014-06-13,600188,买入,100,6.630,663,0.5480,11.970,定投加仓,
2014-06-13,601939,买入,100,4.160,416,0.8358,4.941,定投加仓,建设银行
2014-06-16,002304,卖出,2500,55.000,137500,,,换仓·减一档：让位给002128,
2014-06-16,002128,买入,20700,6.800,140760,0.3646,18.650,首次建仓,电投能源
2014-06-16,601088,买入,2300,14.570,33511,0.4245,33.925,定投加仓,中国神华
2014-06-16,600188,买入,100,6.750,675,0.5539,11.970,定投加仓,
2014-06-17,600188,卖出,20400,6.640,135456,,,换仓：让位给空间更大的002128（同日对冲 100 股）,
2014-06-17,002128,买入,100,6.600,660,0.3646,18.650,定投加仓,电投能源
2014-06-17,601088,买入,6600,14.490,95634,0.4295,33.925,定投加仓,中国神华
2014-06-18,002128,卖出,20800,6.630,137904,,,跌破建仓日MA60止损,电投能源
2014-06-18,601088,买入,9400,14.500,136300,0.4271,33.925,定投加仓,中国神华
2014-06-18,000333,买入,200,18.330,3666,0.4716,39.291,定投加仓,美的集团
2014-06-18,600188,买入,100,6.870,687,0.5547,11.970,定投加仓,
2014-06-18,601939,买入,100,4.140,414,0.8399,4.941,定投加仓,建设银行
2014-06-19,000792,卖出,8800,14.670,129096,,,跌破建仓日MA60止损,盐湖股份
2014-06-19,601088,买入,7600,14.520,110352,0.4274,33.925,定投加仓,中国神华
2014-06-19,600188,买入,100,6.550,655,0.5739,11.970,定投加仓,
2014-06-19,601939,买入,100,4.110,411,0.8379,4.941,定投加仓,建设银行
2014-06-20,601088,买入,200,14.520,2904,0.4280,33.925,定投加仓,中国神华
