臂名,台账,计量版本,批次,起点数,行数,剔除赢家行数,策略示例
10,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_bf1_sp_lot100_lrc
100,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_sp_lot100_lrc
12,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_bf1.2_sp_lot100_lrc
150,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_sp_lot100_lrc
20091101,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20100501,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20101101,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20110501,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20111101,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20120501,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20121101,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20130501,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20131101,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20140501,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20141101,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20150501,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20151101,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20160501,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20161101,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20170501,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20171101,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20180501,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20181101,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20190501,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20191101,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20200501,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
20201101,archive,m1,,0,1,0,trend_x1_w-0.5232_x1c_sma20_swap_corr0.85_tranche_sl1.0503_sp_lot100_lrc
60,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_sp_lot100_lrc
80,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_sp_lot100_lrc
999,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_sp_lot100_lrc
A000,archive,m1,,23,46,23,trend_x5_w0.0657_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc
A005,archive,m1,,23,46,23,trend_x5_w0.0657_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc
A010,archive,m1,,23,46,23,trend_x5_w0.0657_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc
A020,archive,m1,,23,46,23,trend_x5_w0.0657_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc
A025,archive,m1,,23,46,23,trend_x5_w0.0657_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc
A035,archive,m1,,23,46,23,trend_x5_w0.0657_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc
A50,archive,m1,,23,23,0,trend_x5_w0.0566_x1c_sma20_swap_corr0.7_tranche_slmin_ag0.5_skipma60_sl2.5008_addma_swk20_sp_lot100_lrc
A50G100g,archive,m1,,23,23,0,trend_x5_w0.0566_x1c_sma20_swap_corr0.7_tranche_slmin_ag0.5_gs1_skipma60_sl2.5008_addma_swk20_sp_lot100_lrc
A50G100u,archive,m1,,23,23,0,trend_x5_w0.0566_x1c_sma20_swap_corr0.7_tranche_slmin_ag0.5_gs1u_skipma60_sl2.5008_addma_swk20_sp_lot100_lrc
AB,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_addma_cap0.15_sp_lot100_lrc
ABASE,archive,m1,,14,14,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_ex5_lot100_lrc2
ABC,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_addma_nvs_cap0.15_sp_lot100_lrc
ABCD,archive,m1,,23,24,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_addma_nvs_swk20_cap0.15_sp_lot100_lrc_ABCD
AC088,archive,m1,,14,14,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr0.88_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc2
ACD,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_nvs_swk20_cap0.15_sp_lot100_lrc
AD,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_swk20_cap0.15_sp_lot100_lrc
ADDFULL,archive,m1,,23,97,37,trend_x5_w0.0507_x1c_sma20_swap_corr0.7_tranche_sl2.5548_swk20_sp_lot100_lrc
ADDMAX50,archive,m1,,14,28,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_ag0.5_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
AG110U,archive,m1,,14,14,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc2
AGETROUGHOFF,archive,m1,,14,14,14,trend_x5_w-0.0757_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc2
AGUARDEFF,archive,m1,,14,14,14,trend_x5_w-0.0437_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc2
ALLP,archive,m1,,23,23,0,trend_x5_w0.0593_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5236_addma_swk20_sp_lot100_lrc
ALLPG,archive,m1,,23,23,0,trend_x5_w0.0593_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5236_addma_swk20_sp_lot100_lrc
ALLs15a,archive,m1,,23,23,0,trend_x5_w0.0566_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5008_addma_swk20_sp_lot100_lrc
ALLs15aal,archive,m1,,12,12,0,trend_x5_w0.0302_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl3.4312_addma_swk20_sp_lot100_lrc
ALLs15anolev,archive,m1,,12,12,0,trend_x5_w0.0566_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5008_addma_swk20_sp_lot100_lrc
ALLs15b,archive,m1,,12,12,0,trend_x5_w0.0566_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5008_addma_swk20_sp_lot100_lrc
AM030,archive,m1,,14,28,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_ag0.3_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
AM040,archive,m1,,14,28,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_ag0.4_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
AM060,archive,m1,,14,28,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_ag0.6_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
AM075,archive,m1,,14,28,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_ag0.75_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
AM100,archive,m1,,14,28,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_ag1_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
AME,archive,m1,,23,23,0,trend_x1_w0.0328_x1c_sma20_swap_corr0.85_tranche_sl3.2606_addma_nvs_swk20_cap0.15_sp_lot100_lrc
AMELONG,archive,m1,,0,1,0,trend_x1_w0.0328_x1c_sma20_swap_corr0.85_tranche_sl3.2606_addma_nvs_swk20_cap0.15_sp_lot100_lrc_AMELONG
AMEnoalign,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_addma_nvs_swk20_cap0.15_sp_lot100_lrc
ASB1,archive,m1,,14,14,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc2
AT1,archive,m1,,14,28,14,trend_x5_w-0.0454_x1c_stl1_stt1_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
AT2,archive,m1,,14,28,14,trend_x5_w-0.0454_x1c_stl2_stt2_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
ATW000,archive,m1,,14,14,14,trend_x5_w0.0024_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc
ATW000S,archive,m1,,14,14,14,trend_x5_w0.0024_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc
ATW025,archive,m1,,14,14,14,trend_x5_w0.013_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc
ATW050,archive,m1,,14,14,14,trend_x5_w0.0314_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc
ATW075,archive,m1,,14,14,14,trend_x5_w0.0501_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc
ATW125,archive,m1,,14,14,14,trend_x5_w0.0771_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc
AV4134,archive,m1,,14,14,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_ex5_lot100_lrc2
Ab05nostop,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_swap_nostop_corr0.85_tranche_sl2.5_q750b0.05A_sp_lot100_lrc
Ab20nostop,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_swap_nostop_corr0.85_tranche_sl2.5_q750b0.2A_sp_lot100_lrc
Ama60,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_cap0.15_sp_lot100_lrc
Apbroe3,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_q750b0.1A_sp_lot100_lrc
Apbroe3nsw,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_corr0.85_tranche_sl2.5_q750b0.1A_sp_lot100_lrc
Apbroe3x1,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_q750b0.1A_sp_lot100_lrc
Apbroe5,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_q1250b0.1A_sp_lot100_lrc
Ape3,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_q750b0.1A_sp_lot100_lrc
Ape5,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_q1250b0.1A_sp_lot100_lrc
Apv3,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_q750b0.1A_sp_lot100_lrc
Apv3b20,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_q750b0.2A_sp_lot100_lrc
Apv3nostp,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_q750b0.1Anr_sp_lot100_lrc
Apv3nosw,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_corr0.85_tranche_sl2.5_q750b0.1A_sp_lot100_lrc
Apv3x1,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_q750b0.1A_sp_lot100_lrc
Ax1nostop,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_nostop_corr0.85_tranche_sl2.5_q750b0.1A_sp_lot100_lrc
Ax4nostnsw,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_nostop_corr0.85_tranche_sl2.5_q750b0.1A_sp_lot100_lrc
Ax4nostop,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_swap_nostop_corr0.85_tranche_sl2.5_q750b0.1A_sp_lot100_lrc
Ax4stop,archive,m1,,23,23,0,trend_x4_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_q750b0.1A_sp_lot100_lrc
B1,archive,m1,,0,1,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_sp_lot100_lrc_B1
B10,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl1.1044_sp_lot100_lrc
B10S10,archive,m1,,14,28,14,trend_x10_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx10_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B10S25,archive,m1,,23,51,14,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_sp_lot100_lrc
B10S5,archive,m1,,14,28,14,trend_x10_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx5_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B10S75,archive,m1,,14,28,14,trend_x10_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx7.5_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B12,archive,m1,,0,1,0,trend_x5_w0.0566_x1c_sma20_swap_corr0.7_tranche_slmin_gs1.25_skipma60_sl2.5008_addma_swk20_sp_lot100_lrc_B12
B2,archive,m1,,0,1,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_sp_lot100_lrc_B2
B25S10,archive,m1,,14,28,14,trend_x2.5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx10_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B25S25,archive,m1,,14,28,14,trend_x2.5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx2.5_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B25S5,archive,m1,,14,28,14,trend_x2.5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx5_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B25S75,archive,m1,,14,28,14,trend_x2.5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx7.5_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B2ALL,archive,m1,,14,28,14,trend_x5_w-0.0303_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B2RAW,archive,m1,,14,28,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B3,archive,m1,,0,1,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_sp_lot100_lrc_B3
B4,archive,m1,,0,1,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_sp_lot100_lrc_B4
B5S10,archive,m1,,14,28,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx10_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B5S25,archive,m1,,14,28,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx2.5_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B5S75,archive,m1,,14,28,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx7.5_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B75S10,archive,m1,,14,28,14,trend_x7.5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx10_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B75S25,archive,m1,,14,28,14,trend_x7.5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx2.5_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B75S5,archive,m1,,14,28,14,trend_x7.5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx5_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B75S75,archive,m1,,14,28,14,trend_x7.5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_sx7.5_ma60stop_addma_swk20_cap0.6_sp_lot100_lrc2
B93,archive,m1,,23,23,0,trend_x5_w0.07_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5_addma_swk20_sp_lot100_lrc
B95,archive,m1,,23,23,0,trend_x5_w0.05_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5_addma_swk20_sp_lot100_lrc
B97,archive,m1,,23,23,0,trend_x1_w-0.5884_x1c_sma20_swap_corr0.85_tranche_sl1.1044_cap0.15_sp_lot100_lrc
B97X,archive,m1,,23,23,0,trend_x1_w-0.5884_x1c_sma20_swap_corr0.85_tranche_sl1.1044_addma_nvs_swk20_cap0.15_sp_lot100_lrc
B97cap15,archive,m1,,23,23,0,trend_x1_w-0.5884_x1c_sma20_swap_corr0.85_tranche_sl1.1044_cap0.15_sp_lot100_lrc
B97cap30,archive,m1,,23,23,0,trend_x1_w-0.5884_x1c_sma20_swap_corr0.85_tranche_sl1.1044_cap0.3_sp_lot100_lrc
B97off,archive,m1,,23,23,0,trend_x1_w-0.5884_x1c_sma20_swap_nostop_corr0.85_tranche_sl1.1044_sp_lot100_lrc
BASE,archive+current,m1+m2,M2REG20260905;SB1DB20260905;TROUGH20260905,25,160,79,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_lot100_lrc2
BASE0,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_sp_lot100_lrc
BASENEW,archive,m1,,23,23,0,trend_x5_w0.0593_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5236_addma_swk20_sp_lot100_lrc
BASEP,archive,m1,,23,23,0,trend_x5_w0.0593_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5236_addma_swk20_sp_lot100_lrc
BASER1,archive,m1,,23,23,0,trend_x5_w0.0593_x1c_sma20_swap_corr0.7_tranche_sl2.5236_addma_swk20_sp_lot100_lrc
BASER2,archive,m1,,23,23,0,trend_x5_w0.0593_x1c_sma20_swap_corr0.7_tranche_skipma60_sl2.5236_addma_swk20_sp_lot100_lrc
BASEcap10,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_cap0.1_sp_lot100_lrc
BASEcap15,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_cap0.15_sp_lot100_lrc
BASEcap20,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_cap0.2_sp_lot100_lrc
BASEcap30,archive,m1,,23,23,0,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_cap0.3_sp_lot100_lrc
BASEnolev,archive,m1,,12,12,0,trend_x5_w0.0566_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5008_addma_swk20_sp_lot100_lrc
BBASE,archive,m1,,14,14,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_ex5_lot100_lrc2
BC088,archive,m1,,14,14,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr0.88_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc2
BFSMK,archive,m1,,0,1,0,trend_x1_w-0.2_x1c_sma20_swap_corr0.85_tranche_sl0.5696_bf0.8_sp_lot100_lrc_BFSMK
BG110U,archive,m1,,14,14,14,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc2
BGETROUGHOFF,archive,m1,,14,14,14,trend_x5_w-0.0757_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc2
BGUARDEFF,archive,m1,,14,14,14,trend_x5_w-0.0437_x1c_dtax_sma20_swap_corr0.7_tranche_slmin_gs1.25_ma60stop_addma_swk20_cap0.6_sp_ex5_lot100_lrc2
BKDDM,archive,m1,,23,23,0,trend_x5_w0.0566_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5008_addma_swk20_sp_lot100_lrc
BKDDML,archive,m1,,23,23,0,trend_x5_w-0.1472_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.6725_addma_swk20_sp_lot100_lrc
BKRI,archive,m1,,23,23,0,trend_x5_w0.0566_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5008_addma_swk20_sp_lot100_lrc
BKRI12,archive,m1,,23,23,0,trend_x5_w0.0566_x1c_sma20_swap_corr0.7_tranche_slmin_skipma60_sl2.5008_addma_swk20_sp_lot100_lrc
