observed_on,spread,cap
2025-05-30,0.06853949190110827,
2025-06-30,0.06456827714748785,
2025-07-31,0.06334185209003215,
2025-08-29,0.05720678987150416,
2025-09-30,0.05647007507507508,
2025-10-31,0.057861011372251706,
2025-11-28,0.05827511656441718,
2025-12-31,0.056489518740629685,
2026-01-30,0.05668231563201197,
2026-02-27,0.057141754688672164,
2026-03-31,0.057016969924812026,
2026-04-30,0.054729166064981946,
2026-05-29,0.05537376811594203,
2026-06-30,0.055291641249092235,
2026-07-31,0.055958415204678355,
2026-08-31,0.059804116564417184,
2026-09-09,0.06070337984496124,
