priority_rank,market_type,peer_group,screening_status,recommended_review_mode,total_company_count,decided_security_count,decided_watch_count,unreviewed_company_count,deep_review_candidate_count,advance_to_deep_review_count,borderline_count,triage_reject_count,challenged_count,max_triage_score,average_triage_score,top_unreviewed_examples
53,A_SHARE,基础化工-合成纤维及树脂-涤纶,not_started,batch_reject_with_spot_check,10,0,0,10,0,0,0,10,0,59.83,51.50,002206:海 利 得:59.83:reject | 002493:荣盛石化:59.08:reject | 002427:尤夫股份:55.21:reject | 603225:新凤鸣:50.14:reject | 601233:桐昆股份:49.88:reject
54,A_SHARE,国防与装备-船舶与海洋装备-船舶制造,not_started,batch_reject_with_spot_check,8,0,0,8,0,0,0,8,0,59.83,52.46,601890:亚星锚链:59.83:reject | 600482:中国动力:56.28:reject | 600150:中国船舶:55.49:reject | 300589:江龙船艇:54.97:reject | 603268:松发股份:52.94:reject
55,A_SHARE,文化传媒-体育-体育服务,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,59.63,59.63,600158:中体产业:59.63:reject
56,A_SHARE,机械设备-专用设备-农用机械,not_started,batch_reject_with_spot_check,10,0,0,10,0,0,0,10,0,59.35,54.90,601038:一拖股份:59.35:reject | 301260:格力博:58.50:reject | 301533:威马农机:56.98:reject | 300159:*ST新研:56.24:reject | 002931:锋龙股份:55.90:reject
57,A_SHARE,金融-非银行金融-信托,not_started,batch_reject_with_spot_check,2,0,0,2,0,0,0,2,0,59.24,54.17,000563:陕国投Ａ:59.24:reject | 600816:建元信托:49.11:reject
58,A_SHARE,机械设备-通用设备-内燃机,not_started,batch_reject_with_spot_check,4,0,0,4,0,0,0,4,0,59.23,54.05,600841:动力新科:59.23:reject | 600218:全柴动力:55.99:reject | 000570:苏常柴Ａ:51.41:reject | 605100:华丰股份:49.59:reject
59,A_SHARE,化石能源-石油天然气-石油天然气开采,not_started,batch_reject_with_spot_check,8,0,0,8,0,0,0,8,0,59.10,49.44,600938:中国海油:59.10:reject | 601857:中国石油:52.76:reject | 600777:*ST新潮:50.25:reject | 600968:海油发展:48.73:reject | 000968:蓝焰控股:47.96:reject
60,A_SHARE,基础化工-化学制品-塑料制品,not_started,batch_reject_with_spot_check,64,0,0,64,0,0,0,64,0,58.87,50.62,002263:大东南:58.87:reject | 002886:沃特股份:57.98:reject | 301565:中仑新材:57.25:reject | 000973:佛塑科技:56.55:reject | 300717:华信新材:56.47:reject
61,A_SHARE,农林牧渔-渔业-海洋渔业,not_started,batch_reject_with_spot_check,6,0,0,6,0,0,0,6,0,58.70,52.85,002069:獐子岛:58.70:reject | 000798:中水渔业:58.61:reject | 600467:好当家:50.46:reject | 300268:*ST佳沃:50.29:reject | 600097:开创国际:49.93:reject
62,A_SHARE,纺织服装-纺织-印染,not_started,batch_reject_with_spot_check,3,0,0,3,0,0,0,3,0,58.34,53.62,600987:航民股份:58.34:reject | 605189:富春染织:54.88:reject | 600448:华纺股份:47.63:reject
63,A_SHARE,文化传媒-教育-教育信息化服务,not_started,batch_reject_with_spot_check,11,0,0,11,0,0,0,11,0,57.89,49.66,600636:*ST国化:57.89:reject | 601811:新华文轩:54.16:reject | 300192:科德教育:52.39:reject | 600455:博通股份:51.90:reject | 600880:博瑞传播:51.38:reject
64,A_SHARE,化石能源-石油天然气-石油加工,not_started,batch_reject_with_spot_check,14,0,0,14,0,0,0,14,0,57.79,52.08,000698:ST沈化:57.79:reject | 603798:康普顿:56.40:reject | 002377:国创高新:55.60:reject | 600506:统一股份:55.49:reject | 600028:中国石化:55.14:reject
65,A_SHARE,基础化工-化肥农药-复合肥,not_started,batch_reject_with_spot_check,10,0,0,10,0,0,0,10,0,57.62,50.56,002539:云图控股:57.62:reject | 002470:金正大:54.92:reject | 000902:新洋丰:54.05:reject | 002588:史丹利:53.97:reject | 002170:芭田股份:51.19:reject
66,A_SHARE,基础化工-化学制品-民爆用品,not_started,batch_reject_with_spot_check,11,0,0,11,0,0,0,11,0,57.60,50.37,002917:金奥博:57.60:reject | 002783:凯龙股份:55.29:reject | 002096:易普力:52.97:reject | 002226:江南化工:52.48:reject | 002683:广东宏大:51.66:reject
67,A_SHARE,有色金属-金属非金属新材料-磁性材料,not_started,batch_reject_with_spot_check,15,0,0,15,0,0,0,15,0,57.20,50.43,600366:宁波韵升:57.20:reject | 300748:金力永磁:54.44:reject | 000970:中科三环:54.02:reject | 688077:大地熊:53.99:reject | 300811:铂科新材:53.07:reject
68,A_SHARE,基础化工-合成纤维及树脂-合成树脂,not_started,batch_reject_with_spot_check,10,0,0,10,0,0,0,10,0,57.09,50.47,301555:惠柏新材:57.09:reject | 002802:洪汇新材:56.16:reject | 603382:海阳科技:52.07:reject | 301092:争光股份:51.69:reject | 301630:同宇新材:50.84:reject
69,A_SHARE,轻工制造-文娱用品-娱乐用品,not_started,batch_reject_with_spot_check,11,0,0,11,0,0,0,11,0,56.99,52.48,002678:珠江钢琴:56.99:reject | 605080:浙江自然:56.78:reject | 001222:源飞宠物:56.12:reject | 301011:华立科技:53.94:reject | 301335:天元宠物:53.16:reject
70,A_SHARE,基础化工-化肥农药-氮肥,not_started,batch_reject_with_spot_check,5,0,0,5,0,0,0,5,0,56.27,48.83,600426:华鲁恒升:56.27:reject | 600691:潞化科技:48.24:reject | 000912:泸天化:47.76:reject | 600227:赤天化:45.97:reject | 000731:四川美丰:45.89:reject
71,A_SHARE,基础化工-合成纤维及树脂-玻纤,not_started,batch_reject_with_spot_check,7,0,0,7,0,0,0,7,0,56.16,50.28,603256:宏和科技:56.16:reject | 600176:中国巨石:53.51:reject | 002080:中材科技:52.88:reject | 300196:长海股份:51.21:reject | 603601:再升科技:47.16:reject
72,A_SHARE,文化传媒-影视动漫-影视,not_started,batch_reject_with_spot_check,19,0,0,19,0,0,0,19,0,56.01,50.11,603103:横店影视:56.01:reject | 300251:光线传媒:55.76:reject | 001330:博纳影业:55.42:reject | 002905:金逸影视:55.19:reject | 300133:华策影视:54.52:reject
73,A_SHARE,农林牧渔-农业-农业服务,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,55.39,55.39,002215:诺 普 信:55.39:reject
74,A_SHARE,基础化工-合成纤维及树脂-锦纶,not_started,batch_reject_with_spot_check,4,0,0,4,0,0,0,4,0,55.36,50.91,300384:三联虹普:55.36:reject | 603055:台华新材:54.83:reject | 601113:华鼎股份:49.07:reject | 000782:恒申新材:44.36:reject
75,A_SHARE,金融-银行-国有银行,partially_screened,batch_reject_with_spot_check,6,3,1,3,0,0,0,3,0,55.29,52.71,601288:农业银行:55.29:reject | 601988:中国银行:54.04:reject | 601328:交通银行:48.80:reject
76,A_SHARE,农林牧渔-林业-木材加工,not_started,batch_reject_with_spot_check,5,0,0,5,0,0,0,5,0,54.74,52.22,000592:平潭发展:54.74:reject | 601996:丰林集团:53.18:reject | 000663:永安林业:53.05:reject | 600076:康欣新材:52.94:reject | 600265:*ST景谷:47.17:reject
77,A_SHARE,纺织服装-纺织-丝绸,not_started,batch_reject_with_spot_check,2,0,0,2,0,0,0,2,0,54.55,51.87,002404:嘉欣丝绸:54.55:reject | 301066:万事利:49.19:reject
78,A_SHARE,基础化工-化学制品-印染化学品,not_started,batch_reject_with_spot_check,15,0,0,15,0,0,0,15,0,53.80,48.89,002440:闰土股份:53.80:reject | 600352:浙江龙盛:52.39:reject | 002054:德美化工:51.73:reject | 300758:七彩化学:51.49:reject | 603790:雅运股份:50.10:reject
79,A_SHARE,文化传媒-体育-赛事运营与传播,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,53.73,53.73,002858:力盛体育:53.73:reject
80,A_SHARE,金融-非银行金融-PE、VC投资,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,53.51,53.51,600053:*ST九鼎:53.51:reject
81,A_SHARE,化石能源-石油天然气-油田服务,not_started,batch_reject_with_spot_check,12,0,0,12,0,0,0,12,0,53.15,49.11,600583:海油工程:53.15:reject | 601808:中海油服:52.74:reject | 002828:贝肯能源:52.44:reject | 002353:杰瑞股份:52.38:reject | 603619:中曼石油:51.08:reject
82,A_SHARE,农林牧渔-林业-林业种植,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,53.03,53.03,002679:福建金森:53.03:reject
83,A_SHARE,国防与装备-船舶与海洋装备-海洋工程装备,not_started,batch_reject_with_spot_check,2,0,0,2,0,0,0,2,0,52.87,51.45,600764:中国海防:52.87:reject | 300065:海兰信:50.03:reject
84,A_SHARE,化石能源-煤炭-焦炭,not_started,batch_reject_with_spot_check,7,0,0,7,0,0,0,7,0,52.80,48.27,000723:美锦能源:52.80:reject | 600740:山西焦化:50.88:reject | 601011:宝泰隆:48.87:reject | 601015:陕西黑猫:48.13:reject | 600725:云维股份:46.31:reject
85,A_SHARE,基础化工-合成纤维及树脂-粘胶纤维,not_started,batch_reject_with_spot_check,5,0,0,5,0,0,0,5,0,51.86,48.68,600409:三友化工:51.86:reject | 000949:新乡化纤:51.65:reject | 000677:ST海龙:49.01:reject | 000420:吉林化纤:47.82:reject | 600889:*ST京化:43.07:reject
86,A_SHARE,建筑-建筑施工-房屋建筑,not_started,batch_reject_with_spot_check,8,0,0,8,0,0,0,8,0,51.28,43.09,601668:中国建筑:51.28:reject | 601068:中铝国际:50.60:reject | 600170:上海建工:47.43:reject | 600939:重庆建工:42.22:reject | 002785:万里石:40.53:reject
87,A_SHARE,建筑-建筑施工-专业工程,not_started,batch_reject_with_spot_check,42,0,0,42,0,0,0,42,0,50.71,40.35,600970:中材国际:50.71:reject | 601611:中国核建:48.98:reject | 002140:东华科技:48.24:reject | 000090:天健集团:46.83:reject | 000032:深桑达Ａ:45.41:reject
88,A_SHARE,文化传媒-影视动漫-动漫,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,50.45,50.45,002292:奥飞娱乐:50.45:reject
89,A_SHARE,商贸零售-商业物业经营-专业市场,not_started,batch_reject_with_spot_check,8,0,0,8,0,0,0,8,0,50.08,42.30,000061:农 产 品:50.08:reject | 000058:深 赛 格:49.86:reject | 601828:美凯龙:45.44:reject | 002818:富森美:42.40:reject | 600113:浙江东日:39.02:reject
90,A_SHARE,基础化工-合成纤维及树脂-维纶,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,49.21,49.21,600063:皖维高新:49.21:reject
91,A_SHARE,基础化工-化肥农药-钾肥,partially_screened,batch_reject_with_spot_check,4,2,2,2,0,0,0,2,0,48.21,48.00,002545:东方铁塔:48.21:reject | 000893:亚钾国际:47.80:reject
92,A_SHARE,建筑-建筑施工-园林工程,not_started,batch_reject_with_spot_check,9,0,0,9,0,0,0,9,0,47.54,40.22,002663:普邦股份:47.54:reject | 002887:绿茵生态:42.67:reject | 301098:金埔园林:41.36:reject | 002431:ST棕榈:40.78:reject | 002200:*ST交投:39.87:reject
93,A_SHARE,有色金属-稀有金属-锂,partially_screened,batch_reject_with_spot_check,7,6,4,1,0,0,0,1,0,46.52,46.52,002667:*ST威领:46.52:reject
94,A_SHARE,文化传媒-教育-幼儿教育,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,46.06,46.06,301231:荣信文化:46.06:reject
95,A_SHARE,文化传媒-教育-成人教育,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,45.82,45.82,002607:中公教育:45.82:reject
96,A_SHARE,房地产-房地产开发-园区开发,not_started,batch_reject_with_spot_check,4,0,0,4,0,0,0,4,0,44.27,39.91,601512:中新集团:44.27:reject | 600082:ST海泰:44.02:reject | 600604:市北高新:36.44:reject | 600463:空港股份:34.93:reject
97,A_SHARE,建筑-钢结构-钢结构,not_started,batch_reject_with_spot_check,8,0,0,8,0,0,0,8,0,43.27,39.25,002541:鸿路钢构:43.27:reject | 600496:精工钢构:42.97:reject | 600477:杭萧钢构:41.96:reject | 002593:日上集团:40.40:reject | 002135:东南网架:40.39:reject
98,A_SHARE,互联网-互联网商务-电子商务B2B,complete,no_action,14,14,5,0,0,0,0,0,0,,,
99,A_SHARE,互联网-互联网商务-网上购物,complete,no_action,3,3,1,0,0,0,0,0,0,,,
100,A_SHARE,互联网-互联网技术-云服务(含IDC、CDN),complete,no_action,9,9,7,0,0,0,0,0,0,,,
101,A_SHARE,互联网-互联网服务-其他互联网服务,complete,no_action,34,34,18,0,0,0,0,0,0,,,
102,A_SHARE,互联网-互联网服务-游戏娱乐,complete,no_action,18,18,8,0,0,0,0,0,0,,,
103,A_SHARE,互联网-互联网服务-综合互联网服务,complete,no_action,9,9,5,0,0,0,0,0,0,,,
104,A_SHARE,互联网-互联网服务-网络媒体,complete,no_action,6,6,5,0,0,0,0,0,0,,,
105,A_SHARE,互联网-互联网金融-其他互联网金融,complete,no_action,5,5,3,0,0,0,0,0,0,,,
106,A_SHARE,交运设备-其他交运设备-其他交运设备,complete,no_action,16,16,4,0,0,0,0,0,0,,,
107,A_SHARE,交运设备-摩托车-摩托车,complete,no_action,3,3,1,0,0,0,0,0,0,,,
108,A_SHARE,交运设备-汽车-乘用车,complete,no_action,11,11,7,0,0,0,0,0,0,,,
109,A_SHARE,交运设备-汽车-商用车,complete,no_action,10,10,7,0,0,0,0,0,0,,,
