security_code,security_name,announcement_date,kind,report_period,paired,title,url,source,detected_at_utc
000408,藏格控股,2019-10-24,updated_report,2019-06-30,1,2019年半年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2019-10-24/1207009295.PDF,cninfo:pairing,2026-09-23T15:15:02+00:00
000408,*ST藏格,2021-02-05,correction,,1,关于前期会计差错更正及追溯调整的公告,http://static.cninfo.com.cn/finalpage/2021-02-05/1209247067.PDF,cninfo:追溯调整,2026-09-23T15:14:04+00:00
000408,*ST藏格,2021-02-05,correction,,1,前期重大会计差错更正专项说明的审核报告,http://static.cninfo.com.cn/finalpage/2021-02-05/1209247062.PDF,cninfo:前期差错,2026-09-23T15:12:00+00:00
000408,*ST藏格,2021-02-20,updated_report,2019-12-31,1,2019年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2021-02-20/1209285468.PDF,cninfo:pairing,2026-09-23T15:15:03+00:00
000408,*ST藏格,2021-02-20,updated_report,2020-09-30,1,2020年第三季度报告正文（更新后）,http://static.cninfo.com.cn/finalpage/2021-02-20/1209285463.PDF,cninfo:pairing,2026-09-23T15:15:03+00:00
000408,*ST藏格,2021-02-20,updated_report,2020-09-30,1,2020年第三季度报告全文（更新后）,http://static.cninfo.com.cn/finalpage/2021-02-20/1209285462.PDF,cninfo:pairing,2026-09-23T15:15:03+00:00
000426,兴业矿业,2015-04-30,correction,,0,董事会关于2014年年报对以前报告期披露的财务数据由于同一控制下企业合并进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2015-04-30/1200945258.PDF,cninfo:追溯调整,2026-09-23T15:13:41+00:00
000426,兴业矿业,2015-04-30,correction,,0,监事会关于2014年年报对以前报告期披露的财务数据由于同一控制下企业合并进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2015-04-30/1200945256.PDF,cninfo:追溯调整,2026-09-23T15:13:41+00:00
000426,兴业矿业,2015-04-30,correction,,0,独立董事关于2014年年报对以前报告期披露的财务数据由于同一控制下企业合并进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2015-04-30/1200945254.PDF,cninfo:追溯调整,2026-09-23T15:13:41+00:00
000426,兴业矿业,2015-04-30,correction,,0,关于公司2014年度对以前年度报告披露的财务报表数据由于同一控制下企业合并进行追溯调整专项说明,http://static.cninfo.com.cn/finalpage/2015-04-30/1200945250.PDF,cninfo:追溯调整,2026-09-23T15:13:41+00:00
000426,兴业矿业,2015-04-30,correction,,0,关于同一控制下企业合并追溯调整前期有关财务报表数据的公告,http://static.cninfo.com.cn/finalpage/2015-04-30/1200945234.PDF,cninfo:追溯调整,2026-09-23T15:13:41+00:00
000426,兴业矿业,2016-04-28,correction,,0,董事会关于2015年年报对以前报告期披露的财务数据由于同一控制下企业合并进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2016-04-28/1202257417.PDF,cninfo:追溯调整,2026-09-23T15:13:44+00:00
000426,兴业矿业,2016-04-28,correction,,0,监事会关于2015年年报对以前报告期披露的财务数据由于同一控制下企业合并进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2016-04-28/1202257416.PDF,cninfo:追溯调整,2026-09-23T15:13:44+00:00
000426,兴业矿业,2016-04-28,correction,,0,独立董事关于2015年年报对以前报告期披露的财务数据由于同一控制下企业合并进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2016-04-28/1202257411.PDF,cninfo:追溯调整,2026-09-23T15:13:44+00:00
000426,兴业矿业,2016-04-28,correction,,0,关于公司2015年度对以前年度报告披露的财务报表数据由于同一控制下企业合并进行追溯调整专项说明,http://static.cninfo.com.cn/finalpage/2016-04-28/1202257410.PDF,cninfo:追溯调整,2026-09-23T15:13:44+00:00
000426,兴业矿业,2016-04-28,correction,,0,关于同一控制下企业合并追溯调整前期有关财务报表数据的公告,http://static.cninfo.com.cn/finalpage/2016-04-28/1202257404.PDF,cninfo:追溯调整,2026-09-23T15:13:44+00:00
000426,兴业矿业,2017-04-29,correction,,0,监事会关于2016年年报对以前报告期披露的财务数据由于同一控制下企业合并进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2017-04-29/1203425086.PDF,cninfo:追溯调整,2026-09-23T15:13:47+00:00
000426,兴业矿业,2017-04-29,correction,,0,独立董事关于2016年年报对以前报告期披露的财务数据由于同一控制下企业合并进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2017-04-29/1203425083.PDF,cninfo:追溯调整,2026-09-23T15:13:47+00:00
000426,兴业矿业,2017-04-29,correction,,0,董事会关于2016年年报对以前报告期披露的财务数据由于同一控制下企业合并进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2017-04-29/1203425082.PDF,cninfo:追溯调整,2026-09-23T15:13:47+00:00
000426,兴业矿业,2017-04-29,correction,,0,关于同一控制下企业合并追溯调整前期有关财务报表数据的公告,http://static.cninfo.com.cn/finalpage/2017-04-29/1203425081.PDF,cninfo:追溯调整,2026-09-23T15:13:47+00:00
000426,兴业矿业,2017-04-29,correction,,0,关于公司2016年度对以前年度报告披露的财务报表数据由于同一控制下企业合并进行追溯调整专项说明,http://static.cninfo.com.cn/finalpage/2017-04-29/1203425074.PDF,cninfo:追溯调整,2026-09-23T15:13:47+00:00
000568,泸州老窖,2014-10-22,correction,,0,关于会计政策变更及追溯调整事项的独立意见,http://static.cninfo.com.cn/finalpage/2014-10-22/1200316491.PDF,cninfo:追溯调整,2026-09-23T15:13:37+00:00
000568,泸州老窖,2018-08-28,correction,,1,关于2018年一季报会计差错更正及追溯调整的公告,http://static.cninfo.com.cn/finalpage/2018-08-28/1205340452.PDF,cninfo:追溯调整,2026-09-23T15:13:51+00:00
000568,泸州老窖,2018-08-28,updated_report,2018-03-31,1,2018年第一季度报告正文（更新后）,http://static.cninfo.com.cn/finalpage/2018-08-28/1205340451.PDF,cninfo:pairing,2026-09-23T15:15:07+00:00
000568,泸州老窖,2018-08-28,updated_report,2018-03-31,1,2018年第一季度报告全文（更新后）,http://static.cninfo.com.cn/finalpage/2018-08-28/1205340448.PDF,cninfo:pairing,2026-09-23T15:15:07+00:00
000661,长春高新,2009-03-17,correction,,0,董事会关于2008年度前期会计差错更正的公告,http://static.cninfo.com.cn/finalpage/2009-03-17/50225615.PDF,cninfo:前期差错,2026-09-23T15:11:05+00:00
000661,长春高新,2015-03-13,correction,,0,董事会关于对以前年度财务报表数据进行追溯调整的说明,http://static.cninfo.com.cn/finalpage/2015-03-13/1200695367.PDF,cninfo:追溯调整,2026-09-23T15:13:41+00:00
000661,长春高新,2015-03-13,correction,,0,监事会关于对以前年度财务报表数据进行追溯调整的说明,http://static.cninfo.com.cn/finalpage/2015-03-13/1200695358.PDF,cninfo:追溯调整,2026-09-23T15:13:41+00:00
000661,长春高新,2015-03-13,correction,,0,独立董事关于对以前年度财务报表数据进行追溯调整的说明,http://static.cninfo.com.cn/finalpage/2015-03-13/1200695353.PDF,cninfo:追溯调整,2026-09-23T15:13:41+00:00
000725,京东方Ａ,2011-04-26,correction,,0,2010年度对以前年度报告期披露财务数据由于会计政策变更进行追溯调整的说明,http://static.cninfo.com.cn/finalpage/2011-04-26/59337741.PDF,cninfo:追溯调整,2026-09-23T15:13:25+00:00
000725,京东方Ａ,2011-04-26,correction,,0,监事会关于会计政策变更及追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2011-04-26/59337730.PDF,cninfo:追溯调整,2026-09-23T15:13:25+00:00
000725,京东方Ａ,2011-04-26,correction,,0,独立董事关于会计政策变更及追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2011-04-26/59337729.PDF,cninfo:追溯调整,2026-09-23T15:13:25+00:00
000725,京东方Ａ,2011-04-26,correction,,0,关于公司2010年度对以前年度报告期披露财务数据由于会计政策变更进行追溯调整的说明,http://static.cninfo.com.cn/finalpage/2011-04-26/59337728.PDF,cninfo:追溯调整,2026-09-23T15:13:25+00:00
000725,京东方Ａ,2019-03-26,correction,,0,第八届监事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2019-03-26/1205937150.PDF,cninfo:追溯调整,2026-09-23T15:13:57+00:00
000725,京东方Ａ,2019-03-26,correction,,0,第八届董事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2019-03-26/1205937149.PDF,cninfo:追溯调整,2026-09-23T15:13:57+00:00
000725,京东方Ａ,2020-04-28,correction,,0,第九届监事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2020-04-28/1207641675.PDF,cninfo:追溯调整,2026-09-23T15:14:01+00:00
000725,京东方Ａ,2020-04-28,correction,,0,第九届董事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2020-04-28/1207641673.PDF,cninfo:追溯调整,2026-09-23T15:14:01+00:00
000725,京东方Ａ,2022-03-31,correction,,0,第九届监事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2022-03-31/1212750854.PDF,cninfo:追溯调整,2026-09-23T15:14:09+00:00
000725,京东方Ａ,2022-03-31,correction,,0,第九届董事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2022-03-31/1212750853.PDF,cninfo:追溯调整,2026-09-23T15:14:09+00:00
000725,京东方Ａ,2022-04-28,correction,,0,第九届监事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2022-04-28/1213164916.PDF,cninfo:追溯调整,2026-09-23T15:14:09+00:00
000725,京东方Ａ,2022-04-28,correction,,0,第九届董事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2022-04-28/1213164915.PDF,cninfo:追溯调整,2026-09-23T15:14:09+00:00
000725,京东方Ａ,2022-08-30,correction,,0,第十届监事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2022-08-30/1214449845.PDF,cninfo:追溯调整,2026-09-23T15:14:09+00:00
000725,京东方Ａ,2022-08-30,correction,,0,第十届董事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2022-08-30/1214449842.PDF,cninfo:追溯调整,2026-09-23T15:14:09+00:00
000725,京东方Ａ,2022-10-31,correction,,0,第十届监事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2022-10-31/1214965944.PDF,cninfo:追溯调整,2026-09-23T15:14:09+00:00
000725,京东方Ａ,2022-10-31,correction,,0,第十届董事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2022-10-31/1214965943.PDF,cninfo:追溯调整,2026-09-23T15:14:09+00:00
000725,京东方Ａ,2023-04-04,correction,,0,第十届董事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2023-04-04/1216320152.PDF,cninfo:追溯调整,2026-09-23T15:14:15+00:00
000725,京东方Ａ,2023-04-04,correction,,0,第十届监事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2023-04-04/1216320142.PDF,cninfo:追溯调整,2026-09-23T15:14:15+00:00
000725,京东方Ａ,2023-04-29,correction,,0,4-第十届监事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2023-04-29/1216690217.PDF,cninfo:追溯调整,2026-09-23T15:14:15+00:00
000725,京东方Ａ,2023-04-29,correction,,0,3-第十届董事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2023-04-29/1216690213.PDF,cninfo:追溯调整,2026-09-23T15:14:15+00:00
000725,京东方Ａ,2023-08-29,correction,,0,第十届董事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2023-08-29/1217675822.PDF,cninfo:追溯调整,2026-09-23T15:14:15+00:00
000725,京东方Ａ,2023-08-29,correction,,0,第十届监事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2023-08-29/1217675794.PDF,cninfo:追溯调整,2026-09-23T15:14:15+00:00
000725,京东方Ａ,2024-04-02,correction,,0,第十届监事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2024-04-02/1219494147.PDF,cninfo:追溯调整,2026-09-23T15:14:28+00:00
000725,京东方Ａ,2024-04-02,correction,,0,第十届董事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2024-04-02/1219494110.PDF,cninfo:追溯调整,2026-09-23T15:14:28+00:00
000725,京东方Ａ,2025-04-22,correction,,0,第十一届董事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2025-04-22/1223193320.PDF,cninfo:追溯调整,2026-09-23T15:14:34+00:00
000725,京东方Ａ,2025-04-22,correction,,0,第十一届监事会关于追溯调整财务报表的专项说明,http://static.cninfo.com.cn/finalpage/2025-04-22/1223193244.PDF,cninfo:追溯调整,2026-09-23T15:14:34+00:00
000733,振华科技,2011-04-09,correction,,0,重大会计政策、会计估计变更以及重大前期会计差错更正情况专项说明,http://static.cninfo.com.cn/finalpage/2011-04-09/59242393.PDF,cninfo:前期差错,2026-09-23T15:11:09+00:00
000733,振华科技,2011-04-09,correction,,0,关于对2010年度财务报表年初数追溯调整的公告,http://static.cninfo.com.cn/finalpage/2011-04-09/59242386.PDF,cninfo:追溯调整,2026-09-23T15:13:25+00:00
000733,振华科技,2015-04-25,correction,,0,关于追溯调整2014年度财务报表年初数及上年同期数的公告,http://static.cninfo.com.cn/finalpage/2015-04-25/1200910231.PDF,cninfo:追溯调整,2026-09-23T15:13:41+00:00
000778,新兴铸管,2010-03-23,correction,,0,关于公司2009年财务报表追溯调整事项说明,http://static.cninfo.com.cn/finalpage/2010-03-23/57717451.PDF,cninfo:追溯调整,2026-09-23T15:13:20+00:00
000778,新兴铸管,2015-04-21,correction,,0,关于对前期财务报表数据进行追溯调整的专项声明（董事会）,http://static.cninfo.com.cn/finalpage/2015-04-21/1200876819.PDF,cninfo:追溯调整,2026-09-23T15:13:41+00:00
000778,新兴铸管,2015-04-21,correction,,0,关于对前期财务报表数据进行追溯调整的专项声明（监事会）,http://static.cninfo.com.cn/finalpage/2015-04-21/1200876818.PDF,cninfo:追溯调整,2026-09-23T15:13:41+00:00
000778,新兴铸管,2015-04-21,correction,,0,独立董事关于对前期财务报表数据进行追溯调整的专项声明,http://static.cninfo.com.cn/finalpage/2015-04-21/1200876817.PDF,cninfo:追溯调整,2026-09-23T15:13:41+00:00
000778,新兴铸管,2019-04-02,correction,,0,关于同一控制下企业合并追溯调整前期有关财务报表数据的公告,http://static.cninfo.com.cn/finalpage/2019-04-02/1205983330.PDF,cninfo:追溯调整,2026-09-23T15:13:57+00:00
000792,盐湖钾肥,2009-07-25,correction,,0,关于公司会计政策变更、会计差错更正的专项说明,http://static.cninfo.com.cn/finalpage/2009-07-25/55105174.PDF,cninfo:会计差错更正,2026-09-23T15:07:52+00:00
000858,五 粮 液,2026-04-30,correction,,1,关于前期会计差错更正的公告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225273122.PDF,cninfo:前期差错,2026-09-23T15:13:15+00:00
000858,五 粮 液,2026-04-30,updated_report,2025-03-31,1,2025年第一季度报告（更新后）,http://static.cninfo.com.cn/finalpage/2026-04-30/1225273125.PDF,cninfo:pairing,2026-09-23T15:15:39+00:00
000858,五 粮 液,2026-04-30,updated_report,2025-06-30,1,2025年半年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2026-04-30/1225273126.PDF,cninfo:pairing,2026-09-23T15:15:39+00:00
000858,五 粮 液,2026-04-30,updated_report,2025-09-30,1,2025年第三季度报告（更新后）,http://static.cninfo.com.cn/finalpage/2026-04-30/1225273123.PDF,cninfo:pairing,2026-09-23T15:15:39+00:00
000893,*ST东凌,2019-04-24,correction,,1,关于2017年资产减值调整暨关于前期会计差错更正及追溯调整的公告,http://static.cninfo.com.cn/finalpage/2019-04-24/1206080519.PDF,cninfo:追溯调整,2026-09-23T15:13:57+00:00
000893,*ST东凌,2019-04-24,correction,,1,独立董事关于2017年资产减值调整暨关于前期会计差错更正及追溯调整的独立意见,http://static.cninfo.com.cn/finalpage/2019-04-24/1206080511.PDF,cninfo:追溯调整,2026-09-23T15:13:57+00:00
000893,*ST东凌,2019-04-24,updated_report,2018-09-30,1,2018年第三季度报告全文（更新后）,http://static.cninfo.com.cn/finalpage/2019-04-24/1206080518.PDF,cninfo:pairing,2026-09-23T15:15:40+00:00
000893,*ST东凌,2019-04-24,updated_report,2018-09-30,1,2018年第三季度报告正文（更新后）,http://static.cninfo.com.cn/finalpage/2019-04-24/1206080517.PDF,cninfo:pairing,2026-09-23T15:15:40+00:00
000893,*ST东凌,2019-09-05,correction,,1,关于前期会计差错更正的公告,http://static.cninfo.com.cn/finalpage/2019-09-05/1206889228.PDF,cninfo:前期差错,2026-09-23T15:11:37+00:00
000893,*ST东凌,2019-09-05,correction,,1,前期会计差错更正专项审核报告,http://static.cninfo.com.cn/finalpage/2019-09-05/1206889222.PDF,cninfo:前期差错,2026-09-23T15:11:37+00:00
000893,*ST东凌,2019-09-05,updated_report,2017-12-31,1,2017年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2019-09-05/1206889223.PDF,cninfo:pairing,2026-09-23T15:15:41+00:00
000893,*ST东凌,2019-09-05,updated_report,2018-12-31,1,2018年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2019-09-05/1206889224.PDF,cninfo:pairing,2026-09-23T15:15:41+00:00
000893,*ST东凌,2019-09-05,updated_report,2019-06-30,1,2019年半年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2019-09-05/1206889226.PDF,cninfo:pairing,2026-09-23T15:15:41+00:00
000893,亚钾国际,2021-04-28,correction,,1,关于会计差错更正的公告,http://static.cninfo.com.cn/finalpage/2021-04-28/1209832019.PDF,cninfo:会计差错更正,2026-09-23T15:09:44+00:00
000893,亚钾国际,2021-04-28,updated_report,2020-06-30,1,2020年半年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2021-04-28/1209832021.PDF,cninfo:pairing,2026-09-23T15:15:42+00:00
000893,亚钾国际,2021-04-28,updated_report,2020-09-30,1,2020年第三季度报告全文（更新后）,http://static.cninfo.com.cn/finalpage/2021-04-28/1209832023.PDF,cninfo:pairing,2026-09-23T15:15:42+00:00
000893,亚钾国际,2021-04-28,updated_report,2020-09-30,1,2020年第三季度报告正文（更新后）,http://static.cninfo.com.cn/finalpage/2021-04-28/1209832022.PDF,cninfo:pairing,2026-09-23T15:15:42+00:00
000895,双汇发展,2011-04-29,correction,,0,董事会关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2011-04-29/59362166.PDF,cninfo:追溯调整,2026-09-23T15:13:25+00:00
000895,双汇发展,2011-04-29,correction,,0,监事会关于对以前报告期披露的财务报表数据进行追溯调整的意见,http://static.cninfo.com.cn/finalpage/2011-04-29/59362165.PDF,cninfo:追溯调整,2026-09-23T15:13:25+00:00
000895,双汇发展,2011-04-29,correction,,0,独立董事关于对2010年第一季度报告财务报表数据进行追溯调整的意见,http://static.cninfo.com.cn/finalpage/2011-04-29/59362164.PDF,cninfo:追溯调整,2026-09-23T15:13:25+00:00
000895,双汇发展,2011-10-22,correction,,0,董事会关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2011-10-22/60092574.PDF,cninfo:追溯调整,2026-09-23T15:13:25+00:00
000895,双汇发展,2011-10-22,correction,,0,监事会关于对以前报告期披露的财务报表数据进行追溯调整的意见,http://static.cninfo.com.cn/finalpage/2011-10-22/60092573.PDF,cninfo:追溯调整,2026-09-23T15:13:25+00:00
000895,双汇发展,2011-10-22,correction,,0,独立董事关于对2010年第三季度报告财务报表数据进行追溯调整的意见,http://static.cninfo.com.cn/finalpage/2011-10-22/60092572.PDF,cninfo:追溯调整,2026-09-23T15:13:25+00:00
000895,双汇发展,2012-03-02,correction,,0,董事会关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2012-03-02/60612325.PDF,cninfo:追溯调整,2026-09-23T15:13:28+00:00
000895,双汇发展,2012-03-02,correction,,0,监事会关于对以前报告期披露的财务报表数据进行追溯调整的意见,http://static.cninfo.com.cn/finalpage/2012-03-02/60612324.PDF,cninfo:追溯调整,2026-09-23T15:13:28+00:00
000895,双汇发展,2012-03-02,correction,,0,独立董事关于对2010年度报告财务报表数据进行追溯调整的意见,http://static.cninfo.com.cn/finalpage/2012-03-02/60612321.PDF,cninfo:追溯调整,2026-09-23T15:13:28+00:00
000895,双汇发展,2012-03-02,correction,,0,关于公司2011年度对以前报告期披露的财务报表数据由于同一控制下企业合并进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2012-03-02/60612315.PDF,cninfo:追溯调整,2026-09-23T15:13:28+00:00
000895,双汇发展,2012-10-20,correction,,0,董事会关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2012-10-20/61679129.PDF,cninfo:追溯调整,2026-09-23T15:13:28+00:00
000895,双汇发展,2012-10-20,correction,,0,监事会关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2012-10-20/61679128.PDF,cninfo:追溯调整,2026-09-23T15:13:28+00:00
000895,双汇发展,2012-10-20,correction,,0,独立董事关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2012-10-20/61679127.PDF,cninfo:追溯调整,2026-09-23T15:13:28+00:00
000895,双汇发展,2013-03-26,correction,,0,董事会关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2013-03-26/62271947.PDF,cninfo:追溯调整,2026-09-23T15:13:33+00:00
000895,双汇发展,2013-03-26,correction,,0,监事会关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2013-03-26/62271946.PDF,cninfo:追溯调整,2026-09-23T15:13:33+00:00
000895,双汇发展,2013-03-26,correction,,0,独立董事关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2013-03-26/62271944.PDF,cninfo:追溯调整,2026-09-23T15:13:33+00:00
000895,双汇发展,2013-03-26,correction,,0,关于公司2012年度对以前报告期披露的财务报表数据由于同一控制下企业合并进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2013-03-26/62271939.PDF,cninfo:追溯调整,2026-09-23T15:13:33+00:00
000895,双汇发展,2013-04-24,correction,,1,董事会关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2013-04-24/62412186.PDF,cninfo:追溯调整,2026-09-23T15:13:33+00:00
000895,双汇发展,2013-04-24,correction,,1,监事会关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2013-04-24/62412185.PDF,cninfo:追溯调整,2026-09-23T15:13:33+00:00
000895,双汇发展,2013-04-24,correction,,1,独立董事关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2013-04-24/62412184.PDF,cninfo:追溯调整,2026-09-23T15:13:33+00:00
000895,双汇发展,2013-05-09,updated_report,2012-12-31,1,2012年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2013-05-09/62472535.PDF,cninfo:pairing,2026-09-23T15:15:48+00:00
000895,双汇发展,2013-08-07,correction,,0,董事会关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2013-08-07/62913391.PDF,cninfo:追溯调整,2026-09-23T15:13:33+00:00
000895,双汇发展,2013-08-07,correction,,0,监事会关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2013-08-07/62913390.PDF,cninfo:追溯调整,2026-09-23T15:13:33+00:00
000895,双汇发展,2013-08-07,correction,,0,独立董事关于对以前报告期披露的财务报表数据进行追溯调整的专项说明,http://static.cninfo.com.cn/finalpage/2013-08-07/62913388.PDF,cninfo:追溯调整,2026-09-23T15:13:33+00:00
000933,神火股份,2009-04-10,correction,,0,关于会计政策变更及会计差错更正的说明,http://static.cninfo.com.cn/finalpage/2009-04-10/51153292.PDF,cninfo:会计差错更正,2026-09-23T15:07:52+00:00
000933,神火股份,2010-03-23,correction,,0,董事会关于会计差错更正的公告,http://static.cninfo.com.cn/finalpage/2010-03-23/57717125.PDF,cninfo:会计差错更正,2026-09-23T15:07:58+00:00
000933,神火股份,2010-03-23,correction,,0,关于公司会计政策变更事项和前期差错更正事项的说明,http://static.cninfo.com.cn/finalpage/2010-03-23/57717123.PDF,cninfo:前期差错,2026-09-23T15:11:07+00:00
