security_code,security_name,report_date,notice_date,predict_finance_code,predict_finance,predict_type,predict_amt_lower,predict_amt_upper,add_amp_lower,add_amp_upper,preyear_same_period,is_latest,source,retrieved_at_utc
688218,江苏北人,2026-06-30,2026-07-31,005,扣除非经常性损益后的净利润,扭亏,14518300,14518300,157.02,157.02,-25463300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688433,华曙高科,2026-06-30,2026-07-31,005,扣除非经常性损益后的净利润,预增,3664500,3664500,115.78,115.78,1698300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688433,华曙高科,2026-06-30,2026-07-31,006,营业收入,略增,340523800,340523800,42.27,42.27,239357200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688433,华曙高科,2026-06-30,2026-07-31,004,归属于上市公司股东的净利润,预增,8434800,8434800,87.09,87.09,4508400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688511,天微电子,2026-06-30,2026-07-31,004,归属于上市公司股东的净利润,预减,1632500,1632500,-94.12,-94.12,27771800,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688511,天微电子,2026-06-30,2026-07-31,005,扣除非经常性损益后的净利润,首亏,-7429600,-7429600,-137.04,-137.04,20060200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688511,天微电子,2026-06-30,2026-07-31,008,扣除后营业收入,预减,27510000,27510000,,,82321200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688511,天微电子,2026-06-30,2026-07-31,006,营业收入,预减,29527400,29527400,-64.85,-64.85,84008900,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688836,宇树科技,2026-06-30,2026-07-31,005,扣除非经常性损益后的净利润,略减,236000000,283000000,-21.97,-6.43,302433500,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688836,宇树科技,2026-06-30,2026-07-31,006,营业收入,略增,1052000000,1128000000,35.62,45.41,775719200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688836,宇树科技,2026-06-30,2026-07-31,004,归属于上市公司股东的净利润,扭亏,258000000,306000000,905.63,1055.52,-32024500,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
001232,嘉立创,2026-06-30,2026-07-30,006,营业收入,预增,6200000000,7200000000,33.22,54.71,4653910400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
001232,嘉立创,2026-06-30,2026-07-30,005,扣除非经常性损益后的净利润,预增,900000000,1050000000,64.53,91.95,547021400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
001232,嘉立创,2026-06-30,2026-07-30,004,归属于上市公司股东的净利润,预增,900000000,1050000000,51.59,76.85,593715400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
603468,津富士达,2026-06-30,2026-07-30,006,营业收入,略增,3140000000,3260000000,21.15,25.78,2591858000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
603468,津富士达,2026-06-30,2026-07-30,002,净利润,续盈,181000000,205000000,-8.86,3.23,198595000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
603468,津富士达,2026-06-30,2026-07-30,005,扣除非经常性损益后的净利润,续盈,174000000,193000000,-8.96,0.98,191134300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
603468,津富士达,2026-06-30,2026-07-30,004,归属于上市公司股东的净利润,续盈,178000000,196000000,-8.87,0.34,195328100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688290,景业智能,2026-06-30,2026-07-30,004,归属于上市公司股东的净利润,首亏,-12500000,-12500000,-511.13,-511.13,3040400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688290,景业智能,2026-06-30,2026-07-30,005,扣除非经常性损益后的净利润,首亏,-35620000,-35620000,-2061.56,-2061.56,1815900,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688678,福立旺,2026-06-30,2026-07-30,004,归属于上市公司股东的净利润,扭亏,69000000,69000000,489,489,-17737600,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688678,福立旺,2026-06-30,2026-07-30,005,扣除非经常性损益后的净利润,扭亏,68000000,68000000,371.91,371.91,-25008200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688826,频准激光,2026-06-30,2026-07-30,006,营业收入,略增,230000000,260000000,27.58,44.22,180285600,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688826,频准激光,2026-06-30,2026-07-30,005,扣除非经常性损益后的净利润,预增,85000000,100000000,28.49,51.16,66153600,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688826,频准激光,2026-06-30,2026-07-30,004,归属于上市公司股东的净利润,略增,90000000,105000000,26.93,48.08,70906300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
920156,海昌智能,2026-06-30,2026-07-30,004,归属于上市公司股东的净利润,预增,120000000,140000000,97.26,130.14,60833700,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
920156,海昌智能,2026-06-30,2026-07-30,006,营业收入,预增,690000000,720000000,57.36,64.21,438474200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
920403,康农种业,2026-06-30,2026-07-30,004,归属于上市公司股东的净利润,预增,14000000,16000000,61.13,84.15,8688500,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300981,中红医疗,2026-06-30,2026-07-29,004,归属于上市公司股东的净利润,预增,140000000,210000000,2338,3557,5742900,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300981,中红医疗,2026-06-30,2026-07-29,005,扣除非经常性损益后的净利润,扭亏,99000000,148000000,851,1223,-13174500,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688111,金山办公,2026-06-30,2026-07-29,006,营业收入,略增,3213860000,3412660000,20.95,28.43,2657121700,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688111,金山办公,2026-06-30,2026-07-29,004,归属于上市公司股东的净利润,预增,2316190000,2719000000,209.98,263.89,747204500,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688111,金山办公,2026-06-30,2026-07-29,005,扣除非经常性损益后的净利润,预增,2288390000,2686370000,214.63,269.35,727320200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688123,聚辰股份,2026-06-30,2026-07-29,005,扣除非经常性损益后的净利润,略减,93471200,93471200,-47.3,-47.3,177360300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688123,聚辰股份,2026-06-30,2026-07-29,004,归属于上市公司股东的净利润,预增,525334200,525334200,156.07,156.07,205150600,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688123,聚辰股份,2026-06-30,2026-07-29,006,营业收入,略增,601921700,601921700,4.71,4.71,574855400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688177,百奥泰,2026-06-30,2026-07-29,004,归属于上市公司股东的净利润,增亏,-290000000,-230000000,-132.13,-84.1,-124932200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688177,百奥泰,2026-06-30,2026-07-29,005,扣除非经常性损益后的净利润,增亏,-300000000,-240000000,-75.24,-40.19,-171198000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688411,海博思创,2026-06-30,2026-07-29,005,扣除非经常性损益后的净利润,预增,610000000,700000000,134.98,169.64,259601700,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688411,海博思创,2026-06-30,2026-07-29,004,归属于上市公司股东的净利润,预增,620000000,700000000,96.3,121.63,315839800,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688411,海博思创,2026-06-30,2026-07-29,006,营业收入,预增,5600000000,6900000000,23.83,52.58,4522270400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688489,三未信安,2026-06-30,2026-07-29,005,扣除非经常性损益后的净利润,减亏,-18897000,-18897000,43.35,43.35,-33355200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688489,三未信安,2026-06-30,2026-07-29,004,归属于上市公司股东的净利润,减亏,-12561600,-12561600,57.25,57.25,-29385800,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688489,三未信安,2026-06-30,2026-07-29,006,营业收入,略增,209447800,209447800,7.38,7.38,195046700,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300259,新天科技,2026-06-30,2026-07-28,005,扣除非经常性损益后的净利润,略减,37000000,50000000,-34.28,-11.19,56296800,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300259,新天科技,2026-06-30,2026-07-28,004,归属于上市公司股东的净利润,预减,16000000,24000000,-79.72,-69.58,78903300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688733,壹石通,2026-06-30,2026-07-28,005,扣除非经常性损益后的净利润,减亏,-9200000,-6200000,70.77,80.3,-31476200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688733,壹石通,2026-06-30,2026-07-28,004,归属于上市公司股东的净利润,扭亏,9500000,14000000,154.34,180.08,-17481600,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688733,壹石通,2026-06-30,2026-07-28,006,营业收入,预增,400000000,420000000,47.33,54.69,271504000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
920493,并行科技,2026-06-30,2026-07-28,004,归属于上市公司股东的净利润,预增,40000000,48000000,687.62,845.14,5078600,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300100,双林股份,2026-06-30,2026-07-27,004,归属于上市公司股东的净利润,预减,80000000,110000000,-72.15,-61.7,287228600,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300100,双林股份,2026-06-30,2026-07-27,005,扣除非经常性损益后的净利润,预减,66645700,96645700,-72.96,-60.79,246492300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300765,石药创新,2026-06-30,2026-07-27,005,扣除非经常性损益后的净利润,扭亏,1150000000,1330000000,2895.05,3332.54,-41144100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300765,石药创新,2026-06-30,2026-07-27,004,归属于上市公司股东的净利润,扭亏,1180000000,1360000000,43070.03,49624.78,-2746100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688232,新点软件,2026-06-30,2026-07-27,004,归属于上市公司股东的净利润,增亏,-63021000,-63021000,-1.36,-1.36,-62177100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688232,新点软件,2026-06-30,2026-07-27,005,扣除非经常性损益后的净利润,增亏,-109416400,-109416400,-7.17,-7.17,-102098200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688232,新点软件,2026-06-30,2026-07-27,006,营业收入,略减,569903100,569903100,-14.93,-14.93,669901900,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
920118,太湖远大,2026-06-30,2026-07-27,004,归属于上市公司股东的净利润,预增,43000000,50000000,212.61,263.5,13755000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
920165,珈凯生物,2026-06-30,2026-07-27,004,归属于上市公司股东的净利润,略增,35125900,37687200,21.04,29.87,29019200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
920165,珈凯生物,2026-06-30,2026-07-27,005,扣除非经常性损益后的净利润,略增,32625900,34487200,25.24,32.38,26051100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
920165,珈凯生物,2026-06-30,2026-07-27,006,营业收入,略增,144153600,154664800,18.04,26.65,122118500,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
002186,全聚德,2026-06-30,2026-07-25,004,归属于上市公司股东的净利润,略增,12800000,15500000,3.39,25.2,12380000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
002186,全聚德,2026-06-30,2026-07-25,005,扣除非经常性损益后的净利润,预增,7100000,9200000,82.05,135.9,3900000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
002186,全聚德,2026-06-30,2026-07-25,003,每股收益,略增,0.04,0.05,,,0.04,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688089,ST嘉必优,2026-06-30,2026-07-25,006,营业收入,预减,55000000,55000000,-82.07,-82.07,306732100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688089,ST嘉必优,2026-06-30,2026-07-25,005,扣除非经常性损益后的净利润,首亏,-99970200,-99970200,-200.25,-200.25,99922800,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688089,ST嘉必优,2026-06-30,2026-07-25,004,归属于上市公司股东的净利润,首亏,-100625500,-100625500,-193.21,-193.21,107951000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688108,赛诺医疗,2026-06-30,2026-07-25,006,营业收入,略增,304640000,304640000,26.68,26.68,240480000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688108,赛诺医疗,2026-06-30,2026-07-25,004,归属于上市公司股东的净利润,预增,50330000,50330000,263.66,263.66,13840000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688108,赛诺医疗,2026-06-30,2026-07-25,005,扣除非经常性损益后的净利润,预增,48710000,48710000,510.4,510.4,7980000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688597,煜邦电力,2026-06-30,2026-07-25,005,扣除非经常性损益后的净利润,首亏,-60000000,-51000000,-471.62,-415.88,16145600,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688597,煜邦电力,2026-06-30,2026-07-25,004,归属于上市公司股东的净利润,首亏,-50000000,-42000000,-307.86,-274.61,24054300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300320,海达股份,2026-06-30,2026-07-24,004,归属于上市公司股东的净利润,略增,130022900,140858100,20,30,108352400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300320,海达股份,2026-06-30,2026-07-24,005,扣除非经常性损益后的净利润,略增,128988600,139823800,19.66,29.71,107797700,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301297,富乐德,2026-06-30,2026-07-24,004,归属于上市公司股东的净利润,预增,181850000,221850000,58.62,93.51,114643400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301297,富乐德,2026-06-30,2026-07-24,005,扣除非经常性损益后的净利润,预增,127990000,167990000,169.93,254.29,47416600,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301677,欣兴工具,2026-06-30,2026-07-24,006,营业收入,略增,259000000,279000000,5.99,14.17,244371100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301677,欣兴工具,2026-06-30,2026-07-24,004,归属于上市公司股东的净利润,略增,99000000,104000000,0.55,5.63,98456700,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301677,欣兴工具,2026-06-30,2026-07-24,005,扣除非经常性损益后的净利润,略增,98000000,103000000,0.54,5.67,97471000,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301677,欣兴工具,2026-06-30,2026-07-24,002,净利润,略增,99000000,104000000,0.55,5.63,98456700,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
600006,东风股份,2026-06-30,2026-07-24,004,归属于上市公司股东的净利润,略增,120000000,130000000,23.45,33.74,97206100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
600006,东风股份,2026-06-30,2026-07-24,005,扣除非经常性损益后的净利润,减亏,-25000000,-15000000,71.29,82.77,-87066300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688099,晶晨股份,2026-06-30,2026-07-24,006,营业收入,略增,4391000000,4391000000,31.85,31.85,3330405300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688099,晶晨股份,2026-06-30,2026-07-24,004,归属于上市公司股东的净利润,略增,608000000,608000000,22.44,22.44,496569600,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688099,晶晨股份,2026-06-30,2026-07-24,005,扣除非经常性损益后的净利润,略增,560000000,560000000,22.54,22.54,457008500,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688192,迪哲医药,2026-06-30,2026-07-24,006,营业收入,略增,522000000,522000000,47.04,47.04,355001400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688192,迪哲医药,2026-06-30,2026-07-24,005,扣除非经常性损益后的净利润,减亏,-231000000,-231000000,44.9,44.9,-419231300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688192,迪哲医药,2026-06-30,2026-07-24,004,归属于上市公司股东的净利润,减亏,-210000000,-210000000,44.35,44.35,-377360100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688297,中无人机,2026-06-30,2026-07-24,005,扣除非经常性损益后的净利润,预增,33000000,39000000,50.37,77.71,21945800,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688297,中无人机,2026-06-30,2026-07-24,004,归属于上市公司股东的净利润,预增,52000000,58000000,63.66,82.54,31773300,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688297,中无人机,2026-06-30,2026-07-24,006,营业收入,预增,1580000000,1680000000,260.16,282.96,438687900,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688530,欧莱新材,2026-06-30,2026-07-24,004,归属于上市公司股东的净利润,扭亏,65000000,70000000,1034.07,1105.92,-6958800,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688530,欧莱新材,2026-06-30,2026-07-24,005,扣除非经常性损益后的净利润,扭亏,65000000,70000000,695.08,740.86,-10922900,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688655,迅捷兴,2026-06-30,2026-07-24,005,扣除非经常性损益后的净利润,扭亏,11800000,11800000,349.94,349.94,-4721200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688655,迅捷兴,2026-06-30,2026-07-24,004,归属于上市公司股东的净利润,扭亏,14000000,14000000,606.13,606.13,-2766100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688655,迅捷兴,2026-06-30,2026-07-24,006,营业收入,预增,518000000,518000000,77.19,77.19,292338500,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688766,普冉股份,2026-06-30,2026-07-24,006,营业收入,预增,3950000000,3950000000,335.65,335.65,906700800,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688766,普冉股份,2026-06-30,2026-07-24,005,扣除非经常性损益后的净利润,预增,820000000,820000000,2976.99,2976.99,26649400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688766,普冉股份,2026-06-30,2026-07-24,004,归属于上市公司股东的净利润,预增,825000000,825000000,1925.36,1925.36,40733400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688779,五矿新能,2026-06-30,2026-07-24,004,归属于上市公司股东的净利润,扭亏,340000000,400000000,1367.4,1591.06,-26826500,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688779,五矿新能,2026-06-30,2026-07-24,005,扣除非经常性损益后的净利润,扭亏,330000000,390000000,730.43,845.06,-52345100,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688825,长鑫科技,2026-06-30,2026-07-24,004,归属于上市公司股东的净利润,扭亏,50000000000,57000000000,2244.03,2544.19,-2332058200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688825,长鑫科技,2026-06-30,2026-07-24,006,营业收入,预增,110000000000,120000000000,612.53,677.31,15437924600,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688825,长鑫科技,2026-06-30,2026-07-24,002,净利润,扭亏,66000000000,75000000000,1714.67,1934.85,-4087518600,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
688825,长鑫科技,2026-06-30,2026-07-24,005,扣除非经常性损益后的净利润,扭亏,52000000000,58000000000,2278.89,2530.3,-2386538400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300891,惠云钛业,2026-06-30,2026-07-23,005,扣除非经常性损益后的净利润,预增,5600000,8200000,114.75,214.45,2607700,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
300891,惠云钛业,2026-06-30,2026-07-23,004,归属于上市公司股东的净利润,预增,6000000,8800000,17.68,72.6,5098400,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301717,超纯应材,2026-06-30,2026-07-23,004,归属于上市公司股东的净利润,预增,103250000,110850000,67.81,80.16,61529500,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
301717,超纯应材,2026-06-30,2026-07-23,006,营业收入,略增,270000000,290000000,30.86,40.56,206324200,T,eastmoney:RPT_PUBLIC_OP_NEWPREDICT,2026-08-04T05:11:10+00:00
