security_code,security_name,report_date,notice_date,disclosure_type,report_label,parent_netprofit,total_operate_income,netprofit_yoy,revenue_yoy,is_new,source,retrieved_at_utc
832888,天地人,2026-06-30,2026-07-31,periodic_report,2026年 半年报,7472947.24,86174297.08,46.9,3.7416626294,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
833333,科雷斯普,2026-06-30,2026-07-31,periodic_report,2026年 半年报,923782.25,51215247.64,552.11,72.5644165263,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
833741,腾轩旅游,2026-06-30,2026-07-31,periodic_report,2026年 半年报,1302796.04,480479899.39,126.79,-24.2581416144,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
833802,希尔化工,2026-06-30,2026-07-31,periodic_report,2026年 半年报,-742706.39,31928626.65,51.18,37.3032411796,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
836041,残友善务,2026-06-30,2026-07-31,periodic_report,2026年 半年报,-328028.67,141509.43,-9.4583028345,-5.640205876,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
836161,一万节能,2026-06-30,2026-07-31,periodic_report,2026年 半年报,1312640.92,50569280.03,11.38,13.8529165868,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
836575,绿邦作物,2026-06-30,2026-07-31,periodic_report,2026年 半年报,7469918.32,284789700.83,-19.99,1.4987330028,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
836909,智房科技,2026-06-30,2026-07-31,periodic_report,2026年 半年报,564999.44,20304381.91,-77.21,-20.3644396157,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
836939,宝亚安全,2026-06-30,2026-07-31,periodic_report,2026年 半年报,-739704.8,13562551.51,-106.26,-82.1652891657,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
838314,华仪电子,2026-06-30,2026-07-31,periodic_report,2026年 半年报,2995970.37,55675060.15,-78.95,-46.4055338882,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
839982,骏昌通讯,2026-06-30,2026-07-31,periodic_report,2026年 半年报,9491516.17,37614165.59,23.02,28.3109890773,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
871621,金誉股份,2026-06-30,2026-07-31,periodic_report,2026年 半年报,103488555.09,3252730288.02,4023.71,41.6577726785,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
871664,华旭环保,2026-06-30,2026-07-31,periodic_report,2026年 半年报,-3523354.31,8168738.59,-281.1848098536,-7.5657479063,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
871866,力源电力,2026-06-30,2026-07-31,periodic_report,2026年 半年报,2989649.19,40869755.34,302.41,137.9119847674,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
872094,惠而顺,2026-06-30,2026-07-31,periodic_report,2026年 半年报,36691508.92,149436686.49,457.6,60.2001476901,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
872896,新威环境,2026-06-30,2026-07-31,periodic_report,2026年 半年报,6118093.06,110145369.1,-47.92,-3.6951694802,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
873126,智信恒瑞,2026-06-30,2026-07-31,periodic_report,2026年 半年报,17864588.2,64342831.04,-10.16,21.1913017546,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
873263,砾达智能,2026-06-30,2026-07-31,periodic_report,2026年 半年报,8620819.92,40926850.76,2063.67,96305.4711075799,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
873323,中玒口腔,2026-06-30,2026-07-31,periodic_report,2026年 半年报,3663341.13,40035145.77,82.94,68.3842221834,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
873553,华成工控,2026-06-30,2026-07-31,periodic_report,2026年 半年报,-3444569.54,87209856.39,338.83,-12.7933726883,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
874323,中宏立达,2026-06-30,2026-07-31,periodic_report,2026年 半年报,-7403359.17,22839876.16,-424.09,-19.7692275636,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
874618,润奥供电,2026-06-30,2026-07-31,periodic_report,2026年 半年报,2963211.07,18064181.69,-37.26,-5.5456681672,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
