market,security_code,security_name,period,fiscal_year,notice_date,report_currency,revenue,operating_income,pretax,income_tax,interest_expense,ebit,tax_rate,tax_rate_observed,nopat,total_equity,parent_equity,minority_equity,interest_debt,cash_like,excess_cash,invested_capital,capex,dep_amort,cfo,shares,buybacks,dividends_paid,tags_used,source,period_type,report_label,evidence_url
HK,03888,金山软件,2018-12-31,2018,2018-12-31,CNY,5906187000.0,-302320000.0,-25017000.0,140225000.0,326966000.0,301949000.0,0.165,0,252127415.0,12921599000.0,13037839000.0,-116240000.0,1284617000.0,9868809000.0,9750685260.0,4455530740.0,1391516000.0,514093000.0,769509000.0,1381814510.0,11909000.0,313554000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2018，截至 2018-12-31）,
HK,03888,金山软件,2019-12-31,2019,2019-12-31,CNY,4371087000.0,1012806000.0,-415238000.0,152537000.0,19672000.0,-395566000.0,0.165,0,-330297610.0,15609381000.0,13797148000.0,1812233000.0,697566000.0,13792117000.0,13704695260.0,2602251740.0,1372486000.0,737926000.0,824968000.0,1381814510.0,0.0,14561000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2019，截至 2019-12-31）,
HK,03888,金山软件,2020-12-31,2020,2020-12-31,CNY,5594243000.0,1855134000.0,2069360000.0,270924000.0,107514000.0,2176874000.0,0.130922,1,1891874091.054239,28227910000.0,24664559000.0,3563351000.0,0.0,0.0,0.0,28227910000.0,488000000.0,490485000.0,,1381814510.0,0.0,398695000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2020，截至 2020-12-31）,
HK,03888,金山软件,2021-12-31,2021,2021-12-31,CNY,6371406000.0,1360583000.0,1143128000.0,190285000.0,142789000.0,1285917000.0,0.16646,1,1071863353.9122478,28792190000.0,24784069000.0,4008121000.0,0.0,16190138000.0,16062709880.0,12729480120.0,288648000.0,212435000.0,2220098000.0,1381814510.0,107991000.0,400379000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2021，截至 2021-12-31）,
HK,03888,金山软件,2022-12-31,2022,2022-12-31,CNY,7636743000.0,1868682000.0,-5721343000.0,379456000.0,157438000.0,-5563905000.0,0.165,0,-4645860675.0,24156467000.0,19501496000.0,4654971000.0,0.0,18201410000.0,18048675140.0,6107791860.0,482137000.0,272794000.0,2573519000.0,1381814510.0,164151000.0,435081000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2022，截至 2022-12-31）,
HK,03888,金山软件,2023-12-31,2023,2023-12-31,CNY,8533611000.0,2226882000.0,1488852000.0,273664000.0,168890000.0,1657742000.0,0.183809,1,1353034543.0546489,26573257000.0,21289033000.0,5284224000.0,0.0,20271193000.0,20100520780.0,6472736220.0,457394000.0,239572000.0,3488746000.0,1381814510.0,278975000.0,525514000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2023，截至 2023-12-31）,
HK,03888,金山软件,2024-12-31,2024,2024-12-31,CNY,10317904000.0,3646623000.0,3131254000.0,334158000.0,178656000.0,3309910000.0,0.106717,1,2956686369.537572,28412402000.0,22456276000.0,5956126000.0,0.0,23815022000.0,23608663920.0,4803738080.0,409777000.0,226837000.0,4587160000.0,1381814510.0,433486000.0,600667000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2024，截至 2024-12-31）,
HK,03888,金山软件,2025-12-31,2025,2025-12-31,CNY,9682881000.0,1775097000.0,3313688000.0,438622000.0,56186000.0,3369874000.0,0.132367,1,2923814843.667841,32626682000.0,26034346000.0,6592336000.0,10000000.0,22587238000.0,22393580380.0,10243101620.0,314024000.0,250142000.0,2291620000.0,1381814510.0,395277000.0,706507000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2025，截至 2025-12-31）,
HK,03888,金山软件,2026-06-30,2026,2026-08-19,CNY,9964606000.0,1604958000.0,5444702000.0,622288000.0,6686000.0,5451388000.0,0.114292,1,4828335841.085885,35069291000.0,27083085000.0,7986206000.0,10000000.0,24494092000.0,24294799880.0,10784491120.0,0.0,0.0,2336403000.0,1381814510.0,0.0,0.0,cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;income_tax=income:税项;interest_expense=income:融资成本;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,eastmoney HK F10 TTM,ttm,中报（2026H1）,https://www.kingsoft.com/ksnet/ft/attachment/KS-O00002026081919585617007/73bc3116-2677-48ba-8e48-dd01c7d4f3fd.pdf
HK,00700,腾讯控股,2001-12-31,2001,2001-12-31,CNY,46639000.0,10341000.0,10216000.0,,0.0,10216000.0,0.165,0,8530360.0,48324000.0,48324000.0,0.0,0.0,39723000.0,38790220.0,9533780.0,11456000.0,2448000.0,20756000.0,9117991636.0,0.0,0.0,capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2001，截至 2001-12-31）,
