security_code,security_name,effective_tier,as_of
002683,广东宏大,高估,2026-08-20
002690,美亚光电,高估,2026-08-20
002714,牧原股份,较低估,2026-08-20
002837,英维克,高估,2026-08-20
002906,华阳集团,较高估,2026-08-20
002916,深南电路,高估,2026-08-20
002920,德赛西威,较高估,2026-08-20
002938,鹏鼎控股,高估,2026-08-20
300015,爱尔眼科,高估,2026-08-20
300033,同花顺,高估,2026-08-20
300034,钢研高纳,高估,2026-08-20
300054,鼎龙股份,高估,2026-08-20
300059,东方财富,较低估,2026-08-20
300124,汇川技术,高估,2026-08-20
300274,阳光电源,高估,2026-08-20
300308,中际旭创,高估,2026-08-20
300316,晶盛机电,高估,2026-08-20
300346,南大光电,高估,2026-08-20
300357,我武生物,高估,2026-08-20
300360,炬华科技,低估,2026-08-20
300394,天孚通信,高估,2026-08-20
300395,菲利华,高估,2026-08-20
300408,三环集团,高估,2026-08-20
300415,伊之密,较低估,2026-08-20
300435,中泰股份,中性,2026-08-20
300470,中密控股,较高估,2026-08-20
300476,胜宏科技,高估,2026-08-20
300487,蓝晓科技,高估,2026-08-20
300502,新易盛,高估,2026-08-20
300529,健帆生物,高估,2026-08-20
300573,兴齐眼药,高估,2026-08-20
300604,长川科技,高估,2026-08-20
300627,华测导航,高估,2026-08-20
300628,亿联网络,高估,2026-08-20
300661,圣邦股份,高估,2026-08-20
300685,艾德生物,高估,2026-08-20
300699,光威复材,高估,2026-08-20
300750,宁德时代,较高估,2026-08-20
300759,康龙化成,高估,2026-08-20
300760,迈瑞医疗,高估,2026-08-20
300776,帝尔激光,高估,2026-08-20
300811,铂科新材,高估,2026-08-20
300832,新产业,高估,2026-08-20
300866,安克创新,高估,2026-08-20
300896,爱美客,高估,2026-08-20
300910,瑞丰新材,较低估,2026-08-20
301498,乖宝宠物,高估,2026-08-20
301589,诺瓦星云,高估,2026-08-20
600031,三一重工,较高估,2026-08-20
600036,招商银行,较低估,2026-08-20
600066,宇通客车,高估,2026-08-20
600085,同仁堂,高估,2026-08-20
600132,重庆啤酒,较高估,2026-08-20
600160,巨化股份,高估,2026-08-20
600176,中国巨石,高估,2026-08-20
600183,生益科技,高估,2026-08-20
600276,恒瑞医药,高估,2026-08-20
600285,羚锐制药,较高估,2026-08-20
600298,安琪酵母,高估,2026-08-20
600309,万华化学,中性,2026-08-20
600406,国电南瑞,高估,2026-08-20
600415,小商品城,高估,2026-08-20
600426,华鲁恒升,中性,2026-08-20
600436,片仔癀,高估,2026-08-20
600486,扬农化工,高估,2026-08-20
600519,贵州茅台,高估,2026-08-20
600563,法拉电子,高估,2026-08-20
600570,恒生电子,高估,2026-08-20
600600,青岛啤酒,较高估,2026-08-20
600660,福耀玻璃,中性,2026-08-20
600690,海尔智家,低估,2026-08-20
600750,华润江中,高估,2026-08-20
600809,山西汾酒,较低估,2026-08-20
600862,中航高科,高估,2026-08-20
600885,宏发股份,高估,2026-08-20
600887,伊利股份,中性,2026-08-20
600900,长江电力,中性,2026-08-20
600919,江苏银行,较低估,2026-08-20
600938,中国海油,较低估,2026-08-20
600970,中材国际,低估,2026-08-20
600988,赤峰黄金,高估,2026-08-20
600989,宝丰能源,较低估,2026-08-20
600993,马应龙,高估,2026-08-20
601088,中国神华,高估,2026-08-20
601100,恒立液压,高估,2026-08-20
601138,工业富联,高估,2026-08-20
601225,陕西煤业,较低估,2026-08-20
601288,农业银行,中性,2026-08-20
601398,工商银行,中性,2026-08-20
601838,成都银行,较低估,2026-08-20
601899,紫金矿业,较低估,2026-08-20
601939,建设银行,中性,2026-08-20
601958,金钼股份,高估,2026-08-20
601965,中国汽研,中性,2026-08-20
603067,振华股份,高估,2026-08-20
603129,春风动力,高估,2026-08-20
603156,养元饮品,高估,2026-08-20
603195,公牛集团,较高估,2026-08-20
603259,药明康德,高估,2026-08-20
603279,景津装备,较低估,2026-08-20
603288,海天味业,高估,2026-08-20
603369,今世缘,较低估,2026-08-20
603501,豪威集团,高估,2026-08-20
603505,金石资源,高估,2026-08-20
603508,思维列控,高估,2026-08-20
603529,爱玛科技,低估,2026-08-20
603556,海兴电力,中性,2026-08-20
603605,珀莱雅,较低估,2026-08-20
603606,东方电缆,高估,2026-08-20
603806,福斯特,高估,2026-08-20
603993,洛阳钼业,高估,2026-08-20
605305,中际联合,较低估,2026-08-20
605499,东鹏饮料,低估,2026-08-20
688008,澜起科技,高估,2026-08-20
688012,中微公司,高估,2026-08-20
688018,乐鑫科技,高估,2026-08-20
688019,安集科技,高估,2026-08-20
688041,海光信息,高估,2026-08-20
688072,拓荆科技,高估,2026-08-20
688082,盛美上海,高估,2026-08-20
688100,威胜信息,较高估,2026-08-20
688111,金山办公,高估,2026-08-20
688120,华海清科,高估,2026-08-20
688122,西部超导,高估,2026-08-20
688188,柏楚电子,高估,2026-08-20
688190,云路股份,高估,2026-08-20
688200,华峰测控,高估,2026-08-20
688208,道通科技,较高估,2026-08-20
688235,百济神州,无法估值,2026-08-20
688256,寒武纪,无法估值,2026-08-20
688271,联影医疗,高估,2026-08-20
688278,特宝生物,高估,2026-08-20
688281,华秦科技,高估,2026-08-20
688300,联瑞新材,高估,2026-08-20
688301,奕瑞科技,高估,2026-08-20
688516,奥特维,低估,2026-08-20
688563,航材股份,高估,2026-08-20
688617,惠泰医疗,高估,2026-08-20
688630,芯碁微装,高估,2026-08-20
688692,达梦数据,高估,2026-08-20
688708,佳驰科技,高估,2026-08-20
688775,影石创新,高估,2026-08-20
688777,中控技术,高估,2026-08-20
688981,中芯国际,无法估值,2026-08-20
689009,九号公司,高估,2026-08-20
920394,民士达,高估,2026-08-20
920982,锦波生物,中性,2026-08-20
