security_code,security_name,quality_tier,report_date,notice_date,available_at,status,reason,eps_ttm,roe_ttm,roe_source,bps,eps0,roe0,roe_anchor,roe_trend,growth_confirmed,roe_window,roe_efficiency,incremental_roe,payout,g_trailing,g_sustainable,g0,g0_capped,r_mode,rf,erp,beta,r,g_terminal,roe_terminal,intrinsic_value,band_low,band_high,mos,max_buy_price,implied_pe,pe_on_ttm_eps,terminal_share,min_payout
000100,TCL科技,L2,2025-06-30,2025-08-30,2025-08-30,ok,,0.1321,0.0462,weightavg_ttm,2.8540,0.2594,0.0909,0.0909,,,9,0.0752,-0.3486,0.4211,-0.1451,0.0526,0.0526,,market,0.0184,0.0514,1.00,0.0698,0.0184,0.0909,4.2787,3.8508,4.7065,0.20,3.4229,16.49,32.39,0.6798,0.4588
000100,TCL科技,L2,2025-09-30,2025-10-31,2025-10-31,ok,,0.1625,0.0576,weightavg_ttm,2.9292,0.2663,0.0909,0.0909,,,9,0.0752,-0.3486,0.4211,0.3572,0.0526,0.0526,,market,0.0180,0.0514,1.00,0.0694,0.0180,0.0909,4.4202,3.9782,4.8622,0.20,3.5362,16.60,27.20,0.6802,0.4592
000100,TCL科技,L2,2025-12-31,2026-03-28,2026-03-28,ok,,0.2333,0.0798,weightavg_ttm,2.9534,0.2685,0.0909,0.0909,,,9,0.0501,-2.5093,0.5497,1.5855,0.0409,0.0409,,market,0.0178,0.0514,1.00,0.0692,0.0178,0.0909,4.4043,3.9638,4.8447,0.20,3.5234,16.41,18.88,0.6564,0.5752
000100,TCL科技,L2,2026-03-31,2026-04-30,2026-04-30,ok,,0.2480,0.0854,weightavg_ttm,3.0137,0.2739,0.0909,0.0909,,,9,0.0501,-2.5093,0.5497,,0.0409,0.0409,,market,0.0175,0.0514,1.00,0.0689,0.0175,0.0909,4.5129,4.0616,4.9642,0.20,3.6103,16.47,18.20,0.6567,0.5755
000157,中联重科,L2,2024-03-31,2024-04-30,2024-04-30,ok,,0.4400,0.0655,weightavg_ttm,6.5913,0.3460,0.0525,0.0525,,,9,0.1692,-0.0958,0.7217,-0.2532,0.0146,0.0146,,market,0.0230,0.0514,1.00,0.0745,0.0230,0.0525,3.9454,3.5509,4.3399,0.20,3.1563,11.40,8.97,0.5779,0.5614
000157,中联重科,L2,2024-06-30,2024-08-30,2024-08-30,ok,,0.4600,0.0666,weightavg_ttm,6.4350,0.3378,0.0525,0.0525,,,9,0.1692,-0.0958,0.7217,-0.2265,0.0146,0.0146,,market,0.0217,0.0514,1.00,0.0731,0.0217,0.0525,3.9994,3.5995,4.3993,0.20,3.1995,11.84,8.69,0.5838,0.5866
000157,中联重科,L2,2024-09-30,2024-10-31,2024-10-31,ok,,0.4700,0.0668,weightavg_ttm,6.5813,0.3455,0.0525,0.0525,,,9,0.1692,-0.0958,0.7217,-0.1979,0.0146,0.0146,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.0525,4.1165,3.7048,4.5281,0.20,3.2932,11.91,8.76,0.5848,0.5909
000157,中联重科,L2,2024-12-31,2025-03-25,2025-03-25,ok,,0.4100,0.0624,weightavg_ttm,6.5841,0.4109,0.0624,0.0624,,,9,0.2541,-0.8198,0.8253,-0.1750,0.0109,0.0109,,market,0.0172,0.0514,1.00,0.0686,0.0172,0.0624,5.9032,5.3129,6.4935,0.20,4.7226,14.37,14.40,0.5928,0.7251
000157,中联重科,L2,2025-03-31,2025-04-30,2025-04-30,ok,,0.4600,0.0706,weightavg_ttm,6.7240,0.4196,0.0624,0.0624,,,9,0.2541,-0.8198,0.8253,-0.0552,0.0109,0.0109,,market,0.0162,0.0514,1.00,0.0677,0.0162,0.0624,6.1399,5.5260,6.7539,0.20,4.9120,14.63,13.35,0.5954,0.7397
000157,中联重科,L2,2025-06-30,2025-08-30,2025-08-30,ok,,0.4500,0.0721,weightavg_ttm,6.6072,0.4123,0.0624,0.0624,,,9,0.2541,-0.8198,0.8253,0.0843,0.0109,0.0109,,market,0.0184,0.0514,1.00,0.0698,0.0184,0.0624,5.7771,5.1994,6.3548,0.20,4.6217,14.01,12.84,0.5893,0.7055
000157,中联重科,L2,2025-09-30,2025-10-31,2025-10-31,ok,,0.4800,0.0748,weightavg_ttm,6.7440,0.4208,0.0624,0.0624,,,9,0.2541,-0.8198,0.8253,0.1697,0.0109,0.0109,,market,0.0180,0.0514,1.00,0.0694,0.0180,0.0624,5.9485,5.3536,6.5433,0.20,4.7588,14.14,12.39,0.5905,0.7123
000157,中联重科,L2,2025-12-31,2026-03-31,2026-03-31,ok,,0.5600,0.0834,weightavg_ttm,6.6564,0.4267,0.0641,0.0641,,,9,0.1577,-1.9358,0.6110,0.2820,0.0249,0.0249,,market,0.0182,0.0514,1.00,0.0696,0.0182,0.0641,6.0412,5.4371,6.6453,0.20,4.8330,14.16,10.79,0.6306,0.6216
000157,中联重科,L2,2026-03-31,2026-04-29,2026-04-29,ok,,0.5000,0.0742,weightavg_ttm,6.7435,0.4323,0.0641,0.0641,,,9,0.1577,-1.9358,0.6110,0.2516,0.0249,0.0249,,market,0.0182,0.0514,1.00,0.0696,0.0182,0.0641,6.1202,5.5082,6.7322,0.20,4.8962,14.16,12.24,0.6306,0.6216
000333,美的集团,L2,2024-03-31,2024-04-30,2024-04-30,ok,,5.0600,0.2214,weightavg_ttm,24.7495,5.9622,0.2409,0.2409,,,5,0.8121,0.1546,0.5308,0.0629,0.1130,0.1130,,market,0.0230,0.0514,1.00,0.0745,0.0230,0.1045,87.6879,78.9191,96.4567,0.20,70.1503,14.71,17.33,0.8992,0.0000
000333,美的集团,L2,2024-06-30,2024-08-20,2024-08-20,ok,,5.2800,0.2229,weightavg_ttm,23.6095,5.6875,0.2409,0.2409,,,5,0.8121,0.1546,0.5308,0.0864,0.1130,0.1130,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.1029,84.4447,76.0003,92.8892,0.20,67.5558,14.85,15.99,0.9023,0.0000
000333,美的集团,L2,2024-09-30,2024-10-31,2024-10-31,ok,,5.4500,0.2228,weightavg_ttm,27.3080,6.5785,0.2409,0.2409,,,5,0.8121,0.1546,0.5308,0.0957,0.1130,0.1130,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.1029,97.6843,87.9159,107.4527,0.20,78.1474,14.85,17.92,0.9023,0.0000
000333,美的集团,L2,2024-12-31,2025-03-29,2025-03-29,ok,,5.4400,0.2129,weightavg_ttm,28.3113,6.1978,0.2189,0.2223,down,,5,0.7796,0.1302,0.6093,0.1049,0.0855,0.0855,,market,0.0172,0.0514,1.00,0.0686,0.0172,0.0986,91.1668,82.0501,100.2834,0.20,72.9334,14.71,16.76,0.8775,0.0000
000333,美的集团,L2,2025-03-31,2025-04-30,2025-04-30,ok,,5.7700,0.2148,weightavg_ttm,30.0018,6.5679,0.2189,0.2223,down,,5,0.7796,0.1302,0.6093,0.1274,0.0855,0.0855,,market,0.0162,0.0514,1.00,0.0677,0.0162,0.0977,97.1987,87.4788,106.9185,0.20,77.7589,14.80,16.85,0.8802,0.0000
000333,美的集团,L2,2025-06-30,2025-08-30,2025-08-30,ok,,5.8300,0.2038,weightavg_ttm,28.1901,6.1713,0.2189,0.2223,down,,5,0.7796,0.1302,0.6093,0.1396,0.0855,0.0855,,market,0.0184,0.0514,1.00,0.0698,0.0184,0.0998,90.0399,81.0359,99.0439,0.20,72.0319,14.59,15.44,0.8740,0.0000
000333,美的集团,L2,2025-09-30,2025-10-30,2025-10-30,ok,,5.8400,0.1962,weightavg_ttm,28.7080,6.2846,0.2189,0.2223,down,,5,0.7796,0.1302,0.6093,0.1476,0.0855,0.0855,,market,0.0186,0.0514,1.00,0.0700,0.0186,0.1000,91.5568,82.4011,100.7125,0.20,73.2454,14.57,15.68,0.8734,0.0000
000333,美的集团,L2,2025-12-31,2026-03-31,2026-03-31,ok,,5.8000,0.1970,weightavg_ttm,29.3823,6.5258,0.2221,0.2221,,,5,0.7964,0.1416,0.6357,0.1414,0.0809,0.0809,,market,0.0182,0.0514,1.00,0.0696,0.0182,0.0996,94.0524,84.6472,103.4576,0.20,75.2419,14.41,16.22,0.8661,0.0000
000333,美的集团,L2,2026-03-31,2026-04-30,2026-04-30,ok,,5.8500,0.1970,weightavg_ttm,30.5536,6.7860,0.2221,0.2221,,,5,0.7964,0.1416,0.6357,0.1326,0.0809,0.0809,,market,0.0175,0.0514,1.00,0.0689,0.0175,0.0989,98.2530,88.4277,108.0783,0.20,78.6024,14.48,16.80,0.8681,0.0000
000338,潍柴动力,L2,2024-03-31,2024-04-30,2024-04-30,ok,,1.1300,0.1240,weightavg_ttm,9.4919,1.6079,0.1694,0.1694,,,9,0.1853,-0.0324,0.2409,-0.0246,0.1286,0.1286,,market,0.0230,0.0514,1.00,0.0745,0.0230,0.1045,26.0938,23.4844,28.7031,0.20,20.8750,16.23,23.09,0.9175,0.0401
000338,潍柴动力,L2,2024-06-30,2024-08-23,2024-08-23,ok,,1.2700,0.1369,weightavg_ttm,9.6237,1.6302,0.1694,0.1694,,,9,0.1853,-0.0324,0.2409,-0.0012,0.1286,0.1286,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.1029,26.7738,24.0964,29.4512,0.20,21.4191,16.42,21.08,0.9246,0.0346
000338,潍柴动力,L2,2024-09-30,2024-10-31,2024-10-31,ok,,1.2600,0.1319,weightavg_ttm,9.9016,1.6773,0.1694,0.1694,,,9,0.1853,-0.0324,0.2409,0.0234,0.1286,0.1286,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.1029,27.5509,24.7958,30.3060,0.20,22.0407,16.43,21.87,0.9246,0.0345
000338,潍柴动力,L2,2024-12-31,2025-03-28,2025-03-28,ok,,1.3100,0.1369,weightavg_ttm,9.9348,1.6830,0.1694,0.1694,,,9,0.1582,0.0435,0.2746,0.0630,0.1229,0.1229,,market,0.0172,0.0514,1.00,0.0686,0.0172,0.0986,28.2786,25.4507,31.1064,0.20,22.6229,16.80,21.59,0.9340,0.0505
000338,潍柴动力,L2,2025-03-31,2025-04-30,2025-04-30,ok,,1.3200,0.1356,weightavg_ttm,10.2538,1.7370,0.1694,0.1694,,,9,0.1582,0.0435,0.2746,0.1669,0.1229,0.1229,,market,0.0162,0.0514,1.00,0.0677,0.0162,0.0977,29.4022,26.4620,32.3424,0.20,23.5217,16.93,22.27,0.9384,0.0473
000338,潍柴动力,L2,2025-06-30,2025-08-30,2025-08-30,ok,,1.2800,0.1283,weightavg_ttm,10.2725,1.7402,0.1694,0.1694,,,9,0.1582,0.0435,0.2746,0.2752,0.1229,0.1229,,market,0.0184,0.0514,1.00,0.0698,0.0184,0.0998,28.9536,26.0582,31.8489,0.20,23.1629,16.64,22.62,0.9280,0.0550
000338,潍柴动力,L2,2025-09-30,2025-10-31,2025-10-31,ok,,1.3700,0.1337,weightavg_ttm,10.7936,1.8284,0.1694,0.1694,,,9,0.1582,0.0435,0.2746,0.3580,0.1229,0.1229,,market,0.0180,0.0514,1.00,0.0694,0.0180,0.0994,30.5259,27.4733,33.5785,0.20,24.4208,16.70,22.28,0.9301,0.0534
000338,潍柴动力,L2,2025-12-31,2026-03-27,2026-03-27,ok,,1.2700,0.1208,weightavg_ttm,10.6948,1.8117,0.1694,0.1694,,,9,0.3005,0.0575,0.2804,0.3062,0.1219,0.1219,,market,0.0178,0.0514,1.00,0.0692,0.0178,0.0992,30.2347,27.2112,33.2581,0.20,24.1877,16.69,23.81,0.9291,0.0581
000338,潍柴动力,L2,2026-03-31,2026-04-30,2026-04-30,ok,,1.3200,0.1227,weightavg_ttm,10.9460,1.8543,0.1694,0.1694,,,9,0.3005,0.0575,0.2804,0.2595,0.1219,0.1219,,market,0.0175,0.0514,1.00,0.0689,0.0175,0.0989,31.0144,27.9130,34.1158,0.20,24.8115,16.73,23.50,0.9305,0.0571
000403,派林生物,L2,2024-03-31,2024-04-27,2024-04-27,ok,,0.9329,0.0939,weightavg_ttm,10.3052,0.9172,0.0890,0.0890,,,9,0.1692,0.0773,0.1463,0.4608,0.0760,0.0760,,market,0.0229,0.0514,1.00,0.0743,0.0229,0.0890,14.2669,12.8402,15.6936,0.20,11.4135,15.56,15.29,0.7316,0.2059
000403,派林生物,L2,2024-06-30,2024-08-28,2024-08-28,ok,,0.9842,0.1090,weightavg_ttm,10.3895,0.9247,0.0890,0.0890,,,9,0.1692,0.0773,0.1463,0.3860,0.0760,0.0760,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.0890,14.7419,13.2677,16.2161,0.20,11.7935,15.94,14.98,0.7322,0.2075
000403,派林生物,L2,2024-09-30,2024-10-28,2024-10-28,ok,,0.9640,0.1101,weightavg_ttm,10.6838,0.9509,0.0890,0.0890,,,9,0.1692,0.0773,0.1463,0.2899,0.0760,0.0760,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.0890,15.1532,13.6379,16.6685,0.20,12.1226,15.94,15.72,0.7322,0.2075
000403,派林生物,L2,2024-12-31,2025-04-24,2025-04-24,ok,,0.7800,0.0965,weightavg_ttm,10.8397,0.9647,0.0890,0.0890,,,9,0.0502,0.0451,0.2622,0.2398,0.0657,0.0657,,market,0.0181,0.0514,1.00,0.0696,0.0181,0.0890,16.0925,14.4833,17.7018,0.20,12.8740,16.68,20.63,0.7102,0.3156
000403,派林生物,L2,2025-03-31,2025-04-24,2025-04-24,ok,,0.7000,0.0914,weightavg_ttm,10.9616,0.9756,0.0890,0.0890,,,9,0.0502,0.0451,0.2622,0.1740,0.0657,0.0657,,market,0.0181,0.0514,1.00,0.0696,0.0181,0.0890,16.2734,14.6461,17.9008,0.20,13.0188,16.68,23.25,0.7102,0.3156
000403,派林生物,L2,2025-06-30,2025-08-22,2025-08-22,ok,,0.6900,0.0819,weightavg_ttm,8.3171,0.7402,0.0890,0.0890,,,9,0.0502,0.0451,0.2622,0.1447,0.0657,0.0657,,market,0.0170,0.0514,1.00,0.0685,0.0170,0.0890,12.5661,11.3095,13.8227,0.20,10.0529,16.98,18.21,0.7109,0.3168
000403,派林生物,L2,2025-09-30,2025-10-29,2025-10-29,ok,,0.5900,0.0701,weightavg_ttm,8.4448,0.7516,0.0890,0.0890,,,9,0.0502,0.0451,0.2622,0.0863,0.0657,0.0657,,market,0.0186,0.0514,1.00,0.0700,0.0186,0.0890,12.4402,11.1962,13.6842,0.20,9.9521,16.55,21.09,0.7099,0.3151
000403,派林生物,L2,2025-12-31,2026-04-29,2026-04-29,ok,,0.4400,0.0524,weightavg_ttm,8.5102,0.7574,0.0890,0.0890,,,9,0.0308,0.0073,0.2289,-0.1062,0.0686,0.0686,,market,0.0182,0.0514,1.00,0.0696,0.0182,0.0890,12.6692,11.4023,13.9362,0.20,10.1354,16.73,28.79,0.7167,0.2856
000403,派林生物,L2,2026-03-31,2026-04-29,2026-04-29,ok,,0.3700,0.0440,weightavg_ttm,8.5343,0.7596,0.0890,0.0890,,,9,0.0308,0.0073,0.2289,-0.1309,0.0686,0.0686,,market,0.0182,0.0514,1.00,0.0696,0.0182,0.0890,12.7052,11.4347,13.9757,0.20,10.1642,16.73,34.34,0.7167,0.2856
000408,藏格矿业,L2,2024-03-31,2024-04-30,2024-04-30,ok,,1.9400,0.2428,weightavg_ttm,8.6063,1.5913,0.1849,0.1849,,,9,0.1389,0.4725,0.2120,0.5915,0.1457,0.1457,,market,0.0230,0.0514,1.00,0.0745,0.0230,0.1045,26.3928,23.7535,29.0321,0.20,21.1142,16.59,13.60,0.9631,0.0000
000408,藏格矿业,L2,2024-06-30,2024-08-10,2024-08-10,ok,,1.7157,0.2130,weightavg_ttm,8.3053,1.5356,0.1849,0.1849,,,9,0.1389,0.4725,0.2120,0.4883,0.1457,0.1457,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.1029,25.7731,23.1958,28.3504,0.20,20.6184,16.78,15.02,0.9699,0.0000
000408,藏格矿业,L2,2024-09-30,2024-10-26,2024-10-26,ok,,1.4792,0.1794,weightavg_ttm,8.3615,1.5460,0.1849,0.1849,,,9,0.1389,0.4725,0.2120,0.3198,0.1457,0.1457,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.1029,25.9426,23.3484,28.5369,0.20,20.7541,16.78,17.54,0.9698,0.0000
000408,藏格矿业,L2,2024-12-31,2025-03-29,2025-03-29,ok,,1.6400,0.1940,weightavg_ttm,8.7729,1.6221,0.1849,0.1849,,,9,0.0224,0.3186,0.2120,0.2181,0.1457,0.1457,,market,0.0172,0.0514,1.00,0.0686,0.0172,0.0986,28.1550,25.3395,30.9705,0.20,22.5240,17.36,17.17,0.9894,0.0000
000408,藏格矿业,L2,2025-03-31,2025-04-19,2025-04-19,ok,,1.7800,0.2070,weightavg_ttm,9.2133,1.7035,0.1849,0.1849,,,9,0.0224,0.3186,0.2120,0.1206,0.1457,0.1457,,market,0.0181,0.0514,1.00,0.0696,0.0181,0.0996,29.3467,26.4120,32.2814,0.20,23.4774,17.23,16.49,0.9850,0.0000
000408,藏格矿业,L2,2025-06-30,2025-08-02,2025-08-02,ok,,1.9668,0.2183,weightavg_ttm,10.0134,1.8515,0.1849,0.1849,,,9,0.0224,0.3186,0.2120,-0.0300,0.1457,0.1457,,market,0.0170,0.0514,1.00,0.0685,0.0170,0.0985,32.1630,28.9467,35.3793,0.20,25.7304,17.37,16.35,0.9899,0.0000
000408,藏格矿业,L2,2025-09-30,2025-10-17,2025-10-17,ok,,2.2072,0.2372,weightavg_ttm,9.6231,1.7793,0.1849,0.1849,,,9,0.0224,0.3186,0.2120,-0.1011,0.1457,0.1457,,market,0.0186,0.0514,1.00,0.0700,0.0186,0.1000,30.5404,27.4864,33.5944,0.20,24.4323,17.16,13.84,0.9829,0.0000
000408,藏格矿业,L2,2025-12-31,2026-03-14,2026-03-14,ok,,2.4600,0.2471,weightavg_ttm,10.3447,1.9127,0.1849,0.1849,,,9,0.0630,0.3118,0.3256,-0.1201,0.1247,0.1247,,market,0.0178,0.0514,1.00,0.0692,0.0178,0.0992,31.6659,28.4993,34.8325,0.20,25.3327,16.56,12.87,0.9476,0.0189
000408,藏格矿业,L2,2026-03-31,2026-04-18,2026-04-18,ok,,2.9800,0.2868,weightavg_ttm,11.2363,2.0776,0.1849,0.1849,,,9,0.0630,0.3118,0.3256,-0.0670,0.1247,0.1247,,market,0.0182,0.0514,1.00,0.0696,0.0182,0.0996,34.2793,30.8514,37.7073,0.20,27.4235,16.50,11.50,0.9455,0.0255
000408,藏格矿业,L2,2026-06-30,2026-08-11,2026-08-11,ok,,3.6274,0.3363,weightavg_ttm,10.9609,2.0267,0.1849,0.1849,,,9,0.0630,0.3118,0.3256,0.0250,0.1247,0.1247,,market,0.0171,0.0514,1.00,0.0685,0.0171,0.0985,33.7263,30.3537,37.0990,0.20,26.9811,16.64,9.30,0.9507,0.0087
000423,东阿阿胶,L2,2024-03-31,2024-04-26,2024-04-26,ok,,1.9811,0.1217,weightavg_ttm,17.0756,1.9005,0.1113,0.1113,,,9,0.3078,1.7987,0.9804,0.8896,0.0022,0.0022,,market,0.0229,0.0514,1.00,0.0743,0.0229,0.1043,27.7905,25.0114,30.5695,0.20,22.2324,14.62,14.03,0.5930,0.7169
000423,东阿阿胶,L2,2024-06-30,2024-08-22,2024-08-22,ok,,2.1142,0.1276,weightavg_ttm,15.8935,1.7689,0.1113,0.1113,,,9,0.3078,1.7987,0.9804,0.6990,0.0022,0.0022,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.1029,26.0875,23.4787,28.6962,0.20,20.8700,14.75,12.34,0.5985,0.7127
000423,东阿阿胶,L2,2024-09-30,2024-10-31,2024-10-31,ok,,2.3664,0.1415,weightavg_ttm,15.3917,1.7131,0.1113,0.1113,,,9,0.3078,1.7987,0.9804,0.6079,0.0022,0.0022,,market,0.0215,0.0514,1.00,0.0729,0.0215,0.1029,25.2666,22.7399,27.7932,0.20,20.2133,14.75,10.68,0.5986,0.7127
000423,东阿阿胶,L2,2024-12-31,2025-03-18,2025-03-18,ok,,2.4200,0.1456,weightavg_ttm,16.0190,1.7829,0.1113,0.1113,,,9,0.2025,2.0621,0.8321,0.5234,0.0187,0.0187,,market,0.0172,0.0514,1.00,0.0686,0.0172,0.0986,27.7608,24.9847,30.5369,0.20,22.2086,15.57,11.47,0.6450,0.6968
000423,东阿阿胶,L2,2025-03-31,2025-04-28,2025-04-28,ok,,2.5319,0.1534,weightavg_ttm,16.6701,1.8554,0.1113,0.1113,,,9,0.2025,2.0621,0.8321,0.4887,0.0187,0.0187,,market,0.0181,0.0514,1.00,0.0696,0.0181,0.0996,28.7074,25.8367,31.5782,0.20,22.9659,15.47,11.34,0.6409,0.7008
000423,东阿阿胶,L2,2025-06-30,2025-08-22,2025-08-22,ok,,2.5409,0.1559,weightavg_ttm,16.0103,1.7819,0.1113,0.1113,,,9,0.2025,2.0621,0.8321,0.3979,0.0187,0.0187,,market,0.0170,0.0514,1.00,0.0685,0.0170,0.0985,27.7652,24.9887,30.5417,0.20,22.2122,15.58,10.93,0.6455,0.6963
000423,东阿阿胶,L2,2025-09-30,2025-10-25,2025-10-25,ok,,2.6048,0.1613,weightavg_ttm,15.4476,1.7193,0.1113,0.1113,,,9,0.2025,2.0621,0.8321,0.3705,0.0187,0.0187,,market,0.0186,0.0514,1.00,0.0700,0.0186,0.1000,26.5211,23.8689,29.1732,0.20,21.2168,15.43,10.18,0.6389,0.7027
000423,东阿阿胶,L2,2025-12-31,2026-03-20,2026-03-20,ok,,2.7000,0.1666,weightavg_ttm,16.0507,1.7864,0.1113,0.1113,,,9,0.1220,2.5189,0.6848,0.3063,0.0351,0.0351,,market,0.0178,0.0514,1.00,0.0692,0.0178,0.0992,28.4701,25.6231,31.3171,0.20,22.7761,15.94,10.54,0.6720,0.5982
000423,东阿阿胶,L2,2026-03-31,2026-04-25,2026-04-25,ok,,2.7473,0.1694,weightavg_ttm,16.7596,1.8653,0.1113,0.1113,,,9,0.1220,2.5189,0.6848,0.2547,0.0351,0.0351,,market,0.0182,0.0514,1.00,0.0696,0.0182,0.0996,29.6454,26.6809,32.6100,0.20,23.7163,15.89,10.79,0.6702,0.6014
