security_code,security_name,before_commit,after_commit,old_v,new_v,change_pct,direction,old_report_date,new_report_date,old_available_at,new_available_at,same_report_and_available_at
002475,立讯精密,318d5ed0^,318d5ed0,32.5651,34.3671,5.5335313,higher,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
002532,天山铝业,318d5ed0^,318d5ed0,16.3509,15.391,-5.87062486,lower,2026-06-30,2026-06-30,2026-08-19,2026-08-19,True
002568,百润股份,318d5ed0^,318d5ed0,8.5276,8.5276,0.0,unchanged,2026-06-30,2026-06-30,2026-08-05,2026-08-05,True
002594,比亚迪,318d5ed0^,318d5ed0,57.4053,72.8036,26.82382986,higher,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
002595,豪迈科技,318d5ed0^,318d5ed0,27.5321,24.4245,-11.28718841,lower,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
002648,卫星化学,318d5ed0^,318d5ed0,30.4947,30.4947,0.0,unchanged,2026-06-30,2026-06-30,2026-08-15,2026-08-15,True
002690,美亚光电,318d5ed0^,318d5ed0,7.1385,7.1385,0.0,unchanged,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
002714,牧原股份,318d5ed0^,318d5ed0,39.2927,39.1125,-0.45860936,lower,2026-06-30,2026-06-30,2026-08-21,2026-08-21,True
002916,深南电路,318d5ed0^,318d5ed0,89.4372,89.4372,0.0,unchanged,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
002920,德赛西威,318d5ed0^,318d5ed0,62.8025,62.9973,0.31017873,higher,2026-06-30,2026-06-30,2026-08-14,2026-08-14,True
002938,鹏鼎控股,318d5ed0^,318d5ed0,20.0281,20.7279,3.4940908,higher,2026-06-30,2026-06-30,2026-08-12,2026-08-12,True
300015,爱尔眼科,318d5ed0^,318d5ed0,4.4037,4.4037,0.0,unchanged,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
300033,同花顺,318d5ed0^,318d5ed0,44.6249,44.6249,0.0,unchanged,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
300054,鼎龙股份,318d5ed0^,318d5ed0,9.3309,9.3309,0.0,unchanged,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
300059,东方财富,318d5ed0^,318d5ed0,25.9638,25.9638,0.0,unchanged,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
300124,汇川技术,318d5ed0^,318d5ed0,19.3314,20.181,4.39492225,higher,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
300274,阳光电源,318d5ed0^,318d5ed0,76.5943,84.5652,10.40664906,higher,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
300308,中际旭创,318d5ed0^,318d5ed0,88.337,89.5193,1.33839727,higher,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
300316,晶盛机电,318d5ed0^,318d5ed0,25.128,25.128,0.0,unchanged,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
300357,我武生物,318d5ed0^,318d5ed0,8.7703,8.8601,1.02391024,higher,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
300394,天孚通信,318d5ed0^,318d5ed0,17.8419,16.3218,-8.51983253,lower,2026-06-30,2026-06-30,2026-08-19,2026-08-19,True
300395,菲利华,318d5ed0^,318d5ed0,9.8157,9.8157,0.0,unchanged,2026-06-30,2026-06-30,2026-08-21,2026-08-21,True
300408,三环集团,318d5ed0^,318d5ed0,20.0524,20.2186,0.82882847,higher,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
300415,伊之密,318d5ed0^,318d5ed0,19.1484,18.6604,-2.5485158,lower,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
300470,中密控股,318d5ed0^,318d5ed0,18.7697,18.6088,-0.85723267,lower,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
300487,蓝晓科技,318d5ed0^,318d5ed0,22.3231,20.7249,-7.1593999,lower,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
