trade_date,security_code,security_name,exchange,quality_tier,quality_tier_label,quality_score,pool_layer,fair_price_low,fair_price_high,band_position,margin_of_safety,model_intrinsic_value,model_band_source,model_pv,hold_intrinsic_value,hold_band_source,hold_pv,strategy_tag,total_market_cap_bn,signal_state,review_frozen,note,gap_trading_days,gap_return,gap_max_vol_ratio,gap_max_vol_day,close,mark_close,mark_date,tradable,adjustment_basis,amount,ma20,ma60,amount_ma20,data_source,screened_at_utc
2026-09-15,600276,恒瑞医药,SSE,L2,L2,73.5,core,15.66,19.15,越带顶+125%,,,,,,,,M-管线/研发资产型,296.7490,ok,,,,,,,43.13,43.13,2026-09-15,True,2026-09-15,1625245775.0,46.1615,51.3202,3585417806.35,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600276&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:46+00:00
2026-09-15,600309,万华化学,SSE,L2,L2,72.7,core,59.24,72.41,越带顶+1%,,,,,,,,H-成本曲线周期型,246.9000,ok,,,,,,,72.99,72.99,2026-09-15,True,2026-09-15,1350643455.0,74.959,72.7375,2497263209.05,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600309,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:47+00:00
2026-09-15,000858,五粮液,SZSE,L2,L2,75.3,core,69.75,85.25,低于带底-0%,0.1119,,,,,,,A-现金流复利型,276.2150,ok,,,,,,,69.7,69.7,2026-09-15,True,2026-09-15,674005970.0,71.1665,72.6379,1599724412.0,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000858,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:48+00:00
2026-09-15,600809,山西汾酒,SSE,L1,L1,78.3,core,71.17,86.98,越带顶+29%,,,,,,,,A-现金流复利型,145.2000,ok,,,,,,,112.28,112.28,2026-09-15,True,2026-09-15,322052724.0,117.766,114.6905,668243759.5,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600809,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:48+00:00
2026-09-15,000568,泸州老窖,SZSE,L2,L2,80.7,core,80.13,97.93,低于带底-10%,0.2365,,,,,,,A-现金流复利型,113.1890,ok,,,,,,,72.0,72.0,2026-09-15,True,2026-09-15,576000000.0,77.777,78.6799,772813594.25,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000568,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:53+00:00
2026-09-15,600132,重庆啤酒,SSE,L2,L2,73.1,core,16.00,19.56,越带顶+98%,,,,,,,,A-现金流复利型,19.2180,ok,,,,,,,38.65,38.65,2026-09-15,True,2026-09-15,68781540.0,39.807,42.2342,131455600.95,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600132,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:48+00:00
2026-09-15,600600,青岛啤酒,SSE,L2,L2,74.4,core,37.72,46.10,越带顶+10%,,,,,,,,A-现金流复利型,70.0920,ok,,,,,,,50.76,50.76,2026-09-15,True,2026-09-15,93574288.0,51.0475,52.102,184967051.85,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600600&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:47+00:00
2026-09-15,000423,东阿阿胶,SZSE,L2,L2,75.2,core,28.98,35.42,越带顶+30%,,,,,,,,A-现金流复利型,29.8860,ok,,,,,,,46.11,46.11,2026-09-15,True,2026-09-15,152642544.0,47.4416,48.415,285756979.5,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000423,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:48+00:00
2026-09-15,000538,云南白药,SZSE,L1,L1,74.9,core,32.36,39.55,越带顶+28%,,,,,,,,A-现金流复利型,90.0520,ok,,,,,,,50.74,50.74,2026-09-15,True,2026-09-15,246692806.0,50.335,50.2387,362396376.3,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000538,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:48+00:00
2026-09-15,000999,华润三九,SZSE,L2,L2,75.3,core,16.03,19.59,越带顶+23%,,,,,,,,A-现金流复利型,41.1060,ok,,,,,,,24.12,24.12,2026-09-15,True,2026-09-15,106572851.49,24.4345,24.541,217538586.42,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.000999&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:47+00:00
