security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
002128,电投能源,2019-03-26,2019-08-06,133,6,1,64208.00,56808.00,0.00,-0.115250,0.221125,0.221125,7.9837,60,0.5228,0.9547,17.0058,15.8885,18.1231,跌破建仓日MA60止损
002466,天齐锂业,2019-04-03,2019-04-25,22,3,1,791573.00,698460.00,0.00,-0.117630,0.121268,0.127301,33.3448,60,0.3670,1.7309,101.7260,95.0426,108.4094,跌破建仓日MA60止损
000651,格力电器,2019-06-12,2019-06-13,1,1,1,126672.00,123048.00,0.00,-0.028609,0.000000,0.000000,52.5213,60,0.7061,0.4476,76.4050,71.3852,81.4248,跌破建仓日MA60止损
600016,,2019-07-26,2019-08-05,10,2,1,2416.00,2340.00,0.00,-0.031457,0.036244,0.036244,5.9238,60,0.9163,0.0931,6.6024,6.1686,7.0362,跌破建仓日MA60止损
600066,宇通客车,2019-09-02,2019-09-19,17,1,1,5784.00,5764.00,0.00,-0.003458,0.078645,0.078645,13.2520,60,0.9239,0.0876,15.7271,14.6938,16.7604,换仓：让位给空间更大的002128
601225,陕西煤业,2019-09-04,2019-09-23,19,4,1,429896.00,414696.00,0.00,-0.035357,0.040000,0.040353,8.9488,60,0.5171,0.9255,17.8498,16.6771,19.0225,跌破建仓日MA60止损
600016,,2019-09-26,2019-11-01,36,2,1,1233.00,1236.00,0.00,0.002433,0.028708,0.045251,5.9566,60,0.8839,0.1257,6.8218,6.3736,7.2700,换仓：让位给空间更大的600690
002466,天齐锂业,2019-09-26,2020-03-23,179,24,1,3611653.00,3045966.00,0.00,-0.156628,0.452163,0.453738,20.9368,60,0.3025,2.4007,95.4905,89.2168,101.7642,跌破建仓日MA60止损
002128,电投能源,2019-11-04,2019-11-15,11,2,1,3230.00,3160.00,0.00,-0.021672,0.040097,0.040097,7.9093,60,0.4259,1.3478,18.8995,17.6578,20.1412,跌破建仓日MA60止损
002128,电投能源,2019-11-26,2020-01-23,58,15,1,318673.00,305664.00,0.00,-0.040822,0.100565,0.100565,8.0577,60,0.4508,1.2473,18.8995,17.6578,20.1412,跌破建仓日MA60止损
002128,电投能源,2020-05-15,2025-12-04,2029,85,12,72816930.00,158704013.00,12737202.00,1.179493,0.385809,0.423957,4.2462,60,0.3192,2.1445,24.7471,23.1212,26.3730,涨幅≥125%清空
600176,中国巨石,2020-06-16,2020-08-14,59,1,1,940.00,1284.00,0.00,0.365957,0.088426,0.088426,8.5434,60,0.7960,0.2389,11.6454,10.8803,12.4105,换仓：让位给空间更大的600016
