security_code,exchange,last_trade_date,status,official_name,official_stop_date,source,retrieved_at_utc
000549,sz,2006-12-18,delisted,S&nbsp;湘火炬,2007-04-27,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000556,sz,2002-04-26,delisted,PT&nbsp;南&nbsp;洋,2002-06-03,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000562,sz,2014-12-09,delisted,宏源证券,2015-01-26,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000569,sz,2009-04-23,delisted,长城股份,2009-05-06,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000578,sz,2011-02-18,delisted,盐湖集团,2011-03-22,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000583,sz,2006-04-19,delisted,*ST&nbsp;托普,2007-05-21,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000584,sz,2025-07-10,delisted,工智退,2025-07-11,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000585,sz,2022-05-23,delisted,东电退,2022-05-24,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000587,sz,2023-02-02,delisted,*ST金洲,2023-04-03,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000588,sz,2001-06-01,delisted,PT粤金曼,2001-06-16,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000594,sz,2015-07-10,delisted,国恒退,2015-07-13,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000602,sz,2013-07-18,delisted,金马退市,2013-08-14,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000606,sz,2023-07-05,delisted,顺利退,2023-07-06,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000611,sz,2022-06-27,delisted,天首退,2022-06-28,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000613,sz,2022-06-28,delisted,东海A退,2022-06-29,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000616,sz,2023-06-13,delisted,*ST海投,2023-08-23,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000618,sz,2006-02-10,delisted,吉化退市,2006-02-20,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000621,sz,2004-04-16,delisted,*ST&nbsp;比特,2004-09-27,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000622,sz,2025-07-15,delisted,恒立退,2025-07-16,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000627,sz,2025-08-13,delisted,*ST天茂,2025-09-30,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000638,sz,2026-04-13,delisted,*ST万方,2026-06-03,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000653,sz,2002-04-10,delisted,ST&nbsp;九&nbsp;州,2002-09-13,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000658,sz,2002-04-12,delisted,ST&nbsp;海&nbsp;洋,2002-09-20,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000660,sz,2004-04-21,delisted,*ST&nbsp;南华,2004-09-13,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000662,sz,2021-04-09,delisted,天夏退,2021-04-12,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000666,sz,2023-08-31,delisted,经纬纺机,2023-10-26,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000667,sz,2023-05-25,delisted,ST美置,2023-07-14,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000671,sz,2023-06-09,delisted,ST阳光城,2023-08-16,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000673,sz,2022-07-01,delisted,当代退,2022-07-04,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000675,sz,2002-04-23,delisted,ST&nbsp;银&nbsp;山,2002-08-20,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000687,sz,2022-06-16,delisted,华讯退,2022-06-17,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000689,sz,2002-04-18,delisted,ST&nbsp;宏&nbsp;业,2002-09-05,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000693,sz,2019-07-08,delisted,华泽退,2019-07-09,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000696,sz,2006-06-09,delisted,,,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000699,sz,2006-04-28,delisted,*ST&nbsp;佳纸,2007-04-04,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000730,sz,2004-03-12,delisted,*ST&nbsp;环保,2004-09-24,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000732,sz,2023-06-02,delisted,ST泰禾,2023-08-04,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000748,sz,2016-10-31,delisted,长城信息,2017-01-18,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000760,sz,2021-07-22,delisted,斯太退,2021-07-23,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000763,sz,2005-12-14,delisted,锦化退市,2006-01-04,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000765,sz,2004-03-08,delisted,*ST&nbsp;华信,2005-07-04,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000769,sz,2005-04-29,delisted,*ST&nbsp;大菲,2005-09-21,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000780,sz,2021-12-16,delisted,ST平能,2022-01-24,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000787,sz,2007-04-27,delisted,*ST&nbsp;创智,2013-02-08,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000805,sz,2006-04-28,delisted,*ST炎黄,2013-03-27,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000806,sz,2023-07-05,delisted,银河退,2023-07-06,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000817,sz,2005-12-14,delisted,辽油退市,2006-01-04,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000827,sz,2005-04-28,delisted,*ST&nbsp;长兴,2005-09-21,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000832,sz,2005-04-29,delisted,*ST&nbsp;龙涤,2006-06-29,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000835,sz,2022-05-20,delisted,长动退,2022-05-23,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000836,sz,2024-06-17,delisted,ST富通,2024-08-12,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000851,sz,2025-09-26,delisted,*ST高鸿,2025-11-11,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000861,sz,2024-08-05,delisted,海印股份,2024-09-18,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000866,sz,2006-04-06,delisted,扬子退市,2006-04-21,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000896,sz,2003-10-28,delisted,,,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000916,sz,2017-12-04,delisted,华北高速,2017-12-25,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000918,sz,2023-05-31,delisted,*ST嘉凯,2023-07-28,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000939,sz,2020-12-16,delisted,凯迪退,2020-12-17,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000956,sz,2006-04-06,delisted,中原退市,2006-04-21,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000961,sz,2024-05-08,delisted,ST中南,2024-07-11,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000971,sz,2024-06-04,delisted,*ST高升,2024-07-24,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000976,sz,2024-07-25,delisted,*ST华铁,2024-08-27,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000979,sz,2018-12-27,delisted,中弘退,2018-12-28,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000982,sz,2024-06-21,delisted,中银绒业,2024-08-12,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
000996,sz,2024-06-27,delisted,中期退,2024-06-28,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002002,sz,2024-01-18,delisted,ST鸿达,2024-03-18,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002013,sz,2023-02-07,delisted,中航机电,2023-03-17,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002018,sz,2019-10-31,delisted,华信退,2019-11-01,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002070,sz,2019-07-08,delisted,众和退,2019-07-09,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002071,sz,2021-05-06,delisted,长城退,2021-05-07,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002087,sz,2024-06-27,delisted,新纺退,2024-06-28,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002089,sz,2024-04-17,delisted,新海退,2024-04-18,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002113,sz,2023-06-12,delisted,*ST天润,2023-08-11,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002118,sz,2023-06-15,delisted,*ST紫鑫,2023-08-04,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002143,sz,2019-11-28,delisted,印纪退,2019-11-29,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002147,sz,2022-06-22,delisted,新光退,2022-06-23,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002220,sz,2020-08-10,delisted,天宝退,2020-08-11,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002231,sz,2026-01-29,delisted,*ST奥维,2026-03-27,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002260,sz,2022-06-16,delisted,德奥退,2022-06-17,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002280,sz,2024-06-26,delisted,ST联络,2024-08-16,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002288,sz,2024-06-26,delisted,*ST超华,2024-08-19,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002308,sz,2024-08-22,delisted,*ST威创,2024-09-27,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002325,sz,2024-06-28,delisted,*ST洪涛,2024-08-15,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002336,sz,2025-07-03,delisted,人乐退,2025-07-04,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002341,sz,2024-07-02,delisted,ST新纶,2024-08-23,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002359,sz,2021-07-22,delisted,北讯退,2021-07-23,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002411,sz,2023-07-11,delisted,必康退,2023-07-12,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002417,sz,2023-07-07,delisted,深南退,2023-07-10,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002433,sz,2024-07-04,delisted,太安退,2024-07-05,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002435,sz,2024-07-01,delisted,ST长康,2024-08-15,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002447,sz,2022-06-24,delisted,晨鑫退,2022-06-27,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002450,sz,2021-05-28,delisted,康得退,2021-05-31,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002464,sz,2022-06-27,delisted,众应退,2022-06-28,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002473,sz,2022-06-21,delisted,圣莱退,2022-06-22,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002477,sz,2019-10-15,delisted,雏鹰退,2019-10-16,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002499,sz,2023-04-17,delisted,科林退,2023-04-18,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002502,sz,2024-07-16,delisted,ST鼎龙,2024-09-05,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002503,sz,2023-05-22,delisted,*ST搜特,2023-08-11,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002504,sz,2023-06-12,delisted,*ST弘高,2023-08-21,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002505,sz,2024-07-02,delisted,鹏都农牧,2024-08-30,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002509,sz,2020-07-17,delisted,天茂退,2020-07-20,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002604,sz,2020-07-14,delisted,龙力退,2020-07-15,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002610,sz,2024-06-18,delisted,ST爱康,2024-08-12,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002618,sz,2022-06-21,delisted,丹邦退,2022-06-22,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002619,sz,2022-03-31,delisted,*ST艾格,2022-04-28,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002621,sz,2024-06-13,delisted,*ST美吉,2024-08-05,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002665,sz,2024-06-27,delisted,ST航高,2024-08-26,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002680,sz,2019-11-26,delisted,长生退,2019-11-27,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002684,sz,2022-06-24,delisted,猛狮退,2022-06-27,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002699,sz,2024-04-25,delisted,*ST美盛,2024-06-05,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002711,sz,2021-07-14,delisted,欧浦退,2021-07-15,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002740,sz,2024-01-19,delisted,*ST爱迪,2024-03-04,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002750,sz,2025-06-26,delisted,龙津退,2025-06-27,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002751,sz,2023-07-12,delisted,易尚退,2023-07-13,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002770,sz,2022-06-22,delisted,科迪退,2022-06-23,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002776,sz,2023-12-26,delisted,*ST柏龙,2024-01-25,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002781,sz,2023-07-04,delisted,奇信退,2023-07-05,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002808,sz,2026-07-13,delisted,恒久退,2026-07-14,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
002898,sz,2026-07-16,delisted,赛隆退,2026-07-17,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300023,sz,2022-06-28,delisted,宝德退,2022-06-29,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300028,sz,2020-07-31,delisted,金亚退,2020-08-03,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300029,sz,2026-07-09,delisted,天龙退,2026-07-10,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300038,sz,2022-06-29,delisted,数知退,2022-06-30,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300064,sz,2022-06-24,delisted,金刚退,2022-06-27,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300089,sz,2023-07-12,delisted,文化退,2023-07-13,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300090,sz,2020-08-24,delisted,盛运退,2020-08-25,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300104,sz,2020-07-20,delisted,乐视退,2020-07-21,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300108,sz,2025-04-23,delisted,*ST吉药,2025-05-29,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300114,sz,2025-02-14,delisted,,,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300116,sz,2024-05-16,delisted,*ST保力,2024-07-25,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300117,sz,2025-03-31,delisted,*ST嘉寓,2025-04-30,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300156,sz,2020-08-24,delisted,神雾退,2020-08-25,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300178,sz,2022-06-21,delisted,腾邦退,2022-06-22,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300186,sz,2015-10-16,delisted,大华农,2015-11-02,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300202,sz,2022-07-01,delisted,聚龙退,2022-07-04,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300208,sz,2025-07-18,delisted,中程退,2025-07-21,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300216,sz,2020-09-15,delisted,千山退,2020-09-16,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300262,sz,2024-06-18,delisted,*ST巴安,2024-08-19,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300273,sz,2023-07-05,delisted,和佳退,2023-07-06,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300280,sz,2025-10-13,delisted,紫天退,2025-10-14,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300282,sz,2024-07-17,delisted,三盛退,2024-07-18,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300297,sz,2023-07-28,delisted,蓝盾退,2023-07-31,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300309,sz,2023-05-29,delisted,吉艾退,2023-05-30,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300312,sz,2022-07-01,delisted,邦讯退,2022-07-04,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300325,sz,2022-06-27,delisted,德威退,2022-06-28,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300330,sz,2023-05-23,delisted,计通退,2023-05-24,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300336,sz,2023-07-04,delisted,新文退,2023-07-05,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300344,sz,2026-04-21,delisted,立方退,2026-04-22,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300356,sz,2023-07-12,delisted,光一退,2023-07-13,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300362,sz,2021-08-27,delisted,天翔退,2021-08-30,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300367,sz,2022-06-29,delisted,网力退,2022-06-30,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300372,sz,2017-08-25,delisted,欣泰退,2017-08-28,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300379,sz,2026-01-21,delisted,东通退,2026-01-22,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300391,sz,2026-04-10,delisted,长药退,2026-04-13,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300392,sz,2023-07-07,delisted,腾信退,2023-07-10,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300431,sz,2020-11-09,delisted,暴风退,2020-11-10,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300495,sz,2024-05-08,delisted,*ST美尚,2024-09-20,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300526,sz,2023-07-11,delisted,中潜退,2023-07-12,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300630,sz,2025-05-21,delisted,普利退,2025-05-22,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300742,sz,2024-07-19,delisted,越博退,2024-07-22,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
300799,sz,2024-07-26,delisted,左江退,2024-07-29,tencent fqkline probe + szse 1793_ssgs tab2,2026-08-11T14:36:20+00:00
