effective_from,effective_to,screen_year,security_code,security_name,source,retrieved
2018-06-11,,2018,002727,一心堂,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,603533,掌阅科技,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,002061,浙江交科,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-06-11,,2018,601949,中国出版,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-07-13,,2018,600596,新安股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,600305,恒顺醋业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,603693,江苏新能,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,300634,彩讯股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,002928,华夏航空,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,603599,广信股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,601375,中原证券,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,600059,古越龙山,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,603013,亚普股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,000913,钱江摩托,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,002428,云南锗业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,002929,润建通信,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,601619,嘉泽新能,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,300602,飞荣达,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,002698,博实股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,600929,湖南盐业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,601677,明泰铝业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,600422,昆药集团,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,603876,鼎胜新材,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,600211,西藏药业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,300725,药石科技,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,603733,仙鹤股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2018-12-17,,2018,300747,锐科激光,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600366,宁波韵升,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600389,江山股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600618,氯碱化工,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600635,大众公用,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600710,苏美达,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600761,安徽合力,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600773,西藏城投,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600850,华东电脑,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,601519,大智慧,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,601606,长城军工,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,603027,千禾味业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,603583,捷昌驱动,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,300723,一品红,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600366,宁波韵升,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600389,江山股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600618,氯碱化工,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600635,大众公用,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600710,苏美达,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600761,安徽合力,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600773,西藏城投,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,600850,华东电脑,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,601519,大智慧,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,601606,长城军工,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,603027,千禾味业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,603583,捷昌驱动,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-06-17,,2019,603713,密尔克卫,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,603236,移远通信,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,603279,景津环保,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,000969,安泰科技,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,002216,三全食品,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,002243,通产丽星,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,002254,泰和新材,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,002332,仙琚制药,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,002832,比音勒芬,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,300327,中颖电子,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,300428,四通新材,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,300638,广和通,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,300702,天宇股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,300761,立华股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,300768,迪普科技,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,300770,新媒股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,300773,拉卡拉,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,300775,三角防务,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
