group,arm,start,swap_sales,distinct_targets,repeated_target_days,multi_source_targets,extra_source_sales,maximum_sources_per_target,gross_swap_sales,extra_gross_swap_sales,extra_sales_for_gap_within_one_percent_of_tranche
U,BASE,2011-11-01,205,205,0,0,0,1,1220201468.6799998,0,0
U,BASE,2012-05-01,208,208,0,0,0,1,1689320941.36,0,0
U,BASE,2012-11-01,195,195,0,0,0,1,2281673358.6800003,0,0
U,BASE,2013-05-01,196,196,0,0,0,1,1288171549.4,0,0
U,BASE,2013-11-01,192,192,0,0,0,1,1177321829.52,0,0
U,BASE,2014-05-01,163,163,0,0,0,1,1360194508.6399999,0,0
U,BASE,2014-11-01,181,181,0,0,0,1,1187508113.12,0,0
U,BASE,2015-05-01,144,144,0,0,0,1,532975376.56,0,0
U,BASE,2015-11-01,146,146,0,0,0,1,519338053.28,0,0
U,BASE,2016-05-01,137,137,0,0,0,1,873662898.52,0,0
U,REPEAT,2009-11-01,224,183,38,38,41,3,1307063493.82,201648141.0,22
U,REPEAT,2010-05-01,240,204,33,33,36,4,2122605814.7,244821957.0,19
U,REPEAT,2010-11-01,208,172,33,33,36,3,1567520900.42,260504010.0,18
U,REPEAT,2011-05-01,253,211,38,38,42,4,1765645823.8600001,233018409.0,21
U,REPEAT,2011-11-01,258,212,38,38,46,5,1809562860.22,233129415.0,21
U,REPEAT,2012-05-01,229,183,42,42,46,3,1843830180.24,366670743.0,27
U,REPEAT,2012-11-01,217,178,35,35,39,4,3109674395.7200003,477521501.0,24
U,REPEAT,2013-05-01,212,178,27,27,34,6,1264896373.72,168320046.0,19
U,REPEAT,2013-11-01,206,174,30,30,32,3,1284781715.8400002,178690520.0,15
U,REPEAT,2014-05-01,170,144,23,23,26,3,1655707306.4,239507390.0,18
U,REPEAT,2014-11-01,188,153,31,31,35,3,1578925298.24,202969492.0,18
U,REPEAT,2015-05-01,149,124,22,22,25,5,644173087.76,94161950.0,13
U,REPEAT,2015-11-01,151,128,22,22,23,3,683924568.0,117952052.0,10
U,REPEAT,2016-05-01,139,119,17,17,20,3,943824027.52,141602908.0,10
