sequence,signal_date,exec_date,target,source,shares,price,candidate_pv,source_pv,funds_before,funds_after,buy_tranche,sell_tranche,gain_source
1,2015-12-28,2015-12-29,600309,600660,20500,15.24,0.7973,1.1299,0.0,312229.4238,313571.321534896,313571.321534896,False
2,2015-12-28,2015-12-29,600309,601398,68000,4.61,0.7973,0.9539,312229.4238,625518.201,313571.321534896,313571.321534896,False
1,2016-03-28,2016-03-29,600031,601288,66700,3.15,0.6591,0.8822,0.0,209976.83595,210360.46363101155,210360.46363101155,False
2,2016-03-28,2016-03-29,600031,002128,27200,7.72,0.6591,0.8395,209976.83595,419832.74571000005,210360.46363101155,210360.46363101155,False
1,2016-03-29,2016-03-30,600031,601288,4600.0,3.2,0.6463,0.8822,130015.30074962454,144722.79354962453,206516.28944857893,206516.28944857893,False
2,2016-03-29,2016-03-30,600031,002128,25900,7.95,0.6463,0.8122,144722.79354962453,350502.1914996245,206516.28944857893,206516.28944857893,False
1,2016-04-08,2016-04-11,000792,601398,200.0,4.29,0.4918,0.8841,21329.17063253699,22181.733052536987,215510.78425729275,215510.78425729275,False
2,2016-04-08,2016-04-11,000792,002128,26400,8.16,0.4918,0.8332,22181.733052536987,237474.32441253698,215510.78425729275,215510.78425729275,False
1,2016-06-27,2016-06-28,601225,601009,21700,9.26,0.7419,0.9513,0.0,200337.20315777778,201193.04212945665,201193.04212945665,False
2,2016-06-27,2016-06-28,601225,600690,13400.0,8.79,0.7419,0.9311,200337.20315777778,318051.3536977778,201193.04212945665,201193.04212945665,False
1,2016-07-27,2016-07-28,000338,002128,28000,8.05,0.6202,0.8121,0.0,224982.50600000002,225491.81879811935,225491.81879811935,False
2,2016-07-27,2016-07-28,000338,601225,38300,5.88,0.6202,0.8023,224982.50600000002,450049.13156,225491.81879811935,225491.81879811935,False
1,2016-09-14,2016-09-19,000651,601009,22000,10.22,0.7484,0.9796,0.0,224213.95871111113,225650.2377244943,225650.2377244943,False
2,2016-09-14,2016-09-19,000651,601988,100.0,3.35,0.7484,0.9502,224213.95871111113,224543.78786111114,225650.2377244943,225650.2377244943,False
3,2016-09-14,2016-09-19,000651,601398,100.0,4.4,0.7484,0.9326,224543.78786111114,224978.56346111113,225650.2377244943,225650.2377244943,False
4,2016-09-14,2016-09-19,000651,601939,43600,5.17,0.7484,0.9321,224978.56346111113,449058.4221411111,225650.2377244943,225650.2377244943,False
1,2016-09-20,2016-09-21,000651,601009,22400,10.26,0.769,0.9951,0.0,229186.02958222223,230104.20221910102,230104.20221910102,False
2,2016-09-20,2016-09-21,000651,601939,16900.0,5.17,0.769,0.9358,229186.02958222223,316048.1520522222,230104.20221910102,230104.20221910102,False
1,2016-09-23,2016-09-26,000651,601009,23100,10.11,0.7488,1.0038,0.0,232885.20665666665,234028.486252491,234028.486252491,False
2,2016-09-23,2016-09-26,000651,601288,400.0,3.12,0.7488,0.9402,232885.20665666665,234125.90217666666,234028.486252491,234028.486252491,False
1,2016-09-27,2016-09-28,000651,601009,22600,10.12,0.7694,0.9873,0.0,228070.26345777776,229468.62139479513,229468.62139479513,False
2,2016-09-27,2016-09-28,000651,601288,200.0,3.13,0.7694,0.9402,228070.26345777776,228690.94419777778,229468.62139479513,229468.62139479513,False
1,2019-05-16,2019-05-17,601225,000651,17400,54.8,0.7408,1.2246,0.0,951948.3528,956091.269129121,956091.269129121,False
2,2019-05-16,2019-05-17,601225,600660,100.0,23.25,0.7408,0.9444,951948.3528,954267.16705,956091.269129121,956091.269129121,False
1,2019-09-25,2019-09-26,002466,600066,24600.0,14.01,0.4047,0.9325,0.0,343210.76594,961816.6466789306,961816.6466789306,False
2,2019-09-25,2019-09-26,002466,601225,1300.0,8.93,0.4047,0.7276,343210.76594,354808.84535,961816.6466789306,961816.6466789306,False
3,2019-09-25,2019-09-26,002466,600585,22800,42.01,0.4047,0.7253,354808.84535,1312052.57027,961816.6466789306,961816.6466789306,False
1,2020-05-28,2020-05-29,601088,600585,22000,56.8,0.5861,0.8016,0.0,1248837.744,1250044.4177804599,1250044.4177804599,False
2,2020-05-28,2020-05-29,601088,000338,95800,13.04,0.5861,0.7797,1248837.744,2497307.71248,1250044.4177804599,1250044.4177804599,False
1,2020-11-13,2020-11-16,002466,601818,300.0,4.01,0.4827,1.0213,1109208.740791753,1110406.127261753,1558831.3630639235,1558831.3630639235,False
2,2020-11-13,2020-11-16,002466,601169,2500.0,4.73,0.4827,0.8456,1110406.127261753,1122159.096511753,1558831.3630639235,1558831.3630639235,False
1,2023-02-15,2023-02-16,600938,601988,953900,3.21,0.5708,0.7457,0.0,3039069.97841,3062053.0123522365,3062053.0123522365,False
2,2023-02-15,2023-02-16,600938,601288,700.0,2.91,0.5708,0.7247,3039069.97841,3041100.93954,3062053.0123522365,3062053.0123522365,False
1,2023-08-29,2023-08-30,000933,601988,1037400,3.76,0.5255,0.8005,0.0,3898244.61936,3900704.2516444195,3900704.2516444195,False
2,2023-08-29,2023-08-30,000933,601288,2400.0,3.48,0.5255,0.7654,3898244.61936,3906542.91984,3900704.2516444195,3900704.2516444195,False
1,2024-01-18,2024-01-19,601166,601988,1086300,3.97,0.6062,0.8249,0.0,4309980.30729,4312882.077117752,4312882.077117752,False
2,2024-01-18,2024-01-19,601166,601939,100.0,6.48,0.6062,0.8,4309980.30729,4310622.97681,4312882.077117752,4312882.077117752,False
1,2024-01-19,2024-01-22,601166,601988,1061700,4.0,0.6086,0.8167,0.0,4244209.452,4246989.7447564555,4246989.7447564555,False
2,2024-01-19,2024-01-22,601166,601288,100.0,3.68,0.6086,0.7904,4244209.452,4244572.264319999,4246989.7447564555,4246989.7447564555,False
1,2024-03-12,2024-03-13,000792,601988,1199500,4.36,0.628,0.858,0.0,5226629.8098,5229869.41379525,5229869.41379525,False
2,2024-03-12,2024-03-13,000792,601825,727800.0,6.25,0.628,0.8405,5226629.8098,9772605.0723,5229869.41379525,5229869.41379525,False
1,2024-04-23,2024-04-24,000792,600938,165400.0,28.68,0.5919,0.7715,0.0,4729225.13588,6408615.661169898,6408615.661169898,False
2,2024-04-23,2024-04-24,000792,601169,100.0,5.64,0.5919,0.7615,4729225.13588,4729783.84824,6408615.661169898,6408615.661169898,False
1,2024-10-25,2024-10-28,002466,601288,1016700.0,4.76,0.3975,0.9042,220944.06753885746,5057481.668418857,6189146.351836899,6189146.351836899,False
2,2024-10-25,2024-10-28,002466,601988,200.0,4.88,0.3975,0.8997,5057481.668418857,5058452.170658858,6189146.351836899,6189146.351836899,False
3,2024-10-25,2024-10-28,002466,601398,813600.0,6.07,0.3975,0.8652,5058452.170658858,9993976.333938858,6189146.351836899,6189146.351836899,False
1,2024-10-28,2024-10-29,002236,000651,134000,46.59,0.6817,0.8968,0.0,6230421.9334,6245367.919692079,6245367.919692079,False
2,2024-10-28,2024-10-29,002236,601328,863800,7.23,0.6817,0.8386,6230421.9334,12468953.81626,6245367.919692079,6245367.919692079,False
1,2024-10-29,2024-10-30,002236,002807,100.0,4.01,0.6715,0.9302,0.0,395.79549,6114986.970995673,6114986.970995673,False
2,2024-10-29,2024-10-30,002236,000651,74300.0,45.78,0.6715,0.8935,395.79549,3399774.90855,6114986.970995673,6114986.970995673,False
3,2024-10-29,2024-10-30,002236,601328,469000.0,7.21,0.6715,0.8351,3399774.90855,6779202.19965,6114986.970995673,6114986.970995673,False
1,2024-11-04,2024-11-05,000933,601825,286000.0,7.85,0.3722,0.9179,2807601.961493209,5051332.450493209,6467049.985207182,6467049.985207182,False
2,2024-11-04,2024-11-05,000933,601166,351400,18.4,0.3722,0.7618,5051332.450493209,11504235.536893208,6467049.985207182,6467049.985207182,False
1,2025-01-20,2025-01-21,000933,601169,200.0,5.89,0.3649,0.7113,0.0,1169.99922,5809430.607182611,5809430.607182611,False
2,2025-01-20,2025-01-21,000933,601187,300.0,5.38,0.3649,0.6771,1169.99922,2773.67608,5809430.607182611,5809430.607182611,False
3,2025-01-20,2025-01-21,000933,000001,512700,11.33,0.3649,0.614,2773.67608,5794487.85257,5809430.607182611,5809430.607182611,False
1,2025-01-21,2025-01-22,000933,000001,509600,11.09,0.3694,0.6092,0.0,5635480.446959999,5652183.65455906,5652183.65455906,False
2,2025-01-21,2025-01-22,000933,002128,293900,19.23,0.3694,0.5896,5635480.446959999,11283729.911789998,5652183.65455906,5652183.65455906,False
1,2025-02-24,2025-02-25,000933,601818,200.0,3.74,0.3567,0.8398,0.0,742.61852,5411186.713365069,5411186.713365069,False
2,2025-02-24,2025-02-25,000933,601229,593300,9.12,0.3567,0.7635,742.61852,5391716.37196,5411186.713365069,5411186.713365069,False
3,2025-02-24,2025-02-25,000933,600919,602500,8.98,0.3567,0.746,5391716.37196,10780412.74746,5411186.713365069,5411186.713365069,False
1,2025-03-10,2025-03-11,600970,601818,500.0,3.75,0.5832,0.854,0.0,1869.04375,5819225.981658071,5819225.981658071,False
2,2025-03-10,2025-03-11,600970,600919,606100.0,9.32,0.5832,0.7807,1869.04375,5628716.462030001,5819225.981658071,5819225.981658071,False
1,2025-06-09,2025-06-10,002466,601229,83700.0,10.63,0.4956,0.7812,488201.44272235036,1375048.9068123503,5767005.116413175,5767005.116413175,False
2,2025-06-09,2025-06-10,002466,601658,100.0,5.36,0.4956,0.7601,1375048.9068123503,1375579.6334523503,5767005.116413175,5767005.116413175,False
3,2025-06-09,2025-06-10,002466,000651,127500.0,44.65,0.4956,0.7408,1375579.6334523503,7052231.979702351,5767005.116413175,5767005.116413175,False
1,2025-07-11,2025-07-14,688516,601998,57700.0,8.67,0.4522,0.8907,591194.1807376444,1090154.4287476444,6408204.9161131205,6408204.9161131205,False
2,2025-07-11,2025-07-14,688516,601328,787200,8.14,0.4522,0.7896,1090154.4287476444,7478545.8258676445,6408204.9161131205,6408204.9161131205,False
1,2025-07-15,2025-07-16,000792,600919,127700.0,11.7,0.6325,0.8392,0.0,1490440.7171,6409078.303177413,6409078.303177413,False
2,2025-07-15,2025-07-16,000792,601328,799100,8.02,0.6325,0.7925,1490440.7171,7879571.09008,6409078.303177413,6409078.303177413,False
1,2025-07-24,2025-07-25,600970,601187,988500,7.12,0.6329,0.8657,0.0,7018010.7468,7038704.137712764,7038704.137712764,False
2,2025-07-24,2025-07-25,600970,601166,303700,23.17,0.6329,0.8327,7018010.7468,14018255.142110001,7038704.137712764,7038704.137712764,False
1,2025-07-25,2025-07-28,600970,601187,974800,7.19,0.6235,0.8537,0.0,6988939.824680001,7009048.670731223,7009048.670731223,False
2,2025-07-25,2025-07-28,600970,601166,305200,22.96,0.6235,0.8273,6988939.824680001,13959706.11556,7009048.670731223,7009048.670731223,False
1,2025-07-28,2025-07-29,600970,601187,163900.0,7.0,0.6188,0.8621,95765.09934533501,1239742.8463453352,6790947.824745068,6790947.824745068,False
2,2025-07-28,2025-07-29,600970,601166,299000,22.71,0.6188,0.8198,1239742.8463453352,7994196.7694453355,6790947.824745068,6790947.824745068,False
1,2025-07-29,2025-07-30,600970,601166,175700.0,22.77,0.6188,0.8109,37038.95660690963,4016663.3363169096,6799665.278671876,6799665.278671876,False
2,2025-07-29,2025-07-30,600970,601658,1300.0,5.69,0.6188,0.7947,4016663.3363169096,4024051.5638469094,6799665.278671876,6799665.278671876,False
1,2025-11-24,2025-11-25,600970,000792,15300.0,26.14,0.6064,0.8466,0.0,399698.03538,9333251.58992902,9333251.58992902,False
2,2025-11-24,2025-11-25,600970,002466,173800,53.7,0.6064,0.8357,399698.03538,9727064.86878,9333251.58992902,9333251.58992902,False
1,2025-11-25,2025-11-26,600970,002466,176500,54.16,0.6051,0.8699,0.0,9553408.8636,9563568.312940342,9563568.312940342,False
2,2025-11-25,2025-11-26,600970,600938,343800,27.81,0.6051,0.7686,9553408.8636,19085753.40042,9563568.312940342,9563568.312940342,False
1,2025-12-04,2025-12-05,000651,601988,100.0,5.81,0.6813,0.9501,6604592.797874212,6605168.501564212,10160588.83356981,10160588.83356981,False
2,2025-12-04,2025-12-05,000651,002466,199000,51.05,0.6813,0.8325,6605168.501564212,16757921.542064212,10160588.83356981,10160588.83356981,False
1,2026-03-25,2026-03-26,601838,000933,484900,29.36,0.7495,1.1724,0.0,14227979.63496,14237138.280502543,14237138.280502543,False
2,2026-03-25,2026-03-26,601838,600938,347800,40.93,0.7495,1.1076,14227979.63496,28431582.35442,14237138.280502543,14237138.280502543,False
1,2026-03-26,2026-03-27,601838,600938,256100.0,41.07,0.7534,1.8977,0.0,10510431.971129999,14211431.829067566,14211431.829067566,False
2,2026-03-26,2026-03-27,601838,000933,465600,30.52,0.7534,1.1664,10510431.971129999,24711875.80281,14211431.829067566,14211431.829067566,False
1,2026-06-02,2026-06-03,000651,600309,187800,74.17,0.5795,1.0082,0.0,13897154.23314,13932651.52710594,13932651.52710594,False
2,2026-06-02,2026-06-03,000651,601665,2284000,6.1,0.5795,0.9243,13897154.23314,27821055.46914,13932651.52710594,13932651.52710594,False
1,2026-06-17,2026-06-18,601166,601988,1369600.0,5.78,0.6317,0.9736,0.0,7911459.06432,13833413.689694483,13833413.689694483,False
2,2026-06-17,2026-06-18,601166,600309,200300,69.05,0.6317,0.9496,7911459.06432,21708699.82817,13833413.689694483,13833413.689694483,False
