cohort,arm,method,horizon,year,n,median
current_rank1_rerank,BOTH1,daily,750,2013,215,0.7316007206747435
current_rank1_rerank,BOTH1,daily,750,2014,231,1.014696158388051
current_rank1_rerank,BOTH1,daily,750,2015,149,-0.044053000782835805
current_rank1_rerank,BOTH1,daily,750,2016,191,0.32736162847353967
current_rank1_rerank,BOTH1,daily,750,2017,177,1.3109049801078947
current_rank1_rerank,BOTH1,daily,750,2018,88,0.9540060750217475
current_rank1_rerank,BOTH1,daily,750,2019,189,0.9759591068446416
current_rank1_rerank,BOTH1,daily,750,2020,224,0.9614355240311173
current_rank1_rerank,BOTH1,daily,750,2021,195,0.9512309002986328
current_rank1_rerank,BOTH1,daily,750,2022,211,0.8118045655411164
current_rank1_rerank,BOTH1,daily,750,2023,109,1.1006620034735297
current_rank1_rerank,BOTH1,ma60_episode,250,2011,2,-0.1463566345791355
current_rank1_rerank,BOTH1,ma60_episode,250,2012,19,0.028378804920445422
current_rank1_rerank,BOTH1,ma60_episode,250,2013,28,-0.002384982509845257
current_rank1_rerank,BOTH1,ma60_episode,250,2014,22,0.5493844824644579
current_rank1_rerank,BOTH1,ma60_episode,250,2015,22,-0.08494725990340224
current_rank1_rerank,BOTH1,ma60_episode,250,2016,22,0.37351277701853547
current_rank1_rerank,BOTH1,ma60_episode,250,2017,14,0.5540634458304579
current_rank1_rerank,BOTH1,ma60_episode,250,2018,10,0.3415212309793686
current_rank1_rerank,BOTH1,ma60_episode,250,2019,18,0.33208161060288344
current_rank1_rerank,BOTH1,ma60_episode,250,2020,21,0.1870343993476078
current_rank1_rerank,BOTH1,ma60_episode,250,2021,31,0.12607176119288344
current_rank1_rerank,BOTH1,ma60_episode,250,2022,39,0.19811593415548412
current_rank1_rerank,BOTH1,ma60_episode,250,2023,33,0.3448591785103057
current_rank1_rerank,BOTH1,ma60_episode,250,2024,44,0.2879550445360265
current_rank1_rerank,BOTH1,ma60_episode,250,2025,26,0.16760365749254336
current_rank1_rerank,BOTH1,ma60_episode,750,2011,2,0.4557178402813345
current_rank1_rerank,BOTH1,ma60_episode,750,2012,19,0.8978507009922059
current_rank1_rerank,BOTH1,ma60_episode,750,2013,28,0.27977798973489143
current_rank1_rerank,BOTH1,ma60_episode,750,2014,22,0.755831688009154
current_rank1_rerank,BOTH1,ma60_episode,750,2015,22,0.4355746681491839
current_rank1_rerank,BOTH1,ma60_episode,750,2016,22,0.7873121243151757
current_rank1_rerank,BOTH1,ma60_episode,750,2017,14,2.078604912208001
current_rank1_rerank,BOTH1,ma60_episode,750,2018,10,0.9257361356683141
current_rank1_rerank,BOTH1,ma60_episode,750,2019,18,0.8491620135640625
current_rank1_rerank,BOTH1,ma60_episode,750,2020,21,0.5356248216199575
current_rank1_rerank,BOTH1,ma60_episode,750,2021,31,0.766105744427414
current_rank1_rerank,BOTH1,ma60_episode,750,2022,39,0.8092025609842979
current_rank1_rerank,BOTH1,ma60_episode,750,2023,11,1.2882675523132883
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2011,2,-0.1463566345791355
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2012,10,-0.10816960945819443
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2013,13,0.015349902600982679
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2014,10,0.5941645998569899
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2015,12,0.05866340237155676
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2016,11,0.24412305993171612
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2017,5,0.6904270359882501
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2018,3,0.284110417331328
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2019,8,-0.02697924431892329
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2020,10,0.3559110077632214
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2021,10,0.06659237809963525
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2022,17,0.08695324925223691
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2023,17,0.3448591785103057
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2024,20,0.3035270823631313
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,2025,9,0.1021106798656839
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2011,2,0.4557178402813345
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2012,10,0.5191614675277558
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2013,5,0.23445366841295612
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2014,5,2.1240252993979043
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2015,8,0.8311133052704552
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2016,5,0.8427648180030345
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2017,2,4.598848505982463
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2018,1,0.8251902803734186
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2019,9,0.9094244502191486
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2020,5,0.33537793429607365
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2021,6,0.6794649339857071
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2022,10,0.7787707691477087
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,2023,3,1.5470124013906599
current_rank1_rerank,BOTH1,stop_episode,250,2011,2,-0.1463566345791355
current_rank1_rerank,BOTH1,stop_episode,250,2012,16,0.005056270168396049
current_rank1_rerank,BOTH1,stop_episode,250,2013,19,-0.01737546987998495
current_rank1_rerank,BOTH1,stop_episode,250,2014,15,0.6274912692678227
current_rank1_rerank,BOTH1,stop_episode,250,2015,6,0.09512218390434146
current_rank1_rerank,BOTH1,stop_episode,250,2016,14,0.34652291046510153
current_rank1_rerank,BOTH1,stop_episode,250,2017,2,0.4495577908660765
current_rank1_rerank,BOTH1,stop_episode,250,2018,4,0.4200664223798809
current_rank1_rerank,BOTH1,stop_episode,250,2019,4,-0.14967665704420663
current_rank1_rerank,BOTH1,stop_episode,250,2020,6,0.4743718227676781
current_rank1_rerank,BOTH1,stop_episode,250,2021,11,0.018302788067849685
current_rank1_rerank,BOTH1,stop_episode,250,2022,10,0.07496697731133539
current_rank1_rerank,BOTH1,stop_episode,250,2023,7,0.3448591785103057
current_rank1_rerank,BOTH1,stop_episode,250,2024,14,0.3425983203612434
current_rank1_rerank,BOTH1,stop_episode,250,2025,10,0.2285950953455902
current_rank1_rerank,BOTH1,stop_episode,750,2011,2,0.4557178402813345
current_rank1_rerank,BOTH1,stop_episode,750,2012,16,0.5191614675277558
current_rank1_rerank,BOTH1,stop_episode,750,2013,19,0.2703089572879971
current_rank1_rerank,BOTH1,stop_episode,750,2014,15,0.606403163008906
current_rank1_rerank,BOTH1,stop_episode,750,2015,6,0.5426302134348631
current_rank1_rerank,BOTH1,stop_episode,750,2016,14,0.8674588359594055
current_rank1_rerank,BOTH1,stop_episode,750,2017,2,4.598848505982463
current_rank1_rerank,BOTH1,stop_episode,750,2018,4,0.9257361356683141
current_rank1_rerank,BOTH1,stop_episode,750,2019,4,0.9180488870703122
current_rank1_rerank,BOTH1,stop_episode,750,2020,6,0.7249723597619424
current_rank1_rerank,BOTH1,stop_episode,750,2021,11,0.6350317067108728
current_rank1_rerank,BOTH1,stop_episode,750,2022,10,0.9089879983857813
current_rank1_rerank,BOTH1,stop_episode,750,2023,5,0.49737606354504615
