cohort,arm,method,horizon,year,n,median
old_rank1_filter,BASE,stop_episode,750,2011,2,0.45226430795903877
old_rank1_filter,BASE,stop_episode,750,2012,20,0.4339857931749892
old_rank1_filter,BASE,stop_episode,750,2013,19,0.29610203256288026
old_rank1_filter,BASE,stop_episode,750,2014,19,1.5709976294824473
old_rank1_filter,BASE,stop_episode,750,2015,3,-0.2083701176020113
old_rank1_filter,BASE,stop_episode,750,2016,12,0.9336327000964382
old_rank1_filter,BASE,stop_episode,750,2017,1,2.143161292457923
old_rank1_filter,BASE,stop_episode,750,2018,8,0.8181590908951856
old_rank1_filter,BASE,stop_episode,750,2019,3,1.3495859397548604
old_rank1_filter,BASE,stop_episode,750,2020,5,1.2691523396418312
old_rank1_filter,BASE,stop_episode,750,2021,8,0.5020932970824226
old_rank1_filter,BASE,stop_episode,750,2022,14,1.122433324609864
old_rank1_filter,BASE,stop_episode,750,2023,3,0.9075333623521871
old_rank1_filter,BOTH1,daily,250,2011,5,-0.16560490201043188
old_rank1_filter,BOTH1,daily,250,2012,135,-0.07111794783649927
old_rank1_filter,BOTH1,daily,250,2013,175,0.03824883896612685
old_rank1_filter,BOTH1,daily,250,2014,194,0.5055559231138582
old_rank1_filter,BOTH1,daily,250,2015,124,-0.009679930651994406
old_rank1_filter,BOTH1,daily,250,2016,156,0.5570116487455198
old_rank1_filter,BOTH1,daily,250,2017,168,0.275785203923982
old_rank1_filter,BOTH1,daily,250,2018,87,0.284110417331328
old_rank1_filter,BOTH1,daily,250,2019,159,0.25397726575297774
old_rank1_filter,BOTH1,daily,250,2020,204,0.3923708835207328
old_rank1_filter,BOTH1,daily,250,2021,168,0.3551029109617856
old_rank1_filter,BOTH1,daily,250,2022,156,0.04790298255801828
old_rank1_filter,BOTH1,daily,250,2023,189,0.39132719906378965
old_rank1_filter,BOTH1,daily,250,2024,207,0.16356088169749383
old_rank1_filter,BOTH1,daily,250,2025,95,0.4597380721260127
old_rank1_filter,BOTH1,daily,750,2011,5,-0.19426364858452494
old_rank1_filter,BOTH1,daily,750,2012,135,0.06804330854437302
old_rank1_filter,BOTH1,daily,750,2013,175,0.8128999660586633
old_rank1_filter,BOTH1,daily,750,2014,194,1.5711190029728863
old_rank1_filter,BOTH1,daily,750,2015,124,1.03279997245884
old_rank1_filter,BOTH1,daily,750,2016,156,0.822494524282866
old_rank1_filter,BOTH1,daily,750,2017,168,0.9231121631402642
old_rank1_filter,BOTH1,daily,750,2018,87,0.9829504843037997
old_rank1_filter,BOTH1,daily,750,2019,159,0.9761465002540768
old_rank1_filter,BOTH1,daily,750,2020,204,1.1229766403089465
old_rank1_filter,BOTH1,daily,750,2021,168,1.0035827636224037
old_rank1_filter,BOTH1,daily,750,2022,156,0.6738115160033976
old_rank1_filter,BOTH1,daily,750,2023,85,1.291133573253652
old_rank1_filter,BOTH1,ma60_episode,250,2011,2,-0.1463566345791355
old_rank1_filter,BOTH1,ma60_episode,250,2012,19,0.031535005586208475
old_rank1_filter,BOTH1,ma60_episode,250,2013,21,0.033451787424830126
old_rank1_filter,BOTH1,ma60_episode,250,2014,19,0.3930938234158885
old_rank1_filter,BOTH1,ma60_episode,250,2015,13,-0.09477124183006536
old_rank1_filter,BOTH1,ma60_episode,250,2016,17,0.4334160144756165
old_rank1_filter,BOTH1,ma60_episode,250,2017,10,0.28522041424321254
old_rank1_filter,BOTH1,ma60_episode,250,2018,12,0.32707353201756795
old_rank1_filter,BOTH1,ma60_episode,250,2019,16,0.21613306042539704
old_rank1_filter,BOTH1,ma60_episode,250,2020,14,0.30423889075158306
old_rank1_filter,BOTH1,ma60_episode,250,2021,22,0.26988517014772095
old_rank1_filter,BOTH1,ma60_episode,250,2022,27,0.2531557881773401
old_rank1_filter,BOTH1,ma60_episode,250,2023,21,0.41695955404593654
old_rank1_filter,BOTH1,ma60_episode,250,2024,32,0.2632911206225409
old_rank1_filter,BOTH1,ma60_episode,250,2025,15,0.3825757294271337
old_rank1_filter,BOTH1,ma60_episode,750,2011,2,0.4557178402813345
old_rank1_filter,BOTH1,ma60_episode,750,2012,19,0.62210590429431
old_rank1_filter,BOTH1,ma60_episode,750,2013,21,0.5280872793974452
old_rank1_filter,BOTH1,ma60_episode,750,2014,19,1.0019544379584584
old_rank1_filter,BOTH1,ma60_episode,750,2015,13,0.1051418246035647
old_rank1_filter,BOTH1,ma60_episode,750,2016,17,0.5588349232179193
old_rank1_filter,BOTH1,ma60_episode,750,2017,10,1.0498762447629366
old_rank1_filter,BOTH1,ma60_episode,750,2018,12,0.9176659516618272
old_rank1_filter,BOTH1,ma60_episode,750,2019,16,0.9427854752366127
old_rank1_filter,BOTH1,ma60_episode,750,2020,14,1.0226555440536949
old_rank1_filter,BOTH1,ma60_episode,750,2021,22,0.8498680751459377
old_rank1_filter,BOTH1,ma60_episode,750,2022,27,0.851318102667497
old_rank1_filter,BOTH1,ma60_episode,750,2023,10,1.3237071811866932
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2011,2,-0.1463566345791355
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2012,10,0.04948494221037247
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2013,8,0.0005563815168703745
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2014,12,0.3938553566791224
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2015,5,-0.09558228300091598
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2016,9,0.3947190250507786
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2017,4,0.38873952655810834
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2018,6,0.3571920411431465
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2019,6,-0.002353163422960436
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2020,7,0.3160752742024342
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2021,10,-0.04537216425504309
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2022,12,0.23635552332429743
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2023,9,0.33883237354866913
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2024,21,0.22250423133179065
old_rank1_filter,BOTH1,ma60_nonoverlap,250,2025,8,0.14558712766550863
old_rank1_filter,BOTH1,ma60_nonoverlap,750,2011,2,0.4557178402813345
old_rank1_filter,BOTH1,ma60_nonoverlap,750,2012,10,0.8587211585005843
old_rank1_filter,BOTH1,ma60_nonoverlap,750,2013,3,0.29610203256288026
old_rank1_filter,BOTH1,ma60_nonoverlap,750,2014,7,1.5934739527066224
old_rank1_filter,BOTH1,ma60_nonoverlap,750,2015,3,0.08432073653501915
old_rank1_filter,BOTH1,ma60_nonoverlap,750,2016,5,0.9751125462770998
old_rank1_filter,BOTH1,ma60_nonoverlap,750,2017,2,0.9459967596692987
old_rank1_filter,BOTH1,ma60_nonoverlap,750,2018,3,0.8523814190198546
old_rank1_filter,BOTH1,ma60_nonoverlap,750,2019,4,1.4382057446023857
old_rank1_filter,BOTH1,ma60_nonoverlap,750,2020,5,0.33537793429607365
old_rank1_filter,BOTH1,ma60_nonoverlap,750,2021,5,0.2529429033672175
old_rank1_filter,BOTH1,ma60_nonoverlap,750,2022,7,1.1052711313402375
old_rank1_filter,BOTH1,stop_episode,250,2011,2,-0.1463566345791355
old_rank1_filter,BOTH1,stop_episode,250,2012,16,-0.018549229393996836
old_rank1_filter,BOTH1,stop_episode,250,2013,16,0.02302864614256228
old_rank1_filter,BOTH1,stop_episode,250,2014,13,0.3615331542244409
old_rank1_filter,BOTH1,stop_episode,250,2015,2,-0.18459158132230258
old_rank1_filter,BOTH1,stop_episode,250,2016,8,0.32720009093539293
old_rank1_filter,BOTH1,stop_episode,250,2017,1,0.8036073191494708
old_rank1_filter,BOTH1,stop_episode,250,2018,5,0.5491578535056794
old_rank1_filter,BOTH1,stop_episode,250,2019,3,-0.24465811965811957
old_rank1_filter,BOTH1,stop_episode,250,2020,4,0.9207530550801503
old_rank1_filter,BOTH1,stop_episode,250,2021,4,-0.06960493935368073
old_rank1_filter,BOTH1,stop_episode,250,2022,8,0.2769638205972499
old_rank1_filter,BOTH1,stop_episode,250,2023,6,0.2543758218982273
old_rank1_filter,BOTH1,stop_episode,250,2024,20,0.32841290301147974
old_rank1_filter,BOTH1,stop_episode,250,2025,5,0.08792358992250993
old_rank1_filter,BOTH1,stop_episode,750,2011,2,0.4557178402813345
old_rank1_filter,BOTH1,stop_episode,750,2012,16,0.4339857931749892
old_rank1_filter,BOTH1,stop_episode,750,2013,16,0.5155721090671375
old_rank1_filter,BOTH1,stop_episode,750,2014,13,0.606403163008906
old_rank1_filter,BOTH1,stop_episode,750,2015,2,-0.32464666980577844
old_rank1_filter,BOTH1,stop_episode,750,2016,8,0.8883411771735181
old_rank1_filter,BOTH1,stop_episode,750,2017,1,2.143161292457923
old_rank1_filter,BOTH1,stop_episode,750,2018,5,0.8523814190198546
old_rank1_filter,BOTH1,stop_episode,750,2019,3,1.6948798577891444
old_rank1_filter,BOTH1,stop_episode,750,2020,4,1.0226555440536949
old_rank1_filter,BOTH1,stop_episode,750,2021,4,0.4160156666418221
old_rank1_filter,BOTH1,stop_episode,750,2022,8,1.122433324609864
old_rank1_filter,BOTH1,stop_episode,750,2023,2,0.9282614368025721
old_rank1_filter,BOTH2,daily,250,2011,4,-0.17117081278982338
old_rank1_filter,BOTH2,daily,250,2012,136,-0.07403619985573778
old_rank1_filter,BOTH2,daily,250,2013,172,0.04119172867792087
old_rank1_filter,BOTH2,daily,250,2014,196,0.5055559231138582
old_rank1_filter,BOTH2,daily,250,2015,124,-0.012486004375702187
old_rank1_filter,BOTH2,daily,250,2016,155,0.558467741935484
old_rank1_filter,BOTH2,daily,250,2017,165,0.2727201797640597
old_rank1_filter,BOTH2,daily,250,2018,88,0.27508834860940523
old_rank1_filter,BOTH2,daily,250,2019,155,0.2522346738120742
old_rank1_filter,BOTH2,daily,250,2020,201,0.3951319363848538
old_rank1_filter,BOTH2,daily,250,2021,165,0.3579487341173504
old_rank1_filter,BOTH2,daily,250,2022,151,0.03861251791686571
old_rank1_filter,BOTH2,daily,250,2023,183,0.39132719906378965
old_rank1_filter,BOTH2,daily,250,2024,204,0.16304635364122166
old_rank1_filter,BOTH2,daily,250,2025,96,0.45061213814859813
old_rank1_filter,BOTH2,daily,750,2011,4,-0.15654586205849702
old_rank1_filter,BOTH2,daily,750,2012,136,0.07917438119125397
old_rank1_filter,BOTH2,daily,750,2013,172,0.8946564705398483
old_rank1_filter,BOTH2,daily,750,2014,196,1.5316516391135517
old_rank1_filter,BOTH2,daily,750,2015,124,1.0204023291944293
old_rank1_filter,BOTH2,daily,750,2016,155,0.8250457100268516
old_rank1_filter,BOTH2,daily,750,2017,165,0.9292664501350332
old_rank1_filter,BOTH2,daily,750,2018,88,0.9826723428697525
old_rank1_filter,BOTH2,daily,750,2019,155,0.9633025001766746
old_rank1_filter,BOTH2,daily,750,2020,201,1.137042389528784
old_rank1_filter,BOTH2,daily,750,2021,165,1.0165949414208928
old_rank1_filter,BOTH2,daily,750,2022,151,0.6752986053533827
old_rank1_filter,BOTH2,daily,750,2023,82,1.2897005627834701
old_rank1_filter,BOTH2,ma60_episode,250,2011,2,-0.1463566345791355
old_rank1_filter,BOTH2,ma60_episode,250,2012,19,0.031535005586208475
old_rank1_filter,BOTH2,ma60_episode,250,2013,20,0.05325255086397629
old_rank1_filter,BOTH2,ma60_episode,250,2014,21,0.42617755913380395
old_rank1_filter,BOTH2,ma60_episode,250,2015,14,-0.09517676241549067
old_rank1_filter,BOTH2,ma60_episode,250,2016,16,0.4586600218708241
old_rank1_filter,BOTH2,ma60_episode,250,2017,10,0.28652549115014214
old_rank1_filter,BOTH2,ma60_episode,250,2018,12,0.2897338824454797
old_rank1_filter,BOTH2,ma60_episode,250,2019,16,0.21613306042539704
old_rank1_filter,BOTH2,ma60_episode,250,2020,13,0.32041406316006005
old_rank1_filter,BOTH2,ma60_episode,250,2021,23,0.2561019076694202
old_rank1_filter,BOTH2,ma60_episode,250,2022,24,0.21660322927999798
old_rank1_filter,BOTH2,ma60_episode,250,2023,20,0.4134444825710738
old_rank1_filter,BOTH2,ma60_episode,250,2024,31,0.23247198213345666
old_rank1_filter,BOTH2,ma60_episode,250,2025,13,0.3825757294271337
old_rank1_filter,BOTH2,ma60_episode,750,2011,2,0.4557178402813345
old_rank1_filter,BOTH2,ma60_episode,750,2012,19,0.62210590429431
old_rank1_filter,BOTH2,ma60_episode,750,2013,20,0.5779151900983935
old_rank1_filter,BOTH2,ma60_episode,750,2014,21,0.8096981168011805
old_rank1_filter,BOTH2,ma60_episode,750,2015,14,0.09473128056929192
old_rank1_filter,BOTH2,ma60_episode,750,2016,16,0.6444741246117138
old_rank1_filter,BOTH2,ma60_episode,750,2017,10,1.2420743104351555
old_rank1_filter,BOTH2,ma60_episode,750,2018,12,0.9069611230422021
old_rank1_filter,BOTH2,ma60_episode,750,2019,16,0.9427854752366127
old_rank1_filter,BOTH2,ma60_episode,750,2020,13,1.080400406525765
old_rank1_filter,BOTH2,ma60_episode,750,2021,23,0.809481215627575
old_rank1_filter,BOTH2,ma60_episode,750,2022,24,0.8302603318258974
old_rank1_filter,BOTH2,ma60_episode,750,2023,10,1.3237071811866932
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2011,2,-0.1463566345791355
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2012,10,0.04948494221037247
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2013,7,0.033451787424830126
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2014,12,0.5065399346961106
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2015,5,-0.09558228300091598
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2016,9,0.3947190250507786
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2017,4,0.27892117714004777
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2018,6,0.3571920411431465
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2019,6,-0.002353163422960436
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2020,6,0.3559110077632214
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2021,10,-0.04537216425504309
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2022,11,0.2195552584712548
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2023,9,0.3448591785103057
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2024,21,0.22083122149011625
old_rank1_filter,BOTH2,ma60_nonoverlap,250,2025,8,0.1365163160559435
old_rank1_filter,BOTH2,ma60_nonoverlap,750,2011,2,0.4557178402813345
old_rank1_filter,BOTH2,ma60_nonoverlap,750,2012,10,0.8587211585005843
old_rank1_filter,BOTH2,ma60_nonoverlap,750,2013,3,0.29610203256288026
old_rank1_filter,BOTH2,ma60_nonoverlap,750,2014,7,1.5934739527066224
old_rank1_filter,BOTH2,ma60_nonoverlap,750,2015,3,0.08432073653501915
old_rank1_filter,BOTH2,ma60_nonoverlap,750,2016,5,0.9751125462770998
old_rank1_filter,BOTH2,ma60_nonoverlap,750,2017,2,0.9459967596692987
old_rank1_filter,BOTH2,ma60_nonoverlap,750,2018,3,0.8251902803734186
old_rank1_filter,BOTH2,ma60_nonoverlap,750,2019,4,1.4382057446023857
old_rank1_filter,BOTH2,ma60_nonoverlap,750,2020,5,0.33537793429607365
old_rank1_filter,BOTH2,ma60_nonoverlap,750,2021,5,0.2529429033672175
old_rank1_filter,BOTH2,ma60_nonoverlap,750,2022,7,1.1052711313402375
old_rank1_filter,BOTH2,stop_episode,250,2011,2,-0.1463566345791355
old_rank1_filter,BOTH2,stop_episode,250,2012,16,-0.018549229393996836
old_rank1_filter,BOTH2,stop_episode,250,2013,15,0.033451787424830126
old_rank1_filter,BOTH2,stop_episode,250,2014,15,0.42617755913380395
old_rank1_filter,BOTH2,stop_episode,250,2015,2,-0.18459158132230258
old_rank1_filter,BOTH2,stop_episode,250,2016,8,0.32720009093539293
old_rank1_filter,BOTH2,stop_episode,250,2017,1,0.8036073191494708
old_rank1_filter,BOTH2,stop_episode,250,2018,5,0.5394418809052954
old_rank1_filter,BOTH2,stop_episode,250,2019,3,-0.24465811965811957
old_rank1_filter,BOTH2,stop_episode,250,2020,4,0.9207530550801503
old_rank1_filter,BOTH2,stop_episode,250,2021,5,-0.004236638294609296
old_rank1_filter,BOTH2,stop_episode,250,2022,8,0.2613329900739515
old_rank1_filter,BOTH2,stop_episode,250,2023,6,0.2638640416675534
old_rank1_filter,BOTH2,stop_episode,250,2024,20,0.28663397143798097
old_rank1_filter,BOTH2,stop_episode,250,2025,4,0.07673829577619473
old_rank1_filter,BOTH2,stop_episode,750,2011,2,0.4557178402813345
old_rank1_filter,BOTH2,stop_episode,750,2012,16,0.4339857931749892
old_rank1_filter,BOTH2,stop_episode,750,2013,15,0.5280872793974452
old_rank1_filter,BOTH2,stop_episode,750,2014,15,0.5982961405755582
old_rank1_filter,BOTH2,stop_episode,750,2015,2,-0.32464666980577844
old_rank1_filter,BOTH2,stop_episode,750,2016,8,0.8883411771735181
old_rank1_filter,BOTH2,stop_episode,750,2017,1,2.143161292457923
old_rank1_filter,BOTH2,stop_episode,750,2018,5,0.8309717617806045
old_rank1_filter,BOTH2,stop_episode,750,2019,3,1.6948798577891444
old_rank1_filter,BOTH2,stop_episode,750,2020,4,1.0319551534271592
old_rank1_filter,BOTH2,stop_episode,750,2021,5,0.5790884299164267
old_rank1_filter,BOTH2,stop_episode,750,2022,8,1.122433324609864
old_rank1_filter,BOTH2,stop_episode,750,2023,2,0.9282614368025721
old_rank1_filter,BOTH3,daily,250,2011,4,-0.16596280227924531
old_rank1_filter,BOTH3,daily,250,2012,134,-0.0792178322675266
old_rank1_filter,BOTH3,daily,250,2013,171,0.04249819715974579
old_rank1_filter,BOTH3,daily,250,2014,198,0.5124557307588493
old_rank1_filter,BOTH3,daily,250,2015,121,-0.009443553326936027
old_rank1_filter,BOTH3,daily,250,2016,154,0.5643544642871614
old_rank1_filter,BOTH3,daily,250,2017,165,0.2699479441271915
old_rank1_filter,BOTH3,daily,250,2018,90,0.29280840642980765
old_rank1_filter,BOTH3,daily,250,2019,150,0.250130209291782
old_rank1_filter,BOTH3,daily,250,2020,198,0.3946243139737521
old_rank1_filter,BOTH3,daily,250,2021,161,0.3641280930457491
old_rank1_filter,BOTH3,daily,250,2022,147,0.04777530162145549
old_rank1_filter,BOTH3,daily,250,2023,181,0.38756971232367365
old_rank1_filter,BOTH3,daily,250,2024,202,0.16095729266666092
old_rank1_filter,BOTH3,daily,250,2025,93,0.44148620417118356
old_rank1_filter,BOTH3,daily,750,2011,4,-0.15654586205849702
old_rank1_filter,BOTH3,daily,750,2012,134,0.15964396882734821
old_rank1_filter,BOTH3,daily,750,2013,171,0.9514657015670411
old_rank1_filter,BOTH3,daily,750,2014,198,1.5043117662294079
old_rank1_filter,BOTH3,daily,750,2015,121,1.041822475765012
old_rank1_filter,BOTH3,daily,750,2016,154,0.8478424881331279
old_rank1_filter,BOTH3,daily,750,2017,165,0.927018447034212
old_rank1_filter,BOTH3,daily,750,2018,90,0.9826723428697525
old_rank1_filter,BOTH3,daily,750,2019,150,0.9462724740056444
old_rank1_filter,BOTH3,daily,750,2020,198,1.1313317966418077
old_rank1_filter,BOTH3,daily,750,2021,161,1.0165949414208928
old_rank1_filter,BOTH3,daily,750,2022,147,0.6752986053533827
old_rank1_filter,BOTH3,daily,750,2023,81,1.291133573253652
old_rank1_filter,BOTH3,ma60_episode,250,2011,2,-0.15449335467573433
old_rank1_filter,BOTH3,ma60_episode,250,2012,19,0.031535005586208475
old_rank1_filter,BOTH3,ma60_episode,250,2013,20,0.05325255086397629
old_rank1_filter,BOTH3,ma60_episode,250,2014,21,0.42617755913380395
old_rank1_filter,BOTH3,ma60_episode,250,2015,13,-0.09477124183006536
old_rank1_filter,BOTH3,ma60_episode,250,2016,16,0.45265607437403943
old_rank1_filter,BOTH3,ma60_episode,250,2017,10,0.2676695096371091
old_rank1_filter,BOTH3,ma60_episode,250,2018,13,0.42487896059324637
old_rank1_filter,BOTH3,ma60_episode,250,2019,14,0.04471770643038053
old_rank1_filter,BOTH3,ma60_episode,250,2020,12,0.3153542474700476
old_rank1_filter,BOTH3,ma60_episode,250,2021,24,0.26988517014772095
old_rank1_filter,BOTH3,ma60_episode,250,2022,23,0.2195552584712548
old_rank1_filter,BOTH3,ma60_episode,250,2023,20,0.4134444825710738
old_rank1_filter,BOTH3,ma60_episode,250,2024,30,0.22748810673262365
old_rank1_filter,BOTH3,ma60_episode,250,2025,13,0.396688747124299
old_rank1_filter,BOTH3,ma60_episode,750,2011,2,0.5011995384602841
