group,arm,metric,paired_delta_median,positive_starts
full,PCT16OP09,滚动5年年化最差窗口末日,0.0,3
full,PCT16OP09,最大回撤起日,0.0,3
full,PCT16OP09,最大回撤止日,59.0,8
full,PCT16OP09,末次净值日,0.0,0
full,PCT17OP09,年化,0.009768266559538552,9
full,PCT17OP09,最大回撤,0.0030472436274691095,8
full,PCT17OP09,Sharpe,0.00941117656867585,9
full,PCT17OP09,Calmar,0.02388649342336374,8
full,PCT17OP09,平均仓位,0.001016398705830035,8
full,PCT17OP09,年均换手,-0.007899584600846943,7
full,PCT17OP09,持仓数中位,0.0,1
full,PCT17OP09,单票权重中位,-0.002440860634732145,6
full,PCT17OP09,单票权重P90,0.02116925355869692,9
full,PCT17OP09,单票权重最大,0.02320853083433716,8
full,PCT17OP09,前三权重中位,0.02558222095397622,10
full,PCT17OP09,单票超60%天数占比,-0.012798553761706521,5
full,PCT17OP09,滚动3年年化中位,-0.009169379178932235,6
full,PCT17OP09,滚动3年回撤中位,0.011882328085905891,10
full,PCT17OP09,滚动3年Calmar中位,-0.045834971347972264,5
full,PCT17OP09,滚动3年Sharpe中位,-0.007712823142108749,7
full,PCT17OP09,滚动3年为负的窗口占比,0.0,3
full,PCT17OP09,滚动5年年化中位,-0.016432713461997817,5
full,PCT17OP09,滚动5年年化P25,-0.024987268849263833,4
full,PCT17OP09,滚动5年年化最差,0.004597588736488634,7
full,PCT17OP09,滚动5年回撤中位,0.01589211204378116,9
full,PCT17OP09,滚动5年Calmar中位,-0.04253766145913929,6
full,PCT17OP09,滚动5年Sharpe中位,-0.018787382177904544,3
full,PCT17OP09,滚动5年为负的窗口占比,0.0,0
full,PCT17OP09,滚动5年窗口数,0.0,0
full,PCT17OP09,互不重叠5年块中位,-0.005819817438452279,7
full,PCT17OP09,滚动10年年化中位,-0.0037443528972259665,7
full,PCT17OP09,滚动10年窗口数,0.0,0
full,PCT17OP09,逐年收益中位,0.017722889751900006,8
full,PCT17OP09,逐年为正比例,0.0,3
full,PCT17OP09,逐年最差,-0.04195033330245207,3
full,PCT17OP09,完整自然年数,0.0,0
full,PCT17OP09,强平次数,0.0,0
full,PCT17OP09,最低担保比例,0.03170892829434557,9
full,PCT17OP09,最低股票同跌缓冲,0.012300379710191156,9
full,PCT17OP09,最低总资产冲击缓冲,0.012300379710191156,9
full,PCT17OP09,rf覆盖率,0.0,0
full,PCT17OP09,年化_交易日口径,0.00980610235918744,9
full,PCT17OP09,最低担保比例日,0.0,4
full,PCT17OP09,最低股票同跌缓冲日,0.0,4
full,PCT17OP09,滚动5年年化最差窗口末日,0.0,4
full,PCT17OP09,最大回撤起日,0.0,1
full,PCT17OP09,最大回撤止日,48.5,7
full,PCT17OP09,末次净值日,0.0,0
full,PCT18OP09,年化,0.00654154834821663,8
full,PCT18OP09,最大回撤,0.015905819132435384,11
full,PCT18OP09,Sharpe,0.006616212927693765,8
full,PCT18OP09,Calmar,-0.006668708572008963,6
full,PCT18OP09,平均仓位,-0.0007358321977387616,7
full,PCT18OP09,年均换手,0.0023072778328052657,7
full,PCT18OP09,持仓数中位,0.0,1
full,PCT18OP09,单票权重中位,0.0018950555247360668,9
full,PCT18OP09,单票权重P90,0.02187212930786414,9
full,PCT18OP09,单票权重最大,0.0283227861324164,9
full,PCT18OP09,前三权重中位,0.008224482362514385,10
full,PCT18OP09,单票超60%天数占比,-0.0012706881230514777,7
full,PCT18OP09,滚动3年年化中位,-0.007365997117758871,6
full,PCT18OP09,滚动3年回撤中位,0.012154672963843982,9
full,PCT18OP09,滚动3年Calmar中位,-0.04567373284002946,2
full,PCT18OP09,滚动3年Sharpe中位,-0.003563488876262788,6
full,PCT18OP09,滚动3年为负的窗口占比,0.0,6
full,PCT18OP09,滚动5年年化中位,0.008333784381900577,8
full,PCT18OP09,滚动5年年化P25,-0.008869856204192561,7
full,PCT18OP09,滚动5年年化最差,-0.008123319842772592,6
full,PCT18OP09,滚动5年回撤中位,0.007584524919197533,9
full,PCT18OP09,滚动5年Calmar中位,-0.011873202968997965,6
full,PCT18OP09,滚动5年Sharpe中位,0.0017268042433516984,7
full,PCT18OP09,滚动5年为负的窗口占比,0.0,1
full,PCT18OP09,滚动5年窗口数,0.0,0
full,PCT18OP09,互不重叠5年块中位,0.005661209367308129,7
full,PCT18OP09,滚动10年年化中位,-0.011434719298062945,6
full,PCT18OP09,滚动10年窗口数,0.0,0
full,PCT18OP09,逐年收益中位,0.015292526167577647,9
full,PCT18OP09,逐年为正比例,0.0,2
full,PCT18OP09,逐年最差,-0.05709993220028131,2
full,PCT18OP09,完整自然年数,0.0,0
full,PCT18OP09,强平次数,0.0,0
full,PCT18OP09,最低担保比例,0.017667879644285067,8
full,PCT18OP09,最低股票同跌缓冲,0.00703125905181054,8
full,PCT18OP09,最低总资产冲击缓冲,0.007031259051810512,8
full,PCT18OP09,rf覆盖率,0.0,0
full,PCT18OP09,年化_交易日口径,0.0065673641617939316,8
full,PCT18OP09,最低担保比例日,0.0,1
full,PCT18OP09,最低股票同跌缓冲日,0.0,1
full,PCT18OP09,滚动5年年化最差窗口末日,0.0,4
full,PCT18OP09,最大回撤起日,0.0,1
full,PCT18OP09,最大回撤止日,60.5,8
full,PCT18OP09,末次净值日,0.0,0
full,PCT19OP09,年化,-0.0033983607997429832,5
full,PCT19OP09,最大回撤,0.0032687469342625453,8
full,PCT19OP09,Sharpe,-0.003962474352682321,6
full,PCT19OP09,Calmar,0.002853050448861305,7
full,PCT19OP09,平均仓位,0.009579438124110662,10
full,PCT19OP09,年均换手,-0.06530112190770598,5
full,PCT19OP09,持仓数中位,0.0,4
full,PCT19OP09,单票权重中位,0.0048547658376721925,10
full,PCT19OP09,单票权重P90,0.006413731423814406,8
full,PCT19OP09,单票权重最大,0.0016391766972386201,7
full,PCT19OP09,前三权重中位,0.015297835508725433,10
full,PCT19OP09,单票超60%天数占比,0.0010233000234346479,7
full,PCT19OP09,滚动3年年化中位,-0.014687847475744809,4
full,PCT19OP09,滚动3年回撤中位,0.033563925100989545,12
full,PCT19OP09,滚动3年Calmar中位,-0.05666636610616693,2
full,PCT19OP09,滚动3年Sharpe中位,-0.03107799195225419,6
full,PCT19OP09,滚动3年为负的窗口占比,-0.0035460992907801435,2
full,PCT19OP09,滚动5年年化中位,-0.01658310743586522,4
full,PCT19OP09,滚动5年年化P25,-0.018381207170415692,4
full,PCT19OP09,滚动5年年化最差,-0.006413206521800607,7
full,PCT19OP09,滚动5年回撤中位,0.015382727551938036,7
full,PCT19OP09,滚动5年Calmar中位,-0.03412216291535686,6
full,PCT19OP09,滚动5年Sharpe中位,-0.016065856025089142,4
full,PCT19OP09,滚动5年为负的窗口占比,0.0,0
full,PCT19OP09,滚动5年窗口数,0.0,0
full,PCT19OP09,互不重叠5年块中位,-0.022264072151550685,4
full,PCT19OP09,滚动10年年化中位,-0.008494118392997407,6
full,PCT19OP09,滚动10年窗口数,0.0,0
full,PCT19OP09,逐年收益中位,-0.0019244035575906038,5
full,PCT19OP09,逐年为正比例,0.0,4
full,PCT19OP09,逐年最差,-0.05989836477708438,2
full,PCT19OP09,完整自然年数,0.0,0
full,PCT19OP09,强平次数,0.0,0
full,PCT19OP09,最低担保比例,0.013460058813785869,8
full,PCT19OP09,最低股票同跌缓冲,0.00499953106563264,8
full,PCT19OP09,最低总资产冲击缓冲,0.004999531065632612,8
full,PCT19OP09,rf覆盖率,0.0,0
full,PCT19OP09,年化_交易日口径,-0.0034114570347948403,5
full,PCT19OP09,最低担保比例日,0.0,4
full,PCT19OP09,最低股票同跌缓冲日,0.0,4
full,PCT19OP09,滚动5年年化最差窗口末日,0.0,4
full,PCT19OP09,最大回撤起日,0.0,1
full,PCT19OP09,最大回撤止日,48.0,8
full,PCT19OP09,末次净值日,0.0,0
full,PCT20OP09,年化,0.011689919270041371,9
full,PCT20OP09,最大回撤,-0.004785601861669986,5
full,PCT20OP09,Sharpe,0.009975049236148281,10
full,PCT20OP09,Calmar,0.015955355503612545,10
full,PCT20OP09,平均仓位,0.0067609531527834665,10
full,PCT20OP09,年均换手,0.0021218872301682623,8
full,PCT20OP09,持仓数中位,0.0,5
full,PCT20OP09,单票权重中位,0.0038498049851354854,11
full,PCT20OP09,单票权重P90,0.006165559077794813,9
full,PCT20OP09,单票权重最大,-0.013766176384119921,5
full,PCT20OP09,前三权重中位,0.02110229418087395,13
full,PCT20OP09,单票超60%天数占比,0.004571842964214146,7
full,PCT20OP09,滚动3年年化中位,-0.008683467088186347,5
full,PCT20OP09,滚动3年回撤中位,0.03841842902315051,12
full,PCT20OP09,滚动3年Calmar中位,-0.03911225524472861,3
full,PCT20OP09,滚动3年Sharpe中位,-0.0212631366574747,6
full,PCT20OP09,滚动3年为负的窗口占比,0.0,2
full,PCT20OP09,滚动5年年化中位,-0.0014393675057973176,6
full,PCT20OP09,滚动5年年化P25,-0.009615239484142668,5
full,PCT20OP09,滚动5年年化最差,-0.003008361571126217,7
full,PCT20OP09,滚动5年回撤中位,0.019695712304618473,8
full,PCT20OP09,滚动5年Calmar中位,-0.033581482692304654,6
full,PCT20OP09,滚动5年Sharpe中位,-0.0037181522497845565,7
full,PCT20OP09,滚动5年为负的窗口占比,0.0,1
full,PCT20OP09,滚动5年窗口数,0.0,0
full,PCT20OP09,互不重叠5年块中位,-0.004719491906869544,6
full,PCT20OP09,滚动10年年化中位,-0.006188794531277297,6
full,PCT20OP09,滚动10年窗口数,0.0,0
full,PCT20OP09,逐年收益中位,0.0016956847318040924,7
full,PCT20OP09,逐年为正比例,0.0,2
full,PCT20OP09,逐年最差,-0.05448008815510336,4
full,PCT20OP09,完整自然年数,0.0,0
full,PCT20OP09,强平次数,0.0,0
full,PCT20OP09,最低担保比例,0.00023871501586392174,7
full,PCT20OP09,最低股票同跌缓冲,0.00025709771318624397,7
full,PCT20OP09,最低总资产冲击缓冲,0.0002570977131861607,7
full,PCT20OP09,rf覆盖率,0.0,0
full,PCT20OP09,年化_交易日口径,0.011730017006578386,9
full,PCT20OP09,最低担保比例日,0.0,6
full,PCT20OP09,最低股票同跌缓冲日,0.0,6
full,PCT20OP09,滚动5年年化最差窗口末日,0.0,3
full,PCT20OP09,最大回撤起日,0.0,1
full,PCT20OP09,最大回撤止日,0.0,6
full,PCT20OP09,末次净值日,0.0,0
full,PCT21OP09,年化,-0.0004001376289962666,7
full,PCT21OP09,最大回撤,0.003934405732497592,7
full,PCT21OP09,Sharpe,0.0009675208939336488,7
full,PCT21OP09,Calmar,0.004241368819406233,10
full,PCT21OP09,平均仓位,0.0038106848105632363,9
full,PCT21OP09,年均换手,0.011647228451290736,7
full,PCT21OP09,持仓数中位,0.0,3
full,PCT21OP09,单票权重中位,-0.0014264862054014227,6
full,PCT21OP09,单票权重P90,0.008564236244339885,8
full,PCT21OP09,单票权重最大,-0.025541439458285575,5
full,PCT21OP09,前三权重中位,0.02322776442799257,11
full,PCT21OP09,单票超60%天数占比,-0.015524139058210373,5
full,PCT21OP09,滚动3年年化中位,-0.005490460670095509,6
full,PCT21OP09,滚动3年回撤中位,0.026579496415535864,10
full,PCT21OP09,滚动3年Calmar中位,-0.029664706466291213,3
full,PCT21OP09,滚动3年Sharpe中位,-0.004464970010603975,6
full,PCT21OP09,滚动3年为负的窗口占比,-0.0040650406504065045,1
full,PCT21OP09,滚动5年年化中位,-0.0018438353228208415,6
full,PCT21OP09,滚动5年年化P25,-0.004705520438025856,6
full,PCT21OP09,滚动5年年化最差,-0.006743321022806281,6
full,PCT21OP09,滚动5年回撤中位,0.014877655285553237,8
full,PCT21OP09,滚动5年Calmar中位,-0.02771519843452963,5
full,PCT21OP09,滚动5年Sharpe中位,-0.006129999571002742,6
full,PCT21OP09,滚动5年为负的窗口占比,0.0,1
full,PCT21OP09,滚动5年窗口数,0.0,0
full,PCT21OP09,互不重叠5年块中位,-0.014401482318117331,6
full,PCT21OP09,滚动10年年化中位,-0.010270249892599725,6
full,PCT21OP09,滚动10年窗口数,0.0,0
full,PCT21OP09,逐年收益中位,0.011705729554968014,9
full,PCT21OP09,逐年为正比例,0.0,2
full,PCT21OP09,逐年最差,-0.03839516472681331,4
full,PCT21OP09,完整自然年数,0.0,0
full,PCT21OP09,强平次数,0.0,0
full,PCT21OP09,最低担保比例,-0.00894502765561711,7
full,PCT21OP09,最低股票同跌缓冲,-0.004119002459460258,7
full,PCT21OP09,最低总资产冲击缓冲,-0.004119002459460286,7
full,PCT21OP09,rf覆盖率,0.0,0
full,PCT21OP09,年化_交易日口径,-0.0004007733347052289,7
full,PCT21OP09,最低担保比例日,24748.5,7
full,PCT21OP09,最低股票同跌缓冲日,24748.5,7
full,PCT21OP09,滚动5年年化最差窗口末日,0.0,4
full,PCT21OP09,最大回撤起日,0.0,1
full,PCT21OP09,最大回撤止日,0.0,5
full,PCT21OP09,末次净值日,0.0,0
full,PCT22OP09,年化,0.00889553769195528,7
full,PCT22OP09,最大回撤,0.006596666091161163,8
full,PCT22OP09,Sharpe,0.011250735694445568,7
full,PCT22OP09,Calmar,0.022387993119426464,8
full,PCT22OP09,平均仓位,0.010564720110360026,10
full,PCT22OP09,年均换手,0.0330265576540727,9
full,PCT22OP09,持仓数中位,0.0,3
full,PCT22OP09,单票权重中位,0.0017209099804568195,8
full,PCT22OP09,单票权重P90,-0.002406793749918923,6
full,PCT22OP09,单票权重最大,-0.01218903302086416,5
full,PCT22OP09,前三权重中位,0.01543070100335231,9
full,PCT22OP09,单票超60%天数占比,-0.008386776454728961,4
full,PCT22OP09,滚动3年年化中位,-0.0010235501007963554,6
full,PCT22OP09,滚动3年回撤中位,0.03655493623481759,11
full,PCT22OP09,滚动3年Calmar中位,-0.04180115060431988,4
full,PCT22OP09,滚动3年Sharpe中位,-0.005876045684797715,7
full,PCT22OP09,滚动3年为负的窗口占比,0.0,2
full,PCT22OP09,滚动5年年化中位,-0.01329952807550383,7
full,PCT22OP09,滚动5年年化P25,9.575724927357587e-05,7
full,PCT22OP09,滚动5年年化最差,-0.002725978750553637,7
full,PCT22OP09,滚动5年回撤中位,0.03470104095447757,10
full,PCT22OP09,滚动5年Calmar中位,-0.08107081062313576,4
full,PCT22OP09,滚动5年Sharpe中位,-0.015411430515566704,5
full,PCT22OP09,滚动5年为负的窗口占比,0.0,1
full,PCT22OP09,滚动5年窗口数,0.0,0
full,PCT22OP09,互不重叠5年块中位,0.02007359966229111,7
full,PCT22OP09,滚动10年年化中位,0.010103568138801311,7
full,PCT22OP09,滚动10年窗口数,0.0,0
full,PCT22OP09,逐年收益中位,0.012247699257417366,8
full,PCT22OP09,逐年为正比例,0.0,2
full,PCT22OP09,逐年最差,-0.04956041927856569,2
full,PCT22OP09,完整自然年数,0.0,0
full,PCT22OP09,强平次数,0.0,0
full,PCT22OP09,最低担保比例,-0.013094269036526551,6
full,PCT22OP09,最低股票同跌缓冲,-0.004791021146483471,6
full,PCT22OP09,最低总资产冲击缓冲,-0.004791021146483498,6
full,PCT22OP09,rf覆盖率,0.0,0
full,PCT22OP09,年化_交易日口径,0.008934277479274555,7
full,PCT22OP09,最低担保比例日,0.0,5
full,PCT22OP09,最低股票同跌缓冲日,0.0,5
full,PCT22OP09,滚动5年年化最差窗口末日,0.0,4
full,PCT22OP09,最大回撤起日,0.0,1
full,PCT22OP09,最大回撤止日,0.0,4
full,PCT22OP09,末次净值日,0.0,0
full,PCT23OP09,年化,0.0028928759221771294,8
full,PCT23OP09,最大回撤,-0.00189818425889543,7
full,PCT23OP09,Sharpe,0.0051704890028828054,8
full,PCT23OP09,Calmar,0.002965392700233216,7
full,PCT23OP09,平均仓位,0.01504894804955148,12
full,PCT23OP09,年均换手,0.07481780750128397,8
full,PCT23OP09,持仓数中位,0.0,5
full,PCT23OP09,单票权重中位,0.003695021921588826,10
full,PCT23OP09,单票权重P90,0.004825369186781281,7
full,PCT23OP09,单票权重最大,-0.006022411333265865,7
full,PCT23OP09,前三权重中位,0.014762196079883605,9
full,PCT23OP09,单票超60%天数占比,0.0127879575067118,9
full,PCT23OP09,滚动3年年化中位,-0.00774259867915128,5
full,PCT23OP09,滚动3年回撤中位,0.036961948270211986,12
full,PCT23OP09,滚动3年Calmar中位,-0.048001264998182636,6
full,PCT23OP09,滚动3年Sharpe中位,0.014990891920297233,8
full,PCT23OP09,滚动3年为负的窗口占比,0.0,2
full,PCT23OP09,滚动5年年化中位,0.0033943689724521553,8
full,PCT23OP09,滚动5年年化P25,-0.005142805220248681,6
full,PCT23OP09,滚动5年年化最差,0.008536225818055576,8
full,PCT23OP09,滚动5年回撤中位,0.019922590428449405,8
full,PCT23OP09,滚动5年Calmar中位,-0.002689388261402359,7
full,PCT23OP09,滚动5年Sharpe中位,0.018461434826733736,8
full,PCT23OP09,滚动5年为负的窗口占比,0.0,0
full,PCT23OP09,滚动5年窗口数,0.0,0
full,PCT23OP09,互不重叠5年块中位,-0.005854505631948781,6
full,PCT23OP09,滚动10年年化中位,-0.004971171320700796,7
full,PCT23OP09,滚动10年窗口数,0.0,0
full,PCT23OP09,逐年收益中位,0.012933724729146223,8
full,PCT23OP09,逐年为正比例,0.0,3
full,PCT23OP09,逐年最差,-0.04257688141973248,5
full,PCT23OP09,完整自然年数,0.0,0
full,PCT23OP09,强平次数,0.0,0
full,PCT23OP09,最低担保比例,-0.019431386977649567,5
full,PCT23OP09,最低股票同跌缓冲,-0.007602227293050351,5
full,PCT23OP09,最低总资产冲击缓冲,-0.00760222729305049,5
full,PCT23OP09,rf覆盖率,0.0,0
full,PCT23OP09,年化_交易日口径,0.0029050820520643006,8
full,PCT23OP09,最低担保比例日,0.0,2
full,PCT23OP09,最低股票同跌缓冲日,0.0,2
full,PCT23OP09,滚动5年年化最差窗口末日,0.0,4
full,PCT23OP09,最大回撤起日,0.0,2
full,PCT23OP09,最大回撤止日,48.0,8
full,PCT23OP09,末次净值日,0.0,0
full,PCT24OP09,年化,0.0035526989260221686,8
full,PCT24OP09,最大回撤,-0.005761125759754959,6
full,PCT24OP09,Sharpe,0.00856560986342364,8
full,PCT24OP09,Calmar,0.03943993381945898,10
full,PCT24OP09,平均仓位,0.008730525996024419,11
full,PCT24OP09,年均换手,0.04673195844081546,10
full,PCT24OP09,持仓数中位,0.0,5
full,PCT24OP09,单票权重中位,-0.0011069079671478521,6
full,PCT24OP09,单票权重P90,0.005830512147103728,8
full,PCT24OP09,单票权重最大,-0.013269302858164356,6
full,PCT24OP09,前三权重中位,0.011783927646119241,10
full,PCT24OP09,单票超60%天数占比,-0.019152694589930908,5
full,PCT24OP09,滚动3年年化中位,-0.003508127134393302,6
full,PCT24OP09,滚动3年回撤中位,0.018677135058394856,12
full,PCT24OP09,滚动3年Calmar中位,-0.043773853852104194,4
full,PCT24OP09,滚动3年Sharpe中位,0.008208202945586551,8
full,PCT24OP09,滚动3年为负的窗口占比,0.0,2
full,PCT24OP09,滚动5年年化中位,-0.006729393798855843,6
full,PCT24OP09,滚动5年年化P25,0.004802000651802696,9
full,PCT24OP09,滚动5年年化最差,0.000859748601119037,7
full,PCT24OP09,滚动5年回撤中位,0.025633772671307953,10
full,PCT24OP09,滚动5年Calmar中位,-0.015647178570756592,6
full,PCT24OP09,滚动5年Sharpe中位,-0.010193473077199477,7
full,PCT24OP09,滚动5年为负的窗口占比,0.0,1
full,PCT24OP09,滚动5年窗口数,0.0,0
full,PCT24OP09,互不重叠5年块中位,-0.001977454055332062,7
full,PCT24OP09,滚动10年年化中位,-0.0028110719226331904,6
full,PCT24OP09,滚动10年窗口数,0.0,0
full,PCT24OP09,逐年收益中位,-0.01163855331985858,6
full,PCT24OP09,逐年为正比例,0.0,2
full,PCT24OP09,逐年最差,-0.058595443123862834,3
full,PCT24OP09,完整自然年数,0.0,0
full,PCT24OP09,强平次数,0.0,0
full,PCT24OP09,最低担保比例,-0.034680844837058133,2
full,PCT24OP09,最低股票同跌缓冲,-0.013716623579902637,2
full,PCT24OP09,最低总资产冲击缓冲,-0.01371662357990261,2
full,PCT24OP09,rf覆盖率,0.0,0
full,PCT24OP09,年化_交易日口径,0.003567508014041265,8
full,PCT24OP09,最低担保比例日,0.0,2
full,PCT24OP09,最低股票同跌缓冲日,0.0,2
full,PCT24OP09,滚动5年年化最差窗口末日,0.0,3
full,PCT24OP09,最大回撤起日,0.0,2
full,PCT24OP09,最大回撤止日,0.0,5
full,PCT24OP09,末次净值日,0.0,0
A,PCT16OP09,年化,-0.026831413990986208,4
A,PCT16OP09,最大回撤,0.00015330577996630623,7
A,PCT16OP09,Sharpe,-0.04401894985508198,3
A,PCT16OP09,Calmar,-0.020152715660946563,5
A,PCT16OP09,平均仓位,0.037550912310186035,13
A,PCT16OP09,年均换手,-0.23871337843938178,6
A,PCT16OP09,持仓数中位,0.0,5
A,PCT16OP09,单票权重中位,-0.00704041399755112,3
A,PCT16OP09,单票权重P90,-0.008836335378305027,4
A,PCT16OP09,单票权重最大,-0.024306262473636542,5
A,PCT16OP09,前三权重中位,0.0018701146846125116,8
A,PCT16OP09,单票超60%天数占比,-0.038630181090660354,3
A,PCT16OP09,滚动3年年化中位,-0.05923487583664577,1
A,PCT16OP09,滚动3年回撤中位,-0.031249766590430772,6
A,PCT16OP09,滚动3年Calmar中位,-0.11627425004412328,2
A,PCT16OP09,滚动3年Sharpe中位,-0.08412907604182696,3
A,PCT16OP09,滚动3年为负的窗口占比,0.0,1
A,PCT16OP09,滚动5年年化中位,-0.08505966464835668,2
A,PCT16OP09,滚动5年年化P25,-0.04340203219887606,3
A,PCT16OP09,滚动5年年化最差,0.015822689383505284,9
A,PCT16OP09,滚动5年回撤中位,-0.03516370816541642,6
A,PCT16OP09,滚动5年Calmar中位,-0.10350082970304342,2
A,PCT16OP09,滚动5年Sharpe中位,-0.09588414920433347,1
A,PCT16OP09,滚动5年为负的窗口占比,0.0,1
A,PCT16OP09,滚动5年窗口数,0.0,0
A,PCT16OP09,互不重叠5年块中位,-0.05194532288223036,2
A,PCT16OP09,滚动10年年化中位,-0.055996085090111336,2
A,PCT16OP09,滚动10年窗口数,0.0,0
A,PCT16OP09,逐年收益中位,-0.036057223238700586,4
A,PCT16OP09,逐年为正比例,0.0,6
A,PCT16OP09,逐年最差,0.027372523413992544,10
A,PCT16OP09,完整自然年数,0.0,0
A,PCT16OP09,强平次数,0.0,0
A,PCT16OP09,最低担保比例,0.09377501772466634,13
A,PCT16OP09,最低股票同跌缓冲,0.04094026121525732,13
A,PCT16OP09,最低总资产冲击缓冲,0.04094026121525729,13
A,PCT16OP09,rf覆盖率,0.0,0
A,PCT16OP09,年化_交易日口径,-0.026928934931126136,4
A,PCT16OP09,最低担保比例日,-0.5,0
A,PCT16OP09,最低股票同跌缓冲日,-0.5,0
A,PCT16OP09,滚动5年年化最差窗口末日,0.0,4
A,PCT16OP09,最大回撤起日,0.0,2
A,PCT16OP09,最大回撤止日,0.0,5
A,PCT16OP09,末次净值日,0.0,0
A,PCT17OP09,年化,-0.01505742427036183,6
A,PCT17OP09,最大回撤,0.02811639224337692,9
A,PCT17OP09,Sharpe,-0.042128886828088075,4
A,PCT17OP09,Calmar,-0.0875043600806274,4
A,PCT17OP09,平均仓位,0.04690689007242399,13
A,PCT17OP09,年均换手,-0.15693809702665096,4
A,PCT17OP09,持仓数中位,0.0,3
A,PCT17OP09,单票权重中位,-0.0031424919779354243,4
A,PCT17OP09,单票权重P90,-9.16068694115646e-05,7
A,PCT17OP09,单票权重最大,0.0001072139931640459,7
A,PCT17OP09,前三权重中位,0.017836691714781527,12
A,PCT17OP09,单票超60%天数占比,-0.009119158475130562,6
A,PCT17OP09,滚动3年年化中位,-0.03730412069772582,4
A,PCT17OP09,滚动3年回撤中位,0.001287824334675114,7
A,PCT17OP09,滚动3年Calmar中位,-0.1283006897529635,4
A,PCT17OP09,滚动3年Sharpe中位,-0.09729837077515824,4
A,PCT17OP09,滚动3年为负的窗口占比,0.0,2
A,PCT17OP09,滚动5年年化中位,-0.07114185782255811,2
A,PCT17OP09,滚动5年年化P25,-0.023283408607914557,5
A,PCT17OP09,滚动5年年化最差,0.007518657755715141,8
A,PCT17OP09,滚动5年回撤中位,-0.003493282045564816,6
A,PCT17OP09,滚动5年Calmar中位,-0.17263658526621034,1
A,PCT17OP09,滚动5年Sharpe中位,-0.09940243703440055,2
A,PCT17OP09,滚动5年为负的窗口占比,0.0,1
A,PCT17OP09,滚动5年窗口数,0.0,0
A,PCT17OP09,互不重叠5年块中位,-0.0724640881082596,3
A,PCT17OP09,滚动10年年化中位,-0.0470112167775486,2
A,PCT17OP09,滚动10年窗口数,0.0,0
A,PCT17OP09,逐年收益中位,0.007303250537062489,8
A,PCT17OP09,逐年为正比例,0.0,5
A,PCT17OP09,逐年最差,0.02455561492203262,12
A,PCT17OP09,完整自然年数,0.0,0
A,PCT17OP09,强平次数,0.0,0
A,PCT17OP09,最低担保比例,0.02414095089918955,9
A,PCT17OP09,最低股票同跌缓冲,0.010984033155711323,9
A,PCT17OP09,最低总资产冲击缓冲,0.010984033155711281,9
A,PCT17OP09,rf覆盖率,0.0,0
A,PCT17OP09,年化_交易日口径,-0.015117707964079075,6
A,PCT17OP09,最低担保比例日,-19294.0,1
A,PCT17OP09,最低股票同跌缓冲日,-19294.0,1
A,PCT17OP09,滚动5年年化最差窗口末日,0.0,3
A,PCT17OP09,最大回撤起日,0.0,2
A,PCT17OP09,最大回撤止日,0.0,4
