tag,rank,peak,trough,code,name,pnl_over_peak,share_of_net_loss
BASE20091101,5,2024-05-29,2024-09-11,000933,神火股份,-0.28375908303589326,0.7525234604521671
BASE20091101,5,2024-05-29,2024-09-11,000792,盐湖股份,-0.03406631076160807,0.09034318050682977
BASE20091101,5,2024-05-29,2024-09-11,601169,北京银行,-0.015622052670676425,0.04142937385238311
BASE20091101,5,2024-05-29,2024-09-11,601328,交通银行,-0.008623524917861046,0.02286941705285757
BASE20091101,5,2024-05-29,2024-09-11,600176,中国巨石,-0.005033379668113128,0.013348423053435627
BASE20091101,5,2024-05-29,2024-09-11,601229,上海银行,-0.004994916698227629,0.013246420020130635
BASE20091101,5,2024-05-29,2024-09-11,002128,电投能源,-0.004820329381414525,0.012783417918511085
BASE20091101,5,2024-05-29,2024-09-11,000001,平安银行,-0.0040926248307696,0.010853559882675666
BASE20091101,5,2024-05-29,2024-09-11,601009,南京银行,-0.002126002117477299,0.005638115450811072
BASE20091101,5,2024-05-29,2024-09-11,601166,兴业银行,-0.0021194664782603063,0.005620783065228136
BASE20091101,5,2024-05-29,2024-09-11,601838,成都银行,-0.002008853783531254,0.00532744039257467
BASE20091101,5,2024-05-29,2024-09-11,601658,邮储银行,-0.0016193803362912255,0.004294564534873131
BASE20091101,5,2024-05-29,2024-09-11,601939,建设银行,-0.0008970398082340866,0.002378931780556521
BASE20091101,5,2024-05-29,2024-09-11,601398,工商银行,-0.0007219042263772518,0.001914475690914667
BASE20091101,5,2024-05-29,2024-09-11,600919,江苏银行,-3.0212336285249194e-07,8.01225166309282e-07
BASE20091101,5,2024-05-29,2024-09-11,002948,青岛银行,-6.220186882257164e-08,1.649581224754398e-07
BASE20091101,5,2024-05-29,2024-09-11,601288,农业银行,1.1091037510119178e-06,-2.941321150965213e-06
BASE20091101,5,2024-05-29,2024-09-11,601988,中国银行,0.0005444092387761693,-0.0014437625040328726
BASE20091101,5,2024-05-29,2024-09-11,RESIDUAL,未分摊费用税息等,-0.007117011741615953,0.018874173987946267
BASE20091101,6,2026-03-12,2026-06-30,600970,中材国际,-0.11757107028593401,0.3357673844424393
BASE20091101,6,2026-03-12,2026-06-30,000933,神火股份,-0.11378530837289141,0.3249557504871414
BASE20091101,6,2026-03-12,2026-06-30,002648,卫星化学,-0.036044278427806484,0.10293767899183223
BASE20091101,6,2026-03-12,2026-06-30,000001,平安银行,-0.027208645049296157,0.07770428184592178
BASE20091101,6,2026-03-12,2026-06-30,600919,江苏银行,-0.012624802824800262,0.03605476256425513
BASE20091101,6,2026-03-12,2026-06-30,000651,格力电器,-0.009972310969871953,0.02847959760047489
BASE20091101,6,2026-03-12,2026-06-30,601998,中信银行,-0.0076631321656246195,0.02188488917920769
BASE20091101,6,2026-03-12,2026-06-30,600309,万华化学,-0.00438129763998489,0.012512405011401499
BASE20091101,6,2026-03-12,2026-06-30,601665,齐鲁银行,-0.002904604165740536,0.008295164288284897
BASE20091101,6,2026-03-12,2026-06-30,600036,招商银行,-0.0024694407240228393,0.0070523952101845516
BASE20091101,6,2026-03-12,2026-06-30,002966,苏州银行,-0.0022958308556447283,0.006556588450265241
BASE20091101,6,2026-03-12,2026-06-30,600938,中国海油,-0.0018933330786175355,0.005407108178395289
BASE20091101,6,2026-03-12,2026-06-30,601963,重庆银行,-0.0018244161262867627,0.005210290502315867
BASE20091101,6,2026-03-12,2026-06-30,002142,宁波银行,-0.0009930632962922832,0.002836057073997216
BASE20091101,6,2026-03-12,2026-06-30,601398,工商银行,-0.0009243970365713105,0.00263995534276449
BASE20091101,6,2026-03-12,2026-06-30,601825,沪农商行,-0.0007306267993582013,0.0020865732431237707
BASE20091101,6,2026-03-12,2026-06-30,601229,上海银行,-0.0006817487009944309,0.0019469838764180829
BASE20091101,6,2026-03-12,2026-06-30,002001,新 和 成,-1.1738870517675637e-06,3.3524657387591792e-06
BASE20091101,6,2026-03-12,2026-06-30,600926,杭州银行,-8.277408698351925e-08,2.3639181491224634e-07
BASE20091101,6,2026-03-12,2026-06-30,601658,邮储银行,-2.633720949448774e-08,7.52155774713119e-08
BASE20091101,6,2026-03-12,2026-06-30,601988,中国银行,-3.762458498678327e-09,1.0745082494376078e-08
BASE20091101,6,2026-03-12,2026-06-30,601838,成都银行,0.0010670382469988883,-0.003047319722645459
BASE20091101,6,2026-03-12,2026-06-30,RESIDUAL,未分摊费用税息等,-0.00725376071810846,0.02071577861600853
BASE20091101,7,2018-06-12,2019-01-03,600585,海螺水泥,-0.13239368384176986,0.392353243974028
BASE20091101,7,2018-06-12,2019-01-03,000338,潍柴动力,-0.11963294498351619,0.35453635466890804
BASE20091101,7,2018-06-12,2019-01-03,000651,格力电器,-0.058586049602996924,0.173621776706745
BASE20091101,7,2018-06-12,2019-01-03,002152,广电运通,-0.012415550708365487,0.0367939123287267
BASE20091101,7,2018-06-12,2019-01-03,600309,万华化学,-0.003446541671710641,0.010213945002115763
BASE20091101,7,2018-06-12,2019-01-03,002128,电投能源,-0.0009978236372629365,0.002957084731186851
BASE20091101,7,2018-06-12,2019-01-03,601225,陕西煤业,0.000462736752163124,-0.0013713363096248177
BASE20091101,7,2018-06-12,2019-01-03,RESIDUAL,未分摊费用税息等,-0.01042505810026319,0.03089501889791437
BASE20111101,1,2024-05-29,2024-09-11,000933,神火股份,-0.27636236633989875,0.5818131593858575
BASE20111101,1,2024-05-29,2024-09-11,002128,电投能源,-0.20499735330419624,0.4315716331830891
BASE20111101,1,2024-05-29,2024-09-11,601169,北京银行,-0.012188580052166682,0.02566006494479322
BASE20111101,1,2024-05-29,2024-09-11,601166,兴业银行,-0.00587938323184488,0.012377598942515831
BASE20111101,1,2024-05-29,2024-09-11,601229,上海银行,-0.005796788628606043,0.012203716269216142
BASE20111101,1,2024-05-29,2024-09-11,000792,盐湖股份,-0.005661266512478528,0.01191840770280363
BASE20111101,1,2024-05-29,2024-09-11,000001,平安银行,-4.110945179160641e-06,8.654586492459794e-06
BASE20111101,1,2024-05-29,2024-09-11,002807,江阴银行,-6.920783129900069e-07,1.4570010930066992e-06
BASE20111101,1,2024-05-29,2024-09-11,601818,光大银行,-2.570576591105742e-07,5.411718345453459e-07
BASE20111101,1,2024-05-29,2024-09-11,600919,江苏银行,-2.2410154896819387e-07,4.717908301164574e-07
BASE20111101,1,2024-05-29,2024-09-11,601988,中国银行,8.33130464701703e-08,-1.7539517925987776e-07
BASE20111101,1,2024-05-29,2024-09-11,601288,农业银行,2.1151231489282336e-07,-4.452872864225563e-07
BASE20111101,1,2024-05-29,2024-09-11,601398,工商银行,4.961871943067398e-07,-1.0446004026877896e-06
BASE20111101,1,2024-05-29,2024-09-11,601328,交通银行,0.042085746894075404,-0.08860121473789997
BASE20111101,1,2024-05-29,2024-09-11,RESIDUAL,未分摊费用税息等,-0.006197433163132981,0.013047175042242797
BASE20111101,2,2013-02-08,2013-06-25,000338,潍柴动力,-0.18366520305663978,0.3894743114389112
BASE20111101,2,2013-02-08,2013-06-25,600585,海螺水泥,-0.13851625805331358,0.29373296264383775
BASE20111101,2,2013-02-08,2013-06-25,000651,格力电器,-0.12945751275782882,0.2745232891306063
BASE20111101,2,2013-02-08,2013-06-25,600660,福耀玻璃,-0.010380748004051848,0.022013068419128527
BASE20111101,2,2013-02-08,2013-06-25,002024,ST易购,-6.109276074619345e-05,0.00012955127334701545
BASE20111101,2,2013-02-08,2013-06-25,600066,宇通客车,-1.5063968403179247e-05,3.1944149592432284e-05
BASE20111101,2,2013-02-08,2013-06-25,RESIDUAL,未分摊费用税息等,-0.009476180614140396,0.020094872944576878
BASE20111101,3,2015-04-27,2016-06-13,601088,中国神华,-0.15445396918731655,0.33913907926201947
BASE20111101,3,2015-04-27,2016-06-13,000792,盐湖股份,-0.12010746145106514,0.2637234517399353
BASE20111101,3,2015-04-27,2016-06-13,000338,潍柴动力,-0.03588931784012017,0.07880322060794162
BASE20111101,3,2015-04-27,2016-06-13,600188,兖矿能源,-0.03546579616338682,0.07787328172549916
BASE20111101,3,2015-04-27,2016-06-13,002128,电投能源,-0.027879227575834168,0.061215232087289885
BASE20111101,3,2015-04-27,2016-06-13,600585,海螺水泥,-0.024743524132753145,0.0543300766968477
BASE20111101,3,2015-04-27,2016-06-13,600660,福耀玻璃,-0.01663866594218707,0.03653400347995085
BASE20111101,3,2015-04-27,2016-06-13,000333,美的集团,-0.011998264945156233,0.026344939839695578
BASE20111101,3,2015-04-27,2016-06-13,002304,洋河股份,-0.01058584142468912,0.023243640373067358
BASE20111101,3,2015-04-27,2016-06-13,601398,工商银行,-0.008788624915627784,0.019297439732678678
BASE20111101,3,2015-04-27,2016-06-13,601288,农业银行,-0.0035266578138792464,0.00774358529058397
BASE20111101,3,2015-04-27,2016-06-13,601225,陕西煤业,-0.0006302213797181839,0.001383795441279056
BASE20111101,3,2015-04-27,2016-06-13,600031,三一重工,-0.0004626904636012951,0.0010159429287230374
BASE20111101,3,2015-04-27,2016-06-13,000568,泸州老窖,-0.0004079715216471773,0.0008957949539564862
BASE20111101,3,2015-04-27,2016-06-13,600690,海尔智家,-9.682172034776632e-06,2.1259427170488432e-05
BASE20111101,3,2015-04-27,2016-06-13,600309,万华化学,9.007353983867732e-05,-0.00019777709519211472
BASE20111101,3,2015-04-27,2016-06-13,600519,贵州茅台,0.0006802459352312024,-0.0014936358149932592
BASE20111101,3,2015-04-27,2016-06-13,601009,南京银行,0.0012416065338414267,-0.0027262316333354995
BASE20111101,3,2015-04-27,2016-06-13,600887,伊利股份,0.0032091999307995995,-0.0070465337694182555
BASE20111101,3,2015-04-27,2016-06-13,000651,格力电器,0.003708271889319313,-0.00814236060629677
BASE20111101,3,2015-04-27,2016-06-13,RESIDUAL,未分摊费用税息等,-0.012771063133398885,0.02804179533259729
BASE20111101,4,2021-09-22,2021-11-16,002128,电投能源,-0.14163393290506146,0.3780513321953402
BASE20111101,4,2021-09-22,2021-11-16,600585,海螺水泥,-0.11159530889567466,0.2978718046546079
BASE20111101,4,2021-09-22,2021-11-16,601088,中国神华,-0.10201440512341556,0.2722983184112666
BASE20111101,4,2021-09-22,2021-11-16,601225,陕西煤业,-0.017038113421391346,0.045478377567683276
BASE20111101,4,2021-09-22,2021-11-16,000338,潍柴动力,-0.001664903487117409,0.004443984350157877
BASE20111101,4,2021-09-22,2021-11-16,601988,中国银行,-1.803209668707273e-08,4.8131532006475905e-08
BASE20111101,4,2021-09-22,2021-11-16,601169,北京银行,0.000186812521678073,-0.0004986426715870891
BASE20111101,4,2021-09-22,2021-11-16,601328,交通银行,0.002386746349597661,-0.006370737707909231
BASE20111101,4,2021-09-22,2021-11-16,RESIDUAL,未分摊费用税息等,-0.0032689450098097265,0.008725515068908412
BASE20111101,5,2020-01-03,2020-03-23,002466,天齐锂业,-0.10435144675793773,0.3054481525662885
BASE20111101,5,2020-01-03,2020-03-23,000338,潍柴动力,-0.0933477422757258,0.2732391002732847
BASE20111101,5,2020-01-03,2020-03-23,002128,电投能源,-0.06753990849264392,0.19769673458796588
BASE20111101,5,2020-01-03,2020-03-23,600309,万华化学,-0.04790584171447661,0.14022566340420042
BASE20111101,5,2020-01-03,2020-03-23,600585,海螺水泥,-0.023261400582863887,0.06808867586303677
BASE20111101,5,2020-01-03,2020-03-23,601225,陕西煤业,-6.485535984753662e-06,1.8983876568002656e-05
BASE20111101,5,2020-01-03,2020-03-23,600066,宇通客车,-3.3089469309981567e-06,9.685651310209507e-06
BASE20111101,5,2020-01-03,2020-03-23,600016,民生银行,-8.27236732749065e-07,2.4214128275509884e-06
BASE20111101,5,2020-01-03,2020-03-23,RESIDUAL,未分摊费用税息等,-0.005216948765888754,0.01527058236451796
BASE20111101,6,2020-07-20,2021-02-05,002128,电投能源,-0.20105707862626984,0.5887996285151049
BASE20111101,6,2020-07-20,2021-02-05,600585,海螺水泥,-0.07253908459853706,0.2124321429330856
BASE20111101,6,2020-07-20,2021-02-05,002466,天齐锂业,-0.06568578466691596,0.19236211863246463
BASE20111101,6,2020-07-20,2021-02-05,601088,中国神华,-0.02271439275224495,0.06651954810966083
BASE20111101,6,2020-07-20,2021-02-05,600016,民生银行,-2.231359443022088e-06,6.534580230210379e-06
BASE20111101,6,2020-07-20,2021-02-05,600000,浦发银行,-1.6414598201541784e-06,4.807047525672e-06
BASE20111101,6,2020-07-20,2021-02-05,601328,交通银行,-9.746167682165465e-07,2.8541844683677585e-06
BASE20111101,6,2020-07-20,2021-02-05,601818,光大银行,-6.155474325578174e-07,1.8026428221270014e-06
BASE20111101,6,2020-07-20,2021-02-05,601288,农业银行,-5.386040034879113e-07,1.5773124693606022e-06
BASE20111101,6,2020-07-20,2021-02-05,601988,中国银行,-3.590693356587264e-07,1.0515416462407495e-06
BASE20111101,6,2020-07-20,2021-02-05,601916,浙商银行,-1.7953466782936472e-07,5.257708231203792e-07
BASE20111101,6,2020-07-20,2021-02-05,601169,北京银行,0.00025622161880218793,-0.0007503500747103539
BASE20111101,6,2020-07-20,2021-02-05,601225,陕西煤业,0.006003254575068528,-0.017580649673381417
BASE20111101,6,2020-07-20,2021-02-05,600309,万华化学,0.025601797519325308,-0.0749753700376709
BASE20111101,6,2020-07-20,2021-02-05,RESIDUAL,未分摊费用税息等,-0.011327831527567762,0.03317377851546144
BASE20111101,7,2018-06-12,2019-01-03,600585,海螺水泥,-0.13238186370262475,0.39092755703700977
BASE20111101,7,2018-06-12,2019-01-03,000338,潍柴动力,-0.11962070727839155,0.3532434848660745
BASE20111101,7,2018-06-12,2019-01-03,000651,格力电器,-0.04039532900415497,0.11928860073139658
BASE20111101,7,2018-06-12,2019-01-03,002128,电投能源,-0.03182230985988616,0.09397222175950823
BASE20111101,7,2018-06-12,2019-01-03,002152,广电运通,-0.00311233116648586,0.009190805942554054
BASE20111101,7,2018-06-12,2019-01-03,600309,万华化学,-0.0007296701712528081,0.0021547375864975162
BASE20111101,7,2018-06-12,2019-01-03,601225,陕西煤业,0.00041019732414894136,-0.0012113248246216118
BASE20111101,7,2018-06-12,2019-01-03,RESIDUAL,未分摊费用税息等,-0.01098326861158279,0.032433916901580824
