arm,method,horizon,year,n,median
CURRENT_BASE,ma60_nonoverlap,250,2023,15,0.35255193044081756
CURRENT_BASE,ma60_nonoverlap,250,2024,20,0.3170205621823011
CURRENT_BASE,ma60_nonoverlap,250,2025,9,0.3906067397539015
CURRENT_BASE,ma60_nonoverlap,750,2011,2,0.4522643079590385
CURRENT_BASE,ma60_nonoverlap,750,2012,10,0.7349165885107913
CURRENT_BASE,ma60_nonoverlap,750,2013,5,0.18148972288396203
CURRENT_BASE,ma60_nonoverlap,750,2014,6,2.0485728005833224
CURRENT_BASE,ma60_nonoverlap,750,2015,7,0.18132956901893937
CURRENT_BASE,ma60_nonoverlap,750,2016,5,0.8427648180030349
CURRENT_BASE,ma60_nonoverlap,750,2017,2,4.598848505982464
CURRENT_BASE,ma60_nonoverlap,750,2018,2,0.9620162878858783
CURRENT_BASE,ma60_nonoverlap,750,2019,6,0.39430937424444157
CURRENT_BASE,ma60_nonoverlap,750,2020,5,0.3353779342960732
CURRENT_BASE,ma60_nonoverlap,750,2021,7,0.5850463605834777
CURRENT_BASE,ma60_nonoverlap,750,2022,10,0.7174403754009984
CURRENT_BASE,ma60_nonoverlap,750,2023,2,0.9364366266260559
CURRENT_BASE,stop_episode,250,2011,2,-0.14233007187921864
CURRENT_BASE,stop_episode,250,2012,16,0.029956905253326838
CURRENT_BASE,stop_episode,250,2013,16,-0.05617910258440756
CURRENT_BASE,stop_episode,250,2014,19,0.6201915352416387
CURRENT_BASE,stop_episode,250,2015,9,-0.08985566599427375
CURRENT_BASE,stop_episode,250,2016,15,0.361741273100616
CURRENT_BASE,stop_episode,250,2017,2,0.4495577908660765
CURRENT_BASE,stop_episode,250,2018,5,0.44120080013235263
CURRENT_BASE,stop_episode,250,2019,3,-0.09176456804244904
CURRENT_BASE,stop_episode,250,2020,7,-0.0808449514041023
CURRENT_BASE,stop_episode,250,2021,17,-0.004236638294609074
CURRENT_BASE,stop_episode,250,2022,17,0.18460966542750956
CURRENT_BASE,stop_episode,250,2023,10,0.2543758218982274
CURRENT_BASE,stop_episode,250,2024,17,0.3552276066583926
CURRENT_BASE,stop_episode,250,2025,6,0.35748993280898744
CURRENT_BASE,stop_episode,750,2011,2,0.4522643079590385
CURRENT_BASE,stop_episode,750,2012,16,0.7349165885107913
CURRENT_BASE,stop_episode,750,2013,16,0.2903622476872695
CURRENT_BASE,stop_episode,750,2014,19,0.7585172471180774
CURRENT_BASE,stop_episode,750,2015,9,0.32419100589183425
CURRENT_BASE,stop_episode,750,2016,15,0.8921528539157773
CURRENT_BASE,stop_episode,750,2017,2,4.598848505982464
CURRENT_BASE,stop_episode,750,2018,5,0.9727926761693502
CURRENT_BASE,stop_episode,750,2019,3,1.825180565850221
CURRENT_BASE,stop_episode,750,2020,7,0.3353779342960732
CURRENT_BASE,stop_episode,750,2021,17,0.579088429916427
CURRENT_BASE,stop_episode,750,2022,17,0.7306811316043569
CURRENT_BASE,stop_episode,750,2023,5,0.9075333623521868
CURRENT_BOTH1,daily,250,2011,7,-0.15518888098927575
CURRENT_BOTH1,daily,250,2012,164,0.024624345701987682
CURRENT_BOTH1,daily,250,2013,215,0.03345178742483035
CURRENT_BOTH1,daily,250,2014,231,0.41647058823529415
CURRENT_BOTH1,daily,250,2015,149,-0.1996157695318277
CURRENT_BOTH1,daily,250,2016,193,0.41522753529069956
CURRENT_BOTH1,daily,250,2017,177,0.4343768371546153
CURRENT_BOTH1,daily,250,2018,88,0.27112326905222417
CURRENT_BOTH1,daily,250,2019,189,0.38974823059770314
CURRENT_BOTH1,daily,250,2020,224,0.31862008117604157
CURRENT_BOTH1,daily,250,2021,195,0.25610190766942
CURRENT_BOTH1,daily,250,2022,211,0.10810867804845126
CURRENT_BOTH1,daily,250,2023,232,0.37403314917127073
CURRENT_BOTH1,daily,250,2024,239,0.22523132668987178
CURRENT_BOTH1,daily,250,2025,149,0.4105687704452534
CURRENT_BOTH1,daily,750,2011,7,-0.13202076861203027
CURRENT_BOTH1,daily,750,2012,164,0.6647447114423913
CURRENT_BOTH1,daily,750,2013,215,0.8218588840282868
CURRENT_BOTH1,daily,750,2014,231,1.0146961583880505
CURRENT_BOTH1,daily,750,2015,149,-0.023359559858605605
CURRENT_BOTH1,daily,750,2016,193,0.3297716725870261
CURRENT_BOTH1,daily,750,2017,177,1.3109049801078947
CURRENT_BOTH1,daily,750,2018,88,0.9540060750217475
CURRENT_BOTH1,daily,750,2019,189,0.9759591068446409
CURRENT_BOTH1,daily,750,2020,224,0.961435524031117
CURRENT_BOTH1,daily,750,2021,195,0.9512309002986332
CURRENT_BOTH1,daily,750,2022,211,0.8118045655411166
CURRENT_BOTH1,daily,750,2023,109,1.1006620034735288
CURRENT_BOTH1,ma60_episode,250,2011,2,-0.1463566345791355
CURRENT_BOTH1,ma60_episode,250,2012,19,0.0283788049204452
CURRENT_BOTH1,ma60_episode,250,2013,28,-0.0023849825098453126
CURRENT_BOTH1,ma60_episode,250,2014,22,0.549384482464458
CURRENT_BOTH1,ma60_episode,250,2015,22,-0.08494725990340202
CURRENT_BOTH1,ma60_episode,250,2016,22,0.38850644217690644
CURRENT_BOTH1,ma60_episode,250,2017,14,0.5540634458304579
CURRENT_BOTH1,ma60_episode,250,2018,10,0.3415212309793686
CURRENT_BOTH1,ma60_episode,250,2019,18,0.33208161060288344
CURRENT_BOTH1,ma60_episode,250,2020,21,0.18703439934760802
CURRENT_BOTH1,ma60_episode,250,2021,31,0.12607176119288344
CURRENT_BOTH1,ma60_episode,250,2022,39,0.19811593415548434
CURRENT_BOTH1,ma60_episode,250,2023,33,0.3448591785103059
CURRENT_BOTH1,ma60_episode,250,2024,44,0.2879550445360266
CURRENT_BOTH1,ma60_episode,250,2025,26,0.16760365749254358
CURRENT_BOTH1,ma60_episode,750,2011,2,0.4557178402813342
CURRENT_BOTH1,ma60_episode,750,2012,19,0.8978507009922061
CURRENT_BOTH1,ma60_episode,750,2013,28,0.27977798973489154
CURRENT_BOTH1,ma60_episode,750,2014,22,0.7671821937811746
CURRENT_BOTH1,ma60_episode,750,2015,22,0.43557466814918355
CURRENT_BOTH1,ma60_episode,750,2016,22,0.7873121243151758
CURRENT_BOTH1,ma60_episode,750,2017,14,2.078604912208001
CURRENT_BOTH1,ma60_episode,750,2018,10,0.9257361356683141
CURRENT_BOTH1,ma60_episode,750,2019,18,0.849162013564062
CURRENT_BOTH1,ma60_episode,750,2020,21,0.5356248216199575
CURRENT_BOTH1,ma60_episode,750,2021,31,0.7661057444274144
CURRENT_BOTH1,ma60_episode,750,2022,39,0.8092025609842977
CURRENT_BOTH1,ma60_episode,750,2023,11,1.2882675523132887
CURRENT_BOTH1,ma60_nonoverlap,250,2011,2,-0.1463566345791355
CURRENT_BOTH1,ma60_nonoverlap,250,2012,10,-0.10816960945819448
CURRENT_BOTH1,ma60_nonoverlap,250,2013,13,0.015349902600982457
CURRENT_BOTH1,ma60_nonoverlap,250,2014,10,0.5941645998569897
CURRENT_BOTH1,ma60_nonoverlap,250,2015,12,0.05866340237155676
CURRENT_BOTH1,ma60_nonoverlap,250,2016,11,0.24412305993171568
CURRENT_BOTH1,ma60_nonoverlap,250,2017,5,0.6904270359882503
CURRENT_BOTH1,ma60_nonoverlap,250,2018,3,0.284110417331328
CURRENT_BOTH1,ma60_nonoverlap,250,2019,8,-0.02697924431892329
CURRENT_BOTH1,ma60_nonoverlap,250,2020,10,0.3559110077632215
CURRENT_BOTH1,ma60_nonoverlap,250,2021,10,0.06659237809963536
CURRENT_BOTH1,ma60_nonoverlap,250,2022,17,0.08695324925223691
CURRENT_BOTH1,ma60_nonoverlap,250,2023,17,0.3448591785103059
CURRENT_BOTH1,ma60_nonoverlap,250,2024,20,0.3035270823631314
CURRENT_BOTH1,ma60_nonoverlap,250,2025,9,0.1021106798656839
CURRENT_BOTH1,ma60_nonoverlap,750,2011,2,0.4557178402813342
CURRENT_BOTH1,ma60_nonoverlap,750,2012,10,0.5191614675277559
CURRENT_BOTH1,ma60_nonoverlap,750,2013,5,0.23445366841295612
CURRENT_BOTH1,ma60_nonoverlap,750,2014,5,2.124025299397904
CURRENT_BOTH1,ma60_nonoverlap,750,2015,8,0.8311133052704549
CURRENT_BOTH1,ma60_nonoverlap,750,2016,5,0.8427648180030349
CURRENT_BOTH1,ma60_nonoverlap,750,2017,2,4.598848505982464
CURRENT_BOTH1,ma60_nonoverlap,750,2018,1,0.8251902803734186
CURRENT_BOTH1,ma60_nonoverlap,750,2019,9,0.9094244502191482
CURRENT_BOTH1,ma60_nonoverlap,750,2020,5,0.3353779342960732
CURRENT_BOTH1,ma60_nonoverlap,750,2021,6,0.6794649339857072
CURRENT_BOTH1,ma60_nonoverlap,750,2022,10,0.7787707691477087
CURRENT_BOTH1,ma60_nonoverlap,750,2023,3,1.5470124013906599
CURRENT_BOTH1,stop_episode,250,2011,2,-0.1463566345791355
CURRENT_BOTH1,stop_episode,250,2012,16,0.005056270168395993
CURRENT_BOTH1,stop_episode,250,2013,19,-0.01737546987998506
CURRENT_BOTH1,stop_episode,250,2014,15,0.6274912692678223
CURRENT_BOTH1,stop_episode,250,2015,6,0.09512218390434146
CURRENT_BOTH1,stop_episode,250,2016,14,0.34652291046510153
CURRENT_BOTH1,stop_episode,250,2017,2,0.4495577908660765
CURRENT_BOTH1,stop_episode,250,2018,4,0.4200664223798809
CURRENT_BOTH1,stop_episode,250,2019,4,-0.07322988123637136
CURRENT_BOTH1,stop_episode,250,2020,6,0.474371822767678
CURRENT_BOTH1,stop_episode,250,2021,11,0.018302788067849685
CURRENT_BOTH1,stop_episode,250,2022,10,0.07496697731133539
CURRENT_BOTH1,stop_episode,250,2023,7,0.3448591785103059
CURRENT_BOTH1,stop_episode,250,2024,14,0.34259832036124327
CURRENT_BOTH1,stop_episode,250,2025,10,0.22859509534559008
CURRENT_BOTH1,stop_episode,750,2011,2,0.4557178402813342
CURRENT_BOTH1,stop_episode,750,2012,16,0.5191614675277559
CURRENT_BOTH1,stop_episode,750,2013,19,0.2703089572879971
CURRENT_BOTH1,stop_episode,750,2014,15,0.6393659890969667
CURRENT_BOTH1,stop_episode,750,2015,6,0.5426302134348626
CURRENT_BOTH1,stop_episode,750,2016,14,0.8674588359594061
CURRENT_BOTH1,stop_episode,750,2017,2,4.598848505982464
CURRENT_BOTH1,stop_episode,750,2018,4,0.9257361356683141
CURRENT_BOTH1,stop_episode,750,2019,4,1.190792768588191
CURRENT_BOTH1,stop_episode,750,2020,6,0.7249723597619423
CURRENT_BOTH1,stop_episode,750,2021,11,0.6350317067108728
CURRENT_BOTH1,stop_episode,750,2022,10,0.9089879983857815
CURRENT_BOTH1,stop_episode,750,2023,5,0.49737606354504615
CURRENT_OLD,daily,250,2011,10,-0.1704065111273131
CURRENT_OLD,daily,250,2012,187,0.07476299742080461
CURRENT_OLD,daily,250,2013,221,0.024440996261142045
CURRENT_OLD,daily,250,2014,235,0.4537037037037037
CURRENT_OLD,daily,250,2015,154,-0.21116938010530023
CURRENT_OLD,daily,250,2016,201,0.40055818091491324
CURRENT_OLD,daily,250,2017,185,0.4297830309451285
CURRENT_OLD,daily,250,2018,110,0.26361930048269766
CURRENT_OLD,daily,250,2019,204,0.3208722652278493
CURRENT_OLD,daily,250,2020,232,0.3345767635301291
CURRENT_OLD,daily,250,2021,206,0.11033305510033398
CURRENT_OLD,daily,250,2022,225,0.10971239536281319
CURRENT_OLD,daily,250,2023,239,0.39862986612698736
CURRENT_OLD,daily,250,2024,239,0.26098074525755166
CURRENT_OLD,daily,250,2025,149,0.4984189949691187
CURRENT_OLD,daily,750,2011,10,-0.1876673020447444
CURRENT_OLD,daily,750,2012,187,0.7239686054235821
CURRENT_OLD,daily,750,2013,221,0.6375033671003407
CURRENT_OLD,daily,750,2014,235,1.0005449275706622
CURRENT_OLD,daily,750,2015,154,-0.04416742921501371
CURRENT_OLD,daily,750,2016,201,0.3180874944999972
CURRENT_OLD,daily,750,2017,185,1.2709897774115237
CURRENT_OLD,daily,750,2018,110,0.8643390772565637
CURRENT_OLD,daily,750,2019,204,1.0065161748276044
CURRENT_OLD,daily,750,2020,232,0.9645166710436476
CURRENT_OLD,daily,750,2021,206,0.936647549004861
CURRENT_OLD,daily,750,2022,225,0.8439712836071309
CURRENT_OLD,daily,750,2023,115,1.2132523344979442
CURRENT_OLD,ma60_episode,250,2011,2,-0.14233007187921864
CURRENT_OLD,ma60_episode,250,2012,19,0.06378015458805608
CURRENT_OLD,ma60_episode,250,2013,25,-0.055137740074564956
CURRENT_OLD,ma60_episode,250,2014,25,0.587373451730894
CURRENT_OLD,ma60_episode,250,2015,26,-0.09231345391216966
CURRENT_OLD,ma60_episode,250,2016,25,0.3880458583322617
CURRENT_OLD,ma60_episode,250,2017,14,0.5682563754496277
CURRENT_OLD,ma60_episode,250,2018,18,0.2917535633356386
CURRENT_OLD,ma60_episode,250,2019,26,0.32081887836755096
CURRENT_OLD,ma60_episode,250,2020,23,0.2411673748175267
CURRENT_OLD,ma60_episode,250,2021,35,0.08121981815438017
CURRENT_OLD,ma60_episode,250,2022,43,0.22567743925292572
CURRENT_OLD,ma60_episode,250,2023,36,0.36063353791254693
CURRENT_OLD,ma60_episode,250,2024,44,0.29036439569112327
CURRENT_OLD,ma60_episode,250,2025,24,0.2633953087825024
CURRENT_OLD,ma60_episode,750,2011,2,0.45226430795903877
CURRENT_OLD,ma60_episode,750,2012,19,0.8978507009922059
CURRENT_OLD,ma60_episode,750,2013,25,0.2703089572879971
CURRENT_OLD,ma60_episode,750,2014,25,1.0766366923606165
CURRENT_OLD,ma60_episode,750,2015,26,0.30115028217249573
CURRENT_OLD,ma60_episode,750,2016,25,0.731859430627317
CURRENT_OLD,ma60_episode,750,2017,14,2.0703707847158626
CURRENT_OLD,ma60_episode,750,2018,18,0.8989914782713844
CURRENT_OLD,ma60_episode,750,2019,26,0.7490481392939442
CURRENT_OLD,ma60_episode,750,2020,23,0.49046314401911695
CURRENT_OLD,ma60_episode,750,2021,35,0.6601003359449407
CURRENT_OLD,ma60_episode,750,2022,43,0.8092025609842979
CURRENT_OLD,ma60_episode,750,2023,14,1.1854912265899875
CURRENT_OLD,ma60_nonoverlap,250,2011,2,-0.14233007187921864
CURRENT_OLD,ma60_nonoverlap,250,2012,10,0.04232502053579312
CURRENT_OLD,ma60_nonoverlap,250,2013,11,-0.05722046509425027
CURRENT_OLD,ma60_nonoverlap,250,2014,13,0.6650541412621742
CURRENT_OLD,ma60_nonoverlap,250,2015,11,-0.00015473032714385937
CURRENT_OLD,ma60_nonoverlap,250,2016,11,0.31289610910549537
CURRENT_OLD,ma60_nonoverlap,250,2017,4,0.4495577908660765
CURRENT_OLD,ma60_nonoverlap,250,2018,5,0.2611723210779129
CURRENT_OLD,ma60_nonoverlap,250,2019,7,0.008309048184990564
CURRENT_OLD,ma60_nonoverlap,250,2020,11,0.11168843208893287
CURRENT_OLD,ma60_nonoverlap,250,2021,11,-0.02581420410448232
CURRENT_OLD,ma60_nonoverlap,250,2022,17,0.18460966542750912
CURRENT_OLD,ma60_nonoverlap,250,2023,15,0.3525519304408178
CURRENT_OLD,ma60_nonoverlap,250,2024,20,0.317020562182301
CURRENT_OLD,ma60_nonoverlap,250,2025,9,0.3906067397539017
CURRENT_OLD,ma60_nonoverlap,750,2011,2,0.45226430795903877
CURRENT_OLD,ma60_nonoverlap,750,2012,10,0.7349165885107913
CURRENT_OLD,ma60_nonoverlap,750,2013,5,0.18148972288396203
CURRENT_OLD,ma60_nonoverlap,750,2014,6,2.048572800583323
CURRENT_OLD,ma60_nonoverlap,750,2015,7,0.1813295690189396
CURRENT_OLD,ma60_nonoverlap,750,2016,5,0.8427648180030345
CURRENT_OLD,ma60_nonoverlap,750,2017,2,4.598848505982463
CURRENT_OLD,ma60_nonoverlap,750,2018,2,0.9620162878858783
CURRENT_OLD,ma60_nonoverlap,750,2019,6,0.3943093742444419
CURRENT_OLD,ma60_nonoverlap,750,2020,5,0.33537793429607365
CURRENT_OLD,ma60_nonoverlap,750,2021,7,0.5850463605834779
CURRENT_OLD,ma60_nonoverlap,750,2022,10,0.7174403754009985
CURRENT_OLD,ma60_nonoverlap,750,2023,2,0.9364366266260558
CURRENT_OLD,stop_episode,250,2011,2,-0.14233007187921864
CURRENT_OLD,stop_episode,250,2012,16,0.02995690525332695
CURRENT_OLD,stop_episode,250,2013,16,-0.056179102584407614
CURRENT_OLD,stop_episode,250,2014,19,0.6201915352416387
CURRENT_OLD,stop_episode,250,2015,9,-0.08985566599427397
CURRENT_OLD,stop_episode,250,2016,15,0.361741273100616
CURRENT_OLD,stop_episode,250,2017,2,0.4495577908660765
CURRENT_OLD,stop_episode,250,2018,5,0.44120080013235263
CURRENT_OLD,stop_episode,250,2019,3,-0.24465811965811957
CURRENT_OLD,stop_episode,250,2020,7,-0.08084495140410242
CURRENT_OLD,stop_episode,250,2021,17,-0.004236638294609296
CURRENT_OLD,stop_episode,250,2022,17,0.18460966542750912
CURRENT_OLD,stop_episode,250,2023,10,0.2543758218982273
CURRENT_OLD,stop_episode,250,2024,17,0.3552276066583928
CURRENT_OLD,stop_episode,250,2025,6,0.35748993280898733
CURRENT_OLD,stop_episode,750,2011,2,0.45226430795903877
CURRENT_OLD,stop_episode,750,2012,16,0.7349165885107913
CURRENT_OLD,stop_episode,750,2013,16,0.2903622476872696
CURRENT_OLD,stop_episode,750,2014,19,0.7050668748652484
CURRENT_OLD,stop_episode,750,2015,9,0.3241910058918349
CURRENT_OLD,stop_episode,750,2016,15,0.8921528539157766
CURRENT_OLD,stop_episode,750,2017,2,4.598848505982463
CURRENT_OLD,stop_episode,750,2018,5,0.9727926761693502
CURRENT_OLD,stop_episode,750,2019,3,1.3495859397548604
CURRENT_OLD,stop_episode,750,2020,7,0.33537793429607365
CURRENT_OLD,stop_episode,750,2021,17,0.5790884299164267
CURRENT_OLD,stop_episode,750,2022,17,0.7306811316043564
CURRENT_OLD,stop_episode,750,2023,5,0.9075333623521871
CURRENT_OLD_BOTH1,daily,250,2011,7,-0.15518888098927575
CURRENT_OLD_BOTH1,daily,250,2012,164,0.024624345701987793
CURRENT_OLD_BOTH1,daily,250,2013,215,0.033451787424830126
CURRENT_OLD_BOTH1,daily,250,2014,231,0.41647058823529415
CURRENT_OLD_BOTH1,daily,250,2015,149,-0.1996157695318279
CURRENT_OLD_BOTH1,daily,250,2016,191,0.3975493533015657
CURRENT_OLD_BOTH1,daily,250,2017,177,0.43437683715461506
CURRENT_OLD_BOTH1,daily,250,2018,88,0.27112326905222406
CURRENT_OLD_BOTH1,daily,250,2019,189,0.3453698952651725
CURRENT_OLD_BOTH1,daily,250,2020,224,0.31862008117604146
CURRENT_OLD_BOTH1,daily,250,2021,195,0.2561019076694202
CURRENT_OLD_BOTH1,daily,250,2022,211,0.10810867804845126
CURRENT_OLD_BOTH1,daily,250,2023,232,0.37403314917127073
CURRENT_OLD_BOTH1,daily,250,2024,239,0.22523132668987178
CURRENT_OLD_BOTH1,daily,250,2025,149,0.4105687704452532
CURRENT_OLD_BOTH1,daily,750,2011,7,-0.13202076861203016
CURRENT_OLD_BOTH1,daily,750,2012,164,0.664744711442391
CURRENT_OLD_BOTH1,daily,750,2013,215,0.7316007206747435
CURRENT_OLD_BOTH1,daily,750,2014,231,1.014696158388051
CURRENT_OLD_BOTH1,daily,750,2015,149,-0.044053000782835805
CURRENT_OLD_BOTH1,daily,750,2016,191,0.32736162847353967
CURRENT_OLD_BOTH1,daily,750,2017,177,1.3109049801078947
CURRENT_OLD_BOTH1,daily,750,2018,88,0.9540060750217475
CURRENT_OLD_BOTH1,daily,750,2019,189,0.9759591068446416
CURRENT_OLD_BOTH1,daily,750,2020,224,0.9614355240311173
CURRENT_OLD_BOTH1,daily,750,2021,195,0.9512309002986328
CURRENT_OLD_BOTH1,daily,750,2022,211,0.8118045655411164
CURRENT_OLD_BOTH1,daily,750,2023,109,1.1006620034735297
CURRENT_OLD_BOTH1,ma60_episode,250,2011,2,-0.1463566345791355
CURRENT_OLD_BOTH1,ma60_episode,250,2012,19,0.028378804920445422
CURRENT_OLD_BOTH1,ma60_episode,250,2013,28,-0.002384982509845257
CURRENT_OLD_BOTH1,ma60_episode,250,2014,22,0.5493844824644579
CURRENT_OLD_BOTH1,ma60_episode,250,2015,22,-0.08494725990340224
CURRENT_OLD_BOTH1,ma60_episode,250,2016,22,0.37351277701853547
CURRENT_OLD_BOTH1,ma60_episode,250,2017,14,0.5540634458304579
CURRENT_OLD_BOTH1,ma60_episode,250,2018,10,0.3415212309793686
CURRENT_OLD_BOTH1,ma60_episode,250,2019,18,0.33208161060288344
CURRENT_OLD_BOTH1,ma60_episode,250,2020,21,0.1870343993476078
CURRENT_OLD_BOTH1,ma60_episode,250,2021,31,0.12607176119288344
CURRENT_OLD_BOTH1,ma60_episode,250,2022,39,0.19811593415548412
CURRENT_OLD_BOTH1,ma60_episode,250,2023,33,0.3448591785103057
CURRENT_OLD_BOTH1,ma60_episode,250,2024,44,0.2879550445360265
CURRENT_OLD_BOTH1,ma60_episode,250,2025,26,0.16760365749254336
CURRENT_OLD_BOTH1,ma60_episode,750,2011,2,0.4557178402813345
CURRENT_OLD_BOTH1,ma60_episode,750,2012,19,0.8978507009922059
CURRENT_OLD_BOTH1,ma60_episode,750,2013,28,0.27977798973489143
CURRENT_OLD_BOTH1,ma60_episode,750,2014,22,0.755831688009154
CURRENT_OLD_BOTH1,ma60_episode,750,2015,22,0.4355746681491839
CURRENT_OLD_BOTH1,ma60_episode,750,2016,22,0.7873121243151757
CURRENT_OLD_BOTH1,ma60_episode,750,2017,14,2.078604912208001
CURRENT_OLD_BOTH1,ma60_episode,750,2018,10,0.9257361356683141
CURRENT_OLD_BOTH1,ma60_episode,750,2019,18,0.8491620135640625
CURRENT_OLD_BOTH1,ma60_episode,750,2020,21,0.5356248216199575
CURRENT_OLD_BOTH1,ma60_episode,750,2021,31,0.766105744427414
CURRENT_OLD_BOTH1,ma60_episode,750,2022,39,0.8092025609842979
CURRENT_OLD_BOTH1,ma60_episode,750,2023,11,1.2882675523132883
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2011,2,-0.1463566345791355
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2012,10,-0.10816960945819443
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2013,13,0.015349902600982679
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2014,10,0.5941645998569899
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2015,12,0.05866340237155676
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2016,11,0.24412305993171612
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2017,5,0.6904270359882501
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2018,3,0.284110417331328
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2019,8,-0.02697924431892329
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2020,10,0.3559110077632214
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2021,10,0.06659237809963525
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2022,17,0.08695324925223691
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2023,17,0.3448591785103057
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,2024,20,0.3035270823631313
