start,code,base_contrib,slope_contrib,delta_contrib
2011-11-01,601088,1.042639,0.9826010000000001,-0.060038000000000036
2011-11-01,601166,0.050121,0.030362999999999998,-0.019758
2011-11-01,601169,0.109484,0.010138,-0.099346
2011-11-01,601187,0.011681,0.014614,0.002933
2011-11-01,601225,0.130788,0.432255,0.30146700000000004
2011-11-01,601229,0.026274,-0.000925,-0.027198999999999997
2011-11-01,601288,-0.009726,0.020593,0.030319
2011-11-01,601328,0.339156,0.232854,-0.10630200000000001
2011-11-01,601398,-0.010459000000000001,-0.006942,0.003517000000000001
2011-11-01,601577,0,0.0,0.0
2011-11-01,601658,0.0,0.000192,0.000192
2011-11-01,601665,0.0008770000000000001,0,-0.0008770000000000001
2011-11-01,601818,-3.2e-05,-0.001456,-0.0014240000000000001
2011-11-01,601825,0.02116,0.020720999999999996,-0.00043900000000000536
2011-11-01,601857,2.000000000000001e-06,-2.3e-05,-2.5e-05
2011-11-01,601916,1.4e-05,-6.8e-05,-8.2e-05
2011-11-01,601939,0.004369,0.015209,0.01084
2011-11-01,601963,-0.001887,-0.008083,-0.006196
2011-11-01,601988,0.12892800000000001,0.015435000000000003,-0.11349300000000001
2011-11-01,601997,-3.8e-05,0,3.8e-05
2011-11-01,601998,-0.010296,-0.013548000000000001,-0.0032520000000000014
2011-11-01,603156,0.002023,-0.000755,-0.002778
2011-11-01,603993,0.004994,4e-06,-0.0049900000000000005
2011-11-01,688516,0.401476,0.247253,-0.154223
