horizon,metric,arm,year,days,median_pp,positive_days,years,positive_years
250,1_vs_2_5,paired_delta,2014,215,0.0,0,1,0
250,1_vs_2_5,paired_delta,2015,134,0.0,0,1,0
250,1_vs_2_5,paired_delta,2016,173,0.0,0,1,0
250,1_vs_2_5,paired_delta,2017,99,0.0,0,1,0
250,1_vs_2_5,paired_delta,2018,19,0.0,0,1,0
250,1_vs_2_5,paired_delta,2019,172,0.0,0,1,0
250,1_vs_2_5,paired_delta,2020,184,0.0,0,1,0
250,1_vs_2_5,paired_delta,2021,165,0.0,0,1,0
250,1_vs_2_5,paired_delta,2022,207,0.0,0,1,0
250,1_vs_2_5,paired_delta,2023,231,0.0,0,1,0
250,1_vs_2_5,paired_delta,2024,233,0.0,0,1,0
250,1_vs_2_5,paired_delta,2025,150,0.0,0,1,0
250,1_vs_6_10,BASE,2012,49,-23.960776005968764,13,1,0
250,1_vs_6_10,BASE,2013,69,-21.287586926095198,16,1,0
250,1_vs_6_10,BASE,2014,162,-24.311549884444673,34,1,0
250,1_vs_6_10,BASE,2015,54,-18.345369784459493,17,1,0
250,1_vs_6_10,BASE,2016,95,18.478676242910286,75,1,1
250,1_vs_6_10,BASE,2017,9,-18.510154996282036,3,1,0
250,1_vs_6_10,BASE,2019,78,-17.817693959751868,25,1,0
250,1_vs_6_10,BASE,2020,82,35.26002291116773,74,1,1
250,1_vs_6_10,BASE,2021,45,14.588893520370561,30,1,1
250,1_vs_6_10,BASE,2022,107,-10.494697638181606,37,1,0
250,1_vs_6_10,BASE,2023,179,14.905549429291165,135,1,1
250,1_vs_6_10,BASE,2024,211,-3.5104183529919952,97,1,0
250,1_vs_6_10,BASE,2025,148,43.5662826475274,130,1,1
250,1_vs_6_10,C030R35,2012,49,-23.960776005968764,13,1,0
250,1_vs_6_10,C030R35,2013,69,-21.287586926095198,16,1,0
250,1_vs_6_10,C030R35,2014,162,-24.311549884444673,34,1,0
250,1_vs_6_10,C030R35,2015,54,-18.345369784459493,17,1,0
250,1_vs_6_10,C030R35,2016,95,18.478676242910286,75,1,1
250,1_vs_6_10,C030R35,2017,9,-18.510154996282036,3,1,0
250,1_vs_6_10,C030R35,2019,78,-17.817693959751868,25,1,0
250,1_vs_6_10,C030R35,2020,82,35.26002291116773,74,1,1
250,1_vs_6_10,C030R35,2021,45,14.588893520370561,30,1,1
250,1_vs_6_10,C030R35,2022,107,-10.494697638181606,37,1,0
250,1_vs_6_10,C030R35,2023,179,14.905549429291165,135,1,1
250,1_vs_6_10,C030R35,2024,211,-3.5104183529919952,97,1,0
250,1_vs_6_10,C030R35,2025,148,43.5662826475274,130,1,1
250,1_vs_6_10,paired_delta,2012,49,0.0,0,1,0
250,1_vs_6_10,paired_delta,2013,69,0.0,0,1,0
250,1_vs_6_10,paired_delta,2014,162,0.0,0,1,0
250,1_vs_6_10,paired_delta,2015,54,0.0,0,1,0
250,1_vs_6_10,paired_delta,2016,95,0.0,0,1,0
250,1_vs_6_10,paired_delta,2017,9,0.0,0,1,0
250,1_vs_6_10,paired_delta,2019,78,0.0,0,1,0
250,1_vs_6_10,paired_delta,2020,82,0.0,0,1,0
250,1_vs_6_10,paired_delta,2021,45,0.0,0,1,0
250,1_vs_6_10,paired_delta,2022,107,0.0,0,1,0
250,1_vs_6_10,paired_delta,2023,179,0.0,0,1,0
250,1_vs_6_10,paired_delta,2024,211,0.0,0,1,0
250,1_vs_6_10,paired_delta,2025,148,0.0,0,1,0
750,selection,BASE,2012,5,32.7706263698655,3,1,1
750,selection,BASE,2013,5,-1.257736293252365,2,1,0
750,selection,BASE,2014,17,-32.93284678554089,5,1,0
750,selection,BASE,2015,6,35.281887262826075,4,1,1
750,selection,BASE,2016,11,37.43020342941817,9,1,1
750,selection,BASE,2019,4,20.526685732808776,2,1,1
750,selection,BASE,2020,14,0.6455562134799087,7,1,1
750,selection,BASE,2021,4,-5.057028624801929,2,1,0
750,selection,BASE,2022,14,51.90479640099582,11,1,1
750,selection,BASE,2023,5,66.30742853215587,4,1,1
750,selection,C030R35,2012,5,32.7706263698655,3,1,1
750,selection,C030R35,2013,5,-1.257736293252365,2,1,0
750,selection,C030R35,2014,17,-32.93284678554089,5,1,0
750,selection,C030R35,2015,6,-31.341196172618947,2,1,0
750,selection,C030R35,2016,12,22.111697715093072,10,1,1
750,selection,C030R35,2019,2,168.3297880310644,2,1,1
750,selection,C030R35,2020,11,44.360577846486194,8,1,1
750,selection,C030R35,2021,4,39.66798058512923,3,1,1
750,selection,C030R35,2022,14,52.21382362991408,12,1,1
750,selection,C030R35,2023,6,68.66540038859968,5,1,1
750,selection,paired_delta,2012,5,0.0,0,1,0
750,selection,paired_delta,2013,5,0.0,0,1,0
750,selection,paired_delta,2014,17,0.0,0,1,0
750,selection,paired_delta,2015,5,-3.2126393653937324,0,1,0
750,selection,paired_delta,2016,7,0.0,2,1,0
750,selection,paired_delta,2020,5,0.0,0,1,0
750,selection,paired_delta,2021,1,79.6665432496362,1,1,1
750,selection,paired_delta,2022,8,0.0,0,1,0
750,selection,paired_delta,2023,3,0.0,0,1,0
750,swap,BASE,2012,4,-18.444742936293196,2,1,0
750,swap,BASE,2013,20,-43.6623781246502,5,1,0
750,swap,BASE,2014,35,-156.1473038466937,9,1,0
750,swap,BASE,2015,12,-0.7316817226265648,6,1,0
750,swap,BASE,2016,15,114.89699180510513,11,1,1
750,swap,BASE,2017,2,126.07786100760939,2,1,1
750,swap,BASE,2018,2,14.848923426574135,2,1,1
750,swap,BASE,2019,2,283.2980749035543,2,1,1
750,swap,BASE,2020,11,-25.184406250228243,4,1,0
750,swap,BASE,2021,3,-69.44950235745458,1,1,0
750,swap,BASE,2022,11,10.330671293487569,7,1,1
750,swap,BASE,2023,8,66.24663963671698,7,1,1
750,swap,C030R35,2012,4,-18.444742936293196,2,1,0
750,swap,C030R35,2013,20,-43.6623781246502,5,1,0
750,swap,C030R35,2014,35,-156.1473038466937,9,1,0
750,swap,C030R35,2015,16,8.107400023656108,12,1,1
750,swap,C030R35,2016,25,150.38127399724743,20,1,1
750,swap,C030R35,2018,1,15.180937956022355,1,1,1
750,swap,C030R35,2019,8,226.00955563434812,8,1,1
750,swap,C030R35,2020,9,70.99593887132136,6,1,1
750,swap,C030R35,2021,3,-69.44950235745458,1,1,0
750,swap,C030R35,2022,11,14.554457296082202,8,1,1
750,swap,C030R35,2023,8,66.24663963671698,7,1,1
750,swap,paired_delta,2012,4,0.0,0,1,0
750,swap,paired_delta,2013,20,0.0,0,1,0
750,swap,paired_delta,2014,35,0.0,0,1,0
750,swap,paired_delta,2015,10,0.0,3,1,0
750,swap,paired_delta,2016,12,0.0,1,1,0
750,swap,paired_delta,2018,1,0.0,0,1,0
750,swap,paired_delta,2019,2,-94.79628340613398,0,1,0
750,swap,paired_delta,2020,7,0.0,1,1,0
750,swap,paired_delta,2021,2,0.0,0,1,0
750,swap,paired_delta,2022,9,0.0,0,1,0
750,swap,paired_delta,2023,7,0.0,1,1,0
750,1_vs_2_5,BASE,2011,5,-127.85341127061898,0,1,0
750,1_vs_2_5,BASE,2012,124,26.764915793811326,69,1,1
750,1_vs_2_5,BASE,2013,189,25.787983181826856,97,1,1
750,1_vs_2_5,BASE,2014,215,-6.040382739112515,102,1,0
750,1_vs_2_5,BASE,2015,134,-70.10483176403903,35,1,0
750,1_vs_2_5,BASE,2016,173,-60.12846733918409,64,1,0
750,1_vs_2_5,BASE,2017,99,-27.50933534954583,36,1,0
750,1_vs_2_5,BASE,2018,19,74.66878670787756,14,1,1
750,1_vs_2_5,BASE,2019,172,100.63590913561326,147,1,1
750,1_vs_2_5,BASE,2020,184,43.55933542035105,126,1,1
750,1_vs_2_5,BASE,2021,165,35.56192917577784,99,1,1
750,1_vs_2_5,BASE,2022,207,-4.87098469674323,89,1,0
750,1_vs_2_5,BASE,2023,114,41.281528186386936,87,1,1
750,1_vs_2_5,C030R35,2011,5,-127.85341127061898,0,1,0
750,1_vs_2_5,C030R35,2012,124,26.764915793811326,69,1,1
750,1_vs_2_5,C030R35,2013,189,25.787983181826856,97,1,1
750,1_vs_2_5,C030R35,2014,215,-6.040382739112515,102,1,0
750,1_vs_2_5,C030R35,2015,134,-70.10483176403903,35,1,0
750,1_vs_2_5,C030R35,2016,173,-60.12846733918409,64,1,0
750,1_vs_2_5,C030R35,2017,99,-27.50933534954583,36,1,0
750,1_vs_2_5,C030R35,2018,19,74.66878670787756,14,1,1
750,1_vs_2_5,C030R35,2019,172,100.63590913561326,147,1,1
750,1_vs_2_5,C030R35,2020,184,43.55933542035105,126,1,1
750,1_vs_2_5,C030R35,2021,165,35.56192917577784,99,1,1
750,1_vs_2_5,C030R35,2022,207,-4.87098469674323,89,1,0
750,1_vs_2_5,C030R35,2023,114,41.281528186386936,87,1,1
750,1_vs_2_5,paired_delta,2011,5,0.0,0,1,0
750,1_vs_2_5,paired_delta,2012,124,0.0,0,1,0
750,1_vs_2_5,paired_delta,2013,189,0.0,0,1,0
750,1_vs_2_5,paired_delta,2014,215,0.0,0,1,0
750,1_vs_2_5,paired_delta,2015,134,0.0,0,1,0
750,1_vs_2_5,paired_delta,2016,173,0.0,0,1,0
750,1_vs_2_5,paired_delta,2017,99,0.0,0,1,0
750,1_vs_2_5,paired_delta,2018,19,0.0,0,1,0
750,1_vs_2_5,paired_delta,2019,172,0.0,0,1,0
750,1_vs_2_5,paired_delta,2020,184,0.0,0,1,0
750,1_vs_2_5,paired_delta,2021,165,0.0,0,1,0
750,1_vs_2_5,paired_delta,2022,207,0.0,0,1,0
750,1_vs_2_5,paired_delta,2023,114,0.0,0,1,0
750,1_vs_6_10,BASE,2012,49,-10.940101587206662,20,1,0
750,1_vs_6_10,BASE,2013,69,-24.503631373753176,22,1,0
750,1_vs_6_10,BASE,2014,162,-11.606563960700012,55,1,0
750,1_vs_6_10,BASE,2015,54,-83.06179980774519,9,1,0
750,1_vs_6_10,BASE,2016,95,2.463814869801073,53,1,1
750,1_vs_6_10,BASE,2017,9,-22.0888157364472,0,1,0
750,1_vs_6_10,BASE,2019,78,104.74465237534632,76,1,1
750,1_vs_6_10,BASE,2020,82,85.2912126133625,79,1,1
750,1_vs_6_10,BASE,2021,45,28.12067565661899,27,1,1
750,1_vs_6_10,BASE,2022,107,15.692161796314153,68,1,1
750,1_vs_6_10,BASE,2023,101,43.991672012014064,80,1,1
750,1_vs_6_10,C030R35,2012,49,-10.940101587206662,20,1,0
750,1_vs_6_10,C030R35,2013,69,-24.503631373753176,22,1,0
750,1_vs_6_10,C030R35,2014,162,-11.606563960700012,55,1,0
750,1_vs_6_10,C030R35,2015,54,-83.06179980774519,9,1,0
750,1_vs_6_10,C030R35,2016,95,2.463814869801073,53,1,1
750,1_vs_6_10,C030R35,2017,9,-22.0888157364472,0,1,0
750,1_vs_6_10,C030R35,2019,78,104.74465237534632,76,1,1
750,1_vs_6_10,C030R35,2020,82,85.2912126133625,79,1,1
750,1_vs_6_10,C030R35,2021,45,28.12067565661899,27,1,1
750,1_vs_6_10,C030R35,2022,107,15.692161796314153,68,1,1
750,1_vs_6_10,C030R35,2023,101,43.991672012014064,80,1,1
750,1_vs_6_10,paired_delta,2012,49,0.0,0,1,0
750,1_vs_6_10,paired_delta,2013,69,0.0,0,1,0
750,1_vs_6_10,paired_delta,2014,162,0.0,0,1,0
750,1_vs_6_10,paired_delta,2015,54,0.0,0,1,0
750,1_vs_6_10,paired_delta,2016,95,0.0,0,1,0
750,1_vs_6_10,paired_delta,2017,9,0.0,0,1,0
750,1_vs_6_10,paired_delta,2019,78,0.0,0,1,0
750,1_vs_6_10,paired_delta,2020,82,0.0,0,1,0
750,1_vs_6_10,paired_delta,2021,45,0.0,0,1,0
750,1_vs_6_10,paired_delta,2022,107,0.0,0,1,0
750,1_vs_6_10,paired_delta,2023,101,0.0,0,1,0
