arm,start,signal_days,restricted_days,restricted_fraction,average_exposure_pct,active_sales,unresolved_days
C080R35,2009-11-01,4088,427,0.10445205479452055,150.6795762553803,512,0
C080R35,2011-11-01,3602,101,0.0280399777901166,158.96070513724496,225,0
C080R40,2009-11-01,4088,588,0.14383561643835616,148.39271338666035,588,0
C080R40,2011-11-01,3602,140,0.03886729594669628,158.96070513724496,225,0
C080R45,2009-11-01,4088,651,0.15924657534246575,147.93690155628443,687,0
C080R45,2011-11-01,3602,182,0.05052748473070516,158.46582142240393,304,0
C080R50,2009-11-01,4088,696,0.17025440313111545,146.47974362200137,772,0
C080R50,2011-11-01,3602,227,0.06302054414214325,156.92039188294174,364,0
C100R35,2009-11-01,4088,427,0.10445205479452055,151.98110786703475,19,0
C100R35,2011-11-01,3602,101,0.0280399777901166,160.59595460837494,26,0
C100R40,2009-11-01,4088,588,0.14383561643835616,151.0098040892721,18,0
C100R40,2011-11-01,3602,140,0.03886729594669628,160.59595460837494,26,0
C100R45,2009-11-01,4088,651,0.15924657534246575,150.98234817830235,18,0
C100R45,2011-11-01,3602,182,0.05052748473070516,160.53325068814829,26,0
C100R50,2009-11-01,4088,696,0.17025440313111545,149.86251521962512,18,0
C100R50,2011-11-01,3602,227,0.06302054414214325,159.22948956400188,26,0
PE14,2009-11-01,4088,694,0.1697651663405088,148.3880784819927,60,0
PE14,2011-11-01,3602,311,0.08634092171016103,155.92937161638815,71,0
PE16,2009-11-01,4088,228,0.05577299412915851,159.20227186013832,14,0
PE16,2011-11-01,3602,64,0.01776790671848973,161.61372235689453,14,0
PE18,2009-11-01,4088,122,0.02984344422700587,161.42220378668372,0,0
PE18,2011-11-01,3602,0,0.0,164.34960156414894,0,0
PE20,2009-11-01,4088,122,0.02984344422700587,161.42220378668372,0,0
PE20,2011-11-01,3602,0,0.0,164.34960156414894,0,0
PEQ70,2009-11-01,4088,1179,0.28840508806262233,139.86867919071906,94,0
PEQ70,2011-11-01,3602,1179,0.32731815657967794,135.54426505643374,86,0
PEQ80,2009-11-01,4088,872,0.21330724070450097,143.42180966993467,91,0
PEQ80,2011-11-01,3602,872,0.24208772903942255,145.4092829049693,100,0
PEQ90,2009-11-01,4088,493,0.12059686888454012,151.07631309022565,64,0
PEQ90,2011-11-01,3602,493,0.13686840644086617,152.8783379185469,78,0
MA60X120,2009-11-01,4088,958,0.23434442270058709,145.99579105665416,69,0
MA60X120,2011-11-01,3602,836,0.23209328151027206,145.62273660205912,79,0
MA60X140,2009-11-01,4088,186,0.045499021526418784,157.52978058048805,22,0
MA60X140,2011-11-01,3602,123,0.03414769572459744,160.22929741200687,20,0
MA60X160,2009-11-01,4088,107,0.026174168297455967,158.66221897287812,7,0
MA60X160,2011-11-01,3602,64,0.01776790671848973,161.61372235689453,14,0
PART120,2009-11-01,4088,365,0.08928571428571429,157.1872637242652,461,0
PART120,2011-11-01,3602,79,0.02193225985563576,161.8043476923567,197,0
PART140,2009-11-01,4088,365,0.08928571428571429,158.59272292545606,468,0
PART140,2011-11-01,3602,79,0.02193225985563576,162.6267416545103,206,0
PART160,2009-11-01,4088,365,0.08928571428571429,160.42708218421302,379,0
PART160,2011-11-01,3602,79,0.02193225985563576,162.64780952252428,197,0
TREND06,2009-11-01,4088,770,0.18835616438356165,148.18172249027225,26,0
TREND06,2011-11-01,3602,424,0.11771238200999445,155.32805631504723,20,0
TREND10,2009-11-01,4088,441,0.10787671232876712,152.94467538355767,21,0
TREND10,2011-11-01,3602,79,0.02193225985563576,160.82166854550132,26,0
TREND12,2009-11-01,4088,441,0.10787671232876712,152.94467538355767,21,0
TREND12,2011-11-01,3602,79,0.02193225985563576,160.82166854550132,26,0
CONFIRM2,2009-11-01,4088,467,0.11423679060665362,152.13414727205287,20,0
CONFIRM2,2011-11-01,3602,122,0.03387007218212104,160.59595460837494,26,0
CONFIRM3,2009-11-01,4088,564,0.1379647749510763,152.62639960068265,21,0
CONFIRM3,2011-11-01,3602,160,0.04441976679622432,160.59595460837494,26,0
C070R30,2009-11-01,4088,365,0.08928571428571429,150.29866980927505,459,0
C070R30,2011-11-01,3602,79,0.02193225985563576,158.98640626423642,204,0
C070R35,2009-11-01,4088,427,0.10445205479452055,149.6817698745368,493,0
C070R35,2011-11-01,3602,101,0.0280399777901166,158.34150640101424,220,0
C070R40,2009-11-01,4088,588,0.14383561643835616,147.55319201773537,553,0
C070R40,2011-11-01,3602,140,0.03886729594669628,158.34150640101424,220,0
C070R45,2009-11-01,4088,651,0.15924657534246575,147.04093396721134,629,0
C070R45,2011-11-01,3602,182,0.05052748473070516,158.10260767915165,296,0
C090R30,2009-11-01,4088,365,0.08928571428571429,152.3286170322414,477,0
C090R30,2011-11-01,3602,79,0.02193225985563576,159.6957785654859,225,0
C090R35,2009-11-01,4088,427,0.10445205479452055,151.30104770990607,492,0
C090R35,2011-11-01,3602,101,0.0280399777901166,159.19658069129542,243,0
C090R40,2009-11-01,4088,588,0.14383561643835616,149.52628045798042,563,0
C090R40,2011-11-01,3602,140,0.03886729594669628,159.19658069129542,243,0
C090R45,2009-11-01,4088,651,0.15924657534246575,149.29112115470627,662,0
C090R45,2011-11-01,3602,182,0.05052748473070516,158.89466875045488,330,0
