group,bucket,signal_year,n,median
trend_ma60_episode,all_cheap,2016,57,0.3634364178530194
trend_ma60_episode,all_cheap,2017,17,0.5586568627451003
trend_ma60_episode,all_cheap,2018,19,0.2881497791116445
trend_ma60_episode,all_cheap,2019,47,0.3110525802411328
trend_ma60_episode,all_cheap,2020,81,0.0033208392375556617
trend_ma60_episode,all_cheap,2021,78,0.034520337743638385
trend_ma60_episode,all_cheap,2022,150,0.11693025840741422
trend_ma60_episode,all_cheap,2023,185,0.23284819609385732
trend_ma60_episode,all_cheap,2024,188,0.2648044813270982
trend_ma60_episode,all_cheap,2025,134,0.1313485986240599
trend_ma60_nonoverlap,"(0,0.6)",2013,2,-0.2520164907167895
trend_ma60_nonoverlap,"(0,0.6)",2014,9,0.6834243324401261
trend_ma60_nonoverlap,"(0,0.6)",2016,1,0.4152716112531969
trend_ma60_nonoverlap,"(0,0.6)",2019,2,-0.1872985604144412
trend_ma60_nonoverlap,"(0,0.6)",2020,3,0.39574674132401033
trend_ma60_nonoverlap,"(0,0.6)",2022,2,0.14863844930436004
trend_ma60_nonoverlap,"(0,0.6)",2023,4,0.3812900504842558
trend_ma60_nonoverlap,"(0,0.6)",2024,3,0.33962530814585334
trend_ma60_nonoverlap,"(0,0.6)",2025,2,1.1994340546264697
trend_ma60_nonoverlap,"[0.6,0.8)",2012,7,-0.11140162814246035
trend_ma60_nonoverlap,"[0.6,0.8)",2013,4,0.042092230714786516
trend_ma60_nonoverlap,"[0.6,0.8)",2014,4,0.41411801511158497
trend_ma60_nonoverlap,"[0.6,0.8)",2015,3,0.1744750604370493
trend_ma60_nonoverlap,"[0.6,0.8)",2016,3,0.3662693720427772
trend_ma60_nonoverlap,"[0.6,0.8)",2018,2,0.4075373631373611
trend_ma60_nonoverlap,"[0.6,0.8)",2019,4,0.40911464279571863
trend_ma60_nonoverlap,"[0.6,0.8)",2020,5,0.01940673143722882
trend_ma60_nonoverlap,"[0.6,0.8)",2021,5,-0.017398852657004693
trend_ma60_nonoverlap,"[0.6,0.8)",2022,13,0.14289161913119686
trend_ma60_nonoverlap,"[0.6,0.8)",2023,9,0.22737655949920033
trend_ma60_nonoverlap,"[0.6,0.8)",2024,22,0.2540754482856519
trend_ma60_nonoverlap,"[0.6,0.8)",2025,12,0.023729340337246052
trend_ma60_nonoverlap,"[0.8,1.0454]",2011,2,-0.14233007187921887
trend_ma60_nonoverlap,"[0.8,1.0454]",2012,11,0.09898897058823652
trend_ma60_nonoverlap,"[0.8,1.0454]",2013,12,0.02585723810397056
trend_ma60_nonoverlap,"[0.8,1.0454]",2014,15,0.862379175040672
trend_ma60_nonoverlap,"[0.8,1.0454]",2015,12,0.014205424096617014
trend_ma60_nonoverlap,"[0.8,1.0454]",2016,10,0.2592708274375294
trend_ma60_nonoverlap,"[0.8,1.0454]",2017,4,0.47333296124631896
trend_ma60_nonoverlap,"[0.8,1.0454]",2018,4,0.12976942852590578
trend_ma60_nonoverlap,"[0.8,1.0454]",2019,6,0.11085011267829004
trend_ma60_nonoverlap,"[0.8,1.0454]",2020,17,0.04022849397298667
trend_ma60_nonoverlap,"[0.8,1.0454]",2021,14,-0.019901355110588492
trend_ma60_nonoverlap,"[0.8,1.0454]",2022,22,0.006286427373783987
trend_ma60_nonoverlap,"[0.8,1.0454]",2023,19,0.0645253518424822
trend_ma60_nonoverlap,"[0.8,1.0454]",2024,32,0.22825318813143036
trend_ma60_nonoverlap,"[0.8,1.0454]",2025,25,0.10857273416589774
trend_ma60_nonoverlap,all_cheap,2011,2,-0.14233007187921887
trend_ma60_nonoverlap,all_cheap,2012,18,0.07037270095092696
trend_ma60_nonoverlap,all_cheap,2013,18,0.025581456393480306
trend_ma60_nonoverlap,all_cheap,2014,28,0.6906899710239558
trend_ma60_nonoverlap,all_cheap,2015,15,0.028565578520377777
trend_ma60_nonoverlap,all_cheap,2016,14,0.3648528949478983
trend_ma60_nonoverlap,all_cheap,2017,4,0.47333296124631896
trend_ma60_nonoverlap,all_cheap,2018,6,0.2602993841183515
trend_ma60_nonoverlap,all_cheap,2019,12,0.11085011267829004
trend_ma60_nonoverlap,all_cheap,2020,25,0.06757937782258217
trend_ma60_nonoverlap,all_cheap,2021,19,-0.017398852657004693
trend_ma60_nonoverlap,all_cheap,2022,37,0.03990191409066979
trend_ma60_nonoverlap,all_cheap,2023,32,0.13892692320585853
trend_ma60_nonoverlap,all_cheap,2024,57,0.24414342990463744
trend_ma60_nonoverlap,all_cheap,2025,39,0.10682452926493946
trend_stop_episode,"(0,0.6)",2012,4,0.1468869481020323
trend_stop_episode,"(0,0.6)",2013,7,-0.07295943204177524
trend_stop_episode,"(0,0.6)",2014,13,0.6834243324401261
trend_stop_episode,"(0,0.6)",2019,2,-0.232352580216997
trend_stop_episode,"(0,0.6)",2020,3,3.6701528559935594
trend_stop_episode,"(0,0.6)",2022,5,0.25389905213649766
trend_stop_episode,"(0,0.6)",2023,2,0.18080870357651407
trend_stop_episode,"(0,0.6)",2025,3,0.20001810906914974
trend_stop_episode,"[0.6,0.8)",2012,16,-0.10850722652159
trend_stop_episode,"[0.6,0.8)",2013,9,-0.040030109617826715
trend_stop_episode,"[0.6,0.8)",2014,6,0.5487282696184276
trend_stop_episode,"[0.6,0.8)",2015,1,0.03472694868888171
trend_stop_episode,"[0.6,0.8)",2016,7,0.4780950103791952
trend_stop_episode,"[0.6,0.8)",2020,6,-0.12429754854470598
trend_stop_episode,"[0.6,0.8)",2021,3,-0.24633442740653255
trend_stop_episode,"[0.6,0.8)",2022,14,0.1542126985157094
trend_stop_episode,"[0.6,0.8)",2023,10,0.10571274539456388
trend_stop_episode,"[0.6,0.8)",2024,19,0.18578613601574467
trend_stop_episode,"[0.6,0.8)",2025,5,0.14309594781399082
trend_stop_episode,"[0.8,1.0454]",2011,2,-0.14233007187921887
trend_stop_episode,"[0.8,1.0454]",2012,25,0.09898897058823652
trend_stop_episode,"[0.8,1.0454]",2013,17,0.010178447678447666
trend_stop_episode,"[0.8,1.0454]",2014,21,0.9781709128134151
trend_stop_episode,"[0.8,1.0454]",2016,6,0.1388240526199257
trend_stop_episode,"[0.8,1.0454]",2017,1,0.6904270359882521
trend_stop_episode,"[0.8,1.0454]",2019,6,0.0430789956402004
trend_stop_episode,"[0.8,1.0454]",2020,12,0.1271301104874779
trend_stop_episode,"[0.8,1.0454]",2021,10,-0.01872484556058629
trend_stop_episode,"[0.8,1.0454]",2022,32,0.027556672345595
trend_stop_episode,"[0.8,1.0454]",2023,31,0.03303572751185668
trend_stop_episode,"[0.8,1.0454]",2024,38,0.19916506309995907
trend_stop_episode,"[0.8,1.0454]",2025,16,0.10145074105636964
trend_stop_episode,all_cheap,2011,2,-0.14233007187921887
trend_stop_episode,all_cheap,2012,45,0.03153500558620914
trend_stop_episode,all_cheap,2013,33,-0.033475855045114744
trend_stop_episode,all_cheap,2014,40,0.7920414451297749
trend_stop_episode,all_cheap,2015,1,0.03472694868888171
trend_stop_episode,all_cheap,2016,13,0.3662693720427772
trend_stop_episode,all_cheap,2017,1,0.6904270359882521
trend_stop_episode,all_cheap,2019,8,-0.04027664027501898
trend_stop_episode,all_cheap,2020,21,0.06757937782258217
trend_stop_episode,all_cheap,2021,13,-0.028456991119031105
trend_stop_episode,all_cheap,2022,51,0.07757819103973085
trend_stop_episode,all_cheap,2023,43,0.060699090905032005
trend_stop_episode,all_cheap,2024,57,0.18578613601574467
trend_stop_episode,all_cheap,2025,24,0.14010728798227956
