group,horizon,year,n,median
rank1_ma60_nonoverlap,750,2021,7,0.2529429033672175
rank1_ma60_nonoverlap,750,2022,10,0.8816247133472036
rank1_ma60_nonoverlap,750,2023,2,0.7442297826593415
rank1_stop_episode,250,2011,2,-0.14233007187921864
rank1_stop_episode,250,2012,20,-0.043694945061592216
rank1_stop_episode,250,2013,19,0.012605504860294436
rank1_stop_episode,250,2014,19,0.5085844555105437
rank1_stop_episode,250,2015,3,-0.08985566599427397
rank1_stop_episode,250,2016,12,0.4289563886334047
rank1_stop_episode,250,2017,1,0.8036073191494708
rank1_stop_episode,250,2018,8,0.4582630084856667
rank1_stop_episode,250,2019,3,-0.24465811965811957
rank1_stop_episode,250,2020,5,1.4518142801404608
rank1_stop_episode,250,2021,8,-0.009460922948964112
rank1_stop_episode,250,2022,14,0.27128346400570214
rank1_stop_episode,250,2023,9,0.16389246528614887
rank1_stop_episode,250,2024,29,0.3284161829216772
rank1_stop_episode,250,2025,7,0.12315101856010391
rank1_stop_episode,750,2011,2,0.45226430795903877
rank1_stop_episode,750,2012,20,0.4339857931749892
rank1_stop_episode,750,2013,19,0.29610203256288026
rank1_stop_episode,750,2014,19,1.5709976294824473
rank1_stop_episode,750,2015,3,-0.2083701176020113
rank1_stop_episode,750,2016,12,0.9336327000964382
rank1_stop_episode,750,2017,1,2.143161292457923
rank1_stop_episode,750,2018,8,0.8181590908951856
rank1_stop_episode,750,2019,3,1.3495859397548604
rank1_stop_episode,750,2020,5,1.2691523396418312
rank1_stop_episode,750,2021,8,0.5020932970824226
rank1_stop_episode,750,2022,14,1.122433324609864
rank1_stop_episode,750,2023,3,0.9075333623521871
