group,arm,metric,median,paired_delta_median,positive_starts,starts
A,PC25SEP08,Calmar,0.5299376286935028,-0.13362881851003988,0,14
A,PC25SEP08,平均仓位,1.5220444929207457,-0.07225038455203214,0,14
A,PC25SEP08,持仓数中位,9.0,2.0,14,14
A,PC25SEP08,年均换手,6.528747262575431,0.5617095113273525,12,14
A,PC25SEP08,单票权重中位,0.2891646511557864,-0.325715537088201,0,14
A,PC25SEP08,前三权重中位,0.809133357375745,-0.5341680638733199,0,14
A,PC30SEP08,年化,0.34881438781453455,-0.10612017327801981,0,14
A,PC30SEP08,滚动5年年化中位,0.28758437413442495,-0.1252347220431469,0,14
A,PC30SEP08,滚动5年年化P25,0.20890457582311628,-0.15313858714189155,0,14
A,PC30SEP08,互不重叠5年块中位,0.4423416153597982,-0.15779047214677738,0,14
A,PC30SEP08,逐年收益中位,0.16270920289690383,-0.2574160192723949,0,14
A,PC30SEP08,逐年最差,-0.15089466636894722,0.07273045014124507,13,14
A,PC30SEP08,最大回撤,0.6747329578059136,-0.012392692682380746,6,14
A,PC30SEP08,滚动5年回撤中位,0.4671626017015083,-0.07718950274895098,0,14
A,PC30SEP08,Sharpe,0.923937906424562,-0.10719883496745419,0,14
A,PC30SEP08,Calmar,0.5307932994382589,-0.1624639714596769,0,14
A,PC30SEP08,平均仓位,1.517542831270523,-0.06111594332074788,0,14
A,PC30SEP08,持仓数中位,8.0,1.5,13,14
A,PC30SEP08,年均换手,6.541616712011338,0.5334919212422635,13,14
A,PC30SEP08,单票权重中位,0.33871472749638887,-0.2752211613054022,0,14
A,PC30SEP08,前三权重中位,0.9450118667506462,-0.40567223119970336,0,14
U,BASE,年化,0.41997342959556816,0.0,0,14
U,BASE,滚动5年年化中位,0.38578199141934644,0.0,0,14
U,BASE,滚动5年年化P25,0.31851118126476574,0.0,0,14
U,BASE,互不重叠5年块中位,0.5486449806630034,0.0,0,14
U,BASE,逐年收益中位,0.33974235050962553,0.0,0,14
U,BASE,逐年最差,-0.20241358449346875,0.0,0,14
U,BASE,最大回撤,0.6582000242328675,0.0,0,14
U,BASE,滚动5年回撤中位,0.523522303225828,0.0,0,14
U,BASE,Sharpe,0.9918081058062349,0.0,0,14
U,BASE,Calmar,0.6246824760062921,0.0,0,14
U,BASE,平均仓位,1.5579852566863108,0.0,0,14
U,BASE,持仓数中位,7.0,0.0,0,14
U,BASE,年均换手,6.044400511889508,0.0,0,14
U,BASE,单票权重中位,0.6140271186489761,0.0,0,14
U,BASE,前三权重中位,1.2996312748223127,0.0,0,14
U,PC25SEP08,年化,0.31587430689912643,-0.10250346566727575,0,14
U,PC25SEP08,滚动5年年化中位,0.2442691020121125,-0.14552156493653468,0,14
U,PC25SEP08,滚动5年年化P25,0.16085250213448754,-0.15689789979429214,0,14
U,PC25SEP08,互不重叠5年块中位,0.38005680797118724,-0.16919714433993943,0,14
U,PC25SEP08,逐年收益中位,0.1502372697211542,-0.1552068496581695,1,14
U,PC25SEP08,逐年最差,-0.1230895807711106,0.07682571467008498,11,14
U,PC25SEP08,最大回撤,0.6524979896381348,-0.04064586400056547,3,14
U,PC25SEP08,滚动5年回撤中位,0.3726411412410759,-0.1260038817935128,0,14
U,PC25SEP08,Sharpe,0.8878595687354014,-0.08458615143401121,0,14
U,PC25SEP08,Calmar,0.50197627777283,-0.11506339760133799,1,14
U,PC25SEP08,平均仓位,1.5002271906292206,-0.06861386108524514,0,14
U,PC25SEP08,持仓数中位,9.0,2.0,14,14
U,PC25SEP08,年均换手,6.218053091367423,0.16980656445843634,9,14
U,PC25SEP08,单票权重中位,0.2863557691599878,-0.3273108575633613,0,14
U,PC25SEP08,前三权重中位,0.8030265898606412,-0.4983956047034524,0,14
