security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
600077,2008-06-30,0.0155,0.0155,0.0131,2.1225,2.12,0.73,0.73,3.0469,479141516.87,0.5808,28.6855,-69.3671,sina vFD_FinancialGuideLine,2026-08-11T18:01:07+00:00
600090,2008-06-30,0.1386,,0.035,1.3097,0.705,7.644,7.644,55.7771,1016763179.75,0.6114,2.2725,-24.2169,sina vFD_FinancialGuideLine,2026-08-11T18:01:32+00:00
600093,2008-06-30,0.0152,0.009,0.009,1.2102,1.1,0.81,0.81,30.7886,898700412.45,0.1701,26.8227,33.1901,sina vFD_FinancialGuideLine,2026-08-11T18:01:59+00:00
600136,2008-06-30,0.141,0.14,0.14,0.5879,0.57,24.83,28.35,53.7297,237035229.5,0.498,-2.8478,29.4616,sina vFD_FinancialGuideLine,2026-08-11T18:03:09+00:00
600137,2008-06-30,0.1767,0.18,0.19,1.3652,1.37,12.94,12.94,28.6325,158525201.42,-0.0699,69.3184,-96.2814,sina vFD_FinancialGuideLine,2026-08-11T18:03:48+00:00
600145,2008-06-30,-0.3651,-0.37,-0.36,1.1497,1.15,-31.75,-30,19.4435,885900247.43,-0.0058,28.9611,-4274.5459,sina vFD_FinancialGuideLine,2026-08-11T18:03:54+00:00
600149,2008-06-30,-0.0034,-0.005,-0.005,1.6051,1.58,-0.3,-0.3,43.2666,740003032.99,0.0148,-68.1862,-105.1415,sina vFD_FinancialGuideLine,2026-08-11T18:04:20+00:00
600185,2008-06-30,-0.1262,-0.1258,-0.1257,1.4319,1.3403,-9.38,-8.96,9.1439,1124990244.89,0.0225,-35.6628,,sina vFD_FinancialGuideLine,2026-08-11T18:04:50+00:00
600186,2008-06-30,0.0054,0.0055,0.0044,1.5249,1.525,0.362,0.362,15.5961,3730276554.01,0.0034,-11.3642,-18.72,sina vFD_FinancialGuideLine,2026-08-11T18:05:17+00:00
600187,2008-06-30,0.024,0.024,0.0237,0.593,0.586,4.05,4.05,63.9426,1859844583.58,-0.0037,223749.5883,-98.1377,sina vFD_FinancialGuideLine,2026-08-11T18:05:26+00:00
600193,2008-06-30,0.3805,0.38,0.33,2.8845,2.74,13.85,14.92,35.3259,633500727.05,0.0113,859.1828,-26.2689,sina vFD_FinancialGuideLine,2026-08-11T18:05:45+00:00
600225,2008-06-30,0.2836,0.29,-0.23,-1.0741,-1.09,,,1.4944,577455729.93,0.2531,-25.78,,sina vFD_FinancialGuideLine,2026-08-11T18:06:45+00:00
600242,2008-06-30,0.0092,0.0092,0.0005,-2.243,-2.243,,0,63.4951,77615319.7,0.0059,1862.6542,,sina vFD_FinancialGuideLine,2026-08-11T18:07:23+00:00
600248,2008-06-30,-0.0854,-0.08,-0.09,0.0244,-0.072,,,32.8025,565902979.72,-0.0075,-22.5986,,sina vFD_FinancialGuideLine,2026-08-11T18:07:48+00:00
600250,2008-06-30,0.0383,0.045,0.038,2.6441,2.46,1.844,1.842,5.1535,4789825765.39,-1.3956,-10.4115,-35.5539,sina vFD_FinancialGuideLine,2026-08-11T18:07:54+00:00
600270,2008-06-30,0.5241,0.56,0.16,4.6779,4.59,12.28,10.66,3.7719,6169526122.79,-0.0022,262.3954,67.1514,sina vFD_FinancialGuideLine,2026-08-11T18:08:01+00:00
600335,2008-06-30,0.1039,0.1027,0.054,1.5551,1.5,6.84,7.06,21.8498,1034064373.58,-0.0769,74.2484,2466.6298,sina vFD_FinancialGuideLine,2026-08-11T18:08:51+00:00
600373,2008-06-30,0.0171,0.0115,0.0235,2.4244,2.42,0.7122,0.7147,9.068,1045165532.07,0.3852,92.227,-49.9252,sina vFD_FinancialGuideLine,2026-08-11T18:09:42+00:00
600421,2008-06-30,-0.066,-0.07,-0.06,0.1071,0.08,-84.42,-59.36,-6.612,374447461.39,-0.0373,-88.1307,,sina vFD_FinancialGuideLine,2026-08-11T18:10:21+00:00
600435,2008-06-30,-0.0686,-0.074,-0.077,4.1305,3.52,-2.12,-2.096,23.5401,797432716.04,-0.3764,-38.2719,-247.8171,sina vFD_FinancialGuideLine,2026-08-11T18:10:38+00:00
600503,2008-06-30,0.1151,0.14,0.13,2.0554,2.03,5.71,7.64,55.1308,2866203119.14,-0.204,231.2706,,sina vFD_FinancialGuideLine,2026-08-11T18:11:28+00:00
600555,2008-06-30,0.0772,0.08,0.02,4.7644,4.75,1.64,1.64,26.6806,3024812257.95,-0.024,-68.4561,-14.9788,sina vFD_FinancialGuideLine,2026-08-11T18:12:28+00:00
600604,2008-06-30,-0.0308,-0.0295,-0.0361,0.7558,0.7391,-3.9878,-4.181,7.4317,998335146.53,-0.0353,-28.367,-544.0662,sina vFD_FinancialGuideLine,2026-08-11T18:13:25+00:00
600617,2008-06-30,-0.0547,-0.052,-0.053,0.1949,0.1032,-51.36,-50.39,22.1985,168908054.1,0.1221,-89.2277,,sina vFD_FinancialGuideLine,2026-08-11T18:13:54+00:00
600633,2008-06-30,-0.0599,-0.06,-0.061,1.0526,1.051,-5.69,-5.52,12.3014,288581983.89,0.0732,46.3517,-525.8327,sina vFD_FinancialGuideLine,2026-08-11T18:14:15+00:00
600647,2008-06-30,0.0145,0.0116,0.007,1.5759,1.1585,1,0.96,18.6835,583932568.8,-0.4874,65.1862,,sina vFD_FinancialGuideLine,2026-08-11T18:14:49+00:00
600656,2008-06-30,0.2575,0.22,0.17,0.8754,0.26,84.96,147.71,38.914,739291001.63,-0.143,97.2272,,sina vFD_FinancialGuideLine,2026-08-11T18:15:29+00:00
600677,2008-06-30,0.1533,0.1371,0.1202,2.8659,2.5029,5.48,5.6,11.6551,2735793039.12,-0.2226,24.1817,-88.8082,sina vFD_FinancialGuideLine,2026-08-11T18:16:14+00:00
600680,2008-06-30,0.0382,0.04,0.04,2.7487,2.69,1.42,1.43,21.0945,1550500708.03,-0.0742,5.9977,187.445,sina vFD_FinancialGuideLine,2026-08-11T18:16:40+00:00
600696,2008-06-30,0.0159,0.018,0.023,1.5244,1.35,1.351,1.36,22.5473,802279959.38,-0.4463,-72.3017,31.0923,sina vFD_FinancialGuideLine,2026-08-11T18:17:12+00:00
600698,2008-06-30,-0.0191,-0.019,-0.026,0.392,0.375,-5.08,-4.96,10.6625,1515332271.96,-0.0371,7.6476,-612.2017,sina vFD_FinancialGuideLine,2026-08-11T18:17:30+00:00
600711,2008-06-30,0.1881,0.17,0.004,1.039,0.34,50.24,67.09,22.287,283442077.65,0.1193,225.5788,36.4212,sina vFD_FinancialGuideLine,2026-08-11T18:18:31+00:00
600716,2008-06-30,-0.0651,-0.046,-0.055,0.7856,0.75,-6.17,-5.99,6.8547,1695103426.9,0.2087,2.9762,-2654.0327,sina vFD_FinancialGuideLine,2026-08-11T18:18:46+00:00
600722,2008-06-30,-0.1751,-0.17,-0.04,-0.7021,-0.77,,,9.4904,1890643724.82,-0.1002,-24.2216,,sina vFD_FinancialGuideLine,2026-08-11T18:18:58+00:00
600733,2008-06-30,0.0044,0.0159,0.0162,1.4087,1.41,1.24,1.24,76.8943,891536392.6,-0.1597,13.4895,-74.0078,sina vFD_FinancialGuideLine,2026-08-11T18:19:21+00:00
600753,2008-06-30,0.0307,0.03,0.014,1.3349,1.15,2.51,2.54,40.1576,299692097.89,-0.0027,-51.1352,-48.6734,sina vFD_FinancialGuideLine,2026-08-11T18:20:20+00:00
600757,2008-06-30,-0.4678,-0.45,-0.34,-0.2482,-0.43,,,2.2326,1991448261.2,-0.0579,-63.9231,,sina vFD_FinancialGuideLine,2026-08-11T18:20:32+00:00
600759,2008-06-30,0.0186,0.0186,0.0187,1.5171,1.52,1.23,1.24,89.327,1534071412.8,0.023,-54.8129,,sina vFD_FinancialGuideLine,2026-08-11T18:20:40+00:00
