cohort,arm,method,horizon,code,n,median
old_rank1_filter,BASE,daily,250,600519,12,0.482121033743367
old_rank1_filter,BASE,daily,250,600566,4,-0.20365205309352669
old_rank1_filter,BASE,daily,250,600585,144,-0.09114702135416325
old_rank1_filter,BASE,daily,250,600660,15,0.07809999793721478
old_rank1_filter,BASE,daily,250,600690,18,0.6011463056061386
old_rank1_filter,BASE,daily,250,600809,1,0.2518318991984674
old_rank1_filter,BASE,daily,250,600897,16,-0.04552941624001072
old_rank1_filter,BASE,daily,250,600919,6,0.19719104453365643
old_rank1_filter,BASE,daily,250,600938,50,0.34141273890362045
old_rank1_filter,BASE,daily,250,601009,30,0.10018051658918348
old_rank1_filter,BASE,daily,250,601077,2,0.16839035268521696
old_rank1_filter,BASE,daily,250,601088,121,0.47239263803681
old_rank1_filter,BASE,daily,250,601166,6,0.21540873272426786
old_rank1_filter,BASE,daily,250,601169,11,-0.004236638294609296
old_rank1_filter,BASE,daily,250,601187,2,0.33828119837566883
old_rank1_filter,BASE,daily,250,601225,391,0.37778229175663003
old_rank1_filter,BASE,daily,250,601229,12,0.3369533558220241
old_rank1_filter,BASE,daily,250,601288,14,0.30903385517027626
old_rank1_filter,BASE,daily,250,601328,48,0.08679422748216425
old_rank1_filter,BASE,daily,250,601398,8,-0.03912180550945921
old_rank1_filter,BASE,daily,250,601818,5,0.11965869747813085
old_rank1_filter,BASE,daily,250,601825,47,-0.05430359114569627
old_rank1_filter,BASE,daily,250,601838,8,0.09302383616735299
old_rank1_filter,BASE,daily,250,601916,1,0.028816041455446362
old_rank1_filter,BASE,daily,250,601939,5,0.25508015245783877
old_rank1_filter,BASE,daily,250,601988,4,0.41285619117244865
old_rank1_filter,BASE,daily,250,603279,1,0.2119515331733388
old_rank1_filter,BASE,daily,250,603529,1,0.10043381643124882
old_rank1_filter,BASE,daily,750,000022,4,1.136292998050695
old_rank1_filter,BASE,daily,750,000333,187,1.8344302658230394
old_rank1_filter,BASE,daily,750,000338,298,0.17252468184470982
old_rank1_filter,BASE,daily,750,000568,3,2.098054364883837
old_rank1_filter,BASE,daily,750,000651,269,1.5981011246057233
old_rank1_filter,BASE,daily,750,000786,7,1.2780512812740197
old_rank1_filter,BASE,daily,750,000792,74,-0.367098220064592
old_rank1_filter,BASE,daily,750,000858,5,2.531186420535481
old_rank1_filter,BASE,daily,750,000933,78,0.7940065292955265
old_rank1_filter,BASE,daily,750,002001,14,0.3481498609058611
old_rank1_filter,BASE,daily,750,002024,14,0.9152389094558121
old_rank1_filter,BASE,daily,750,002128,169,0.9205592106967666
old_rank1_filter,BASE,daily,750,002152,21,0.8477902620632853
old_rank1_filter,BASE,daily,750,002304,36,1.456992351172095
old_rank1_filter,BASE,daily,750,002466,103,1.4583202264863164
old_rank1_filter,BASE,daily,750,002508,9,0.7713338788619684
old_rank1_filter,BASE,daily,750,002833,1,0.25152916577177087
old_rank1_filter,BASE,daily,750,600000,2,-0.20170848784022294
old_rank1_filter,BASE,daily,750,600009,1,1.9162990993486897
old_rank1_filter,BASE,daily,750,600016,1,-0.11073595004099579
old_rank1_filter,BASE,daily,750,600031,9,0.4308967999550233
old_rank1_filter,BASE,daily,750,600066,83,0.8698071416453232
old_rank1_filter,BASE,daily,750,600188,11,0.18932862964310027
old_rank1_filter,BASE,daily,750,600271,10,1.952194895158914
old_rank1_filter,BASE,daily,750,600309,86,1.1627849716056493
old_rank1_filter,BASE,daily,750,600519,12,1.7918492949960954
old_rank1_filter,BASE,daily,750,600566,4,0.2334886848618053
old_rank1_filter,BASE,daily,750,600585,144,-0.3149801665117352
old_rank1_filter,BASE,daily,750,600660,15,1.0248549296593321
old_rank1_filter,BASE,daily,750,600690,18,1.0219504755600213
old_rank1_filter,BASE,daily,750,600809,1,0.4226115160106889
old_rank1_filter,BASE,daily,750,600897,16,0.5110552136881525
old_rank1_filter,BASE,daily,750,600919,1,0.9075333623521871
old_rank1_filter,BASE,daily,750,600938,42,1.0800280760261574
old_rank1_filter,BASE,daily,750,601009,27,0.25667545289626115
old_rank1_filter,BASE,daily,750,601077,2,1.2751287526617119
old_rank1_filter,BASE,daily,750,601088,111,0.4323579610238373
old_rank1_filter,BASE,daily,750,601169,7,0.42660333228164626
old_rank1_filter,BASE,daily,750,601225,305,1.549173164255497
old_rank1_filter,BASE,daily,750,601288,14,1.9907473896742856
old_rank1_filter,BASE,daily,750,601328,48,0.9227606411806832
old_rank1_filter,BASE,daily,750,601398,7,0.3054297004970541
old_rank1_filter,BASE,daily,750,601818,2,0.26305310546931593
old_rank1_filter,BASE,daily,750,601825,47,0.7603206831548366
old_rank1_filter,BASE,daily,750,601988,4,1.131509160380302
old_rank1_filter,BASE,ma60_episode,250,000001,2,0.13787672164346798
old_rank1_filter,BASE,ma60_episode,250,000022,2,0.44397237636690046
old_rank1_filter,BASE,ma60_episode,250,000063,1,0.26560149598753013
old_rank1_filter,BASE,ma60_episode,250,000333,10,0.6473086154198336
old_rank1_filter,BASE,ma60_episode,250,000338,33,0.29384456076550514
old_rank1_filter,BASE,ma60_episode,250,000568,2,0.5487282696184285
old_rank1_filter,BASE,ma60_episode,250,000651,25,0.17733475691223388
old_rank1_filter,BASE,ma60_episode,250,000661,1,-0.24505677973319961
old_rank1_filter,BASE,ma60_episode,250,000786,1,0.471763072208389
old_rank1_filter,BASE,ma60_episode,250,000792,15,-0.08985566599427397
old_rank1_filter,BASE,ma60_episode,250,000858,1,0.335950432329958
old_rank1_filter,BASE,ma60_episode,250,000933,11,0.04978354978354971
old_rank1_filter,BASE,ma60_episode,250,000951,1,0.3028151856123169
old_rank1_filter,BASE,ma60_episode,250,002001,3,-0.055137740074564956
old_rank1_filter,BASE,ma60_episode,250,002024,3,0.5254906383938642
old_rank1_filter,BASE,ma60_episode,250,002128,34,0.3488003044156889
old_rank1_filter,BASE,ma60_episode,250,002152,4,0.3700601461612879
old_rank1_filter,BASE,ma60_episode,250,002158,4,0.5654777888215972
old_rank1_filter,BASE,ma60_episode,250,002236,3,0.1422451066611803
old_rank1_filter,BASE,ma60_episode,250,002304,2,0.570851392797971
old_rank1_filter,BASE,ma60_episode,250,002466,9,0.8806535166367802
old_rank1_filter,BASE,ma60_episode,250,002508,2,0.5356530350378074
old_rank1_filter,BASE,ma60_episode,250,002532,1,0.37329829024234695
old_rank1_filter,BASE,ma60_episode,250,002648,2,0.13539624737365552
old_rank1_filter,BASE,ma60_episode,250,002833,1,0.18184578090998227
old_rank1_filter,BASE,ma60_episode,250,300059,1,1.1878793814025754
old_rank1_filter,BASE,ma60_episode,250,300750,1,1.0534767254792161
old_rank1_filter,BASE,ma60_episode,250,600000,1,-0.21379269391027245
old_rank1_filter,BASE,ma60_episode,250,600009,1,1.0710910679250452
old_rank1_filter,BASE,ma60_episode,250,600016,1,-0.21351740416039833
old_rank1_filter,BASE,ma60_episode,250,600031,5,0.10662573548222043
old_rank1_filter,BASE,ma60_episode,250,600036,1,0.4058307424525973
old_rank1_filter,BASE,ma60_episode,250,600066,7,0.07628609165563716
old_rank1_filter,BASE,ma60_episode,250,600176,2,0.2904880356881929
old_rank1_filter,BASE,ma60_episode,250,600188,2,-0.06226897467064685
old_rank1_filter,BASE,ma60_episode,250,600271,4,0.4522513687685591
old_rank1_filter,BASE,ma60_episode,250,600309,12,0.11589719392655418
old_rank1_filter,BASE,ma60_episode,250,600426,1,0.6488839328081166
old_rank1_filter,BASE,ma60_episode,250,600519,3,0.3687491852365772
old_rank1_filter,BASE,ma60_episode,250,600566,1,-0.16009683007510156
old_rank1_filter,BASE,ma60_episode,250,600585,19,0.09815441894583299
old_rank1_filter,BASE,ma60_episode,250,600660,3,0.09313047319938916
old_rank1_filter,BASE,ma60_episode,250,600690,5,0.43760689137505815
old_rank1_filter,BASE,ma60_episode,250,600809,1,0.2518318991984674
old_rank1_filter,BASE,ma60_episode,250,600897,7,-0.0030393936789633313
old_rank1_filter,BASE,ma60_episode,250,600919,3,0.18510904218937707
old_rank1_filter,BASE,ma60_episode,250,600938,7,0.36175662779385376
old_rank1_filter,BASE,ma60_episode,250,601009,5,0.13179916317991625
old_rank1_filter,BASE,ma60_episode,250,601077,2,0.16839035268521696
old_rank1_filter,BASE,ma60_episode,250,601088,22,0.39314709714565754
old_rank1_filter,BASE,ma60_episode,250,601166,4,0.3702852461624304
old_rank1_filter,BASE,ma60_episode,250,601169,6,-0.009460922948964112
old_rank1_filter,BASE,ma60_episode,250,601187,1,0.35042649272735016
old_rank1_filter,BASE,ma60_episode,250,601225,25,0.33575712962100157
old_rank1_filter,BASE,ma60_episode,250,601229,4,0.3369533558220241
old_rank1_filter,BASE,ma60_episode,250,601288,4,0.30590774229956774
old_rank1_filter,BASE,ma60_episode,250,601328,11,0.29503124321455276
old_rank1_filter,BASE,ma60_episode,250,601398,2,0.13386743201705764
old_rank1_filter,BASE,ma60_episode,250,601818,3,0.11965869747813085
old_rank1_filter,BASE,ma60_episode,250,601825,2,-0.008352213781840978
old_rank1_filter,BASE,ma60_episode,250,601838,3,0.16389246528614887
old_rank1_filter,BASE,ma60_episode,250,601916,1,0.028816041455446362
old_rank1_filter,BASE,ma60_episode,250,601939,1,0.3284161829216772
old_rank1_filter,BASE,ma60_episode,250,601988,3,0.39304881165346295
old_rank1_filter,BASE,ma60_episode,250,603279,1,0.2119515331733388
old_rank1_filter,BASE,ma60_episode,250,603529,1,0.10043381643124882
old_rank1_filter,BASE,ma60_episode,750,000022,2,1.1217990044067243
old_rank1_filter,BASE,ma60_episode,750,000333,10,1.593616444285335
old_rank1_filter,BASE,ma60_episode,750,000338,31,0.05127378065204069
old_rank1_filter,BASE,ma60_episode,750,000568,2,2.035587333326289
old_rank1_filter,BASE,ma60_episode,750,000651,23,0.8978507009922059
old_rank1_filter,BASE,ma60_episode,750,000786,1,1.427391552478091
old_rank1_filter,BASE,ma60_episode,750,000792,7,-0.4409232220095456
old_rank1_filter,BASE,ma60_episode,750,000858,1,2.304369815837074
old_rank1_filter,BASE,ma60_episode,750,000933,5,0.13161292783642797
old_rank1_filter,BASE,ma60_episode,750,002001,3,0.6277431007993419
old_rank1_filter,BASE,ma60_episode,750,002024,3,0.5280872793974452
old_rank1_filter,BASE,ma60_episode,750,002128,27,0.816281771745812
old_rank1_filter,BASE,ma60_episode,750,002152,4,0.8989914782713844
old_rank1_filter,BASE,ma60_episode,750,002304,2,1.6849689784400441
old_rank1_filter,BASE,ma60_episode,750,002466,6,1.405466273379969
old_rank1_filter,BASE,ma60_episode,750,002508,2,0.7912308901394605
old_rank1_filter,BASE,ma60_episode,750,002833,1,0.25152916577177087
old_rank1_filter,BASE,ma60_episode,750,600000,1,-0.20808217404192353
old_rank1_filter,BASE,ma60_episode,750,600009,1,1.9162990993486897
old_rank1_filter,BASE,ma60_episode,750,600016,1,-0.11073595004099579
old_rank1_filter,BASE,ma60_episode,750,600031,5,0.4251443834337474
old_rank1_filter,BASE,ma60_episode,750,600066,7,0.9930124842453627
old_rank1_filter,BASE,ma60_episode,750,600188,2,0.14033563636381052
old_rank1_filter,BASE,ma60_episode,750,600271,4,1.8981876881913924
old_rank1_filter,BASE,ma60_episode,750,600309,12,1.0970595459536194
old_rank1_filter,BASE,ma60_episode,750,600519,3,2.1240252993979043
old_rank1_filter,BASE,ma60_episode,750,600566,1,0.33537793429607365
old_rank1_filter,BASE,ma60_episode,750,600585,19,0.12535893564936007
old_rank1_filter,BASE,ma60_episode,750,600660,3,1.1657102673398336
old_rank1_filter,BASE,ma60_episode,750,600690,5,0.5588349232179193
old_rank1_filter,BASE,ma60_episode,750,600809,1,0.4226115160106889
old_rank1_filter,BASE,ma60_episode,750,600897,7,0.5030569387368298
old_rank1_filter,BASE,ma60_episode,750,600919,1,0.9075333623521871
old_rank1_filter,BASE,ma60_episode,750,600938,5,1.0002435156360567
old_rank1_filter,BASE,ma60_episode,750,601009,3,0.24726240978961078
old_rank1_filter,BASE,ma60_episode,750,601077,2,1.2751287526617119
old_rank1_filter,BASE,ma60_episode,750,601088,22,0.5950377047515336
old_rank1_filter,BASE,ma60_episode,750,601169,4,0.5382322467307364
old_rank1_filter,BASE,ma60_episode,750,601225,21,1.6018420125781674
old_rank1_filter,BASE,ma60_episode,750,601288,4,1.8790414614650806
old_rank1_filter,BASE,ma60_episode,750,601328,11,0.8728920705083156
old_rank1_filter,BASE,ma60_episode,750,601398,1,0.29610203256288026
old_rank1_filter,BASE,ma60_episode,750,601818,1,0.2529429033672175
old_rank1_filter,BASE,ma60_episode,750,601825,2,0.9233341507875371
old_rank1_filter,BASE,ma60_episode,750,601988,3,1.1329037242818334
old_rank1_filter,BASE,ma60_nonoverlap,250,000001,1,0.22250423133179065
old_rank1_filter,BASE,ma60_nonoverlap,250,000022,1,0.14362657091561926
old_rank1_filter,BASE,ma60_nonoverlap,250,000063,1,0.26560149598753013
old_rank1_filter,BASE,ma60_nonoverlap,250,000333,4,0.5784756398645505
old_rank1_filter,BASE,ma60_nonoverlap,250,000338,11,0.3443713021154544
old_rank1_filter,BASE,ma60_nonoverlap,250,000568,1,0.4830799917463373
old_rank1_filter,BASE,ma60_nonoverlap,250,000651,9,0.0811263646757705
old_rank1_filter,BASE,ma60_nonoverlap,250,000661,1,-0.24505677973319961
old_rank1_filter,BASE,ma60_nonoverlap,250,000786,1,0.471763072208389
old_rank1_filter,BASE,ma60_nonoverlap,250,000792,5,-0.24595063995848743
old_rank1_filter,BASE,ma60_nonoverlap,250,000858,1,0.335950432329958
old_rank1_filter,BASE,ma60_nonoverlap,250,000933,4,0.07824721297444981
old_rank1_filter,BASE,ma60_nonoverlap,250,000951,1,0.3028151856123169
old_rank1_filter,BASE,ma60_nonoverlap,250,002001,1,-0.26184603689410346
old_rank1_filter,BASE,ma60_nonoverlap,250,002024,1,-0.3783819178764498
old_rank1_filter,BASE,ma60_nonoverlap,250,002128,9,0.2282900779222472
old_rank1_filter,BASE,ma60_nonoverlap,250,002152,1,0.284110417331328
old_rank1_filter,BASE,ma60_nonoverlap,250,002158,1,0.5051117589893102
old_rank1_filter,BASE,ma60_nonoverlap,250,002236,1,0.1422451066611803
old_rank1_filter,BASE,ma60_nonoverlap,250,002304,1,0.6834243324401266
old_rank1_filter,BASE,ma60_nonoverlap,250,002466,4,0.35449240801371373
old_rank1_filter,BASE,ma60_nonoverlap,250,002508,1,0.5227741241583295
old_rank1_filter,BASE,ma60_nonoverlap,250,002532,1,0.37329829024234695
old_rank1_filter,BASE,ma60_nonoverlap,250,002648,2,0.13539624737365552
old_rank1_filter,BASE,ma60_nonoverlap,250,002833,1,0.18184578090998227
old_rank1_filter,BASE,ma60_nonoverlap,250,300059,1,1.1878793814025754
old_rank1_filter,BASE,ma60_nonoverlap,250,300750,1,1.0534767254792161
old_rank1_filter,BASE,ma60_nonoverlap,250,600000,1,-0.21379269391027245
old_rank1_filter,BASE,ma60_nonoverlap,250,600009,1,1.0710910679250452
old_rank1_filter,BASE,ma60_nonoverlap,250,600016,1,-0.21351740416039833
old_rank1_filter,BASE,ma60_nonoverlap,250,600031,4,0.013445191988096294
old_rank1_filter,BASE,ma60_nonoverlap,250,600036,1,0.4058307424525973
old_rank1_filter,BASE,ma60_nonoverlap,250,600066,4,0.36532227108454873
old_rank1_filter,BASE,ma60_nonoverlap,250,600176,1,0.16293481254560116
old_rank1_filter,BASE,ma60_nonoverlap,250,600188,2,-0.06226897467064685
old_rank1_filter,BASE,ma60_nonoverlap,250,600271,1,0.4391338151870303
old_rank1_filter,BASE,ma60_nonoverlap,250,600309,6,0.09685584952388704
old_rank1_filter,BASE,ma60_nonoverlap,250,600426,1,0.6488839328081166
old_rank1_filter,BASE,ma60_nonoverlap,250,600519,2,0.4377069170093051
old_rank1_filter,BASE,ma60_nonoverlap,250,600566,1,-0.16009683007510156
old_rank1_filter,BASE,ma60_nonoverlap,250,600585,6,0.19356962926315413
old_rank1_filter,BASE,ma60_nonoverlap,250,600660,2,0.6265484828843926
old_rank1_filter,BASE,ma60_nonoverlap,250,600690,2,0.5488117522431504
old_rank1_filter,BASE,ma60_nonoverlap,250,600809,1,0.2518318991984674
old_rank1_filter,BASE,ma60_nonoverlap,250,600897,5,0.033451787424830126
old_rank1_filter,BASE,ma60_nonoverlap,250,600919,2,0.23680950041912785
old_rank1_filter,BASE,ma60_nonoverlap,250,600938,2,0.20333328951152774
old_rank1_filter,BASE,ma60_nonoverlap,250,601009,3,0.19249077589859542
old_rank1_filter,BASE,ma60_nonoverlap,250,601077,1,0.06298070537043388
old_rank1_filter,BASE,ma60_nonoverlap,250,601088,7,0.3947190250507786
old_rank1_filter,BASE,ma60_nonoverlap,250,601166,1,0.4381664666685272
old_rank1_filter,BASE,ma60_nonoverlap,250,601169,3,-0.014685207603318928
old_rank1_filter,BASE,ma60_nonoverlap,250,601187,1,0.35042649272735016
old_rank1_filter,BASE,ma60_nonoverlap,250,601225,7,0.2561019076694202
old_rank1_filter,BASE,ma60_nonoverlap,250,601229,2,0.18315854218852945
old_rank1_filter,BASE,ma60_nonoverlap,250,601288,1,0.2687669280114042
old_rank1_filter,BASE,ma60_nonoverlap,250,601328,2,0.24753750034099098
old_rank1_filter,BASE,ma60_nonoverlap,250,601398,2,0.13386743201705764
old_rank1_filter,BASE,ma60_nonoverlap,250,601818,2,-0.007657271467310656
old_rank1_filter,BASE,ma60_nonoverlap,250,601825,1,-0.06447972918513745
old_rank1_filter,BASE,ma60_nonoverlap,250,601838,2,0.13496840464558535
old_rank1_filter,BASE,ma60_nonoverlap,250,601916,1,0.028816041455446362
old_rank1_filter,BASE,ma60_nonoverlap,250,601939,1,0.3284161829216772
old_rank1_filter,BASE,ma60_nonoverlap,250,601988,1,0.10173638344226577
old_rank1_filter,BASE,ma60_nonoverlap,250,603279,1,0.2119515331733388
old_rank1_filter,BASE,ma60_nonoverlap,250,603529,1,0.10043381643124882
old_rank1_filter,BASE,ma60_nonoverlap,750,000022,1,1.395870736086176
old_rank1_filter,BASE,ma60_nonoverlap,750,000333,2,1.9641979628762083
old_rank1_filter,BASE,ma60_nonoverlap,750,000338,4,0.4590592600986042
old_rank1_filter,BASE,ma60_nonoverlap,750,000568,1,1.9731203017687413
old_rank1_filter,BASE,ma60_nonoverlap,750,000651,4,0.6669722938937033
old_rank1_filter,BASE,ma60_nonoverlap,750,000786,1,1.427391552478091
old_rank1_filter,BASE,ma60_nonoverlap,750,000792,2,-0.3958839856641854
old_rank1_filter,BASE,ma60_nonoverlap,750,000858,1,2.304369815837074
old_rank1_filter,BASE,ma60_nonoverlap,750,000933,1,-0.16455569129944791
old_rank1_filter,BASE,ma60_nonoverlap,750,002001,1,0.396093639977541
old_rank1_filter,BASE,ma60_nonoverlap,750,002024,1,0.4718779463724374
old_rank1_filter,BASE,ma60_nonoverlap,750,002128,3,0.816281771745812
old_rank1_filter,BASE,ma60_nonoverlap,750,002152,1,0.8251902803734186
old_rank1_filter,BASE,ma60_nonoverlap,750,002304,1,1.5934739527066224
old_rank1_filter,BASE,ma60_nonoverlap,750,002466,1,1.3495859397548604
old_rank1_filter,BASE,ma60_nonoverlap,750,002508,1,0.8111279014169526
old_rank1_filter,BASE,ma60_nonoverlap,750,002833,1,0.25152916577177087
old_rank1_filter,BASE,ma60_nonoverlap,750,600000,1,-0.20808217404192353
old_rank1_filter,BASE,ma60_nonoverlap,750,600009,1,1.9162990993486897
old_rank1_filter,BASE,ma60_nonoverlap,750,600016,1,-0.11073595004099579
old_rank1_filter,BASE,ma60_nonoverlap,750,600031,2,0.07760674048532074
old_rank1_filter,BASE,ma60_nonoverlap,750,600066,2,0.7364047614220851
old_rank1_filter,BASE,ma60_nonoverlap,750,600188,1,0.18148972288396203
old_rank1_filter,BASE,ma60_nonoverlap,750,600271,1,2.1160859295595555
old_rank1_filter,BASE,ma60_nonoverlap,750,600309,3,1.0987826792003803
old_rank1_filter,BASE,ma60_nonoverlap,750,600519,1,2.1240252993979043
old_rank1_filter,BASE,ma60_nonoverlap,750,600566,1,0.33537793429607365
old_rank1_filter,BASE,ma60_nonoverlap,750,600585,3,0.62210590429431
old_rank1_filter,BASE,ma60_nonoverlap,750,600660,1,1.1657102673398336
old_rank1_filter,BASE,ma60_nonoverlap,750,600690,2,0.710712927582695
old_rank1_filter,BASE,ma60_nonoverlap,750,600809,1,0.4226115160106889
old_rank1_filter,BASE,ma60_nonoverlap,750,600897,2,0.6258561628158525
old_rank1_filter,BASE,ma60_nonoverlap,750,600919,1,0.9075333623521871
old_rank1_filter,BASE,ma60_nonoverlap,750,600938,1,0.945282381742196
old_rank1_filter,BASE,ma60_nonoverlap,750,601009,1,0.30348407370841657
old_rank1_filter,BASE,ma60_nonoverlap,750,601077,1,1.1995287396525462
old_rank1_filter,BASE,ma60_nonoverlap,750,601088,3,0.08432073653501915
old_rank1_filter,BASE,ma60_nonoverlap,750,601169,1,0.4250981642484184
old_rank1_filter,BASE,ma60_nonoverlap,750,601225,3,0.8845295004312597
old_rank1_filter,BASE,ma60_nonoverlap,750,601288,1,1.2744897098861827
old_rank1_filter,BASE,ma60_nonoverlap,750,601328,1,0.809481215627575
old_rank1_filter,BASE,ma60_nonoverlap,750,601398,1,0.29610203256288026
old_rank1_filter,BASE,ma60_nonoverlap,750,601818,1,0.2529429033672175
old_rank1_filter,BASE,ma60_nonoverlap,750,601825,1,0.9130948784929693
old_rank1_filter,BASE,ma60_nonoverlap,750,601988,1,1.1329037242818334
old_rank1_filter,BASE,stop_episode,250,000001,2,0.13787672164346798
old_rank1_filter,BASE,stop_episode,250,000022,2,0.44397237636690046
old_rank1_filter,BASE,stop_episode,250,000063,1,0.26560149598753013
old_rank1_filter,BASE,stop_episode,250,000333,2,1.2299286039027753
old_rank1_filter,BASE,stop_episode,250,000338,8,0.013753012393242003
old_rank1_filter,BASE,stop_episode,250,000568,2,0.5487282696184285
old_rank1_filter,BASE,stop_episode,250,000651,1,0.5208590803942073
old_rank1_filter,BASE,stop_episode,250,000661,1,-0.24505677973319961
old_rank1_filter,BASE,stop_episode,250,000786,1,0.471763072208389
old_rank1_filter,BASE,stop_episode,250,000792,9,-0.24595063995848743
old_rank1_filter,BASE,stop_episode,250,000858,1,0.335950432329958
old_rank1_filter,BASE,stop_episode,250,000933,2,-0.11780253605563085
old_rank1_filter,BASE,stop_episode,250,000951,1,0.3028151856123169
old_rank1_filter,BASE,stop_episode,250,002001,3,-0.055137740074564956
old_rank1_filter,BASE,stop_episode,250,002024,3,0.5254906383938642
old_rank1_filter,BASE,stop_episode,250,002128,8,0.05174986372274526
old_rank1_filter,BASE,stop_episode,250,002152,4,0.3700601461612879
old_rank1_filter,BASE,stop_episode,250,002158,4,0.5654777888215972
old_rank1_filter,BASE,stop_episode,250,002236,2,0.10389905414552991
old_rank1_filter,BASE,stop_episode,250,002304,1,0.6834243324401266
old_rank1_filter,BASE,stop_episode,250,002466,5,1.4518142801404608
old_rank1_filter,BASE,stop_episode,250,002508,2,0.5356530350378074
old_rank1_filter,BASE,stop_episode,250,002532,1,0.37329829024234695
old_rank1_filter,BASE,stop_episode,250,002648,2,0.13539624737365552
old_rank1_filter,BASE,stop_episode,250,002833,1,0.18184578090998227
old_rank1_filter,BASE,stop_episode,250,300059,1,1.1878793814025754
old_rank1_filter,BASE,stop_episode,250,300750,1,1.0534767254792161
old_rank1_filter,BASE,stop_episode,250,600000,1,-0.21379269391027245
old_rank1_filter,BASE,stop_episode,250,600009,1,1.0710910679250452
old_rank1_filter,BASE,stop_episode,250,600016,1,-0.21351740416039833
old_rank1_filter,BASE,stop_episode,250,600031,5,0.10662573548222043
old_rank1_filter,BASE,stop_episode,250,600036,1,0.4058307424525973
old_rank1_filter,BASE,stop_episode,250,600066,2,0.278390067581078
old_rank1_filter,BASE,stop_episode,250,600176,2,0.2904880356881929
old_rank1_filter,BASE,stop_episode,250,600188,2,-0.06226897467064685
old_rank1_filter,BASE,stop_episode,250,600271,3,0.4391338151870303
old_rank1_filter,BASE,stop_episode,250,600309,5,0.10583823683336302
old_rank1_filter,BASE,stop_episode,250,600426,1,0.6488839328081166
old_rank1_filter,BASE,stop_episode,250,600519,1,0.3615331542244409
old_rank1_filter,BASE,stop_episode,250,600566,1,-0.16009683007510156
old_rank1_filter,BASE,stop_episode,250,600585,4,0.19890218881449329
old_rank1_filter,BASE,stop_episode,250,600660,3,0.09313047319938916
old_rank1_filter,BASE,stop_episode,250,600690,1,0.6600166131112426
old_rank1_filter,BASE,stop_episode,250,600809,1,0.2518318991984674
old_rank1_filter,BASE,stop_episode,250,600897,4,-0.0015443591104864485
old_rank1_filter,BASE,stop_episode,250,600919,2,0.23680950041912785
old_rank1_filter,BASE,stop_episode,250,600938,4,0.3452332231171713
old_rank1_filter,BASE,stop_episode,250,601009,1,0.13179916317991625
old_rank1_filter,BASE,stop_episode,250,601077,2,0.16839035268521696
old_rank1_filter,BASE,stop_episode,250,601088,5,-0.057968345271523836
old_rank1_filter,BASE,stop_episode,250,601166,4,0.3702852461624304
old_rank1_filter,BASE,stop_episode,250,601169,4,0.009440410082998119
old_rank1_filter,BASE,stop_episode,250,601187,1,0.35042649272735016
old_rank1_filter,BASE,stop_episode,250,601225,2,0.355578339788866
old_rank1_filter,BASE,stop_episode,250,601229,3,0.3448591785103057
